,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.00268286 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.13343040893544397,"[ 1.02470559e-03  1.16207060e-03  3.71840370e-05  4.73274515e-04
 -5.95443365e-06  2.13555797e-04]","[ 4.54811082e-03 -8.02254146e-03  2.35217775e-03  3.35124057e-03
 -1.15581899e-02  5.05601696e-03  3.21911780e-03 -4.81674501e-03
  6.77515188e-04  4.55853058e-03 -1.70431126e-03 -1.99633474e-03
  1.83103592e-03  3.33377116e-03 -1.56612883e-03 -2.34820429e-05
 -1.54521387e-03  1.41041381e-03  4.70776970e-03 -3.31169233e-03]",-4.851624538208514,0.007815670375225871,0.825716146370264,-0.04017230514240194,"[-0.12478434 -0.10282546 -0.06837951 -0.02998014  0.01264095  0.05402611
  0.0977928   0.13845233  0.16531423  0.17753524  0.15845503  0.08170159
 -0.05334294 -0.22898114 -0.32559732 -0.27295453 -0.20378156 -0.17196441
 -0.08788007  0.28085102  0.84928584  1.29079248  1.18093032 -0.10336639
  0.00672548]",[ 0.00010521  0.00054156 -0.00011605 -0.0009142  -0.00054441 -0.00073836],"[ 0.00724934 -0.00457433 -0.00499278  0.00516162 -0.00453757  0.00183535
  0.00054276 -0.00029259  0.00053122  0.00015944  0.00172886  0.00121049
 -0.00184259  0.00214338 -0.00191068 -0.00098282  0.00090925  0.00012575
  0.00214183 -0.00017071]",0.08471132963428658,0.825716146370264
AAL,"[0.00283485 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.14137440088827974,"[-3.20352992e-04  4.35519814e-04 -4.25612444e-06 -5.47049589e-04
  3.58479651e-04  8.39060102e-05]","[ 0.00551114 -0.00723989  0.00141456  0.00136512 -0.01148014  0.00748229
  0.00462375 -0.00720266 -0.00240841  0.006013    0.00158478 -0.00168192
 -0.0009093   0.00200628 -0.00018072  0.0005203  -0.0013273   0.00388263
  0.00348579 -0.00943506]",-5.109400928163283,0.006039700054235552,0.8257192695867577,-0.04017230802392062,"[-0.12478429 -0.10282547 -0.06837956 -0.02998006  0.01264086  0.054026
  0.09779302  0.13845204  0.16531422  0.17753514  0.15845515  0.08170125
 -0.05334296 -0.22898112 -0.32559639 -0.27295464 -0.20378196 -0.17196531
 -0.0878798   0.28085124  0.84928515  1.29079232  1.1809298  -0.10336617
  0.00672547]",[ 0.00010522  0.00054156 -0.00011604 -0.00091423 -0.00054442 -0.00073834],"[ 0.00724934 -0.00457432 -0.0049928   0.00516161 -0.00453757  0.00183533
  0.00054275 -0.00029256  0.00053121  0.00015943  0.00172885  0.00121048
 -0.00184257  0.00214339 -0.00191069 -0.00098279  0.00090924  0.00012577
  0.00214184 -0.00017071]",0.08471134047682942,0.8257192695867577
AAP,"[0.00267498 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.13345700655594098,[ 0.00149636 -0.00030583  0.00035807  0.00025937 -0.00020687 -0.00036339],"[ 0.00271616 -0.00942909  0.00477509  0.0078549  -0.01389614 -0.00084141
  0.00456437  0.00146993  0.00016411 -0.00019482 -0.00162855 -0.00117229
  0.00158319  0.0053189  -0.00104365 -0.00158335 -0.00170367 -0.00147864
  0.00342081  0.00566816]",-5.3304396893040575,0.004841940594651852,0.8257159844209774,-0.0401723049929855,"[-0.12478434 -0.10282546 -0.06837951 -0.02998015  0.01264095  0.05402611
  0.09779279  0.13845235  0.16531423  0.17753525  0.15845502  0.08170161
 -0.05334294 -0.22898115 -0.32559737 -0.27295452 -0.20378153 -0.17196436
 -0.08788008  0.28085101  0.84928587  1.29079249  1.18093035 -0.1033664
  0.00672548]",[ 0.00010521  0.00054156 -0.00011605 -0.0009142  -0.0005444  -0.00073836],"[ 0.00724934 -0.00457433 -0.00499278  0.00516162 -0.00453757  0.00183535
  0.00054276 -0.00029259  0.00053122  0.00015944  0.00172886  0.00121049
 -0.00184259  0.00214338 -0.00191068 -0.00098282  0.00090925  0.00012575
  0.00214183 -0.00017071]",0.08471132907206425,0.8257159844209774
AAPL,"[0.00239924 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.11918557256271539,"[-8.16378646e-06  8.81851709e-04 -3.19089668e-04  1.44926094e-04
 -8.77225609e-05 -6.62946584e-05]","[ 0.00337908 -0.00777166  0.00368654  0.00286167 -0.01229247  0.00583578
  0.00267147 -0.00609295  0.00263018  0.00639044 -0.00399785 -0.0035696
  0.00381461  0.00380439 -0.00253941  0.00131404 -0.00203273 -0.00209286
  0.00702327  0.00078468]",-5.3409959492735615,0.004791096644104906,0.8257103185574826,-0.04017229976558883,"[-0.12478443 -0.10282545 -0.06837941 -0.02998029  0.01264111  0.0540263
  0.09779239  0.13845288  0.16531423  0.17753543  0.1584548   0.08170221
 -0.05334292 -0.2289812  -0.32559906 -0.27295432 -0.2037808  -0.17196272
 -0.08788056  0.28085062  0.84928712  1.29079278  1.18093128 -0.10336681
  0.0067255 ]",[ 0.00010518  0.00054156 -0.00011608 -0.00091416 -0.00054437 -0.00073839],"[ 0.00724933 -0.00457435 -0.00499276  0.00516164 -0.00453756  0.00183538
  0.00054279 -0.00029264  0.00053123  0.00015945  0.00172888  0.00121051
 -0.00184263  0.00214336 -0.00191065 -0.00098287  0.00090928  0.00012572
  0.0021418  -0.0001707 ]",0.08471130940248071,0.8257103185574826
ABBV,"[0.00247042 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.12251134752138688,"[ 5.34815482e-04  1.07676071e-03 -1.85809262e-04 -1.26714384e-04
  2.72560233e-05 -2.77001697e-04]","[ 2.22620044e-03 -8.21536861e-03  5.56908227e-03  4.46871492e-03
 -1.49317756e-02  3.47374356e-03  5.37316585e-03 -3.15871606e-03
 -8.67984074e-05  3.63110079e-03 -2.14860932e-03 -2.69023019e-03
  2.46207022e-03  5.22330992e-03 -1.21995300e-03 -1.29198041e-03
 -3.67114041e-03 -1.14128642e-03  9.21835205e-03  5.78420327e-03]",-5.187571436246743,0.005585555233643966,0.825711781102664,-0.04017230111495135,"[-0.1247844  -0.10282545 -0.06837944 -0.02998025  0.01264107  0.05402625
  0.09779249  0.13845274  0.16531423  0.17753538  0.15845486  0.08170205
 -0.05334293 -0.22898118 -0.32559863 -0.27295437 -0.20378099 -0.17196314
 -0.08788044  0.28085072  0.8492868   1.2907927   1.18093104 -0.10336671
  0.00672549]",[ 0.00010519  0.00054156 -0.00011607 -0.00091417 -0.00054438 -0.00073838],"[ 0.00724933 -0.00457434 -0.00499277  0.00516164 -0.00453756  0.00183537
  0.00054278 -0.00029263  0.00053123  0.00015945  0.00172887  0.00121051
 -0.00184262  0.00214336 -0.00191065 -0.00098286  0.00090928  0.00012573
  0.00214181 -0.0001707 ]",0.0847113144798453,0.825711781102664
ABT,"[0.00246404 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.12196767523066479,"[ 9.94369096e-04  9.88580637e-04  9.45700493e-05  4.23960384e-04
 -3.48165986e-06  1.78291037e-04]","[ 0.00033955 -0.00796143  0.00820164  0.00398733 -0.01780921  0.00401253
  0.00750651 -0.00365889 -0.00153371  0.00388748 -0.00158237 -0.002519
  0.0024218   0.00479729 -0.00172574 -0.00107423 -0.00243921 -0.00042884
  0.00681144  0.00357147]",-5.553994454011317,0.0038719599465218938,0.8257116500061529,-0.040172300994000064,"[-0.12478441 -0.10282545 -0.06837943 -0.02998025  0.01264108  0.05402626
  0.09779248  0.13845275  0.16531423  0.17753539  0.15845486  0.08170207
 -0.05334293 -0.22898119 -0.32559867 -0.27295437 -0.20378098 -0.1719631
 -0.08788045  0.28085071  0.84928683  1.29079271  1.18093106 -0.10336672
  0.00672549]",[ 0.00010519  0.00054156 -0.00011607 -0.00091417 -0.00054438 -0.00073838],"[ 0.00724933 -0.00457434 -0.00499277  0.00516164 -0.00453756  0.00183537
  0.00054278 -0.00029263  0.00053123  0.00015945  0.00172887  0.00121051
 -0.00184262  0.00214336 -0.00191065 -0.00098286  0.00090928  0.00012573
  0.00214181 -0.0001707 ]",0.0847113140247313,0.8257116500061529
ACN,"[0.00262864 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.13202594943471635,"[-1.79482502e-03  1.86072008e-03 -1.37476169e-03  4.34613417e-04
 -3.93478796e-04 -1.67883144e-05]","[ 1.31373024e-02 -8.55299467e-03 -9.30520166e-03  5.02746654e-03
  2.95317163e-04  2.77889106e-03 -3.98194162e-03 -2.19278893e-03
  2.95003284e-03  2.18011287e-03  2.96431748e-05 -9.67820399e-04
 -9.64244817e-04  3.63095186e-03  7.71924162e-05 -9.73084246e-04
 -1.52495637e-03  2.11256634e-03  5.00116740e-03 -2.93677213e-03]",-4.509231648667797,0.011006914104713007,0.8257150322865849,-0.040172304114534374,"[-0.12478435 -0.10282546 -0.06837949 -0.02998017  0.01264098  0.05402614
  0.09779272  0.13845244  0.16531423  0.17753528  0.15845499  0.08170171
 -0.05334294 -0.22898115 -0.32559765 -0.27295449 -0.20378141 -0.17196408
 -0.08788016  0.28085094  0.84928608  1.29079254  1.1809305  -0.10336647
  0.00672548]",[ 0.0001052   0.00054156 -0.00011606 -0.0009142  -0.0005444  -0.00073836],"[ 0.00724934 -0.00457433 -0.00499278  0.00516163 -0.00453757  0.00183536
  0.00054277 -0.0002926   0.00053122  0.00015944  0.00172886  0.0012105
 -0.0018426   0.00214337 -0.00191067 -0.00098283  0.00090926  0.00012575
  0.00214182 -0.00017071]",0.08471132576663921,0.8257150322865849
ADBE,"[0.00276032 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.13801011534031618,"[-2.40121463e-04  5.00682242e-04  1.68395119e-05  1.82926125e-04
  1.50643379e-04  4.73415263e-04]","[ 0.00726923 -0.00792204 -0.00150665  0.002941   -0.007272    0.00566414
  0.00013237 -0.00558363  0.00227435  0.00531454 -0.00139944 -0.00230886
  0.00020614  0.00302769  0.00081969  0.00083001 -0.00384812  0.00023714
  0.00676127 -0.00249389]",-4.818369182486249,0.00807995332975489,0.8257177380565996,-0.0401723066109117,"[-0.12478431 -0.10282546 -0.06837954 -0.0299801   0.0126409   0.05402605
  0.09779291  0.13845218  0.16531422  0.17753519  0.15845509  0.08170142
 -0.05334295 -0.22898113 -0.32559685 -0.27295459 -0.20378176 -0.17196487
 -0.08787993  0.28085113  0.84928549  1.2907924   1.18093006 -0.10336628
  0.00672547]",[ 0.00010521  0.00054156 -0.00011605 -0.00091421 -0.00054441 -0.00073835],"[ 0.00724934 -0.00457432 -0.00499279  0.00516162 -0.00453757  0.00183534
  0.00054276 -0.00029258  0.00053121  0.00015944  0.00172885  0.00121049
 -0.00184258  0.00214338 -0.00191068 -0.0009828   0.00090924  0.00012576
  0.00214183 -0.00017071]",0.08471133515997695,0.8257177380565996
ADI,"[0.00254635 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.12647221911166567,"[ 9.30250664e-06  6.63337579e-04 -5.90772665e-05 -1.71906160e-04
  1.65974703e-04  5.59530953e-05]","[ 2.55020758e-03 -8.00004301e-03  4.84774826e-03  3.46247605e-03
 -1.36423111e-02  5.00724422e-03  3.92121607e-03 -5.07476518e-03
  1.14099468e-03  5.42809732e-03 -2.39110099e-03 -3.30608782e-03
  1.95267726e-03  4.55257307e-03 -9.72298218e-04 -3.45550495e-04
 -1.88845218e-03 -2.01607692e-05  3.05707855e-03 -1.03139566e-04]",-5.129604929118644,0.005918898396234944,0.8257133414745024,-0.04017230255456996,"[-0.12478438 -0.10282545 -0.06837946 -0.02998021  0.01264103  0.0540262
  0.0977926   0.1384526   0.16531423  0.17753533  0.15845492  0.08170189
 -0.05334293 -0.22898117 -0.32559816 -0.27295443 -0.20378119 -0.17196359
 -0.0878803   0.28085083  0.84928646  1.29079263  1.18093078 -0.10336659
  0.00672549]",[ 0.00010519  0.00054156 -0.00011606 -0.00091418 -0.00054439 -0.00073837],"[ 0.00724934 -0.00457434 -0.00499277  0.00516163 -0.00453757  0.00183537
  0.00054278 -0.00029261  0.00053122  0.00015945  0.00172887  0.0012105
 -0.00184261  0.00214337 -0.00191066 -0.00098284  0.00090927  0.00012574
  0.00214181 -0.0001707 ]",0.0847113198968244,0.8257133414745024
ADM,"[0.00277961 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.13911081903843367,"[ 1.65610225e-03 -9.61243015e-05  7.52843224e-04  2.51352179e-04
  1.59129046e-04  2.30268743e-04]","[ 0.0045314  -0.00935405  0.00204224  0.00745162 -0.01051436 -0.00013288
  0.00159145  0.0003188   0.00260245  0.00155297 -0.00268053 -0.00317841
  0.00145119  0.00742564  0.0002048  -0.00361846 -0.00369713  0.0005065
  0.00610403  0.0042766 ]",-5.060484215446003,0.006342487638763906,0.8257181344933001,-0.040172306976669174,"[-0.1247843  -0.10282547 -0.06837954 -0.02998009  0.01264089  0.05402604
  0.09779294  0.13845214  0.16531422  0.17753518  0.1584551   0.08170137
 -0.05334295 -0.22898113 -0.32559673 -0.2729546  -0.20378181 -0.17196498
 -0.0878799   0.28085116  0.8492854   1.29079238  1.18092999 -0.10336625
  0.00672547]",[ 0.00010522  0.00054156 -0.00011604 -0.00091422 -0.00054442 -0.00073834],"[ 0.00724934 -0.00457432 -0.00499279  0.00516162 -0.00453757  0.00183534
  0.00054275 -0.00029257  0.00053121  0.00015944  0.00172885  0.00121049
 -0.00184258  0.00214338 -0.00191069 -0.0009828   0.00090924  0.00012576
  0.00214184 -0.00017071]",0.08471133653624462,0.8257181344933001
