,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.00356012 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17675522968292115,[ 0.00063196  0.00013405  0.00086476  0.0006904  -0.00024978  0.00052185],"[ 0.0090459  -0.00751006 -0.00424299  0.00310884 -0.00584867  0.00046414
 -0.00563937 -0.001949   -0.00519738 -0.00035816  0.00062633  0.00467959
  0.00070588  0.00477474  0.0029954   0.00154048  0.00084229  0.00085016
 -0.00276739  0.00105719]",-4.917920936733024,0.007314321987812654,0.799163584019564,-0.03810248965574531,"[-0.14503776 -0.12019482 -0.08665919 -0.04340278  0.00195839  0.04469849
  0.08876315  0.12948296  0.16907954  0.19761198  0.20930908  0.18023956
  0.08939736 -0.0770174  -0.27197844 -0.37071006 -0.29772902 -0.23365739
 -0.21425431 -0.16021129  0.34384695  1.10963945  1.78092553  1.63764082
  0.00307688]",[ 0.0009262  -0.00075222 -0.00059081 -0.00011604 -0.00066985  0.00074905],"[ 8.57742575e-03 -2.41598002e-03 -1.42497649e-03  5.49670439e-03
 -8.74185459e-04  4.80760180e-03 -7.99671016e-04 -6.20674600e-05
 -1.66638600e-04 -5.56138172e-04  1.67724461e-03  1.67669478e-03
 -9.31483869e-04  2.74558993e-03  9.37322012e-04  7.81344060e-04
  3.67020061e-04  8.22537415e-04  1.60084847e-03 -6.82690472e-04]",0.08309505209168401,0.799163584019564
AAL,"[0.0034042 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.       ]",0.16898791143807346,[ 0.00090946  0.00027764  0.00042011  0.00095756 -0.00052762  0.00014801],"[ 0.00769539 -0.00545226 -0.00402813  0.00824423 -0.00147817  0.00673137
  0.00216527  0.00180069  0.0020985  -0.00094639  0.00343119  0.00153171
 -0.00045515  0.00242579  0.00070833  0.0010472   0.00048641  0.00024777
 -0.00216508 -0.00292856]",-4.548374221677608,0.010584398288619854,0.799160337219906,-0.03810250756988935,"[-0.14503772 -0.12019487 -0.0866591  -0.04340275  0.00195859  0.04469856
  0.08876297  0.12948311  0.16907967  0.19761245  0.20930894  0.18023941
  0.08939783 -0.0770174  -0.27197929 -0.37070994 -0.29772912 -0.23365729
 -0.21425414 -0.16021099  0.34384746  1.1096381   1.78092445  1.63764232
  0.00307678]",[ 0.0009262  -0.0007522  -0.0005908  -0.00011603 -0.00066986  0.00074903],"[ 8.57743261e-03 -2.41597497e-03 -1.42499365e-03  5.49669849e-03
 -8.74208141e-04  4.80760691e-03 -7.99680780e-04 -6.20746584e-05
 -1.66623386e-04 -5.56138216e-04  1.67725174e-03  1.67669255e-03
 -9.31468872e-04  2.74559532e-03  9.37323408e-04  7.81356763e-04
  3.67026190e-04  8.22539829e-04  1.60085167e-03 -6.82688604e-04]",0.08309504491936212,0.799160337219906
AAP,"[0.00355956 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17678232169620775,"[-4.84031260e-04  4.42276969e-04  8.87555441e-05  4.23687486e-04
 -2.67993605e-04  2.77227167e-04]","[ 0.00739814 -0.00559188 -0.00484116  0.00781401 -0.00297391  0.00601611
 -0.0001291   0.00094656 -0.00084136 -0.00186107  0.00032671  0.00054703
 -0.00383434  0.00143398 -0.00327043  0.00064258 -0.00225103  0.00172349
 -0.00110622  0.00153363]",-4.429330642506469,0.011922467395410074,0.7991635722615851,-0.03810248972061969,"[-0.14503776 -0.12019482 -0.08665919 -0.04340278  0.00195839  0.04469849
  0.08876315  0.12948296  0.16907954  0.19761198  0.20930908  0.18023956
  0.08939736 -0.0770174  -0.27197844 -0.37071006 -0.29772902 -0.23365739
 -0.21425431 -0.16021129  0.34384696  1.10963945  1.78092552  1.63764083
  0.00307688]",[ 0.0009262  -0.00075222 -0.00059081 -0.00011604 -0.00066985  0.00074905],"[ 8.57742577e-03 -2.41598000e-03 -1.42497655e-03  5.49670437e-03
 -8.74185541e-04  4.80760182e-03 -7.99671051e-04 -6.20674861e-05
 -1.66638545e-04 -5.56138173e-04  1.67724464e-03  1.67669478e-03
 -9.31483815e-04  2.74558995e-03  9.37322017e-04  7.81344106e-04
  3.67020083e-04  8.22537424e-04  1.60084849e-03 -6.82690466e-04]",0.08309505206571012,0.7991635722615851
AAPL,"[0.00344 0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.     ]",0.17084080279900923,"[ 6.95404097e-04  4.88368719e-04 -4.08102898e-05  4.53945042e-04
 -1.73209679e-04 -8.01874561e-07]","[ 0.01208915 -0.00860511  0.0004403   0.00013488 -0.00167228 -0.00405705
 -0.0028232  -0.00687375 -0.00392009 -0.00472205  0.00053066  0.0017499
 -0.00024502  0.00357171  0.00184114  0.00184739  0.0003765   0.00138403
 -0.00338993 -0.00030396]",-5.651316783231028,0.0035128880160129393,0.7991610828065983,-0.03810250345613156,"[-0.14503773 -0.12019486 -0.08665912 -0.04340276  0.00195854  0.04469854
  0.08876301  0.12948308  0.16907964  0.19761235  0.20930897  0.18023944
  0.08939772 -0.0770174  -0.2719791  -0.37070997 -0.2977291  -0.23365731
 -0.21425418 -0.16021106  0.34384734  1.10963841  1.7809247   1.63764198
  0.00307681]",[ 0.0009262  -0.00075221 -0.0005908  -0.00011604 -0.00066986  0.00074904],"[ 8.57743104e-03 -2.41597613e-03 -1.42498971e-03  5.49669985e-03
 -8.74202932e-04  4.80760574e-03 -7.99678538e-04 -6.20730054e-05
 -1.66626880e-04 -5.56138206e-04  1.67725011e-03  1.67669306e-03
 -9.31472316e-04  2.74559408e-03  9.37323087e-04  7.81353846e-04
  3.67024782e-04  8.22539275e-04  1.60085094e-03 -6.82689033e-04]",0.0830950465663956,0.7991610828065983
ABBV,"[0.00345343 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17340318654813447,[-0.00052781 -0.00055086  0.00055279  0.0001765  -0.00025133  0.00021072],"[ 0.00317299 -0.00410466 -0.00978092  0.01163203 -0.00507838  0.00973195
  0.00010433  0.00170986 -0.00055375 -0.00373455  0.00049499 -0.00070948
 -0.00116854  0.00232437  0.00380994  0.00123096  0.00353699 -0.00127799
 -0.00451471 -0.00345465]",-5.382908976724459,0.004594437360387189,0.7991613623660685,-0.03810250191366847,"[-0.14503773 -0.12019485 -0.08665913 -0.04340276  0.00195852  0.04469854
  0.08876302  0.12948306  0.16907963  0.19761231  0.20930898  0.18023946
  0.08939768 -0.0770174  -0.27197902 -0.37070998 -0.29772909 -0.23365732
 -0.2142542  -0.16021108  0.3438473   1.10963852  1.78092479  1.63764185
  0.00307681]",[ 0.0009262  -0.00075221 -0.0005908  -0.00011604 -0.00066986  0.00074904],"[ 8.57743045e-03 -2.41597657e-03 -1.42498823e-03  5.49670035e-03
 -8.74200979e-04  4.80760530e-03 -7.99677697e-04 -6.20723856e-05
 -1.66628190e-04 -5.56138202e-04  1.67724949e-03  1.67669326e-03
 -9.31473608e-04  2.74559362e-03  9.37322967e-04  7.81352752e-04
  3.67024255e-04  8.22539067e-04  1.60085066e-03 -6.82689194e-04]",0.08309504718395465,0.7991613623660685
ABT,"[0.00350292 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17370030604818304,"[ 1.40587928e-03 -2.43427413e-04  1.13762544e-03  2.78839774e-04
  3.23795430e-05  3.44875065e-04]","[ 1.10762116e-02 -7.84072406e-03 -7.91884050e-04  2.05348051e-03
 -2.30450689e-03 -1.26470474e-03 -2.85523423e-03 -3.84446505e-03
 -3.68297715e-03 -1.75812476e-03  9.36352779e-04  4.27234051e-03
  3.58843388e-04  5.13919076e-03  2.26227063e-03  2.03731484e-03
 -8.75662219e-05  6.69530087e-04 -3.85598918e-03 -3.29851790e-04]",-5.006477585955194,0.0066944424226716365,0.7991623929895315,-0.03810249622722671,"[-0.14503774 -0.12019484 -0.08665916 -0.04340277  0.00195846  0.04469852
  0.08876308  0.12948301  0.16907959  0.19761216  0.20930903  0.1802395
  0.08939753 -0.0770174  -0.27197875 -0.37071002 -0.29772906 -0.23365736
 -0.21425425 -0.16021118  0.34384714  1.10963896  1.78092513  1.63764137
  0.00307685]",[ 0.0009262  -0.00075221 -0.00059081 -0.00011604 -0.00066985  0.00074904],"[ 8.57742827e-03 -2.41597817e-03 -1.42498278e-03  5.49670223e-03
 -8.74193779e-04  4.80760367e-03 -7.99674598e-04 -6.20701006e-05
 -1.66633019e-04 -5.56138188e-04  1.67724723e-03  1.67669397e-03
 -9.31478368e-04  2.74559190e-03  9.37322524e-04  7.81348719e-04
  3.67022309e-04  8.22538301e-04  1.60084965e-03 -6.82689787e-04]",0.08309504946064677,0.7991623929895315
ACN,"[0.00368644 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1829725975020738,[0.00113652 0.00098573 0.00056465 0.00045183 0.00012777 0.0005367 ],"[ 1.14792786e-02 -7.34249728e-03  2.36432328e-04  3.68835891e-03
 -2.98123353e-04  1.71909592e-03  4.10150096e-04 -1.97577959e-04
  9.90876448e-05  1.30422214e-03  3.19053976e-03  5.81720017e-03
 -1.55433333e-05  5.89054986e-03 -2.69753371e-04  3.32209689e-03
 -1.72462141e-03  1.73605144e-03 -3.04413517e-03 -3.18853910e-03]",-4.715692677926904,0.008953661914414145,0.7991662144551299,-0.03810247514237627,"[-0.14503779 -0.12019478 -0.08665926 -0.04340281  0.00195823  0.04469844
  0.0887633   0.12948283  0.16907944  0.1976116   0.20930919  0.18023967
  0.08939698 -0.07701741 -0.27197775 -0.37071016 -0.29772894 -0.23365748
 -0.21425445 -0.16021154  0.34384655  1.10964056  1.7809264   1.63763961
  0.00307696]",[ 0.00092621 -0.00075223 -0.00059083 -0.00011604 -0.00066984  0.00074906],"[ 8.57742018e-03 -2.41598412e-03 -1.42496258e-03  5.49670917e-03
 -8.74167082e-04  4.80759765e-03 -7.99663105e-04 -6.20616281e-05
 -1.66650925e-04 -5.56138137e-04  1.67723884e-03  1.67669659e-03
 -9.31496020e-04  2.74558556e-03  9.37320882e-04  7.81333768e-04
  3.67015095e-04  8.22535460e-04  1.60084588e-03 -6.82691986e-04]",0.08309505790243076,0.7991662144551299
ADBE,"[0.00340131 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1691422530466103,[ 0.00294554 -0.0008901   0.00121612  0.00012862  0.00018156 -0.00010736],"[ 0.01201594 -0.0081977   0.00020246  0.00149041 -0.00212206 -0.00137152
 -0.00342932 -0.00293196 -0.00463171 -0.00013826 -0.00037196  0.00557306
 -0.00168718  0.00564338 -0.00031175  0.00179616 -0.00118699 -0.00102726
 -0.0030726  -0.00660866]",-5.403043048276508,0.004502857659655776,0.7991602770521177,-0.03810250790186377,"[-0.14503772 -0.12019487 -0.0866591  -0.04340275  0.00195859  0.04469856
  0.08876296  0.12948312  0.16907967  0.19761246  0.20930894  0.18023941
  0.08939784 -0.0770174  -0.27197931 -0.37070994 -0.29772912 -0.23365729
 -0.21425414 -0.16021098  0.34384747  1.10963807  1.78092443  1.63764235
  0.00307678]",[ 0.0009262  -0.0007522  -0.0005908  -0.00011603 -0.00066986  0.00074903],"[ 8.57743274e-03 -2.41597488e-03 -1.42499396e-03  5.49669838e-03
 -8.74208561e-04  4.80760701e-03 -7.99680961e-04 -6.20747918e-05
 -1.66623104e-04 -5.56138217e-04  1.67725188e-03  1.67669251e-03
 -9.31468594e-04  2.74559542e-03  9.37323433e-04  7.81356998e-04
  3.67026303e-04  8.22539874e-04  1.60085173e-03 -6.82688569e-04]",0.08309504478644886,0.7991602770521177
ADI,"[0.00353801 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17629008504065813,"[ 7.79397220e-04  1.27166612e-04  3.26163265e-04  6.17592447e-04
 -8.93389614e-05  3.60829540e-04]","[ 1.02136914e-02 -7.89543447e-03 -2.64017399e-03  2.10288310e-03
 -4.63847273e-03 -7.70670151e-04 -4.92755382e-03 -2.95665712e-03
 -4.98168967e-03 -1.14824223e-03  3.75243965e-05  4.01453746e-03
 -8.26607710e-04  4.50311812e-03  1.13260485e-03  1.81648188e-03
  4.32901760e-04  1.84123349e-04 -2.19755611e-03 -4.65699438e-03]",-5.435157138197534,0.004360549758384141,0.7991631237195842,-0.03810249219544008,"[-0.14503775 -0.12019483 -0.08665918 -0.04340278  0.00195842  0.0446985
  0.08876312  0.12948298  0.16907956  0.19761205  0.20930906  0.18023954
  0.08939743 -0.0770174  -0.27197856 -0.37071005 -0.29772903 -0.23365738
 -0.21425429 -0.16021125  0.34384703  1.10963926  1.78092537  1.63764103
  0.00307687]",[ 0.0009262  -0.00075222 -0.00059081 -0.00011604 -0.00066985  0.00074904],"[ 8.57742672e-03 -2.41597931e-03 -1.42497892e-03  5.49670356e-03
 -8.74188674e-04  4.80760252e-03 -7.99672400e-04 -6.20684805e-05
 -1.66636443e-04 -5.56138179e-04  1.67724563e-03  1.67669447e-03
 -9.31481743e-04  2.74559069e-03  9.37322210e-04  7.81345860e-04
  3.67020930e-04  8.22537758e-04  1.60084893e-03 -6.82690207e-04]",0.0830950510748613,0.7991631237195842
ADM,"[0.00335828 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16794469386648245,[-0.00073975 -0.00068799  0.00097056 -0.00020905 -0.00013721  0.00024331],"[ 0.00394277 -0.00496564 -0.00990131  0.00962445 -0.00718018  0.00799232
 -0.00304426  0.00180726 -0.00290883 -0.00199378 -0.00066447  0.00095401
 -0.00279749  0.00331726  0.00046921  0.00318277  0.00078319  0.00256891
 -0.00423659  0.00085137]",-5.045955947874615,0.006435305605789004,0.7991593810500102,-0.03810251284553524,"[-0.1450377  -0.12019488 -0.08665908 -0.04340274  0.00195865  0.04469857
  0.08876291  0.12948316  0.1690797   0.19761259  0.2093089   0.18023937
  0.08939797 -0.0770174  -0.27197954 -0.37070991 -0.29772915 -0.23365726
 -0.21425409 -0.1602109   0.3438476   1.10963769  1.78092414  1.63764276
  0.00307676]",[ 0.00092619 -0.0007522  -0.00059079 -0.00011603 -0.00066986  0.00074903],"[ 8.57743464e-03 -2.41597348e-03 -1.42499870e-03  5.49669675e-03
 -8.74214821e-04  4.80760842e-03 -7.99683655e-04 -6.20767783e-05
 -1.66618906e-04 -5.56138229e-04  1.67725384e-03  1.67669189e-03
 -9.31464456e-04  2.74559691e-03  9.37323818e-04  7.81360504e-04
  3.67027995e-04  8.22540540e-04  1.60085262e-03 -6.82688054e-04]",0.08309504280714117,0.7991593810500102
