,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.00218872 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1748334746982126,"[ 4.58292079e-04 -5.81942421e-04  8.63209174e-05  2.88557879e-04
 -2.73836676e-04 -2.22328511e-04]","[ 7.44021428e-03 -3.50506753e-03 -1.24177652e-03  5.45056433e-03
 -3.35812089e-03  1.88590179e-03 -1.84875447e-03  1.76110594e-03
  1.17295732e-03  1.91442068e-04  2.73241720e-03  1.45496396e-03
  1.92530594e-04  3.95305089e-03  4.87528563e-03 -1.19892340e-03
 -8.83697507e-05 -3.92103699e-03  4.09137109e-03  4.07323240e-04]",-5.74778289285711,0.0031898451909137186,0.8092555360566099,-0.040954584769934826,"[-0.14677128 -0.12308844 -0.08733791 -0.04711049 -0.00188095  0.04414978
  0.08803409  0.13077903  0.16693236  0.19653657  0.20360572  0.17102146
  0.07128624 -0.09830285 -0.29058687 -0.3769749  -0.29277626 -0.23262426
 -0.22510865 -0.14000983  0.42849155  1.14647817  1.83590944  1.50109943
  0.00356844]",[-0.00047967  0.00044592 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516325 -0.00120854  0.00371045
 -0.00112259 -0.00065623 -0.00033423 -0.0016877   0.0033508   0.00124194
 -0.00174698  0.00232335 -0.00084661  0.0005597   0.00181587  0.00028636
  0.00170795 -0.00114333]",0.08432324383111348,0.8092555360566099
AAL,"[0.00214074 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16537006280441113,"[-2.16004344e-04 -5.36692927e-05  7.72160401e-06 -3.16337283e-04
  1.12489006e-04 -9.80940138e-05]","[ 0.00704638 -0.000725    0.00164468  0.00618558 -0.00282645 -0.00052429
 -0.00269533  0.00233115  0.00290417  0.0001901   0.00323947 -0.00041228
 -0.00022265  0.00221287  0.00149944 -0.00262462 -0.00170542  0.00061783
  0.00994827 -0.00151906]",-5.2710818029220885,0.005138049208774814,0.8092545281142454,-0.04095457657313601,"[-0.14677131 -0.12308842 -0.08733789 -0.04711051 -0.0018809   0.04414974
  0.08803403  0.13077902  0.16693244  0.19653648  0.20360576  0.17102151
  0.07128653 -0.09830302 -0.29058666 -0.37697479 -0.29277613 -0.23262415
 -0.2251084  -0.14000979  0.42849122  1.14647856  1.83590944  1.50109989
  0.00356848]",[-0.00047967  0.00044592 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516324 -0.00120854  0.00371045
 -0.00112258 -0.00065623 -0.00033423 -0.00168769  0.00335079  0.00124194
 -0.00174699  0.00232335 -0.00084661  0.0005597   0.00181587  0.00028636
  0.00170795 -0.00114334]",0.08432324578012369,0.8092545281142454
AAP,"[0.00218068 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1675179926971507,"[-5.78404508e-04 -8.74514869e-04  1.86978546e-05 -1.21268664e-04
 -6.43079482e-05 -6.76211061e-05]","[ 0.00608707  0.00138582  0.00367288  0.0089799   0.00175332 -0.00156414
 -0.00166854 -0.00174845  0.00119992 -0.00187081  0.00152557 -0.00175667
 -0.00300874  0.00207981  0.00069511 -0.00106679 -0.00272738 -0.00161155
  0.00111279  0.0002347 ]",-5.270188316369184,0.005142642038161118,0.8092553670657874,-0.040954583395665996,"[-0.14677128 -0.12308843 -0.0873379  -0.04711049 -0.00188094  0.04414978
  0.08803408  0.13077903  0.16693237  0.19653656  0.20360573  0.17102147
  0.07128629 -0.09830288 -0.29058683 -0.37697488 -0.29277624 -0.23262424
 -0.22510861 -0.14000982  0.42849149  1.14647824  1.83590944  1.50109951
  0.00356845]",[-0.00047967  0.00044592 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516324 -0.00120854  0.00371045
 -0.00112259 -0.00065623 -0.00033423 -0.0016877   0.0033508   0.00124194
 -0.00174698  0.00232335 -0.00084661  0.0005597   0.00181587  0.00028636
  0.00170795 -0.00114333]",0.08432324415788299,0.8092553670657874
AAPL,"[0.00216315 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17347840972721823,[-0.00057215 -0.00071157  0.00020827 -0.00023635  0.00016146  0.00019295],"[ 7.56219073e-03 -2.84149047e-03 -1.65832869e-04  5.38268767e-03
 -2.74035270e-03  3.07083020e-04 -2.85011464e-03  3.14533858e-05
 -1.25716611e-03 -1.51452227e-04  1.30250815e-03  3.39782436e-03
  6.03080650e-04  4.53551257e-03  3.03400451e-03 -4.39595179e-04
  7.90562383e-04 -1.96964137e-04  5.45618342e-03 -1.06192152e-03]",-5.722013077261073,0.003273115231927642,0.8092549988397394,-0.04095458040117451,"[-0.1467713  -0.12308843 -0.0873379  -0.0471105  -0.00188092  0.04414976
  0.08803406  0.13077903  0.1669324   0.19653652  0.20360574  0.17102148
  0.07128639 -0.09830294 -0.29058676 -0.37697484 -0.29277619 -0.2326242
 -0.22510852 -0.14000981  0.42849137  1.14647838  1.83590944  1.50109967
  0.00356846]",[-0.00047967  0.00044592 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516324 -0.00120854  0.00371045
 -0.00112259 -0.00065623 -0.00033423 -0.0016877   0.00335079  0.00124194
 -0.00174699  0.00232335 -0.00084661  0.0005597   0.00181587  0.00028636
  0.00170795 -0.00114334]",0.0843232448699042,0.8092549988397394
ABBV,"[0.00220578 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17087028349937886,"[-2.79526531e-04 -5.44593856e-05  5.13556925e-05 -4.79700014e-04
  2.16410477e-04 -7.49838349e-05]","[ 0.00666536 -0.00299173 -0.00149464  0.0073693  -0.00080258  0.00383583
  0.0012232   0.00010674  0.00066036 -0.00197081  0.00237413  0.00181729
  0.0015439   0.00250882  0.00256592 -0.00330742 -0.00120932 -0.00165947
  0.00690723 -0.00142808]",-5.474168764440328,0.0041937130649842315,0.8092558944598579,-0.04095458768454525,"[-0.14677126 -0.12308844 -0.08733791 -0.04711048 -0.00188097  0.0441498
  0.08803411  0.13077904  0.16693233  0.19653661  0.2036057   0.17102144
  0.07128613 -0.09830279 -0.29058694 -0.37697494 -0.29277631 -0.23262431
 -0.22510874 -0.14000984  0.42849166  1.14647803  1.83590944  1.50109927
  0.00356843]",[-0.00047967  0.00044592 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516325 -0.00120853  0.00371045
 -0.00112259 -0.00065623 -0.00033423 -0.0016877   0.0033508   0.00124194
 -0.00174698  0.00232336 -0.00084661  0.0005597   0.00181587  0.00028636
  0.00170795 -0.00114333]",0.08432324313808616,0.8092558944598579
ABT,"[0.00219717 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17279337115082208,"[ 5.96593318e-04 -3.42500765e-04  2.56800435e-04  9.35668880e-05
 -4.09871279e-05 -6.46316774e-05]","[ 0.00690386 -0.00114766  0.00097596  0.00657994 -0.00220858  0.0005065
 -0.00177204  0.0016128   0.0018693  -0.00026957  0.00292695  0.0012396
  0.00179294  0.00294553  0.00337831 -0.00420885 -0.00199128 -0.00210528
  0.00742229 -0.0024887 ]",-5.5749149547963475,0.0037917980426733023,0.8092557135740281,-0.040954586213543726,"[-0.14677127 -0.12308844 -0.08733791 -0.04711049 -0.00188096  0.04414979
  0.0880341   0.13077903  0.16693235  0.19653659  0.20360571  0.17102145
  0.07128619 -0.09830282 -0.29058691 -0.37697492 -0.29277628 -0.23262428
 -0.2251087  -0.14000984  0.4284916   1.1464781   1.83590944  1.50109935
  0.00356844]",[-0.00047967  0.00044592 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516325 -0.00120854  0.00371045
 -0.00112259 -0.00065623 -0.00033423 -0.0016877   0.0033508   0.00124194
 -0.00174698  0.00232336 -0.00084661  0.0005597   0.00181587  0.00028636
  0.00170795 -0.00114333]",0.08432324348785648,0.8092557135740281
ACN,"[0.00213348 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1729933787020604,"[ 7.35620141e-04 -1.17212665e-04  2.76543175e-04  4.49799073e-04
 -7.80362940e-05  2.12327405e-04]","[ 7.64839531e-03 -4.98779329e-03 -2.95242301e-03  5.05866269e-03
 -3.54411881e-03  4.00132369e-03  3.59775351e-04  1.43433990e-03
  8.13159770e-04 -1.68960864e-03  1.77237646e-03  1.02485752e-03
 -1.06647541e-03  2.47794524e-03  7.98498921e-04 -8.75047468e-05
  7.30477511e-04 -8.63164009e-04  2.11202076e-05 -3.92763143e-03]",-5.839320217528196,0.0029108206782893758,0.8092543755486897,-0.0409545753324409,"[-0.14677132 -0.12308842 -0.08733788 -0.04711051 -0.00188089  0.04414974
  0.08803402  0.13077902  0.16693245  0.19653646  0.20360577  0.17102151
  0.07128657 -0.09830304 -0.29058663 -0.37697477 -0.29277611 -0.23262413
 -0.22510836 -0.14000979  0.42849117  1.14647861  1.83590944  1.50109996
  0.00356849]",[-0.00047967  0.00044593 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516324 -0.00120854  0.00371045
 -0.00112258 -0.00065623 -0.00033422 -0.00168769  0.00335079  0.00124194
 -0.00174699  0.00232335 -0.00084661  0.0005597   0.00181587  0.00028637
  0.00170795 -0.00114334]",0.08432324607513246,0.8092543755486897
ADBE,"[0.00226646 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17381154135808977,"[ 6.96778197e-04 -7.10848655e-04  5.73969815e-04 -8.66540183e-05
  1.66002108e-04  1.17715950e-04]","[ 7.50284668e-03 -2.95007295e-03  3.29181189e-05  5.60597923e-03
 -2.02282631e-03 -5.76677611e-04 -4.40472180e-03 -1.20906028e-03
 -2.64758524e-03  1.49465004e-03  3.07743137e-03  4.19964145e-03
  2.26808677e-04  3.24035391e-03  2.23228786e-03  7.13886701e-04
  1.44588947e-03 -1.06802941e-03  8.49663377e-04  4.25232543e-04]",-5.386031726032736,0.00458011246247149,0.8092571690500789,-0.04095459804978039,"[-0.14677122 -0.12308846 -0.08733794 -0.04711046 -0.00188103  0.04414985
  0.08803419  0.13077905  0.16693224  0.19653673  0.20360565  0.17102138
  0.07128576 -0.09830258 -0.29058721 -0.37697508 -0.29277647 -0.23262445
 -0.22510906 -0.14000989  0.42849207  1.14647755  1.83590943  1.50109869
  0.00356839]",[-0.00047967  0.00044591 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.00253159  0.00516325 -0.00120853  0.00371045
 -0.0011226  -0.00065624 -0.00033423 -0.00168771  0.0033508   0.00124194
 -0.00174697  0.00232336 -0.00084661  0.0005597   0.00181586  0.00028636
  0.00170795 -0.00114333]",0.08432324067347166,0.8092571690500789
ADI,"[0.0021331 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.       ]",0.17607404266648757,"[-1.08543380e-04 -5.43346550e-04  3.66741414e-05 -8.91058103e-05
 -7.29307150e-05 -1.63972876e-04]","[ 0.0079161  -0.00576006 -0.0034275   0.00444637 -0.00412433  0.00354761
 -0.00111309  0.00130145 -0.00010941 -0.00026529  0.00236727  0.00200823
 -0.00113663  0.00318072  0.00206849  0.00115887  0.0013065  -0.00112772
  0.00152842  0.00030551]",-6.035892902131725,0.002391360323050335,0.8092543675070437,-0.040954575267044546,"[-0.14677132 -0.12308842 -0.08733788 -0.04711051 -0.00188089  0.04414974
  0.08803402  0.13077902  0.16693245  0.19653646  0.20360577  0.17102151
  0.07128658 -0.09830305 -0.29058662 -0.37697477 -0.29277611 -0.23262413
 -0.22510836 -0.14000979  0.42849117  1.14647862  1.83590944  1.50109996
  0.00356849]",[-0.00047967  0.00044593 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516324 -0.00120854  0.00371045
 -0.00112258 -0.00065623 -0.00033422 -0.00168769  0.00335079  0.00124194
 -0.00174699  0.00232335 -0.00084661  0.0005597   0.00181587  0.00028637
  0.00170795 -0.00114334]",0.0843232460906822,0.8092543675070437
ADM,"[0.00211606 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17464013123445746,"[ 1.43280481e-04 -4.85364220e-04  2.42398372e-04 -9.32398620e-06
  5.23006567e-05  9.33007748e-05]","[ 0.00648834 -0.0038969  -0.00232118  0.00812887  0.00097288  0.0042946
  0.00109385 -0.00222721 -0.00107494 -0.00149104  0.00337795  0.00143861
 -0.00142531  0.00098918  0.00075318  0.00089037  0.00188137 -0.00193467
  0.00122048 -0.00155793]",-6.007748612384603,0.002459619508395642,0.8092540095676827,-0.04095457235620655,"[-0.14677133 -0.12308842 -0.08733788 -0.04711052 -0.00188087  0.04414972
  0.088034    0.13077902  0.16693248  0.19653643  0.20360578  0.17102153
  0.07128668 -0.09830311 -0.29058655 -0.37697473 -0.29277607 -0.23262409
 -0.22510827 -0.14000977  0.42849105  1.14647875  1.83590944  1.50110012
  0.0035685 ]",[-0.00047967  0.00044593 -0.00073643  0.00084994 -0.00052168 -0.00111094],"[ 0.0085786  -0.00459135 -0.0025316   0.00516324 -0.00120854  0.00371045
 -0.00112258 -0.00065623 -0.00033422 -0.00168769  0.00335079  0.00124194
 -0.001747    0.00232335 -0.00084661  0.0005597   0.00181588  0.00028637
  0.00170794 -0.00114334]",0.08432324678281253,0.8092540095676827
