,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.00364842 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.22280374425861374,[-0.00083466  0.00170787 -0.00102463 -0.00062972 -0.0001751  -0.00031723],"[ 0.00414947 -0.00528203 -0.01269325  0.00932135 -0.0144972   0.00901314
 -0.00936043  0.00675771 -0.00612908  0.00421424  0.00021302  0.00243612
  0.00089687 -0.0005612   0.00217886 -0.0029095   0.00088391  0.00147431
 -0.00355769  0.00757712]",-4.381304018533713,0.01250903596612639,0.724410522797229,-0.03024256478903634,"[-0.10228584 -0.08099564 -0.04890073 -0.01649802  0.02440475  0.06479189
  0.1034226   0.14057149  0.17335547  0.1886725   0.17921023  0.12004986
 -0.00482823 -0.18489014 -0.32589226 -0.31685454 -0.23258178 -0.19801998
 -0.14599605  0.0944482   0.75277823  1.29140399  1.60507078  0.21510304
 -0.00490095]",[ 0.00144379  0.00090998 -0.00046608  0.00034494  0.00076767 -0.00125998],"[ 0.01153547 -0.00801214 -0.00340822  0.00319717 -0.00416674  0.00090971
 -0.00111783 -0.00120803 -0.00173158  0.00034349  0.00160887  0.00218812
 -0.00078665  0.00221017  0.00033269  0.00037452  0.0010356   0.00020638
  0.00154508 -0.00066777]",0.08526102382111603,0.724410522797229
AAL,"[0.00359609 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.22046581933032433,"[-9.47665502e-04  1.21627062e-04 -7.85529559e-04  6.47440528e-04
 -4.33009148e-05 -1.18195650e-04]","[ 2.89550476e-03 -6.11769278e-03 -1.36617455e-02  5.74856524e-03
 -1.39667158e-02  3.89237525e-03 -6.82419318e-03  1.93188723e-03
 -2.87122986e-03  2.17750390e-03  2.65450891e-03  3.19978107e-03
  1.45259593e-03  1.74829966e-03  8.83417129e-04 -2.07716707e-03
 -8.27964023e-06 -2.00037377e-03 -8.74727054e-04 -1.40179006e-03]",-4.429087369982583,0.011925368156967785,0.7244093712074996,-0.030242566090851335,"[-0.10228577 -0.08099565 -0.04890077 -0.01649797  0.02440472  0.06479192
  0.10342257  0.14057157  0.17335552  0.18867254  0.17921029  0.12005
 -0.00482825 -0.18489015 -0.32589209 -0.31685453 -0.23258185 -0.19801988
 -0.14599607  0.09444798  0.75277833  1.29140398  1.60507074  0.21510291
 -0.00490091]",[ 0.00144379  0.00090998 -0.00046609  0.00034494  0.00076769 -0.00125999],"[ 0.01153547 -0.00801214 -0.00340822  0.00319717 -0.00416675  0.0009097
 -0.00111784 -0.00120802 -0.00173158  0.00034349  0.00160888  0.00218813
 -0.00078665  0.00221017  0.00033269  0.00037451  0.00103561  0.00020638
  0.00154507 -0.00066777]",0.08526102667871026,0.7244093712074996
AAP,"[0.00355925 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.21754066724463106,[-0.00397862 -0.00025174 -0.00136259 -0.00097918  0.00063384 -0.00024525],"[ 0.00151739 -0.00708152 -0.01508571  0.00267744 -0.01438169 -0.00111038
 -0.00510008 -0.00465006  0.00064384 -0.00366793  0.00693759 -0.00178662
  0.0053487  -0.00017444  0.00175054 -0.0001055  -0.00326611  0.00301166
 -0.00673932  0.00527122]",-4.3391832941102235,0.013047179561725197,0.7244085606485321,-0.030242567007147992,"[-0.10228573 -0.08099566 -0.04890079 -0.01649793  0.0244047   0.06479194
  0.10342254  0.14057163  0.17335555  0.18867257  0.17921034  0.12005011
 -0.00482827 -0.18489015 -0.32589196 -0.31685452 -0.23258189 -0.19801981
 -0.14599608  0.09444784  0.7527784   1.29140397  1.60507072  0.21510281
 -0.00490088]",[ 0.00144379  0.00090998 -0.0004661   0.00034494  0.00076769 -0.00125999],"[ 0.01153547 -0.00801214 -0.00340822  0.00319717 -0.00416675  0.0009097
 -0.00111784 -0.00120802 -0.00173158  0.00034349  0.00160888  0.00218814
 -0.00078665  0.00221017  0.00033269  0.00037451  0.00103561  0.00020638
  0.00154507 -0.00066778]",0.08526102869005908,0.7244085606485321
AAPL,"[0.00330724 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.2145087754018525,"[-9.92786608e-04 -1.37664309e-03  1.70181451e-04 -6.13594547e-04
  4.98061778e-04  7.71781421e-05]","[-2.09991331e-03 -7.37326353e-03 -2.06302489e-02  2.92396526e-03
 -2.20908598e-02 -3.63392207e-04 -1.25891214e-02 -3.64236697e-03
 -4.87029994e-03 -2.92571293e-03  3.86066115e-03 -1.49141226e-03
  4.86925351e-03 -7.08028567e-04  3.71885202e-03 -1.66148623e-03
  3.65859351e-05  7.34178715e-04 -4.56269036e-03  2.54636263e-03]",-4.8557619635646585,0.007783400425727641,0.7244030149041709,-0.030242573276336573,"[-0.10228542 -0.08099571 -0.04890097 -0.01649771  0.02440457  0.06479208
  0.10342236  0.14057201  0.17335576  0.18867277  0.17921065  0.12005081
 -0.00482836 -0.18489015 -0.32589111 -0.31685448 -0.2325822  -0.19801933
 -0.14599617  0.09444682  0.7527789   1.29140391  1.60507056  0.21510215
 -0.0049007 ]",[ 0.0014438   0.00090998 -0.00046614  0.00034495  0.00076775 -0.00126   ],"[ 0.01153549 -0.00801213 -0.00340823  0.00319715 -0.00416677  0.0009097
 -0.00111787 -0.00120799 -0.00173156  0.00034349  0.00160892  0.00218818
 -0.00078666  0.00221017  0.00033269  0.00037449  0.00103566  0.00020637
  0.00154504 -0.00066781]",0.0852610424514593,0.7244030149041709
ABBV,"[0.00377834 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.2192540571526225,[-0.00201449  0.00217364 -0.00130897  0.00075886  0.00062268  0.00035102],"[ 0.00464184 -0.00658798 -0.01084518  0.00378636 -0.0096245   0.00066424
 -0.00178224 -0.00203969  0.00208422 -0.00080177  0.00720516  0.00171137
  0.0053304   0.00294832  0.00217602  0.00174179 -0.00234371  0.00245647
 -0.00646479  0.00155176]",-3.8093343561405115,0.022162926664174732,0.724413381727419,-0.03024256155715774,"[-0.102286   -0.08099561 -0.04890064 -0.01649813  0.02440482  0.06479182
  0.1034227   0.1405713   0.17335536  0.1886724   0.17921007  0.12004949
 -0.00482819 -0.18489014 -0.3258927  -0.31685457 -0.23258163 -0.19802023
 -0.145996    0.09444872  0.75277797  1.29140402  1.60507086  0.21510338
 -0.00490104]",[ 0.00144379  0.00090999 -0.00046606  0.00034493  0.00076765 -0.00125997],"[ 0.01153546 -0.00801214 -0.00340822  0.00319718 -0.00416673  0.00090971
 -0.00111782 -0.00120804 -0.00173159  0.00034349  0.00160885  0.0021881
 -0.00078664  0.00221017  0.00033269  0.00037452  0.00103558  0.00020638
  0.00154509 -0.00066775]",0.08526101672686862,0.724413381727419
ABT,"[0.00366959 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.23171827250789265,[-0.00298777  0.00086975 -0.001272   -0.0010305   0.00020249 -0.0004444 ],"[-8.93939716e-04 -6.43890852e-03 -1.89954106e-02  6.04590240e-03
 -2.02309753e-02  4.64246509e-03 -1.12280447e-02  2.75538775e-03
 -4.18533970e-03  2.68752333e-03  4.08567178e-03  3.63826335e-03
  4.80626389e-03  2.50497109e-03  3.35069038e-03 -5.28528387e-04
 -1.04742489e-03  1.07858103e-05 -6.65406180e-03  2.88826203e-04]",-4.822057756116864,0.008050204725653369,0.7244109886923654,-0.030242564262365025,"[-0.10228587 -0.08099563 -0.04890072 -0.01649803  0.02440476  0.06479188
  0.10342262  0.14057146  0.17335546  0.18867248  0.1792102   0.1200498
 -0.00482823 -0.18489014 -0.32589233 -0.31685455 -0.23258176 -0.19802002
 -0.14599604  0.09444828  0.75277818  1.291404    1.60507079  0.2151031
 -0.00490096]",[ 0.00144379  0.00090999 -0.00046608  0.00034494  0.00076767 -0.00125998],"[ 0.01153547 -0.00801214 -0.00340822  0.00319717 -0.00416674  0.00090971
 -0.00111783 -0.00120803 -0.00173158  0.00034349  0.00160887  0.00218812
 -0.00078665  0.00221017  0.00033269  0.00037452  0.0010356   0.00020638
  0.00154508 -0.00066776]",0.08526102266502786,0.7244109886923654
ACN,"[0.00392588 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.23311987711357635,[-0.00230119 -0.00033417 -0.00096141 -0.00050228  0.00010857 -0.00058915],"[ 0.00276563 -0.00626694 -0.01368647  0.00516783 -0.01355313  0.00245332
 -0.00572981 -0.00094849 -0.00124351 -0.00163763  0.00444796 -0.00187694
  0.00284014 -0.00277005  0.00055572 -0.00445994 -0.00284709 -0.00105301
 -0.00517517  0.00267814]",-4.209677743718465,0.014851153444515658,0.7244166284739701,-0.03024255788687201,"[-0.10228618 -0.08099558 -0.04890054 -0.01649827  0.0244049   0.06479173
  0.1034228   0.14057107  0.17335524  0.18867228  0.17920989  0.12004908
 -0.00482814 -0.18489014 -0.3258932  -0.31685459 -0.23258144 -0.19802051
 -0.14599594  0.09444931  0.75277768  1.29140406  1.60507095  0.21510376
 -0.00490115]",[ 0.00144378  0.00090999 -0.00046604  0.00034492  0.00076762 -0.00125996],"[ 0.01153545 -0.00801215 -0.00340822  0.00319719 -0.00416672  0.00090971
 -0.0011178  -0.00120806 -0.0017316   0.00034349  0.00160883  0.00218808
 -0.00078664  0.00221017  0.0003327   0.00037453  0.00103555  0.00020639
  0.00154511 -0.00066773]",0.0852610086702804,0.7244166284739701
ADBE,"[0.00392923 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.2389737150657705,[-0.00084721  0.0007138  -0.00049608 -0.0006841   0.00038457 -0.00017016],"[ 3.06043521e-03 -5.42716059e-03 -1.32151026e-02  8.74566316e-03
 -1.27865956e-02  8.28796243e-03 -4.67732299e-03  6.25084430e-03
  8.93818728e-05  4.19258533e-03  6.06944791e-03  2.69494368e-03
  4.68446445e-03 -7.28556754e-04  1.59069043e-03 -4.46821997e-03
 -3.52779273e-03 -1.84159740e-03 -7.97834332e-03  2.27517737e-03]",-4.557503580360591,0.010488209260343214,0.724416702178088,-0.030242557803553165,"[-0.10228619 -0.08099558 -0.04890054 -0.01649827  0.0244049   0.06479173
  0.10342281  0.14057107  0.17335524  0.18867228  0.17920988  0.12004907
 -0.00482813 -0.18489014 -0.32589321 -0.31685459 -0.23258144 -0.19802052
 -0.14599594  0.09444932  0.75277767  1.29140406  1.60507096  0.21510377
 -0.00490115]",[ 0.00144378  0.00090999 -0.00046604  0.00034492  0.00076762 -0.00125996],"[ 0.01153545 -0.00801215 -0.00340822  0.00319719 -0.00416672  0.00090971
 -0.0011178  -0.00120806 -0.0017316   0.00034349  0.00160883  0.00218808
 -0.00078664  0.00221017  0.0003327   0.00037453  0.00103555  0.00020639
  0.00154511 -0.00066773]",0.08526100848738846,0.724416702178088
ADI,"[0.00333166 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.21133771430198062,[-0.00246282  0.0001981  -0.0009234  -0.00035151  0.00035672  0.00018797],"[-0.00020074 -0.00683544 -0.01794479  0.00420672 -0.01886493  0.00138624
 -0.01017592 -0.00183186 -0.00390978 -0.00190269  0.00342341 -0.00139595
  0.00310708 -0.0014859   0.00137671 -0.00234018 -0.0026103   0.00177233
 -0.00677187  0.00696846]",-4.617018997263789,0.009882211094569734,0.72440355231208,-0.030242572668823624,"[-0.10228545 -0.0809957  -0.04890095 -0.01649773  0.02440458  0.06479207
  0.10342238  0.14057197  0.17335574  0.18867275  0.17921062  0.12005074
 -0.00482835 -0.18489015 -0.32589119 -0.31685448 -0.23258217 -0.19801937
 -0.14599616  0.09444692  0.75277885  1.29140392  1.60507058  0.21510222
 -0.00490072]",[ 0.0014438   0.00090998 -0.00046613  0.00034495  0.00076774 -0.00126   ],"[ 0.01153548 -0.00801213 -0.00340823  0.00319715 -0.00416677  0.0009097
 -0.00111787 -0.00120799 -0.00173156  0.00034349  0.00160892  0.00218817
 -0.00078666  0.00221017  0.00033269  0.00037449  0.00103565  0.00020637
  0.00154504 -0.00066781]",0.08526104111791688,0.72440355231208
ADM,"[0.00376183 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.22646648214379209,[-0.00120223 -0.00094716 -0.00083053  0.00092815  0.00013554 -0.00053366],"[ 3.33760111e-03 -6.55745376e-03 -1.27878046e-02  4.11043664e-03
 -1.23719114e-02  1.28422521e-03 -4.91352416e-03 -1.19819774e-03
 -1.33633298e-03 -8.47221155e-05  3.25390573e-03  2.29130977e-03
  5.13238824e-04  3.36689261e-03 -1.60604585e-03  2.62011927e-03
 -3.62361162e-03  4.85268322e-03 -3.58574561e-03  7.30204697e-03]",-4.292768253461623,0.013667039054025606,0.7244130184866261,-0.030242561967783417,"[-0.10228598 -0.08099561 -0.04890065 -0.01649812  0.02440481  0.06479183
  0.10342269  0.14057132  0.17335538  0.18867241  0.17921009  0.12004954
 -0.00482819 -0.18489014 -0.32589264 -0.31685456 -0.23258165 -0.1980202
 -0.14599601  0.09444865  0.752778    1.29140402  1.60507085  0.21510334
 -0.00490103]",[ 0.00144379  0.00090999 -0.00046607  0.00034493  0.00076765 -0.00125997],"[ 0.01153546 -0.00801214 -0.00340822  0.00319718 -0.00416674  0.00090971
 -0.00111782 -0.00120804 -0.00173159  0.00034349  0.00160885  0.0021881
 -0.00078664  0.00221017  0.00033269  0.00037452  0.00103558  0.00020638
  0.00154509 -0.00066775]",0.08526101762822677,0.7244130184866261
