,mse,rmse,mae,mape
A,0.036145280113926335,0.19011912085302293,0.14715124902250987,0.12090348245177324
AAL,0.06691451814111894,0.25867840679329795,0.23456233267202245,0.19441996895917524
AAP,0.04867736030604304,0.2206294638212291,0.17132224837296783,0.25204485959067946
AAPL,0.08191130284988936,0.2862015074207146,0.25453166649782993,0.20160460618914172
ABBV,0.012735902408744858,0.11285345545770789,0.07005278133686665,0.06320263954362874
ABT,0.010033097113777966,0.10016534886764966,0.07626931842639445,0.07344099272493283
ACN,0.008605388115537538,0.09276523117816038,0.07759759487978157,0.0712139423799659
ADBE,0.06718418848705715,0.25919912902449566,0.2122724670335765,0.16889959659658782
ADI,0.05466833134259214,0.23381259876788535,0.2176153554327521,0.1770455141051341
ADM,0.0017316556288693593,0.0416131665325935,0.036507983874859117,0.03657228676880653
ADP,0.015433349406919143,0.12423103238289193,0.10708566806618718,0.09665277471900459
ADSK,0.14831829255398754,0.3851211401026793,0.3339288038350037,0.24804638041439203
AEE,0.007253143952527596,0.08516539175350277,0.0640562583423942,0.059783821442829614
AEP,0.003955591699648637,0.06289349489135293,0.04976373938176001,0.05173228624601545
AES,0.006162040201519998,0.07849866369257504,0.07298031095818287,0.08276095832829485
AFL,0.0043388284269374145,0.06586978386891379,0.04648510016504349,0.04379725545219394
AIG,0.010656647515337837,0.10323103949557921,0.08712545171178224,0.08048909682037257
AIZ,0.012342362581864276,0.1110961861715526,0.09343427598929667,0.08508023497598295
AJG,0.01817368194551247,0.13480979914498972,0.11797039940670508,0.10432082255695065
AKAM,0.02901817773768577,0.17034722697386584,0.15623338748887428,0.15703612708669445
ALB,0.06768723722495398,0.26016770980456816,0.21568857946996806,0.16823698831382772
ALGN,0.20826586849452483,0.45636155457545374,0.3298474872357171,0.2106473760467965
ALK,0.08257624338886237,0.28736082438088595,0.2596788415699541,0.2067715319469097
ALL,0.04671661402988162,0.21614026471225029,0.1823512099383847,0.1465308809063074
ALLE,0.007586226606713863,0.08709894721931984,0.07413344062051153,0.07099671958225612
AMAT,0.13083399595677503,0.361709822864648,0.3204113472508592,0.2395353275445116
AMCR,0.005182696323786489,0.07199094612370703,0.06085712542199903,0.059665871781739335
AMD,0.43639578058683115,0.6606025889949503,0.5994790427426049,0.37514510815866914
AME,0.03310435869201238,0.18194603236128118,0.1459734122086597,0.12146476780160874
AMGN,0.006266857540698231,0.07916348615806552,0.06856656897532437,0.07488279958659254
AMP,0.08422686674035132,0.2902186533294359,0.2634248007420005,0.20345266937027032
AMT,0.016179346584315878,0.12719806045815274,0.10189723826096486,0.09273911344995828
AMZN,0.025163580366197133,0.15863032612397018,0.12964294994137812,0.11381672328792687
ANET,0.4077588029616718,0.6385599446893547,0.5388534445298783,0.3268538756918461
ANSS,0.036932226254990645,0.19217759040791058,0.14646973417791143,0.1207663328740317
AON,0.022015744245767032,0.14837703409142208,0.11055816925086483,0.09364814012324778
AOS,0.012558311694516797,0.11206387328000401,0.08878146201220918,0.08013216027458202
APA,0.02869635004433767,0.16939997061492565,0.1541849130202231,0.1867410005048231
APD,0.001896749719210101,0.04355169019923453,0.03431658501761161,0.03413369781298559
APH,0.024809621847862617,0.15751070391520258,0.14309055489619232,0.12700312161052804
APTV,0.04394466985701009,0.20962984009203003,0.1621744249738656,0.1300594970693001
ARE,0.004060810372199787,0.06372448801049552,0.04999993845985016,0.047712236714241366
ATO,0.004932088959826702,0.07022883282403818,0.05173071597990268,0.050658128765014125
AVB,0.002175703590637868,0.04664443793892116,0.038660225126519024,0.03917019792531223
AVGO,0.08738809664530202,0.2956147774474443,0.2529688453389964,0.1933694716589089
AVY,0.015208154866991716,0.12332134797751651,0.09481011019053528,0.08499139815962248
AWK,0.004006093755477858,0.06329371023630909,0.05703038267238471,0.0626514743110483
AXP,0.04952629743782686,0.2225450458622408,0.20337414713791396,0.16563282437563176
AZO,0.04025843797723724,0.2006450547041647,0.15051648269672535,0.21093970861343617
BA,0.2159538103362951,0.46470830672185653,0.3900222812307575,0.26076512779959293
BAC,0.2217465530535374,0.47089972717505096,0.4488420379871856,0.3101358772680379
BAX,0.031698846460157054,0.1780416986555595,0.13829418282745246,0.11581256198271264
BBY,0.1413497215104961,0.37596505357612175,0.3380959371085983,0.25382686792267917
BDX,0.0059426319596673416,0.07708846839617027,0.060363643780956974,0.05673654578910276
BEN,0.030192152901647718,0.17375889301456693,0.15859078745906013,0.13604898847798091
BIIB,0.014483543850080887,0.12034759594641219,0.09047328196492752,0.1057015619104414
BIO,0.09546832353324432,0.3089794872370079,0.28162904565160746,0.2183583654463063
BK,0.04020874311831116,0.2005211787276126,0.18584342340808369,0.1562535135479191
BKNG,0.05159008149637928,0.22713450089402817,0.20041096068049666,0.16433810746481
BKR,0.035557070275767266,0.18856582478213613,0.16452812253409327,0.14439393690834282
BLK,0.010603241442805703,0.10297204204445837,0.08018497491634718,0.07199899304183738
BMY,0.03490380419244285,0.18682559833289133,0.16241495244282414,0.22289442993444658
BR,0.005279030522338012,0.07265693719348491,0.05629970030238632,0.0540851409467838
BSX,0.010065357255151819,0.10032625406717735,0.0827212230206993,0.07955990377159165
BWA,0.043754262451959715,0.20917519559441008,0.1858320788944311,0.15514338552080678
BXP,0.010350125820485383,0.10173556811894935,0.09182812414344729,0.10487332037074577
C,0.10049105915472195,0.31700324786147216,0.29552997126038555,0.22533449819017312
CAG,0.005952285943117212,0.07715105924818669,0.06758471467447445,0.06586437291748388
CAH,0.00989885070843279,0.0994929681356064,0.08206024436784481,0.09564993737807306
CAT,0.06439024272228287,0.253752325550492,0.22467166985518489,0.17878472628645994
CB,0.00931824894860857,0.09653107763103326,0.08075757499896746,0.0734633127547656
CBOE,0.07333094761542526,0.2707968751950902,0.22202512426017126,0.17113620918379832
CBRE,0.024705941449204464,0.15718123758643862,0.13285823250466794,0.11396895725848548
CCI,0.005779289412877826,0.0760216377939717,0.0646241163789844,0.06929605518714502
CCL,0.08249346385598542,0.2872167541352444,0.25325647295012516,0.19645384920451436
CDNS,0.07461267809898907,0.27315321359813627,0.22212305808789584,0.17074009485988204
CDW,0.07859184195031774,0.28034236560020276,0.25598540519489477,0.20331975110066067
CE,0.10673207774813052,0.3266987568818261,0.30293930174844297,0.23355253166983028
CF,0.04801245040589899,0.21911743519377683,0.17882695590703032,0.15367862511691752
CFG,0.1915550134164072,0.43766998231133836,0.4147280253709182,0.29082379476011727
CHD,0.003117503619071111,0.055834609509435196,0.04182663947680469,0.04575054414459753
CHRW,0.00392406709736378,0.06264237461466304,0.05347373533385577,0.054039224828175775
CHTR,0.06464039407158241,0.254244752299005,0.22174520879587628,0.18007699172065816
CI,0.030842217059269178,0.17561952357089794,0.1419603195762298,0.1238392043369425
CINF,0.002047454685856572,0.045248808667815464,0.036919359086938414,0.039069516751722086
CL,0.0029068598065690983,0.05391530215596587,0.03905580212670801,0.0425164777968498
CLX,0.0035289352136106318,0.05940484166808823,0.049294385792883685,0.054238315078034005
CMA,0.22083082960311123,0.4699264087100354,0.44863640960478757,0.30432547632356355
CMCSA,0.021331199909147402,0.1460520452069994,0.12844885149207105,0.11168289238611714
CME,0.02950347606794912,0.17176575930012686,0.15812566622708513,0.13814519615816742
CMG,0.013500994048717116,0.11619377801206533,0.08325313461437987,0.10156817306265886
CMI,0.05878718702670749,0.24246069171456947,0.22472859070842402,0.1822073431334878
CMS,0.0037256438993473672,0.06103805287971895,0.046174702223478095,0.0463645729251182
CNC,0.0169328454607113,0.13012626737408287,0.09994242670722607,0.10580762609664153
CNP,0.030231335809639062,0.17387160725558115,0.14891032261736012,0.12625279367375272
COF,0.04333828255265075,0.20817848724748375,0.18956437747613022,0.1586094462607859
COO,0.03298767217706084,0.18162508686043577,0.134655402229905,0.11195185937738095
COP,0.016959898760494342,0.13023017607488035,0.1117469605606487,0.10054976385246604
COST,0.003056463736173813,0.05528529403172071,0.045379347838595575,0.04541225942386577
CPB,0.013922140430279973,0.1179921202041898,0.09622553285622445,0.11789774435351189
CPRT,0.022319923433387432,0.1493985389265485,0.13504465388448114,0.11933824851238357
CRM,0.007401442617130724,0.08603163730355667,0.06341900375344509,0.06152736240969554
CSCO,0.0030091175558034835,0.054855424123813716,0.043323272974098305,0.041514792750891295
CSX,0.37828617492049116,0.6150497336967891,0.5606095524924177,0.34483540943755625
CTAS,0.018226512371444185,0.1350056012595188,0.11725836328915128,0.10591577742182115
CTSH,0.013617131782861162,0.11669246669284682,0.08711745391588213,0.07940363288508026
CVS,0.02514017921124709,0.15855654893837431,0.15113717817059766,0.1850434826541809
CVX,0.00881022096061736,0.09386277729013436,0.07791367508903489,0.07238711498913157
D,0.0013345358403614614,0.03653129946171449,0.027556334501065646,0.027374120150789147
DAL,0.06938410627368166,0.2634086298390424,0.24988153636156518,0.20371556675703256
DD,0.03181437280114167,0.17836583978201,0.1593173731734823,0.13354701515848655
DE,0.12079504374828627,0.34755581386057444,0.3197317128477916,0.24153254747874872
DFS,0.02085991616137838,0.14442962355894437,0.11248568830689173,0.09826536630843
DG,0.036150152120296944,0.1901319334575256,0.1633060713314242,0.21506848060362435
DGX,0.03876041545883856,0.19687665036473614,0.16964813456212105,0.1401956221041225
DHI,0.006436789861413779,0.0802296071373516,0.06355338505952457,0.06775019079255605
DHR,0.012675699109689468,0.11258640730429881,0.08989260356699688,0.08884575406255085
