,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.4438617132988159,0.5332931832096373,[ 0.00075024 -0.00187725  0.00036514  0.00041945 -0.00049021 -0.00042496],"[ 7.60940086e-03 -2.99218164e-03 -1.55167286e-03  5.17217172e-03
 -2.99436896e-03  2.85914506e-03 -5.58688541e-05  6.14625565e-04
 -1.15400882e-04 -1.84608346e-03  1.18373467e-03  1.77388982e-03
 -9.56834497e-04  3.59137406e-03  2.44277711e-03  3.75688000e-04
  2.12175008e-04 -2.59159998e-03 -5.57164764e-04  2.09630040e-03]",-5.220038357961281,0.005407121716297634
AAL,0.44169720103068616,0.5310895873457074,"[ 3.39680986e-04 -1.15093057e-03  5.24310090e-04 -1.19721642e-04
  1.08150820e-04  8.51141971e-05]","[ 7.29525383e-03 -1.94056543e-03  3.61222737e-04  5.69772632e-03
 -2.41862977e-03  8.39301186e-05 -3.54299212e-03  5.13904667e-04
  7.91650052e-04  1.38664706e-03  3.01827577e-03  1.69487743e-04
 -2.61232226e-03  2.78547891e-03  1.18847097e-03  1.11867476e-03
 -3.28204268e-04  1.94041418e-03  9.70995801e-03  3.33745626e-03]",-5.220545015799101,0.005404382849592754
AAP,0.01883645563845348,0.9576866572615446,"[-2.51575521e-04 -1.43325162e-03  4.97015662e-04 -6.52633108e-05
  1.19095249e-04  2.99053276e-04]","[ 6.68079599e-03 -1.57970997e-03  1.05341932e-03  7.11086942e-03
 -8.73883860e-05 -9.65380742e-04 -4.73705720e-03 -2.07148695e-03
 -1.32978676e-03  2.04528056e-03  2.36648468e-03  7.29343989e-04
 -3.29477407e-03  5.16058058e-03  5.32913415e-03  2.25865607e-03
  4.16436984e-04 -2.93064138e-03  5.79417304e-03  4.20385165e-03]",-5.172463577642672,0.005670581678845737
AAPL,0.44454827667638025,0.5330214078211226,[-0.00065276 -0.0026647   0.00089348 -0.00056428  0.00033873  0.0003178 ],"[ 0.00666722 -0.00305109 -0.00111153  0.00734307  0.0003215   0.0014593
 -0.00242486 -0.00260657 -0.00217049  0.00038544  0.00175804  0.00199721
 -0.0013561   0.00482912  0.00412472  0.00020117 -0.00048123 -0.0013953
  0.00640791  0.00049875]",-5.174547849195807,0.005658774955246078
ABBV,0.4413323093255462,0.5383075783452443,"[ 2.66627736e-04 -3.83515800e-04  1.47919114e-04 -1.93188929e-04
  2.30523877e-05 -1.88633629e-04]","[ 0.00697889 -0.00565873 -0.00475126  0.00660917 -0.00053422  0.00506056
  0.00014678 -0.00233843 -0.00290754 -0.00014559  0.00303083  0.0029886
 -0.00121722  0.00275061  0.00249547  0.00138676  0.00075314 -0.00118885
  0.00560437  0.00412966]",-5.57463205703044,0.0037928708856136265
ABT,0.4429046176440872,0.5327312201442007,"[ 1.20548461e-03 -1.18078170e-03  7.19761143e-04  1.16769495e-04
  7.26245758e-06 -5.35199812e-06]","[ 0.006514   -0.00496087 -0.00332917  0.00758063  0.0006035   0.00277872
 -0.00297369 -0.00269613 -0.00174132  0.00291211  0.0046943   0.00104455
 -0.00257397  0.00275583  0.00388701  0.0009293  -0.00123504 -0.00260215
  0.00594664  0.00437219]",-5.245957543149076,0.005268774199766967
ACN,0.4369510698788301,0.5413897851025726,"[ 6.29059279e-04 -3.47521865e-04  4.05283031e-04  2.97788346e-04
  2.70602915e-05  2.69686614e-04]","[ 7.11986306e-03 -5.72009210e-03 -4.83725702e-03  6.16080304e-03
 -1.83510909e-03  5.14278418e-03  7.16194401e-05  1.78947288e-04
  8.20391096e-04  2.38406529e-04  3.69489526e-03  1.62471828e-04
 -2.09202451e-03  2.04133374e-03  2.43960615e-03  3.39105448e-04
  3.14219806e-04 -2.90911535e-03  1.52538689e-03 -2.89970875e-03]",-5.920966153904787,0.0026826071131687817
ADBE,0.4465209533268166,0.5356650353263603,"[ 9.13201112e-04 -1.31800097e-03  8.13994214e-04 -8.29452941e-05
  1.60290969e-04  1.15450763e-04]","[ 0.00662958 -0.00154906  0.000845    0.00751174  0.00061845 -0.00034186
 -0.00378915 -0.00290134 -0.00230743  0.00148748  0.00309741  0.001851
 -0.00168028  0.00278906  0.00210521  0.00043081 -0.00069551 -0.00190915
  0.00030128  0.00162517]",-5.195577909748733,0.005541013183984012
ADI,0.44187404074138725,0.5375098828581583,"[-2.41816144e-04 -1.36729810e-03  2.51980771e-04 -2.01450152e-04
 -5.32658402e-05 -1.62874443e-04]","[ 0.00749495 -0.00552943 -0.00484101  0.00526514 -0.00315726  0.00569912
  0.00142777  0.00139599  0.0014736  -0.00164102  0.00222264  0.00024769
 -0.00180046  0.00261325  0.00187835  0.00027957  0.00016209 -0.00197026
  0.0009778  -0.0008709 ]",-5.513453063029456,0.0040321600138354
ADM,0.4269747071364225,0.54516335143156,"[-9.40266830e-06 -1.26897616e-04  1.21599174e-05  3.41670949e-05
 -3.46452316e-05 -1.40620521e-05]","[ 0.00721854 -0.0052061  -0.00404769  0.00610445 -0.00119973  0.00419403
 -0.00094183 -0.00189926 -0.00286558  0.00108425  0.0041725   0.00299361
 -0.00195217  0.00180354  0.00216606  0.00326479  0.00361219 -0.00230238
  0.00216861  0.00254931]",-6.560528697250717,0.0014151373333142847
