,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,-0.002332652819590427,0.97946569361469,[ 0.00070462 -0.00186135  0.00031181  0.00037608 -0.00051175 -0.00050235],"[ 0.0076427  -0.00105694  0.00013769  0.00532779 -0.00236839  0.00229549
  0.00095833 -0.00047044 -0.00114004 -0.00372187 -0.00014679  0.0020234
 -0.00201462  0.00371388  0.00089975  0.00208634  0.00129066 -0.00109269
 -0.00136187  0.00427289]",-5.275892280279901,0.0051133920931893334
AAL,-0.32924437602648954,1.3029002235549392,"[ 4.53236140e-05 -8.48863763e-04  3.32603823e-04 -2.97824875e-04
  1.26154950e-04 -4.17702826e-05]","[ 8.81576112e-03  1.74414004e-03  3.42153312e-03  2.58762012e-03
 -5.82025044e-03  7.15541623e-05  4.61462672e-04  1.61769399e-03
 -1.56380806e-03 -3.42203170e-03  1.57000996e-03  3.94058003e-03
 -8.36313905e-04 -3.17967665e-04 -3.12394278e-03  3.00436971e-03
  3.40150907e-03  2.04243993e-03  2.66640749e-03  4.72282684e-03]",-5.504287352140986,0.004069287516833619
AAP,0.43133157860336685,0.5451246712242879,[ 0.00034499 -0.00150082  0.00055746 -0.00046957  0.0001331  -0.00021926],"[ 6.74032018e-03  3.54988877e-04  2.82782189e-03  7.22669784e-03
  3.62465601e-04 -1.97403604e-03 -3.61831251e-03 -2.89500641e-03
 -1.97610870e-03 -1.14581552e-06  1.32366858e-03  8.49398989e-04
 -4.37493121e-03  5.04500400e-03  3.50658617e-03  3.65542140e-03
  9.62446568e-04 -1.63378340e-03  5.32781856e-03  6.24239276e-03]",-5.411308709889666,0.004465791959248094
AAPL,0.4347544630922756,0.5439331013002909,"[ 3.01553310e-05 -1.95651564e-03  7.02707325e-04 -3.74647633e-04
  1.75402897e-04  5.15588130e-05]","[ 0.00662331 -0.00189408 -0.00027676  0.00767319  0.00100124  0.00110472
 -0.0018558  -0.00347645 -0.00252594 -0.00055337  0.00143942  0.00179857
 -0.00246448  0.00475377  0.00323792  0.00132504 -0.00042344 -0.0011106
  0.00611837  0.00214461]",-5.207342276609047,0.0054762086119026585
ABBV,0.42850247803207203,0.5531599931151546,"[ 3.56312127e-05 -1.06807199e-05 -7.92948653e-05 -3.73297879e-05
 -5.60372079e-05 -1.40330809e-04]","[ 0.0065584  -0.00174532 -0.00063284  0.00772802  0.00123837  0.00280085
  0.0010807  -0.00412111 -0.00357098 -0.00375269 -0.0001464   0.00258029
 -0.00309208  0.00314406 -0.00085872  0.00368119  0.0020309   0.00225126
  0.0030988   0.00756429]",-5.85260490943244,0.0028724070439827246
ABT,-0.005884512514038375,0.9797767986925647,"[ 1.16982867e-03 -6.20014108e-04  4.71774591e-04  2.67995462e-04
 -9.22202319e-05 -5.36936936e-05]","[ 0.00677794 -0.00167948 -0.00033276  0.00730167  0.00077795  0.00173363
 -0.00112148 -0.00379786 -0.00317797 -0.00050442  0.00283764  0.00181901
 -0.00395959  0.00198496  0.00121964  0.00357871  0.00038048 -0.00102096
  0.00435427  0.00750034]",-5.391450928355587,0.004555359038860653
ACN,0.4267802747304807,0.552154235390829,"[ 4.27713485e-04 -2.78250662e-04  3.15883017e-04  3.39174024e-04
  4.61036244e-06  3.08880686e-04]","[ 0.00726013 -0.0043902  -0.00383541  0.00613935 -0.001658    0.0048154
  0.00032634 -0.00021195  0.00030212 -0.00083521  0.00284425  0.00038121
 -0.00246878  0.00207754  0.00147314  0.00105687  0.00092932 -0.00199537
  0.00072315 -0.00194499]",-5.891053654871986,0.002764062793831145
ADBE,-0.00041391746032677537,0.9794667324361853,"[ 8.25969245e-04 -1.02902895e-03  7.05208749e-04 -9.45708474e-05
  1.64163484e-04  1.04122391e-04]","[ 0.00684492 -0.00126712  0.00072145  0.00740355  0.0005671  -0.00024186
 -0.00320174 -0.00299562 -0.00226451  0.00085584  0.0030201   0.00196929
 -0.00191706  0.00259315  0.00166287  0.00085443 -0.00049965 -0.00167027
  0.00010447  0.00197914]",-5.2859829275053904,0.005062054109798207
ADI,0.4254526279203352,0.55050069427291,"[-7.44258652e-05 -5.74494978e-04  2.04976368e-05  6.53406161e-06
 -1.17477275e-04 -1.40844472e-04]","[ 6.55735821e-03 -4.31431141e-03 -3.26695682e-03  7.49248495e-03
 -2.88168136e-04  3.51572843e-03 -8.58126420e-04 -4.20397674e-04
  1.62085523e-03 -7.96189459e-04  1.42189377e-03 -1.34391495e-03
 -2.97043418e-03  4.16384548e-03  1.74162477e-03 -3.07265477e-04
 -1.61537344e-03 -1.30413147e-05  1.72083318e-03 -9.32906912e-04]",-5.945528009254003,0.002617519908690615
ADM,0.4192923457255483,0.5584470300368017,"[ 5.72109395e-05 -7.71053210e-06  6.58869511e-06  1.43603547e-04
 -4.65053008e-05  6.24919533e-05]","[ 0.00596603 -0.0035716  -0.0022849   0.00883296  0.00202876  0.00273695
 -0.00092479 -0.00345566 -0.00150063 -0.00112848  0.00150574  0.00069977
 -0.00325169  0.00253842 -0.00071891  0.00253607  0.00222405  0.00131894
 -0.00116332  0.0024061 ]",-6.59751150528751,0.0013637575218240759
