,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,-0.11446791063415426,1.0967009017654767,[ 0.00065806 -0.00035798  0.00022654  0.00086091 -0.00030299  0.00028146],"[ 3.61739780e-03 -9.31639299e-03 -2.41705863e-04  2.31376327e-03
 -4.83594704e-04  4.20964816e-03  2.39298366e-04  2.96987408e-03
 -2.69838154e-03  1.55102139e-03  3.39186711e-05  3.73597564e-04
 -1.68763853e-04  7.99555699e-04  1.41245719e-03  2.64773764e-03
 -3.44706048e-03  4.69806627e-03 -3.32951388e-03 -3.58145630e-03]",-4.984304559265441,0.006844536342086708
AAL,0.4453774689965423,0.5323018906253391,[ 0.00018897  0.00021296  0.00025258 -0.00011106  0.00026787  0.00030437],"[ 0.00521892 -0.00224258 -0.00892639  0.00700648 -0.00653167 -0.002058
  0.00200775 -0.00181986 -0.0016417  -0.00031831  0.00248963 -0.00191466
  0.0010728   0.00185953  0.00128725 -0.00071429  0.00310849  0.00355814
 -0.00100929  0.00123213]",-6.037077910034095,0.0023885282205334517
AAP,0.45163968744054456,0.5286556042482274,"[-4.92732189e-04  9.07402318e-04 -7.38259049e-05 -2.48552698e-04
  3.78858221e-04  4.37278826e-04]","[ 0.00510158 -0.00607907 -0.00310862  0.00652438 -0.00574888  0.00447131
 -0.00383138 -0.00086184 -0.0026513  -0.0035602   0.00241688 -0.00264164
  0.0016024  -0.00112138  0.00576558 -0.00014439  0.00241326  0.00543223
  0.00356627  0.00027077]",-5.572431808510129,0.0038012253317258903
AAPL,0.45910228464272856,0.5277680412370745,"[-4.71130218e-04  5.37411781e-04 -4.50176085e-05 -5.90860119e-05
  2.57306388e-04  4.52757376e-04]","[ 3.94919390e-03 -5.68761697e-03 -5.17868885e-03  3.10198991e-03
 -9.97643061e-04 -5.33655739e-04  4.09874132e-03  3.69471835e-03
 -5.31724109e-03  4.39644526e-03 -2.22948265e-03 -2.58468620e-03
  8.73721072e-04 -5.98564552e-04  4.33341120e-04  2.98514073e-04
  1.62606363e-03 -9.18255735e-05  5.09203800e-03  4.29765650e-03]",-5.194048679165795,0.00554949315306689
ABBV,0.04144474291366188,0.9495806388810301,[-0.00055246  0.00119888 -0.0006537   0.00078966 -0.00033032  0.00028216],"[ 0.00386616 -0.00986951  0.00056613  0.00285615 -0.00118203  0.00538002
 -0.00108097  0.0024018  -0.00265418  0.00037961  0.00089741 -0.00018213
  0.00035398  0.00150069  0.00053317  0.00230707 -0.00147329  0.00319255
 -0.00091313  0.00142088]",-4.750414138158015,0.008648112947831011
ABT,-0.33895217679652134,1.3204225937028213,[ 0.00071445 -0.00088673  0.00036985  0.00060368 -0.00025595  0.00011997],"[ 3.36710103e-03 -1.08951236e-02  1.59127004e-03  1.57394260e-03
  4.61453258e-04  5.25666407e-03  5.42560649e-04  3.72860758e-03
 -2.93500846e-03  2.91700472e-03 -1.45670191e-03  6.30879429e-04
 -4.83943295e-04  6.03176349e-05  8.31837073e-04  2.37661756e-03
 -2.80622841e-03  2.81529800e-03 -4.26209559e-04 -1.33268229e-03]",-5.386464787990937,0.004578129419420958
ACN,0.45906393022157216,0.5254622763198793,"[ 1.80806580e-04 -2.08442942e-05  2.89390158e-04  2.76591989e-04
  1.22212663e-04  4.77216844e-04]","[ 0.00455028 -0.00303392 -0.00813529  0.00493946 -0.0035901  -0.00190847
  0.00296527  0.00099136 -0.00301124  0.00153036  0.00045115 -0.00107354
 -0.00031338  0.00026361  0.00226898 -0.00018945 -0.0007305   0.00392458
 -0.00066505 -0.00664553]",-5.099585830497842,0.006099272174984563
ADBE,0.46101036030483045,0.5254416052777479,"[-7.28100832e-04  3.67424133e-05 -3.75822097e-04  9.19172180e-05
 -1.69207246e-04 -6.02434880e-05]","[ 0.00400815 -0.00382206 -0.00745462  0.00321314 -0.00103345 -0.00209953
  0.0043653   0.00377922 -0.00525296  0.00363891 -0.00145128 -0.00180634
 -0.00069848 -0.00067866  0.00176344 -0.00106184  0.00014097  0.00182313
  0.00330576 -0.00541301]",-5.00593977155684,0.006698043758533834
ADI,0.4459115778428347,0.5293278238817894,"[-4.22271667e-04 -6.05295563e-05  4.05398681e-05 -4.04088382e-04
  2.40202579e-04  8.24555491e-05]","[ 5.44653124e-03 -1.78449541e-03 -8.55633862e-03  7.24702432e-03
 -6.16775241e-03  8.64734995e-05 -1.53626116e-03 -2.86424475e-04
 -4.31294020e-03 -3.07724020e-03  2.54485491e-03 -3.76850684e-03
  9.33974160e-04 -8.78083470e-04  4.80966018e-03 -2.06247322e-03
  2.69284006e-03  3.29719714e-03  6.18860657e-03 -5.23755970e-03]",-5.87462643498452,0.0028098436577814463
ADM,0.4546551381736471,0.5148232175584382,[-0.00195225  0.0009203  -0.00063336 -0.00011552  0.00016339  0.00047275],"[ 4.33439839e-03 -4.95803754e-03 -5.70685727e-03  4.51943513e-03
 -3.43180141e-03 -6.71876428e-06  1.98298844e-03  1.84162693e-04
 -4.83305632e-04  1.00134816e-03  1.68830640e-03  2.42003469e-03
 -3.38894533e-03  3.05634022e-03 -2.09250271e-03 -1.84074227e-03
 -6.91007606e-04  6.61358384e-04 -1.14381246e-03 -6.61786642e-03]",-4.833564057330478,0.007958107510496418
ADP,0.4448123318762023,0.5275247141634674,"[-2.31186236e-04  3.37428272e-04 -1.25515209e-04  2.23978661e-04
 -1.96174092e-05  2.27832513e-04]","[ 0.00536937 -0.00270975 -0.00743249  0.00730545 -0.00668952  0.00094336
 -0.00209603 -0.0015854  -0.00221573 -0.00368504  0.00354735 -0.00219667
  0.00088158  0.00031646  0.00424319 -0.00058284  0.00144731  0.00441522
  0.00372794 -0.00294987]",-5.851109642727275,0.0028767052712965306
ADSK,0.45405430551127746,0.5282658024225451,"[ 5.81108104e-04 -2.89010268e-04  2.28338539e-04  2.33811189e-05
 -1.46642859e-05 -9.10315425e-05]","[ 0.00435299 -0.00315433 -0.00789063  0.00450475 -0.00315444 -0.00134628
  0.00165811  0.00128714 -0.0034046  -0.00059233  0.00278015 -0.002056
  0.0012581   0.00172056  0.0023396   0.00095421  0.00041473  0.00413138
  0.00307082 -0.00105374]",-5.453616376856181,0.004280795693992526
AEE,0.0414447212823311,0.9381802725375754,[-0.00128293 -0.00097649  0.00018824 -0.00058995  0.00035881  0.00032807],"[ 4.39890828e-03 -7.52687594e-03 -2.10299991e-03  4.55103005e-03
 -3.35604344e-03  3.70355364e-03 -8.74836599e-04  7.10790276e-04
 -2.01071078e-03 -8.61230123e-05  9.90958880e-04 -1.28692218e-04
 -4.71055395e-04  1.29200294e-03 -8.32486052e-04  3.73667328e-04
 -5.81089913e-04 -1.60788371e-03  7.91342250e-03 -2.70440381e-03]",-4.901532704747486,0.007435178399928317
AEP,-0.23109572803750741,1.2156142803034369,"[-5.41329355e-04 -5.98478774e-04  2.28859420e-04 -8.67059522e-05
  1.87685034e-04  3.90530682e-04]","[ 0.00365799 -0.01021201  0.00122454  0.00227637 -0.00019554  0.00583635
 -0.00093269  0.00353463 -0.00299081  0.00151069 -0.00080566  0.00158582
 -0.00341012  0.00041576 -0.00088378 -0.00201041 -0.00020841 -0.00139804
  0.00606836 -0.00445952]",-5.485110988154975,0.0041480746665795995
AES,-0.009013576696847065,0.9870776588973263,"[-5.36422154e-04 -2.62208607e-04 -1.20590630e-04  1.79551095e-04
 -9.94163245e-05  1.42325967e-04]","[ 0.00367913 -0.00864386 -0.00069832  0.00235679 -0.00010993  0.00463937
 -0.00121732  0.00413011 -0.00448975 -0.00028547  0.00170231 -0.00040923
 -0.00165764  0.00263755 -0.00209484 -0.00112722  0.00014113 -0.00109809
  0.00465665 -0.002962  ]",-5.0269106412098825,0.006559042538274384
AFL,-0.05800642916105862,1.0422894974892662,[ 0.00017654  0.00063936 -0.00017789  0.00070761 -0.0002214   0.00028415],"[ 0.00393847 -0.00900086 -0.00020854  0.00334825 -0.0020335   0.00525746
 -0.00217022  0.00134632 -0.0016242  -0.00158634  0.00275339  0.00032893
  0.00036554  0.00214147  0.00163172  0.00249849 -0.00162459  0.0051686
 -0.00154247  0.0011484 ]",-5.264021831287205,0.005174452040725224
AIG,0.4559766925483082,0.520402209931752,"[-1.06533689e-04  2.54519866e-04 -3.83647458e-04  9.09637406e-05
 -2.59466059e-04 -3.57443257e-04]","[ 0.00494715 -0.00309467 -0.00799752  0.00630989 -0.00587856 -0.00155403
  0.00209951 -0.00179429 -0.00081331  0.00010557  0.0019945  -0.0012353
  0.00186219  0.00112831  0.00266507  0.00187769  0.00081924  0.00472081
  0.00073923  0.00316482]",-5.023090123363613,0.006584149407428071
AIZ,-0.11136564161405861,1.0971057368669186,"[-2.64049867e-04 -5.70439822e-04  1.59210530e-04 -1.03799257e-04
  6.24479678e-05  9.23163126e-05]","[ 3.44308664e-03 -9.34367929e-03  1.70609913e-05  1.54599461e-03
  1.02201687e-03  4.88330388e-03 -8.86688376e-04  5.34202442e-03
 -5.88307413e-03  3.60766165e-04  8.32340944e-04 -2.18245829e-03
  8.07844919e-04  9.69960657e-04  1.73353330e-03  1.52701824e-03
 -5.47891214e-04  4.85165341e-03 -2.58428573e-03  1.53758553e-03]",-5.476860446864203,0.004182440099663943
