,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.028372172967281298,0.9593056015052739,"[-2.44024602e-06 -7.12113636e-04  1.73869691e-04  7.31334168e-04
 -8.73546861e-05  1.66515773e-04]","[ 4.13316237e-03 -8.55427105e-03 -1.38316698e-03  3.56353850e-03
 -1.84310348e-03  4.25342174e-03 -4.90693993e-04  1.97673359e-03
 -2.84275392e-03  7.40648795e-04  3.68488845e-05 -6.87355093e-04
  7.06017121e-04 -1.01673465e-04  2.24622001e-03  2.32661626e-03
 -2.60590837e-03  4.41356689e-03 -1.64184498e-03 -2.54081151e-03]",-5.124865442879372,0.005947017516190596
AAL,0.4365143460053303,0.5451825853342213,"[ 8.32696311e-05  2.73785010e-04  1.87782812e-04 -1.82669732e-04
  2.15011586e-04  2.42432302e-04]","[ 5.33395709e-03 -3.10688154e-03 -7.96354046e-03  7.07117117e-03
 -6.44949184e-03 -1.70742122e-03  2.05757923e-03 -1.64705966e-03
 -1.81699459e-03  7.49024199e-05  2.05862816e-03 -1.85785601e-03
  1.18426646e-03  1.70792728e-03  8.30594907e-04 -5.76053110e-04
  3.33468083e-03  2.95220005e-03 -1.19055898e-03  8.66210955e-04]",-6.137081410762719,0.002161222142108055
AAP,0.4467355044989133,0.5415930789915859,"[-6.37970152e-04  8.52495857e-04 -9.76071701e-05 -1.91444971e-04
  3.06873337e-04  3.59471278e-04]","[ 0.00541479 -0.00638868 -0.0030299   0.00714877 -0.00637904  0.0049346
 -0.004188   -0.00129816 -0.00258408 -0.00366935  0.00231899 -0.00284894
  0.00221386 -0.00162824  0.00595276  0.00030287  0.00273195  0.00547715
  0.00389098  0.00072832]",-5.495372547347346,0.004105726603036668
AAPL,0.4490253086995272,0.5394563911521733,"[-4.45882587e-04  6.99750334e-04 -7.10454146e-05 -1.25172247e-04
  1.38531145e-04  3.77496799e-04]","[ 4.03660304e-03 -5.46047131e-03 -5.54785723e-03  3.05600824e-03
 -6.80452256e-04 -6.40499210e-04  3.64958249e-03  3.82633367e-03
 -5.12643335e-03  3.49480324e-03 -1.58022331e-03 -2.15114506e-03
  5.17405098e-04 -4.28438775e-04  7.05093510e-04 -3.10374194e-05
  1.77105710e-03  5.20196272e-04  4.94353476e-03  3.37366341e-03]",-5.300796078281776,0.004987621788677784
ABBV,-0.05925021286360687,1.0482610269584853,"[-1.18430150e-03  2.83315097e-04 -5.85661506e-04  5.42009493e-04
 -8.40767458e-05 -3.67043897e-05]","[ 0.00438392 -0.00918364 -0.00061808  0.00436582 -0.00305274  0.00492863
 -0.00082339  0.00072799 -0.00212085  0.00061969  0.00026684 -0.00101783
  0.00174846  0.00055257  0.00100166  0.00296603 -0.00091304  0.00260483
  0.00117416  0.00346641]",-5.248064167243531,0.0052576865559387665
ABT,-0.1646131303517397,1.1485711769411808,"[-1.08980311e-04 -8.47502728e-04  1.60226103e-04  2.31534397e-04
 -5.85081672e-05 -3.04869958e-05]","[ 4.16820341e-03 -1.01110801e-02  3.74250988e-04  3.66000360e-03
 -1.90676687e-03  5.41202231e-03 -3.41291809e-05  1.98088773e-03
 -2.97559053e-03  2.52718479e-03 -2.02843130e-03 -8.77615131e-04
  7.75170948e-04 -9.15552972e-04  8.73317040e-04  1.99919472e-03
 -1.51286058e-03  1.54196745e-03  7.25630927e-04 -3.16553427e-04]",-5.6837983772128995,0.003400617054487005
ACN,0.44744653328466544,0.5367246828222644,"[5.88119485e-04 3.46707667e-04 3.32664996e-04 1.73452267e-04
 6.31586303e-05 5.96228747e-04]","[ 0.00421396 -0.00375071 -0.00752299  0.00367461 -0.00178876 -0.00208391
  0.00341498  0.00222467 -0.0029225   0.00165519  0.0009515   0.00016814
 -0.00153654  0.00122654  0.00142377 -0.00071841 -0.00128572  0.00418871
 -0.00177138 -0.0071411 ]",-5.2671823058741465,0.005158124132110358
ADBE,0.44975388412279776,0.5361413912658636,"[-2.21608869e-04  5.78846553e-04 -2.86157959e-04  2.23607033e-05
 -2.70710402e-04  8.69864119e-05]","[ 3.88709440e-03 -3.30009366e-03 -8.11611963e-03  2.37078808e-03
  4.36564702e-04 -2.77093982e-03  4.10081917e-03  4.96295334e-03
 -5.51916228e-03  2.41898709e-03 -4.34461586e-05 -1.01739750e-03
 -1.95945478e-03  1.85831467e-04  1.84642930e-03 -2.33417868e-03
  4.08840818e-04  2.92104973e-03  2.50841361e-03 -6.72541416e-03]",-5.133533199100217,0.005895692973764105
ADI,0.4445004125301974,0.5396958547874582,"[ 2.86090799e-05 -2.65050119e-04  2.38363114e-04 -2.49542949e-04
  1.30234674e-04  1.80076496e-04]","[ 0.00508539 -0.00293856 -0.0077424   0.00626511 -0.00520237 -0.00051565
 -0.00010254 -0.00035177 -0.00280165 -0.00205648  0.00292645 -0.00224154
  0.00145475  0.00028268  0.00392504  0.00044179  0.00076059  0.00408759
  0.00557548 -0.00335776]",-5.525365633252184,0.0039844115923939015
ADM,0.02837348424245295,0.9430748027920767,[-0.00153312  0.00093599 -0.00053043 -0.00022796  0.00015847  0.00052672],"[ 0.00427311 -0.00633794 -0.00451254  0.00402829 -0.00269718  0.00034109
  0.00285927  0.0004966  -0.00023507  0.00237599  0.00076279  0.00286565
 -0.00350239  0.00338985 -0.00336997 -0.00140462 -0.00152169 -0.00018905
 -0.00252528 -0.00623473]",-4.994455909015456,0.006775406533882753
