,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,-0.19675104948207295,1.1756494343922788,[ 0.00071059 -0.00015517  0.00013432  0.00087691 -0.00032898  0.0002302 ],"[ 3.44628876e-03 -9.35326248e-03  4.15890567e-04  1.60378964e-03
  3.93681560e-04  4.35383837e-03  6.38553494e-04  3.61888367e-03
 -1.92543259e-03  1.84978767e-03 -4.40238308e-05  9.54093122e-04
 -2.91292438e-04  1.25162753e-03  1.06483387e-03  3.44501984e-03
 -4.60692718e-03  5.06911822e-03 -4.11553318e-03 -2.92514983e-03]",-4.924133966846388,0.007269018765916321
AAL,0.44402891426401714,0.5298881006887688,"[ 6.52831453e-05  1.21642982e-04  2.75035926e-04 -2.07641853e-04
  3.03099569e-04  2.88841946e-04]","[ 5.26339980e-03 -1.19445592e-03 -1.01782341e-02  6.92718307e-03
 -6.58277288e-03 -2.91887451e-03  1.70333523e-03 -1.17295950e-03
 -2.32177124e-03 -1.19115739e-03  3.28605868e-03 -1.96560591e-03
  8.46499087e-04  2.04571290e-03  1.63954150e-03 -1.77253192e-03
  4.05721039e-03  4.14263512e-03 -1.24645960e-03 -1.85511262e-05]",-6.037912808125281,0.002386534875117316
AAP,0.4510418404214875,0.5256934710665387,"[-5.81723908e-04  8.09816893e-04 -5.46927569e-05 -3.35065668e-04
  3.99338826e-04  4.01495667e-04]","[ 0.00484156 -0.00661121 -0.00218334  0.00582528 -0.00547871  0.00480169
 -0.00363543 -0.00099204 -0.00164123 -0.00308199  0.00241436 -0.00165915
  0.00214449 -0.0009422   0.00585016  0.00107972  0.00205827  0.00607177
  0.00395945  0.00104633]",-5.531428018554058,0.0039603296249582955
AAPL,0.045455466994343156,0.9373123271964473,"[-5.13624251e-04  7.58876413e-04 -1.09093449e-04 -3.76361134e-05
  2.47110927e-04  4.44910431e-04]","[ 3.63818742e-03 -6.18521778e-03 -4.50088663e-03  2.19913717e-03
 -7.32829262e-05 -9.93608396e-04  5.24222687e-03  4.13180845e-03
 -3.86450805e-03  5.05862830e-03 -2.54111964e-03 -1.64430238e-03
  1.52726463e-03 -1.34791880e-04  1.81553485e-04  1.75241819e-03
  1.33416731e-03  2.06345006e-04  5.22396356e-03  5.20850238e-03]",-5.111322127825257,0.006028107723689307
ABBV,-0.17131623565492213,1.1572979827750858,"[-1.07863179e-03  1.33754558e-03 -8.65995224e-04  4.17803849e-04
 -2.62835488e-04  9.10159337e-05]","[ 3.46715340e-03 -9.22614579e-03  4.38529207e-04  1.74151855e-03
  2.92609763e-04  4.85904738e-03 -5.15861252e-04  3.80941958e-03
 -2.45906958e-03  3.58603697e-04  1.70560040e-03  3.35460274e-04
 -3.55252306e-05  2.74318710e-03 -3.26127330e-04  2.37828932e-03
 -1.65715343e-03  3.75910201e-03 -2.56166601e-03  1.70470982e-03]",-4.738865512609656,0.008748565695094766
ABT,-0.35010070467774757,1.3268757511079983,[ 0.00080013 -0.00081067  0.0002408   0.0004708  -0.00032467 -0.00016605],"[ 0.00305689 -0.01039189  0.00164299  0.00041283  0.00212924  0.00489285
  0.00113876  0.00523106 -0.00255411  0.00284129 -0.000898    0.00111917
 -0.00095693  0.00115806  0.00031121  0.00251656 -0.00328044  0.00352039
 -0.00166501 -0.00094301]",-5.33360813262593,0.004826623458862228
ACN,0.4618259732927028,0.5261135158365063,[ 0.00049155 -0.00027726  0.00062183  0.00042404  0.00025439  0.00083626],"[ 0.00512206 -0.00357978 -0.00687024  0.00652164 -0.00601526 -0.00048067
  0.00184583 -0.00081678 -0.00204499  0.00177963 -0.00176828 -0.00131541
  0.00078487 -0.00225454  0.00371079  0.00084206 -0.00189141  0.00296178
  0.00197917 -0.00668947]",-5.071477204890178,0.00627314657021523
ADBE,0.04545844521231134,0.9406772937664839,"[-5.97950347e-04  1.74672540e-05 -2.34752041e-04  1.95126178e-04
 -9.42773985e-05  1.65470666e-04]","[ 0.00396392 -0.00584145 -0.00482152  0.00312433 -0.00154074 -0.00089562
  0.00499375  0.00247743 -0.00243717  0.00517623 -0.00369978 -0.00032813
  0.0003067  -0.00199971  0.00246208  0.00189609 -0.00245228  0.00149752
  0.00546626 -0.00418432]",-5.017378787250959,0.0066218612878105815
ADI,0.44627373623468364,0.5276195449570908,"[-2.21005797e-04  6.15135080e-05  1.34448103e-04 -3.04352644e-04
  2.82862603e-04  2.18747056e-04]","[ 0.00536002 -0.00375803 -0.00621383  0.00723696 -0.00712271  0.00122909
 -0.00123448 -0.00170335 -0.00237889 -0.00164324  0.00107286 -0.00283652
  0.00265484 -0.00166311  0.00477729  0.00050451  0.00162159  0.00263593
  0.00747866 -0.00303274]",-5.852827431123661,0.0028717679422190627
ADM,0.04545544750080174,0.9236703389630342,"[-1.55144784e-03  6.78861968e-04 -3.88919128e-04  2.30664696e-05
  2.07119646e-04  6.47122144e-04]","[ 4.75244347e-03 -5.08471067e-03 -4.97163663e-03  5.65288391e-03
 -5.35999326e-03  8.28051103e-04  1.23877677e-03 -1.59434212e-03
  4.71492584e-04  1.01559022e-03  4.60713313e-04  2.13432273e-03
 -2.87299889e-03  1.39467439e-03 -8.36494876e-04 -1.18531759e-03
 -1.69865341e-03  6.43832334e-05  1.03574989e-03 -6.50890926e-03]",-4.755866149564395,0.008601091634238214
