,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.42601436680328053,0.5314775485010972,"[ 4.62301802e-04  1.53846978e-03 -2.56013776e-04  2.19821588e-04
  2.81903580e-05  7.98040689e-05]","[ 0.0040264  -0.00967814  0.0014039   0.01031698 -0.00738689 -0.00348617
 -0.00084246  0.00131317  0.00202314  0.00353114  0.00128767 -0.0056088
 -0.0038342   0.00759622  0.00214212 -0.00095216  0.00079105 -0.00140876
 -0.00262771 -0.00082118]",-5.1605967805559,0.005738274173165278
AAL,0.42695831649255056,0.5332255808811389,"[-1.14576835e-03  8.73012316e-04 -4.67081295e-04 -5.36778514e-04
  2.23930652e-04 -2.74691081e-05]","[ 0.00846223 -0.00772593 -0.00155161  0.00429519 -0.00867968  0.00340328
  0.00448179 -0.00272307 -0.00394105  0.00287043  0.00445671 -0.00241829
 -0.0028606   0.00608647  0.00013203 -0.00353694  0.00049038  0.00432937
  0.00025521 -0.00440008]",-5.182868526404762,0.005611885462140991
AAP,0.4268410322960505,0.5350119225244051,"[ 6.67553400e-04 -2.09908834e-04  1.40862955e-04 -2.08447906e-04
 -1.36179875e-05 -3.57496540e-04]","[ 4.61627877e-03 -8.59317396e-03  2.63403531e-03  7.33050004e-03
 -1.17510252e-02 -1.04860263e-03  5.05000232e-03  2.00243207e-03
 -1.94876133e-03 -1.02201639e-03  3.48997246e-04 -2.74396388e-04
  1.26060693e-03  5.15371244e-03 -2.40235377e-03 -2.47767289e-03
  7.41246973e-06  1.12633102e-04  3.87430696e-03  5.86750551e-03]",-5.287289599058949,0.0050554439872604095
AAPL,0.42322282581546855,0.528590431211414,[-0.00025638  0.00098753 -0.0008044   0.00047627 -0.00048504 -0.00036526],"[ 0.00532488 -0.00846329  0.00116392  0.00658023 -0.00920384  0.00084529
  0.00196469 -0.0015001   0.00070221  0.0040064  -0.00089912 -0.00513008
  0.00061121  0.0083123  -0.00101754 -0.00288967 -0.00046805 -0.0010099
  0.00281943  0.00480304]",-5.157773239858823,0.005754499319224881
ABBV,0.426843801472638,0.5231755557076111,"[ 1.20231504e-03 -5.25753211e-06  2.63295076e-05  4.06770307e-04
 -3.52067227e-04 -4.18217730e-04]","[ 5.67009328e-03 -8.23149809e-03  1.31938809e-03  5.78289038e-03
 -1.06913272e-02  1.77392032e-03  5.11499459e-03 -1.66940256e-03
 -3.46103700e-03  2.36163737e-03  2.85461018e-03 -1.76605854e-03
 -3.84287418e-04  4.70368586e-03 -2.26713432e-03 -1.64581435e-03
  4.19900755e-05  9.54937213e-04  6.96522983e-03  2.88257487e-03]",-4.755053921258366,0.008608080522228397
ABT,0.41566460084993667,0.5286327501357018,"[ 1.14456143e-03  8.73137385e-04  1.68461551e-05  7.01141159e-04
 -1.83152341e-04  1.44868814e-04]","[ 1.16800037e-03 -8.66766322e-03  6.11034040e-03  7.50486459e-03
 -1.42256508e-02 -2.33049058e-05  6.35571905e-03 -1.24074745e-03
 -3.14185822e-03  3.97954740e-03  2.12580843e-03 -4.29243476e-03
  7.00792553e-05  6.30353260e-03 -2.87906868e-03 -1.14856502e-03
  1.16720883e-03 -9.68026012e-04  6.48801266e-03  3.52335328e-03]",-5.559033283737665,0.0038524988713422494
ACN,0.005369904638692248,0.9491999692053936,[-0.0018431   0.00120289 -0.00101414  0.00020952 -0.00020121  0.00013482],"[ 1.22648685e-02 -8.58656948e-03 -7.92480747e-03  6.80517035e-03
  5.54941534e-04  6.48494144e-04 -5.12539531e-03 -1.03311783e-03
  3.39190457e-03  2.34065077e-03  8.70170370e-04 -1.67008327e-03
 -3.09776075e-03  3.65646645e-03  1.66433173e-03 -9.19159972e-05
 -9.26687845e-04  1.46338518e-03  2.33300872e-03 -4.53310799e-03]",-4.606995467240246,0.009981763835605988
ADBE,0.4316035759376957,0.529069759584233,"[-1.04141295e-03  5.10338046e-04 -1.94761145e-04 -5.12095229e-05
  2.08691724e-04  4.76931095e-04]","[ 8.44489550e-03 -8.90857862e-03 -3.33989881e-03  7.59707971e-03
 -3.92010650e-03  8.85402745e-05 -1.80420596e-03 -1.56718436e-03
  1.12268769e-03  4.50659808e-03  2.68970857e-03 -4.80911329e-03
 -4.46412194e-03  6.62891935e-03  2.52621881e-03 -1.37774857e-03
 -9.46525371e-04  3.72557593e-04  1.41721366e-03 -1.07799314e-03]",-4.807639699467537,0.008167113809068783
ADI,0.4196681299850804,0.5271164175041293,"[-1.81627735e-04  1.20511926e-03 -4.70405547e-04  4.11296445e-05
 -3.99581332e-05 -7.77381849e-05]","[ 4.78589001e-03 -8.47803882e-03  2.01693245e-03  6.60526093e-03
 -1.05264067e-02  7.59589175e-04  3.64506124e-03 -1.24875797e-03
 -1.10713552e-03  3.49902110e-03  7.20904114e-04 -4.51847490e-03
 -5.79624450e-05  7.93124478e-03 -1.36895800e-03 -3.17248392e-03
  7.22745769e-04  1.35155206e-04  1.00222751e-03  3.47963030e-03]",-5.301809270230294,0.0049825709296161935
ADM,0.4272940214689513,0.5336328102550566,[0.00143568 0.00067218 0.0004046  0.0001931  0.00017972 0.00020282],"[ 4.34865359e-03 -9.20982941e-03  1.85131705e-03  9.31144852e-03
 -8.96337169e-03 -3.15886325e-03  7.28749364e-04  2.59456359e-03
  2.22114290e-03  1.09071037e-03 -1.68192005e-03 -4.35717557e-03
 -2.42641123e-04  9.31557492e-03  1.15967073e-03 -4.48363879e-03
 -2.80094671e-03  5.37340917e-05  3.31335887e-03  5.82516498e-03]",-5.2052720683107685,0.005487557247380667
