,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,1.1909449354975554,-0.2449081143161611,[ 0.00227734 -0.00050122  0.00042163  0.00042206 -0.00040599 -0.00067206],"[ 0.0119233  -0.01054474 -0.01233729  0.0009253  -0.0123161   0.00760315
  0.00146221  0.00625051  0.00129054  0.00107251  0.00275659  0.00527086
  0.00500339  0.00340634  0.00223471 -0.00524168 -0.00040767 -0.00072942
  0.00572212 -0.00284219]",-4.8992062080121235,0.007452496455591278
AAL,-0.8101436302549321,1.7487927385650763,"[ 1.25792024e-04 -2.99212136e-05 -3.78610632e-04  3.72195640e-04
 -4.76875542e-04 -4.70639852e-04]","[ 0.01129531 -0.00051693  0.00261597  0.00260695 -0.01019252 -0.00746863
 -0.01033264  0.00539827  0.00329331  0.00755669  0.00382234  0.0004153
 -0.00061775  0.00580003  0.00564103 -0.0012994  -0.00180466 -0.00408189
  0.00280601  0.00444607]",-4.34878739077239,0.012922472993575754
AAP,0.46457044991306484,0.48218719005836286,"[-5.53218680e-04  3.51172110e-04 -7.90469237e-04 -1.37278445e-03
 -7.68544037e-05 -1.52594472e-03]","[ 1.21008577e-02 -7.97523503e-03 -8.51535321e-03  5.79576765e-05
 -1.45468799e-02  3.59288125e-03 -2.28677869e-03  1.02967307e-02
  6.27887958e-03  4.45120562e-03  5.50606335e-03  5.20810812e-04
  1.98582328e-03  1.67466181e-03  2.11484244e-03 -4.19234575e-03
 -8.94905109e-04 -2.05765632e-03  4.16124281e-03 -2.16875804e-03]",-4.782403588513152,0.00837584267423821
AAPL,0.45446669251773736,0.46950198798147846,"[-9.64820167e-04  7.45674755e-04 -5.20481844e-04 -2.90520277e-04
  5.28705484e-05 -8.80727094e-05]","[ 0.01203492 -0.00583854 -0.00537222 -0.00066577 -0.01645948  0.00074057
 -0.00358221  0.01387915  0.01149064  0.00324625  0.00200247 -0.00616196
 -0.00449888  0.00632579  0.00641001  0.0002319  -0.00221979 -0.00654533
 -0.00223358  0.00530998]",-4.467562125740097,0.011475257011843253
ABBV,1.4462456047870569,-0.5093862751825133,"[ 3.44317073e-04  1.12380804e-03 -4.44916438e-04 -5.95885468e-04
  2.61369274e-05 -7.39047558e-04]","[ 1.10237344e-02 -1.22063329e-02 -1.55053413e-02  3.41182011e-03
 -8.51361486e-03  1.19197120e-02  5.94243692e-03  2.40352475e-03
 -1.11908441e-03 -1.95858310e-03  2.45096403e-03  6.23148394e-03
  5.14175406e-03  1.55773913e-03  6.59308222e-04 -5.12729430e-03
 -5.61618395e-05 -1.96921417e-03 -1.77203033e-04 -3.62082332e-03]",-5.070418826629974,0.006279789446886254
ABT,0.7707413074323556,0.15806642614393565,"[-6.52716978e-04 -3.03234434e-05 -1.05032185e-03 -6.92639955e-04
 -6.00415446e-04 -1.68466357e-03]","[ 0.01190189 -0.00755238 -0.00843142  0.00054084 -0.01382478  0.00482489
  0.00114798  0.00972316  0.00644729 -0.00149127 -0.00178374 -0.00057227
  0.00062771  0.00859403  0.00651436 -0.00390991 -0.00336877 -0.00387957
  0.00406712  0.00341861]",-4.466286380065161,0.011489905863462652
ACN,1.3212877726261143,-0.37027813240941976,[ 0.00140093  0.00111067 -0.00011291  0.00017823 -0.00014053 -0.00040721],"[ 0.01171834 -0.0117049  -0.0146286   0.00068608 -0.01388477  0.01070576
  0.00435868  0.00991719  0.00615933 -0.00017783  0.0037941   0.00077153
  0.00246594  0.00124565  0.00120569 -0.00422807  0.00087264 -0.00176491
  0.00389598 -0.00655307]",-5.041881723239355,0.00646157796983805
ADBE,1.1810885914526268,-0.22795690485253622,"[ 2.42400362e-03  8.02649732e-04  2.50538376e-04 -3.50600343e-04
  5.18258751e-06 -8.94133069e-04]","[ 0.01198842 -0.01067291 -0.01263308  0.00028599 -0.01399707  0.00795061
  0.00145695  0.00917099  0.00462332  0.00185431  0.004138    0.00243136
  0.00336714  0.00234488  0.00254436 -0.00421525  0.00105855 -0.0023647
  0.0043768  -0.00563303]",-4.704195559701615,0.009057197262591164
ADI,1.0881924880954907,-0.13569031158751088,[ 0.00111079  0.00099979 -0.00020689  0.00027935 -0.00022756 -0.00039211],"[ 0.01260368 -0.00994467 -0.01087865 -0.00192314 -0.01750418  0.00511539
 -0.0018119   0.01277101  0.00693983  0.00421424  0.00441411  0.00139341
  0.0031466   0.00386024  0.00416036 -0.00466453 -0.00054351 -0.00271847
  0.00543791 -0.0023803 ]",-5.019393914927044,0.006608530827662868
ADM,1.059914704981152,-0.1203921630824649,"[ 1.12414355e-03 -6.81629916e-04  3.19618106e-04 -3.36717489e-04
 -6.69016100e-05 -6.45726257e-04]","[ 0.01124848 -0.00966347 -0.01155336  0.00285458 -0.00955321  0.00752581
  0.00165856  0.00376656 -0.00011752  0.00198643  0.00597306  0.00636846
  0.00699442 -0.00181406 -0.0024175  -0.00892028 -0.00357555  0.00123447
  0.0038747  -0.00276351]",-4.836956361328699,0.00793115692869847
