,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.46195510631876135,0.4978830496097208,[ 0.00064355  0.00093555 -0.00041875  0.00062008 -0.00043113 -0.00029457],"[ 0.00513099 -0.00798517  0.00107427  0.00262301 -0.01130319  0.00694673
  0.00353385 -0.00612938 -0.00033678  0.00465499 -0.00091757 -0.00106806
  0.00155393  0.00202392 -0.00195281  0.00103316 -0.00076845  0.00153347
  0.0040638  -0.00481672]",-4.876605694108696,0.007622844430391906
AAL,0.4642620349829169,0.5019501741718672,"[-2.74298372e-04  8.78993521e-04 -1.70398979e-04 -4.37307601e-04
  2.79548040e-04  1.66088002e-05]","[ 0.00466353 -0.0072817   0.00167901  0.00094294 -0.01206099  0.00924354
  0.00437052 -0.00803858 -0.00163489  0.00547448  0.00109236 -0.00056315
 -0.00104156  0.00105889  0.00040301  0.00093196 -0.00182603  0.00435423
  0.00268871 -0.01035396]",-5.181663801167524,0.005618650316262775
AAP,0.4579606048743893,0.4948748895359949,[ 0.00255419 -0.00119081  0.00071322  0.00128236 -0.00065811 -0.00020442],"[ 0.00424739 -0.0090273   0.00285597  0.00608572 -0.01479929  0.00151901
  0.0077829  -0.00074042 -0.00454757  0.00086777  0.00160497 -0.00016561
  0.00168458  0.00310975 -0.00421158  0.00034063  0.00162075 -0.00154646
  0.00502935  0.00374797]",-5.148679577558292,0.005807067448893753
AAPL,0.45656251326953967,0.49410477600849584,[ 0.00043973  0.00087004 -0.00039135  0.00055823 -0.00037021 -0.00021107],"[ 3.31855860e-03 -6.93929465e-03  2.89316705e-03 -8.66906965e-06
 -1.21028366e-02  1.05432074e-02  2.42106004e-03 -9.07434271e-03
  2.07563320e-03  5.97515835e-03 -3.26739065e-03 -5.20590225e-04
  2.88817562e-03  5.73556050e-04 -2.23269476e-03  2.49962135e-03
 -1.17326811e-03 -3.70780391e-05  5.59133056e-03 -1.69682286e-03]",-5.409162690774214,0.004475385924893105
ABBV,1.3687785154786538,-0.41320896131846185,"[ 1.17243593e-03  2.21493309e-04  9.45204972e-06  4.39113192e-04
 -3.40879654e-04 -3.85134671e-04]","[ 0.00175755 -0.00774615  0.00494946  0.00227466 -0.01451055  0.00699897
  0.00420941 -0.00552284  0.0007398   0.00354627 -0.00195213 -0.00041025
  0.00096249  0.00258887  0.00040708 -0.00024406 -0.00395368  0.00032457
  0.00625188  0.00371691]",-5.148471164587555,0.0058082778431986035
ABT,1.5735582270256039,-0.6191405622073736,"[ 1.18760524e-03  6.82952427e-04  7.24924287e-05  8.20837532e-04
 -2.61992594e-04  1.29231694e-04]","[ 0.00038884 -0.00767764  0.00695772  0.00227274 -0.01728415  0.00692631
  0.00668463 -0.00543025 -0.00115771  0.00350988 -0.00110187 -0.00050876
  0.00130977  0.00286289 -0.00090887 -0.0007411  -0.00213841  0.00109213
  0.00518426  0.00263841]",-5.541799903631659,0.003919465824867684
ACN,-0.7044233553326177,1.656323039640542,[-0.00198973  0.00142511 -0.00125786  0.00052501 -0.00040991  0.00011635],"[ 0.01258982 -0.00896088 -0.00867458  0.00547383 -0.00034471  0.00269049
 -0.00331379 -0.00214381  0.00210853  0.00222817  0.00010547 -0.00112467
 -0.00063943  0.00384068 -0.00050966 -0.00102243 -0.00128305  0.00189263
  0.00499065 -0.0027334 ]",-4.505348096066654,0.011049743145201834
ADBE,0.4645609543439207,0.5010312493090611,"[ 5.97215441e-05  2.33740103e-04  4.70614374e-05  5.19908267e-04
 -7.05258504e-05  4.00190796e-04]","[ 0.00790278 -0.00785825 -0.00267023  0.00214094 -0.00681196  0.00782098
  0.0003913  -0.00718097  0.00109024  0.00562434 -0.00049099 -0.00147514
 -0.00024093  0.00161672  0.00041639  0.00218592 -0.00322024  0.00020824
  0.00574694 -0.0043666 ]",-4.885305373796556,0.007556815756139885
ADI,0.4600824349971306,0.49756585087759114,[ 0.00020729  0.00082916 -0.00037838  0.00023063 -0.00021531 -0.00023661],"[ 0.0029737  -0.00729838  0.00353866  0.00084154 -0.01333396  0.00934665
  0.00399725 -0.00805205  0.00020537  0.00546847 -0.00135118 -0.00072008
  0.00111271  0.00131027 -0.00104931  0.00134884 -0.00073968  0.00141249
  0.00180766 -0.00321335]",-5.262994468007869,0.0051797708144311295
ADM,0.46342841486294883,0.5000796337702881,"[ 2.76703844e-03  6.01411394e-05  5.75984145e-04  1.45988635e-03
 -5.30347044e-04  7.86068964e-05]","[ 5.90882441e-03 -8.47145555e-03  6.79763133e-05  3.98850599e-03
 -1.02254180e-02  4.85350388e-03  3.01379214e-03 -4.11564029e-03
 -4.82290173e-04  3.53084461e-03 -2.36691453e-04 -1.62313186e-03
  6.80465471e-04  4.05183815e-03 -1.12038363e-03 -1.34064172e-03
 -1.96147192e-03  1.71885737e-03  6.39820451e-03 -2.08430792e-04]",-4.927354241878235,0.007245648176337879
ADP,0.45630587124160155,0.4907249962016434,"[-2.70203084e-04  7.02235702e-04 -4.27563907e-04  3.26870314e-04
 -2.05509893e-04 -1.03686721e-05]","[ 5.33606417e-03 -9.13724938e-03  1.45881353e-03  6.67211572e-03
 -1.33879045e-02  6.92367649e-05  7.40953083e-03  1.82142063e-03
 -5.78578587e-03 -3.08511637e-03  4.78110275e-03  4.37945118e-03
 -3.18307899e-03 -6.35184547e-04  1.14150576e-03  1.42047139e-03
 -2.67916554e-03  2.48395389e-03  5.18711726e-03 -5.72375335e-03]",-4.748884657946316,0.008661350185919608
