,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,1.3243467539111635,-0.37944688488050077,"[ 2.15650368e-03  2.88683477e-04  5.65900120e-04  1.77014839e-04
 -7.43297973e-04  2.21546859e-05]","[ 0.01080729 -0.0107565  -0.01347928  0.00513924 -0.00596109  0.00984062
  0.00342707  0.00058828 -0.00014981  0.0011908   0.00558806  0.0023792
  0.00028986 -0.00108282 -0.00043275 -0.00144955 -0.00078121 -0.00227277
 -0.00064809  0.00091674]",-4.771656392669038,0.008466344947546094
AAL,-1.155678281633158,2.1016904355708403,[-0.00160565 -0.00025585 -0.00060864  0.00070728 -0.0003738   0.00019814],"[ 0.01147399  0.00128611  0.00541517  0.00284461 -0.01070539 -0.00846906
 -0.00960553  0.0059968   0.0048183   0.00396077  0.00030842 -0.0005839
 -0.00013462  0.00804605  0.00523827 -0.00318204 -0.00375364 -0.00174407
  0.0066212   0.00521379]",-4.940639559365662,0.007150024044850924
AAP,0.47417647599509294,0.4686765792169036,[-0.00209058  0.00110274 -0.00108568 -0.00080691 -0.00024421 -0.00065981],"[ 0.01256803 -0.00561734 -0.00546283  0.00028251 -0.01547962  0.00217121
 -0.0018581   0.01081488  0.0082642   0.00208488  0.00322391 -0.00125103
  0.0016176   0.00242801  0.00095913 -0.00542774 -0.00327705 -0.00033069
  0.00454775 -0.00128547]",-4.758578207896141,0.008577796575067555
AAPL,-0.49435149657594646,1.4301643236530364,"[-1.16166643e-03  4.55848535e-04 -4.76183385e-04 -5.45994914e-05
 -2.40690264e-05  7.14044467e-05]","[ 1.20406536e-02 -2.89232429e-03 -1.61922564e-03  1.14969571e-03
 -1.45880664e-02 -6.66689987e-04 -2.37346233e-03  1.12895536e-02
  1.11248817e-02  2.21015191e-05 -3.43700797e-04 -6.35542773e-03
 -3.95021775e-03  6.39170340e-03  4.06880687e-03 -1.66362568e-03
 -3.97871973e-03 -3.76820485e-03 -1.05099897e-03  5.20216084e-03]",-4.872908086820109,0.007651082890712122
ABBV,1.4611628648472006,-0.5219057579081968,"[ 1.79443353e-04  6.87573451e-04 -1.06560100e-04 -6.14430188e-04
 -1.11190512e-05 -3.45274537e-04]","[ 1.05152465e-02 -1.14236530e-02 -1.46696618e-02  5.75540517e-03
 -4.45993199e-03  1.13396356e-02  5.16937323e-03 -1.69320162e-03
 -3.03006953e-03 -2.53020634e-04  4.63697527e-03  4.84168932e-03
  1.24010320e-03 -7.78001731e-04 -5.55791902e-04 -4.77390511e-04
  1.15146886e-03 -2.69825239e-03 -3.45080506e-03  9.66668797e-05]",-5.3077298145510285,0.004953158552153943
ABT,0.4680278240855142,0.46314976673106234,[-0.00087923  0.00066429 -0.00099414 -0.00048336 -0.00081108 -0.00093808],"[ 0.01192261 -0.00573578 -0.00615606  0.0017729  -0.01290532  0.00404001
  0.00195557  0.00862856  0.00743866 -0.00309793 -0.00293414 -0.00232986
 -0.00050538  0.00890313  0.00551162 -0.00407323 -0.00497207 -0.00291926
  0.00406535  0.00530869]",-4.57294529200568,0.01032749738391729
ACN,1.5586512813052038,-0.6021564296534995,"[ 7.92816807e-04  1.49839541e-03 -1.03240362e-04 -1.79905509e-05
 -2.87374358e-04  1.51226784e-04]","[ 1.15481691e-02 -1.23831083e-02 -1.58261063e-02  2.80544542e-03
 -1.05324707e-02  1.17664820e-02  4.41879647e-03  5.43864680e-03
  3.93080944e-03  1.13726628e-03  5.67538280e-03  2.55822515e-05
 -7.34496800e-04 -6.03482397e-04  4.26980834e-04 -4.03741323e-04
  1.35001239e-03 -2.61809475e-03  9.76809782e-04 -2.88595356e-03]",-5.1440655895495775,0.005833923096643204
ADBE,1.2542446275526409,-0.29403344561814987,"[ 1.64437483e-03  1.55162397e-03  7.03713358e-05 -5.33378417e-04
 -4.41873579e-04 -1.94335407e-04]","[ 0.01176173 -0.0105148  -0.01294925  0.00261705 -0.01073199  0.00906421
  0.00257082  0.00547017  0.00362464  0.00156326  0.00515789  0.00078969
  0.00037904  0.00018265  0.00076229 -0.00159957  0.00063637 -0.00249324
  0.00103468 -0.00285068]",-4.675756171734249,0.009318476104687801
ADI,0.4792448090568808,0.4751560506202982,"[ 4.57592857e-04  1.58739305e-03 -4.07590942e-04  4.29334847e-04
 -5.56804178e-04  7.70917408e-05]","[ 0.01250861 -0.00799023 -0.00905951  0.00033314 -0.01538898  0.00543934
  0.00022651  0.01068883  0.00814362  0.00175757  0.00383208 -0.00125273
  0.00140419  0.00200566  0.00162957 -0.0050014  -0.00283973 -0.0020794
  0.00251674 -0.00157546]",-5.0060221890215555,0.006697491745496774
ADM,0.9835473598535138,-0.04012716880606739,"[ 1.19011768e-03  6.73877605e-04  4.36978756e-04 -3.33046017e-04
 -1.52208377e-04  8.26150365e-05]","[ 1.13706291e-02 -8.72446551e-03 -1.04202838e-02  3.67913774e-03
 -8.50164346e-03  7.08662820e-03  1.67769108e-03  2.58572751e-03
 -5.02540838e-05  1.56841036e-03  5.48158507e-03  5.22536719e-03
  5.54825798e-03 -1.71436719e-03 -2.47950641e-03 -7.49031613e-03
 -4.17171550e-03  1.22027941e-03  3.43624978e-03 -9.02706001e-04]",-4.85414665638339,0.007795983168091129
