,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,1.0668013322245955,-0.09841060652965286,"[ 2.24987143e-04  5.29717005e-04 -2.70864872e-04 -3.22715627e-07
 -1.40185731e-04 -3.33093191e-04]","[ 0.00319197 -0.00645292  0.00119148  0.00016667 -0.00925439  0.00934848
  0.00081542 -0.00691812  0.00073611  0.00300954  0.000871    0.00057912
 -0.00114719  0.0024596  -0.00092783 -0.0010488   0.00084684  0.00221589
  0.00283847 -0.00242169]",-4.8369050840929395,0.007931563626929242
AAL,1.261191432071587,-0.2920019203665758,[-0.0004218   0.00045827 -0.00029386 -0.00050021  0.00010721 -0.00029964],"[ 2.28631502e-03 -5.35871702e-03  1.36108316e-03 -1.82433798e-03
 -8.03341993e-03  1.07728447e-02 -2.88414026e-04 -6.71963010e-03
 -2.75671608e-05  1.95218233e-03  3.41122924e-03  6.01087144e-04
 -3.66568246e-03  4.19608232e-03  1.90729826e-04 -3.19112062e-03
  1.94352108e-05  3.35340923e-03  4.34770925e-03 -4.44739905e-03]",-5.280050940044551,0.005092171390654772
AAP,0.42785630502035443,0.5273387773063294,[ 0.00187333 -0.0010705   0.00052841  0.00090164 -0.00048032 -0.00015835],"[ 0.00420173 -0.00748634  0.00103984  0.00287314 -0.01168245  0.00610895
  0.00562579 -0.00454719 -0.00478993  0.00292999  0.00546471 -0.00097491
 -0.00378449  0.00404309 -0.00052166 -0.00040316  0.00203511 -0.00282151
  0.00180164  0.00849879]",-5.069215192107998,0.0062873525689596
AAPL,1.5693766057458245,-0.6033549588142519,[ 0.00022657  0.00091191 -0.00043551  0.00021232 -0.00021862 -0.00026662],"[ 0.00062157 -0.00397788  0.00274836 -0.00477097 -0.0076572   0.01438217
 -0.00287653 -0.0098108   0.00342815  0.0029145   0.00048179  0.00123442
 -0.00166995  0.00303588 -0.00143734 -0.00169253  0.00149734 -0.00019905
  0.00596699  0.00342461]",-5.465854291808314,0.004228726936718525
ABBV,1.3457830969988076,-0.3811934318858303,"[-1.93507790e-04 -8.66259775e-05 -2.91024017e-04  8.04019987e-05
 -2.40836720e-04 -2.91986399e-04]","[ 0.00159385 -0.00580681  0.00317847 -0.00101278 -0.01136346  0.01054679
  0.00260647 -0.00773152 -0.00096705  0.00324857  0.0024059   0.00067199
 -0.00212812  0.00179675 -0.00044679  0.00109604 -0.00012205 -0.00168721
  0.00505206  0.00276583]",-5.313705616983767,0.0049236477185038005
ABT,0.42970461368270635,0.5316154958742063,"[ 4.25122934e-04  4.35055867e-04  2.51034406e-05  3.54500491e-04
 -3.91100110e-05  2.00177315e-04]","[ 9.21275190e-04 -5.77240672e-03  4.61972600e-03 -1.03342061e-03
 -1.37755430e-02  1.11056433e-02  4.74901673e-03 -9.12892954e-03
 -2.17311435e-03  4.66091254e-03  2.94156166e-03 -3.92826297e-05
 -2.74379413e-03  1.83801632e-03  2.06006575e-04  7.54266490e-04
  3.77095868e-04 -6.96512964e-04  2.64998514e-03  2.50412582e-03]",-5.538493213116449,0.00393244773708957
ACN,0.42961925853116467,0.526892004794054,"[-1.61372620e-03  1.35324612e-03 -1.06331732e-03  2.83671308e-04
 -2.68073510e-04  4.15959620e-05]","[ 8.67336939e-03 -7.99030249e-03 -6.21615310e-03  3.97610044e-03
 -1.02440415e-03  3.99069300e-03 -4.90008534e-03 -9.46231100e-04
  3.79577060e-03 -9.30644716e-04 -3.11583136e-04  1.97027183e-03
 -1.05328769e-03  3.51744210e-03 -5.28290381e-04 -3.74181829e-03
  7.02455865e-05  4.51951387e-03  4.51752273e-03 -2.48236512e-03]",-4.47314402035334,0.011411381774813567
ADBE,1.2202348788932262,-0.2531335903179167,"[2.75511047e-04 8.67706126e-05 1.52668416e-04 6.61179421e-05
 8.08769548e-05 1.55199121e-04]","[ 2.77207126e-03 -5.07908543e-03  4.91836127e-05 -2.41323067e-03
 -5.09284200e-03  1.10918006e-02 -4.06852794e-03 -5.88551997e-03
  3.24917564e-03 -2.46700694e-04  1.76448629e-03  3.25559839e-03
 -3.61911326e-03  2.62018569e-03  2.23069143e-04 -3.24991126e-03
  9.08475900e-04  2.66166887e-03  5.17030958e-03  3.66873462e-04]",-5.007276938134135,0.006689093343718061
ADI,1.4189009282183167,-0.4505545836558849,"[-1.64979875e-04  5.14641215e-04 -1.73491600e-04 -1.42283737e-04
  6.86806241e-05 -3.72043949e-05]","[ 0.00122898 -0.00537047  0.00327135 -0.00208295 -0.01055682  0.01185913
  0.00094823 -0.00874586  0.00079819  0.00336685  0.00129151  0.00096435
 -0.00176791  0.0021769  -0.0009511  -0.00095761  0.00179555  0.00157243
  0.0017579  -0.00072783]",-5.248926120531516,0.005253156628298158
ADM,0.4365423207704598,0.5358428773134796,[ 0.00125276  0.00038066  0.00021796  0.00062084 -0.00014178  0.0001479 ],"[ 4.17429825e-03 -6.43875178e-03 -4.09913195e-04  3.57095804e-04
 -7.26366211e-03  8.64209253e-03 -1.01567963e-04 -5.68403214e-03
 -9.02318150e-05  2.29505340e-03  2.97852800e-03 -1.43980293e-04
 -3.20897672e-03  4.56101874e-03 -3.26569345e-05 -2.78079150e-03
  4.38129506e-04  9.71658212e-04  4.55468242e-03  2.47083001e-03]",-4.876747773021136,0.007621761461880856
