,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
AEP,0.8294173217985831,0.13887286805966553,[ 0.00105034  0.00049396  0.00010955  0.00085418 -0.00027328  0.00018133],"[ 0.01399753 -0.00077479 -0.00822716  0.00543482  0.00049869 -0.00295648
  0.00728541  0.0025603  -0.00341786  0.00730122 -0.00621998 -0.00223579
  0.00320761 -0.00518866  0.00280911  0.0041965  -0.00010322 -0.00169121
  0.00921809  0.00630401]",-4.634056595624256,0.009715268142834585
AES,-0.8058030312439431,1.7657859901874822,"[ 5.69635148e-04 -3.31240862e-04 -6.52281979e-05  1.44452918e-04
 -3.24911171e-04 -5.11153616e-04]","[ 0.01565557 -0.00831841  0.00162455  0.01104709 -0.00854731  0.00481764
  0.00097088 -0.00679409  0.00318463  0.00288917 -0.00255198  0.00168322
  0.00081995 -0.00111385 -0.00014868  0.00178369  0.0026249   0.00019536
  0.00020794  0.00676178]",-4.890645775666531,0.007516566891358838
AFL,0.48099676111594514,0.4914507326417318,[ 0.00031075  0.00129206 -0.00019189  0.00085425 -0.00012176  0.0005424 ],"[ 0.01550858 -0.00139721 -0.00853839  0.01012886 -0.00669293 -0.00482283
  0.01043173 -0.00437675  0.00102365  0.00881861 -0.00339967  0.00031359
  0.00093018  0.00169526 -0.00466177  0.00117853  0.00255963 -0.00329592
  0.0012338   0.00389839]",-4.437365589991158,0.011827054826811166
AIG,0.478239916187159,0.48826320024338776,[ 0.00169143  0.00075513 -0.00026226  0.00168766 -0.0008745  -0.00012542],"[ 0.01566877 -0.00443948 -0.00426972  0.01095325 -0.00818703 -0.00101896
  0.00690957 -0.00621714  0.00288376  0.00657934 -0.00277961  0.00235937
 -0.00123862  0.00118469 -0.00355924 -0.00063353  0.00359112 -0.0026974
  0.00256638  0.00328057]",-4.334499310100292,0.013108435691538214
AIZ,1.290445090623168,-0.3210329415786033,"[-2.97273615e-04  1.66711652e-03 -1.89460635e-04  1.01748809e-03
  8.00977401e-05  1.16833404e-03]","[ 1.38665641e-02  2.50449404e-03 -1.26607472e-02  5.32588995e-03
  4.88362928e-04 -6.39627997e-03  8.99339459e-03  2.19756886e-03
 -2.42613409e-03  5.39157878e-03 -1.20505085e-03 -2.51315600e-04
  4.48628029e-04  1.27878150e-03 -2.27412074e-03  1.92354227e-03
  9.16255205e-05 -1.64668397e-03  2.38036628e-03  1.90837715e-03]",-4.498036285484019,0.011130832869145367
AJG,-0.6103103569560031,1.5609040010595268,[-0.00022219  0.00117768 -0.00049522  0.00049424 -0.00019954  0.00012891],"[ 0.01599426 -0.0065736  -0.00145683  0.01180284 -0.00922256  0.00114424
  0.00553568 -0.00651301  0.00161007  0.0065096  -0.00348106 -0.00088446
  0.00320065  0.00051351 -0.00334467  0.00292595  0.00233364 -0.00256468
  0.001375    0.0058784 ]",-4.909986792515308,0.007372585704037817
AKAM,-0.6495048295211413,1.629327748193374,[ 0.00024291 -0.002173    0.00146398 -0.00052194  0.00075481  0.00088623],"[ 0.01428508 -0.00756223  0.00116272  0.006411   -0.00024723  0.00550174
 -0.00150949  0.00330258 -0.00551257 -0.00091228  0.00038262 -0.00400775
  0.00197204 -0.00053042  0.00244961 -0.00058383  0.00639899  0.00450325
 -0.00220283  0.00914857]",-4.085289233426125,0.016818274205351088
ALB,1.013831003183502,-0.046957777042835686,"[ 8.92452987e-04 -4.66105710e-07  1.03478740e-04 -2.42839272e-04
 -5.40820862e-05 -5.34781409e-04]","[ 1.50441025e-02  7.35469929e-04 -1.12781788e-02  8.53845281e-03
 -4.17391841e-03 -6.90030914e-03  1.19810836e-02 -1.92985769e-03
 -3.64356681e-04  9.83821818e-03 -4.56403950e-03  5.91711153e-05
  6.02982624e-04 -2.74549688e-04 -2.13482738e-03  1.20529250e-03
  1.94384728e-03 -1.81126616e-03  2.42785995e-03  3.91217383e-03]",-4.63490518266419,0.009707027389191974
ALGN,0.47107562251606,0.48130985595576414,"[ 8.52987741e-04 -6.87592510e-04  5.42639550e-04  1.20732650e-05
  7.06598919e-05  1.98419470e-05]","[ 0.01481345  0.00114671 -0.01145922  0.00794402 -0.0035924  -0.00633965
  0.01013532 -0.00222732  0.00150998  0.00681272 -0.00143898  0.0038907
 -0.00434187  0.00256729 -0.00470657 -0.0026445   0.00292011 -0.00471134
  0.00705834 -0.00056427]",-4.837276891449884,0.007928615161385235
ALK,0.4869664448067002,0.49820220203955057,[-0.00026363 -0.00059962  0.00038502  0.00036847  0.00012845  0.00071991],"[ 1.38711966e-02 -4.71056855e-03 -2.22482476e-03  5.76606977e-03
 -1.62969921e-05  3.53268802e-03 -1.45942041e-03  2.23899772e-03
 -3.11463958e-03 -3.27792227e-03  4.07734062e-03 -1.03148118e-03
  2.87095702e-04  3.99787275e-03 -2.82562550e-03  4.50717326e-04
  2.32730282e-03 -8.18999667e-04  1.96663649e-03  2.99397331e-03]",-4.282079836179108,0.013813901536041052
ALL,0.47764221091025477,0.48757345846956057,[ 0.00018626  0.00172464 -0.0002621   0.00127545 -0.00016033  0.000916  ],"[ 0.01539103 -0.00168315 -0.0079503   0.00981152 -0.00633588 -0.00411422
  0.00981355 -0.00417677  0.00084628  0.00905394 -0.00474931 -0.00037586
  0.00259305 -0.00032775 -0.00306368  0.00331733  0.00105429 -0.00347474
  0.00335814  0.00531305]",-4.384748438819834,0.012466023707557724
