,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.4591679248332185,0.49454694946776656,[-0.00118327  0.00166746 -0.00133366 -0.00025681  0.00018733 -0.00013159],"[ 0.01276916 -0.00404107 -0.0050303   0.01109988 -0.01053432  0.00701237
 -0.00977143 -0.00110915 -0.00792185 -0.00390657 -0.00186753  0.00020915
 -0.00499385  0.00427904 -0.00523451  0.00317081 -0.00016437  0.0035053
  0.00658744  0.00890034]",-4.576451600356124,0.010291349403617651
AAL,-1.1386452467529682,2.0888105960957075,"[-2.28823419e-03  6.66567243e-04 -1.58786854e-04 -2.05147713e-04
 -3.02234720e-05  4.36667087e-04]","[ 0.00548067 -0.00875607 -0.00809409 -0.0016469  -0.00425194 -0.00640639
  0.00202247 -0.00531789 -0.00097808  0.00058041 -0.00334646  0.0040537
 -0.00911188  0.00197428 -0.00622436 -0.00260821  0.00082235 -0.00139721
  0.00625197  0.00240267]",-4.495910370162338,0.011154521248107167
AAP,-1.615381561108505,2.5527947253787526,"[-2.82408194e-03 -9.82666086e-05 -6.05779508e-04 -4.69606691e-04
 -4.21823579e-04 -3.89030744e-04]","[ 0.0031256  -0.01087967 -0.00865687 -0.00681274 -0.00116273 -0.0120248
  0.00767063 -0.00778898  0.00368321  0.001353   -0.00131478  0.00537302
 -0.0080158   0.00231575 -0.00500248 -0.00249221  0.00152335 -0.0005534
  0.00537977  0.00367011]",-4.755848578821811,0.008601242763132977
AAPL,-1.272825435865995,2.228458429599396,"[-5.30600293e-04  3.31503217e-04 -3.04199135e-04  1.48097216e-05
 -8.70439608e-05 -5.94439971e-05]","[ 4.04638684e-03 -8.69689738e-03 -1.18074626e-02 -1.85352952e-03
 -9.33848092e-03 -9.19232592e-03 -2.42326784e-03 -1.16450359e-02
 -1.69487104e-03 -6.65606411e-03 -1.26150827e-03  6.09010796e-05
 -7.35033506e-03  1.83758885e-03 -6.47463122e-03 -1.19710358e-03
  3.30880227e-04  1.46092913e-04  6.95621398e-03  6.72405743e-03]",-4.968007771685337,0.006956994158594245
ABBV,0.041573082065517956,0.9168571407077486,"[-1.59670130e-03 -7.19090452e-04  1.52824047e-04 -9.78870500e-04
 -2.83688829e-05 -4.41923932e-04]","[ 0.00922331 -0.00648685 -0.00615396  0.00372942 -0.00615854 -0.00215759
 -0.0005009  -0.00693292  0.00193916 -0.00504478  0.00503306  0.00171397
 -0.00064857  0.00660228 -0.00467145  0.00513994 -0.00418619  0.00208346
  0.00175777 -0.0006372 ]",-4.283236904841278,0.0137979271469861
ABT,-0.7274559207271465,1.6906329582446338,[-0.00203841  0.00255309 -0.00152316 -0.00016134  0.00015965  0.00017352],"[ 0.00721127 -0.0066536  -0.00991895  0.00340653 -0.01083559 -0.00322318
 -0.00605545 -0.00851401 -0.00414029 -0.00632479 -0.00142828  0.0004798
 -0.00737267  0.0040153  -0.00840489  0.00165193 -0.00353884  0.00172949
  0.00274071  0.00634354]",-4.489964170486385,0.011221045847001595
ACN,-0.954142886680007,1.9128467620409997,"[-3.13660285e-03  1.56681702e-03 -2.08144737e-03 -3.87821172e-04
  1.00739394e-05 -2.05739976e-04]","[ 0.00606537 -0.00769485 -0.00970642  0.00065538 -0.00849593 -0.00578895
 -0.0029515  -0.00891021 -0.0029972  -0.00573006 -0.0020975  -0.00102869
 -0.00685481 -0.0004051  -0.00464617 -0.00292152  0.00139628  0.00023212
  0.00430526  0.006985  ]",-4.364395964171125,0.012722337602524452
ADBE,0.45778962706073995,0.49301903292952826,[-0.00173203  0.00288793 -0.00143664 -0.00065511  0.00051462  0.00013594],"[ 0.01172796 -0.00499297 -0.00443029  0.00824886 -0.00749599  0.00432015
 -0.0055611  -0.00146444 -0.00530181 -0.00275692 -0.00122415  0.00050465
 -0.00469367  0.00346857 -0.00555674  0.0028773  -0.00395309  0.00353857
 -0.0009619   0.00499394]",-4.563929055555229,0.010421033580857681
ADI,-1.3096251442478062,2.266851951110649,"[-1.78920214e-03  7.49843858e-04 -9.26765462e-04 -1.37558034e-04
 -6.13156598e-05 -1.70094459e-05]","[ 4.11683809e-03 -9.24458228e-03 -9.94259297e-03 -2.89743404e-03
 -6.02623111e-03 -8.36988988e-03  9.68633516e-05 -7.82188873e-03
 -2.63735866e-03 -2.56884959e-03 -3.77074646e-03  7.68336559e-04
 -7.81960948e-03 -2.24232674e-05 -4.28934716e-03 -1.38726768e-03
  6.60959359e-04  3.37079548e-03  2.36213685e-03  9.20929621e-03]",-5.05626170115092,0.0063693255052466625
ADM,-1.6515330338374992,2.5918245111761298,"[-1.28809488e-03 -3.12221589e-04 -2.89177591e-04  3.38617905e-04
 -4.87747646e-04 -6.66434476e-05]","[ 3.07653125e-03 -1.11625691e-02 -7.84349274e-03 -6.90208572e-03
 -2.83330032e-05 -1.03185102e-02  7.28729048e-03 -4.13201587e-03
  6.34770999e-04  4.54285988e-03 -4.64542590e-03  5.85370222e-03
 -9.17258046e-03  1.36701630e-03 -3.79852263e-03 -1.80228654e-03
  2.45571982e-03  2.70181411e-03  4.84139170e-03  8.07412559e-03]",-5.830503145903128,0.002936599070661125
