,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.4893842936313521,0.5007252988145402,"[ 5.32943960e-05  3.54261734e-04 -1.09854040e-04 -2.39132258e-04
 -1.09181462e-04 -7.47429421e-05]","[ 0.00451096 -0.00614693 -0.00445368  0.00167346 -0.00201442  0.00528504
 -0.00108999 -0.00066901 -0.0001722   0.00166127 -0.00137944 -0.00112796
  0.00220153  0.00040691  0.00023839  0.00285687 -0.00143676  0.00224433
 -0.00242921 -0.00075902]",-5.743970482884163,0.0032020293993730562
AAL,0.48959246508449494,0.5030585128174637,"[ 2.55502083e-05  4.13661060e-04  1.17218138e-05 -3.18573114e-04
  1.22428072e-04  3.87268762e-05]","[ 2.35805519e-03 -1.89324725e-03 -5.36101731e-03 -3.16673312e-03
  7.49251819e-04  6.73655003e-03 -8.88503262e-04 -5.76753860e-04
 -1.42290788e-03  3.90302290e-03 -1.19462413e-03 -3.02924685e-03
 -6.50001229e-04  1.70614223e-03  3.73104057e-03 -2.83068133e-03
  8.83007032e-05  6.41786113e-03  4.69460536e-03  2.59349878e-03]",-6.105413265612922,0.002230759283444028
AAP,0.48646312956026283,0.5017220158333997,"[ 2.06417124e-04 -2.41040305e-04  1.18447611e-04  1.93957526e-04
 -1.16855441e-04  6.38994062e-05]","[ 0.00596296 -0.00922898 -0.00291567  0.0053789  -0.00475356  0.00428956
 -0.00063304 -0.00075485 -0.00060806 -0.00054345  0.00139627  0.00018854
  0.00094227  0.00121313 -0.0002826   0.00354776 -0.00161946  0.00056124
 -0.00462451  0.0025775 ]",-6.366760245035682,0.0017177151970497232
AAPL,0.4899089275006344,0.5031581046380731,"[ 1.93821945e-04  6.52452461e-04 -1.39645282e-04 -1.11908058e-05
 -8.88084524e-05  1.85491957e-05]","[ 2.96829519e-03 -2.12779804e-03 -6.78644838e-03 -2.65746741e-03
  2.01239255e-03  5.77242740e-03 -2.23223044e-03  7.64375647e-04
  4.29064486e-05  2.06939360e-03 -2.45840997e-03 -1.31778342e-03
  1.95197997e-03  8.37588741e-04 -1.03938734e-03  4.82772988e-04
  1.30501260e-03  1.46539822e-03  2.52835644e-03 -8.68296901e-05]",-6.091968891671657,0.0022609529581564952
ABBV,0.48689086443528284,0.49907002656834615,"[-3.79252642e-04 -2.82083395e-04 -9.42279870e-05 -3.51963390e-04
 -1.31046711e-04 -2.21532741e-04]","[ 0.00524536 -0.00744934 -0.00401287  0.00323234 -0.00312925  0.00518303
 -0.0016137  -0.0015267   0.00147233  0.00089668 -0.00163202  0.00045117
  0.00235569  0.00077575 -0.00269017  0.00285966  0.00031622 -0.00072591
 -0.00015868 -0.0006834 ]",-5.898137104798872,0.0027445528737833546
ABT,0.4876178772640445,0.5031008282412737,"[ 4.32130668e-06 -9.18442251e-05  7.49232248e-05 -4.53562196e-05
 -4.44189083e-05  8.53750351e-05]","[ 0.00494028 -0.00600216 -0.00565531  0.00247084 -0.00236512  0.00360471
  0.00021593 -0.00094794  0.00078478  0.0030532  -0.00313025 -0.00022479
  0.00208712  0.00013813 -0.00207654  0.0013857   0.00182312  0.00036321
 -0.00051913 -0.00116624]",-6.437494241116821,0.0016004119068032355
ACN,0.4864475064732302,0.4985345064270859,"[-2.35941909e-04  3.29591095e-04 -1.06612592e-04  2.19971849e-04
 -6.27083127e-05  2.14090717e-04]","[ 0.00523676 -0.00697157 -0.00480664  0.00269629 -0.00085145  0.00418951
 -0.00230727  0.00254411 -0.00184522 -0.00230757  0.00104418 -0.00041245
  0.00279    -0.00053052  0.00112307  0.0063267  -0.00364781  0.00165031
 -0.007032    0.00096613]",-5.8984429355212615,0.0027437136335345964
ADBE,0.48707711604142334,0.49922838609302106,"[ 2.33661670e-04  6.32232311e-04 -2.35680429e-04  6.47746298e-05
 -2.16626213e-04 -1.04382967e-04]","[ 3.77921686e-03 -4.09139792e-03 -5.94648372e-03 -9.21377026e-04
  1.46905764e-03  5.62866967e-03 -3.09874566e-03  2.13835984e-03
 -1.15610166e-03 -7.83857669e-04 -1.94350023e-04 -1.30719600e-03
  2.89108273e-03  6.06170452e-04 -8.93092225e-05  4.08936542e-03
 -2.32730434e-03  1.84141003e-03 -3.32548979e-03 -1.10909211e-03]",-5.935762862586601,0.0026432055825791364
ADI,0.4911402619758904,0.5035887323045641,"[ 5.08626770e-05  4.60043354e-04 -6.75943286e-05 -2.14117553e-04
 -2.45615551e-05 -5.08139251e-05]","[ 3.69040428e-03 -4.31254168e-03 -5.23539127e-03 -5.53805493e-04
 -9.44800402e-05  6.07960094e-03 -2.10442109e-03 -3.49152658e-04
  2.30555553e-04  1.87834602e-03 -2.08914088e-03 -1.67453354e-03
  2.97974932e-03  1.16251507e-03 -1.47877003e-03  1.93386580e-03
  1.53518281e-04  1.90224461e-03 -1.29323934e-03 -2.03377958e-03]",-5.919408075660498,0.0026867900828005564
ADM,0.48963798597252384,0.5002028747382925,"[-1.57571859e-04 -6.18573842e-05  3.45475225e-06  2.19008765e-04
 -1.20915168e-04  1.74200552e-04]","[ 4.91335602e-03 -6.41603032e-03 -5.01101843e-03  2.53329325e-03
 -2.35885136e-03  4.09196479e-03 -2.92323710e-04 -3.54008973e-04
 -1.04398612e-04  1.70162696e-03 -1.31867653e-03 -6.77641104e-05
  6.60041937e-04  2.03775270e-04  4.35094784e-04  9.69841429e-04
  7.15814497e-04  2.19850941e-03 -1.09619521e-03  1.73746653e-03]",-5.623174798685805,0.003613151850827665
