,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,-0.7191104352169079,1.6974158143923812,[ 0.0006207  -0.00042762  0.00020194  0.00089151 -0.00033952  0.00027691],"[ 3.53687956e-03 -9.25672362e-03 -1.36407655e-04  2.21384965e-03
 -3.52777545e-04  4.21470763e-03  4.44807148e-04  2.94440697e-03
 -2.36481049e-03  1.86232651e-03 -1.31884597e-04  5.00485560e-04
  3.36291549e-05  7.57681067e-04  1.19946398e-03  3.12295490e-03
 -4.21997404e-03  4.67040206e-03 -3.99612011e-03 -3.33188635e-03]",-4.920503851812471,0.00729545409282932
AAL,0.48981448342476624,0.4846438258141637,[ 0.00019086  0.00010837  0.00022541 -0.00019151  0.00026188  0.00028292],"[ 0.0052651  -0.00174758 -0.009573    0.00688903 -0.00652168 -0.00272769
  0.00179509 -0.00160312 -0.00183882 -0.0007555   0.00295811 -0.00167957
  0.00102822  0.00196528  0.00153429 -0.00088445  0.00362872  0.00401402
 -0.00108524  0.00083087]",-6.004598602714725,0.002467379549316657
AAP,0.4920940698800843,0.48522894040399156,[-0.00056225  0.00085063 -0.00011817 -0.00034172  0.00038176  0.00040313],"[ 0.00509459 -0.00610528 -0.00291625  0.00636079 -0.00572207  0.00473977
 -0.00351577 -0.00075102 -0.00258886 -0.00396328  0.00267584 -0.0022525
  0.00179091 -0.00124679  0.00569917  0.00017718  0.0025492   0.0059947
  0.00362769  0.0004272 ]",-5.515996100718716,0.0040219191059774435
AAPL,0.4966056150626186,0.4884811265161053,"[-6.07726181e-04  5.59689280e-04 -1.03033495e-04 -6.49366169e-05
  2.57594175e-04  5.01595270e-04]","[ 0.00382259 -0.00594534 -0.00488009  0.00277042 -0.00056042 -0.00076487
  0.00406118  0.00396579 -0.00497872  0.00513559 -0.00261583 -0.00211543
  0.0011988  -0.00071479  0.00022945  0.00095164  0.001495   -0.00012641
  0.0054583   0.00482415]",-5.119064359891823,0.005981616918302082
ABBV,-0.7587595455909442,1.7444984978652522,[-0.00084114  0.00079631 -0.0009392   0.00052631 -0.00045482  0.00012899],"[ 3.54562151e-03 -9.56696709e-03  4.16417859e-04  2.34629061e-03
 -5.73966371e-04  5.06211798e-03 -5.41943022e-04  2.77334049e-03
 -2.44112049e-03  4.87171179e-04  1.26644423e-03  1.70400078e-04
  3.38321747e-04  2.08778749e-03  7.76075923e-05  2.61098744e-03
 -1.88904753e-03  3.48003285e-03 -1.92342990e-03  1.71433723e-03]",-4.735968963638375,0.00877394307973475
ABT,0.4942239470453082,0.487139339243077,"[ 6.97641435e-04 -1.22072210e-03  3.28626080e-04  4.27663281e-04
 -3.05597065e-04 -5.38231347e-05]","[ 3.06902763e-03 -1.17188748e-02  2.85499286e-03  7.92567507e-04
  1.55201478e-03  6.19151176e-03  4.24643345e-04  4.36604483e-03
 -2.56914004e-03  3.30356287e-03 -1.66925787e-03  1.22299823e-03
 -8.52373930e-04  9.77095202e-05  5.93226426e-04  2.64131470e-03
 -3.65580998e-03  2.97081845e-03 -9.89821284e-04 -1.28260956e-03]",-5.306754024096072,0.004957994155875305
ACN,0.49664791013666,0.487924717985946,[0.00042229 0.00053174 0.00062531 0.00058267 0.00027337 0.00057217],"[ 4.79946002e-03 -3.00959795e-03 -8.00783700e-03  5.56804725e-03
 -4.51020875e-03 -1.86945842e-03  2.47184076e-03  3.57453509e-04
 -2.77108674e-03  1.75737307e-03 -2.27100840e-04 -1.25638698e-03
  3.50577586e-04 -7.08170937e-04  2.56806646e-03  3.30536651e-04
 -1.05096132e-03  3.58894341e-03  2.03708052e-05 -6.42085045e-03]",-5.020075653402356,0.00660402707329812
ADBE,0.497322430738424,0.48847523143886157,"[-7.69210838e-04  4.24405568e-04 -2.55778636e-04  3.13025074e-04
 -1.06652200e-04  7.30838787e-06]","[ 3.98789812e-03 -4.41633929e-03 -6.74207878e-03  3.20916578e-03
 -1.10898287e-03 -2.02825966e-03  4.20940658e-03  3.52060686e-03
 -4.53650199e-03  4.63647995e-03 -2.37185888e-03 -1.35726566e-03
 -1.72201498e-04 -1.35675541e-03  1.67862209e-03 -3.66884316e-05
 -6.84602307e-04  1.51689629e-03  4.06105182e-03 -4.94221553e-03]",-4.949273237768546,0.007088558754254255
ADI,0.4900219725050409,0.4839620463140063,[-0.00037931  0.00019557  0.00015396 -0.00026407  0.00030542  0.00016639],"[ 0.00580209 -0.00186045 -0.00832799  0.00791025 -0.00713713  0.00038166
 -0.00164441 -0.00070859 -0.004381   -0.00321615  0.00210449 -0.00386505
  0.00165826 -0.00167244  0.00471717 -0.00168357  0.00295186  0.00302271
  0.00677834 -0.00512522]",-5.820952658437428,0.0029647793769103283
ADM,0.4892497477391307,0.4787955937694206,"[-1.79628945e-03  1.49029229e-03 -3.11745586e-04  7.24294497e-05
  3.39551794e-04  4.52747666e-04]","[ 4.50948812e-03 -4.86090017e-03 -5.63835234e-03  4.99826490e-03
 -4.19304652e-03  7.91930920e-05  1.56270175e-03 -4.68515494e-04
 -1.26914105e-04  9.91766270e-04  1.38671728e-03  2.15705166e-03
 -3.12813527e-03  2.61097106e-03 -1.74787125e-03 -1.70117173e-03
 -8.57698583e-04  2.64104267e-04 -5.01659811e-04 -6.50805284e-03]",-4.7408123869305525,0.008731549906373969
ADP,0.4886604028637905,0.48232744440058883,"[-1.89883796e-04  5.67507678e-04 -4.07998376e-05  3.64605050e-04
  2.23028395e-05  2.98068431e-04]","[ 0.00570769 -0.00270825 -0.00725312  0.00796623 -0.0077157   0.00126531
 -0.00219735 -0.00213328 -0.00225863 -0.00397736  0.00328167 -0.00234984
  0.00148823 -0.00031259  0.00421812 -0.00027038  0.00163236  0.00423964
  0.00408404 -0.00282518]",-5.785147328596399,0.0030728576227188917
ADSK,0.49258196392021525,0.4847042519743621,"[5.92340333e-04 9.62951061e-05 3.28460518e-04 3.88272174e-04
 1.39123445e-05 1.49702267e-04]","[ 0.00448517 -0.00400007 -0.00697308  0.00493677 -0.00406848 -0.00125629
  0.00205414  0.00015869 -0.00237049  0.00057291  0.00179548 -0.00194641
  0.00289564  0.00127772  0.00198639  0.00333693 -0.00077747  0.00370992
  0.00369079  0.00079759]",-5.294153455034412,0.005020862963190671
AEE,0.49443204531706764,0.4848525252992096,[-0.00120467 -0.00091574  0.00036417 -0.00061416  0.00045424  0.00028069],"[ 0.00443249 -0.0074077  -0.00183418  0.00467161 -0.00350541  0.00421564
 -0.00123766  0.00073943 -0.00210448 -0.00053904  0.00107407 -0.00017275
 -0.00042811  0.00104154 -0.00055023  0.00023981 -0.00055525 -0.00160663
  0.00901061 -0.00290035]",-4.828371993831844,0.007999533961338685
AEP,0.49538556204673845,0.48890775139837256,[-0.0005926  -0.00086135  0.00019211 -0.00025182  0.0001752   0.0003151 ],"[ 0.0034549  -0.01046683  0.00185507  0.00169514  0.00071251  0.00658593
 -0.00116694  0.004252   -0.00292346  0.00124734 -0.00060658  0.00190798
 -0.00401345  0.00050022 -0.00083777 -0.00248003 -0.00033466 -0.00119347
  0.00642684 -0.00504329]",-5.422503982482274,0.0044160750175478835
AES,-0.6018573303138175,1.5758055671585915,"[-6.04715857e-04 -2.36106541e-04 -1.09518782e-04  1.99626111e-04
 -9.41494581e-05  1.27310391e-04]","[ 3.60980856e-03 -8.53082127e-03 -6.36045517e-04  2.29499813e-03
  1.74337231e-05  4.72035365e-03 -9.73587422e-04  4.17990835e-03
 -4.17015790e-03 -2.51860669e-04  1.75005657e-03 -2.77874509e-04
 -1.39147928e-03  2.82546788e-03 -2.19275377e-03 -7.58928603e-04
 -9.43262044e-05 -1.29063378e-03  5.15327036e-03 -2.72090220e-03]",-4.95448076660985,0.007051740828506738
