,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,-0.6016118926855158,1.553919309295396,"[-2.24843205e-04  3.64430895e-06 -2.12847354e-04  3.11325393e-04
 -2.33137927e-04 -3.99061584e-05]","[ 1.64498506e-02 -6.67808099e-03 -1.84551396e-03  1.18269332e-02
 -8.94556679e-03  4.85049255e-05  6.33286831e-03 -4.71612733e-03
 -9.90517303e-04  4.98747409e-03 -9.74614027e-04 -2.41222747e-03
  1.38486635e-03  3.32540371e-03 -3.48007786e-03 -6.78877878e-04
  4.95843835e-03  3.35921177e-04 -1.70317994e-03  4.93170543e-03]",-4.835780343256291,0.00794048959920071
AAL,0.4669062338247181,0.4964400039305153,"[-1.00871413e-03  1.23209681e-03 -3.23165203e-04  1.90985863e-05
  2.57596135e-04  5.77820102e-04]","[ 0.01337143  0.0010113  -0.0089247   0.0039454   0.00210567 -0.00155954
  0.00302807  0.00171722  0.00052333  0.00182421 -0.00250002  0.00395171
 -0.00302132 -0.00206915 -0.00051409 -0.00146715  0.00595159 -0.00397344
  0.00721659  0.01217368]",-4.536547034312426,0.010710325162785651
AAP,1.1715188263642504,-0.2081718167531474,[ 0.00084144  0.00278878 -0.00111667  0.00060365 -0.00054653 -0.00068809],"[ 0.01309937  0.00286929 -0.01175977  0.00310546  0.00405416 -0.00460161
  0.00594285  0.00452852 -0.0022314   0.00399337 -0.00464678  0.00152331
 -0.00092981 -0.00506969  0.00385889  0.00226495 -0.001064    0.00117467
  0.00423689  0.00076382]",-3.9991392470908886,0.018331410915124902
AAPL,0.4741373474370963,0.5042644727992354,"[ 8.79261280e-04  2.21807072e-05  9.53451122e-05  7.56911230e-04
 -3.11617498e-04  9.03816431e-05]","[ 1.47598190e-02 -3.22909314e-03 -5.09268998e-03  7.71287538e-03
 -2.50338268e-03 -4.86859948e-04  3.56146201e-03  4.76939941e-04
 -2.25719239e-03  6.95584138e-04  2.58783263e-03 -5.43516242e-05
 -1.68966165e-03  4.22615672e-03 -3.13792903e-03 -1.88416707e-03
  3.23853582e-03 -1.06735211e-03  2.97260021e-03  1.53436073e-03]",-4.522322396712256,0.010863764378186425
ABBV,-1.1323817813306791,2.0899076890211807,"[ 4.27455825e-04  5.47201238e-05  1.18415118e-05  4.02652110e-04
 -1.93372033e-04 -1.87262394e-06]","[ 0.01663394 -0.01132414  0.00503929  0.01221341 -0.00958779  0.00733844
 -0.00068584 -0.00535057 -0.00079497  0.00041716  0.00034016 -0.00328044
  0.00378011  0.00107651  0.00027073  0.00337186  0.00136167  0.00284538
 -0.00055214  0.0050871 ]",-4.916333888808757,0.007325939383584341
ABT,-0.864325004367783,1.8209569026294115,"[ 1.48981735e-03  2.20050602e-04  1.86451400e-04  9.56430626e-04
 -3.83567073e-04  3.92791259e-05]","[ 0.01687531 -0.00891029  0.00124541  0.01299636 -0.01120491  0.00299053
  0.00389507 -0.0075676   0.00162048  0.00379517 -0.00115552 -0.00049068
  0.0011846   0.00221711 -0.00287909  0.00093867  0.00276276 -0.00120192
  0.00199446  0.0043705 ]",-4.991580335053119,0.006794917756032291
ACN,0.8853531327172182,0.07937558411317491,"[ 3.88680770e-05  9.95081610e-04 -5.88304637e-04  3.22227390e-04
 -3.47636912e-04 -3.54705686e-04]","[ 0.01428623  0.00082745 -0.0101891   0.00629642 -0.00092475 -0.00506717
  0.00838357  0.00068422 -0.001473    0.00623566 -0.00418177 -0.00014414
  0.00038169 -0.00082835 -0.00179663  0.0008075   0.00337887 -0.00223372
  0.00199987  0.0060729 ]",-4.687145164803964,0.009212950103000462
ADBE,1.0005356034589605,-0.027671276768170248,"[ 7.91056788e-04 -1.09324649e-04  2.77054400e-04  1.14956063e-04
 -9.88038045e-06 -4.08581495e-05]","[ 1.36018753e-02  1.64597214e-03 -1.06083128e-02  4.45933297e-03
  1.99564671e-03 -4.35194576e-03  6.58914093e-03  3.10365576e-03
 -2.30487676e-03  4.57707271e-03 -3.77507652e-03  2.47011324e-04
  3.39645275e-05 -1.95064108e-03 -8.09594263e-04  1.55388407e-03
  1.72916392e-03 -3.90766895e-03  7.68164464e-03  4.81363084e-03]",-4.423171318607638,0.011996128351741533
ADI,0.8331539641231394,0.1290282927539466,[-0.00029596  0.00210643 -0.0017456   0.00164201 -0.00133553 -0.00070429],"[ 1.39339630e-02  1.89029759e-04 -8.79129600e-03  5.55136076e-03
 -2.85021531e-06 -2.91598996e-03  5.60783495e-03  9.37528906e-04
 -6.11166529e-04  3.86100496e-03 -2.73078590e-03  1.88514204e-03
 -2.07600856e-03 -7.25330751e-04 -1.15209838e-03 -1.95739659e-03
  5.91483797e-03 -1.73613585e-03  2.72898014e-03  8.18042631e-03]",-4.576860325075867,0.010287143934215086
ADM,0.46911738593181324,0.499669202501372,"[ 1.20281413e-03  9.98269863e-04 -2.83204676e-06  8.83587690e-04
 -2.54346765e-04  1.86248476e-04]","[ 0.01587042 -0.00451444 -0.00433709  0.01041112 -0.00710628 -0.00169848
  0.00757172 -0.00409525  0.00033765  0.0066146  -0.00438014  0.00032447
 -0.00067176 -0.00135648  0.00041883 -0.0011018   0.00423648  0.00115008
  0.00162977  0.00526124]",-4.6228813911758655,0.009824447163304743
