,mse,rmse,mae,mape
A,0.028988842942703895,0.1702611022597466,0.14703320467792652,0.12716142170059774
AAL,0.025667208805319953,0.16020988984866058,0.13057429602959697,0.17715807473499837
AAP,0.033315349185915645,0.18252492757405944,0.17753732254423657,0.234209953628879
AAPL,0.013903441329475852,0.11791285481013447,0.10052521987253649,0.12221540769650438
ABBV,0.003836108478597313,0.061936326001768245,0.05171861818800381,0.054862658625598325
ABT,0.007751298082303356,0.0880414566116631,0.07355162681741462,0.08700689276439623
ACN,0.008614873653560498,0.09281634367696509,0.08175257613128403,0.07733004130390367
ADBE,0.014850072462370533,0.12186087338588433,0.1050141380905011,0.0973000424356558
ADI,0.0050571867423563725,0.07111389978306894,0.05898126635129171,0.06437530291145584
ADM,0.016972519967367705,0.13027862436857285,0.10272004158058906,0.13109289810812744
ADP,0.0027391235402027445,0.052336636691735786,0.044730467840487516,0.04481018280958926
ADSK,0.024363852434100806,0.1560892450942755,0.12817658643541383,0.1279945724212292
AEE,0.021182806739206955,0.14554314390999995,0.12853749147340038,0.11239466156794584
AEP,0.019231519380394135,0.13867775373286853,0.12272909648459285,0.10789744788306112
AES,0.011327997462722098,0.10643306564560705,0.0904101997325493,0.09793934432339761
AFL,0.01441301636979226,0.12005422262374722,0.10229080224120554,0.09466671684403809
AIG,0.007158588744506778,0.08460844369509923,0.06923025287785944,0.07978208555630185
AIZ,0.0053961095299019405,0.07345821621780603,0.059554838305114946,0.06006946148374218
AJG,0.01149388397638711,0.10720953304807884,0.09263229383121198,0.08855793724741019
AKAM,0.05764463303314839,0.24009296747957526,0.23313706253026878,0.3362764754208101
ALB,0.2077830589108078,0.45583227058953146,0.3881685214775497,0.27300915993651115
ALGN,0.08019618582608158,0.28318931093189514,0.23561042651924896,0.18916421273294717
ALK,0.018976856071714863,0.13775651008832526,0.11620743109494591,0.14110728366433878
ALL,0.007416266742764404,0.08611774928993676,0.07806371952783522,0.07324900019360225
ALLE,0.005181432992498051,0.07198217135164826,0.060202934933397706,0.05895585283182146
AMAT,0.20537920752488406,0.4531878280855346,0.3762443203999341,0.266333586201307
AMCR,0.025783765788137625,0.16057324119584068,0.14205864788647707,0.12608419003028853
AMD,1.8640515678509595,1.3653027385349228,1.05763515295951,0.43677532901935284
AME,0.020120202255278708,0.14184569875494535,0.13165772272947893,0.15653951063396315
AMGN,0.004568792904226512,0.06759284654626192,0.05441798935116714,0.05424449999531626
AMP,0.02534743199648116,0.15920876859168645,0.14525676284182903,0.18319942621490684
