,priors,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,"fs_1 - beta(p=365.25,n=10)"
A,"[-0.11430459  0.02022005 -0.0125404   0.09835342  0.04578991 -0.14305263
 -0.00411305  0.02710067 -0.00618562  0.01153723  0.08019121 -0.01334193
 -0.00560705  0.02731707  0.256731    0.018304    0.05164317 -0.12632151
 -0.01933844 -0.06451356 -0.06617471 -0.05469212  0.04311783  0.03176747
 -0.04186293 -0.08617576  0.1838409  -0.01144493 -0.16025519  0.00621059
  0.22327451  0.03317746 -0.02168101  0.6743464   0.61235935 -0.23842894
 -1.08151378 -0.38125617  0.89897807  0.36371937 -0.25388948  0.33041983
  0.18867591 -0.50582853 -0.49774156  0.30839557  0.61716255 -0.03342342
 -0.36195075  0.15489714 -0.33202768 -1.66919175  1.08577396  0.        ]",-0.15393378000430766,1.129360214882073,"[ 2.11424116e-04  2.33234721e-05 -1.37098556e-04  2.10619345e-04
 -2.29995380e-04 -2.27319754e-04]",-6.454630185675193,0.001573220973619687,0.7920946923879301,-0.03724214373159422,"[-0.13538    -0.10957895 -0.07550519 -0.04024365  0.00723342  0.05168494
  0.09071935  0.13255048  0.17347099  0.19185291  0.19665883  0.16412926
  0.06935744 -0.1110382  -0.29310516 -0.36775201 -0.26938899 -0.23048135
 -0.21405698 -0.11083295  0.52541636  1.20388513  1.80715193  1.30766275
  0.01375621]","[ 7.26578811e-05  1.12253691e-04  7.14923807e-04  1.07978786e-03
 -1.86839888e-04 -9.67681829e-04]","[ 1.26533536e-02 -7.21039730e-04 -2.11409653e-03  2.00602121e-03
 -1.92560771e-03  6.63878427e-03  1.69885026e-04 -7.83991046e-04
 -4.68883734e-05 -2.99182057e-04  1.52900787e-03  2.50379837e-04
  2.95111888e-04  4.24251572e-03 -4.11103191e-05  3.70300807e-04
  1.52180590e-03 -9.09624759e-04 -2.61704938e-03  1.92534715e-03]",0.08449564810000953,"[ 1.26533536e-02 -7.21039730e-04 -2.11409653e-03  2.00602121e-03
 -1.92560771e-03  6.63878427e-03  1.69885026e-04 -7.83991046e-04
 -4.68883734e-05 -2.99182057e-04  1.52900787e-03  2.50379837e-04
  2.95111888e-04  4.24251572e-03 -4.11103191e-05  3.70300807e-04
  1.52180590e-03 -9.09624759e-04 -2.61704938e-03  1.92534715e-03]"
AAL,"[-0.067205   -0.08376842  0.02313819  0.12309861  0.0919604  -0.12199582
 -0.00548023 -0.00960491 -0.10913426 -0.0724547  -0.00933595  0.05290019
 -0.04122711  0.09259403  0.04840209  0.0337848   0.0983119  -0.15069118
 -0.01881829 -0.01101395 -0.11835907  0.00414192  0.05700462 -0.04346081
 -0.04106433 -0.16158585  0.17296832 -0.01409085 -0.17463318 -0.03440052
  0.16175298 -0.01130164 -0.03974212  0.75720463  0.73071012  0.22486226
 -1.41478718 -0.87546424  0.55209208  0.43809806  0.2586768   0.37822183
 -0.05485087 -0.32230127 -0.21405534  0.49168615 -0.09534251 -0.87923979
 -0.21099711  0.34972395  0.40108296 -0.55681666  1.2095664   0.        ]",-0.494690636972448,1.4677109766092242,"[ 2.09181326e-04 -4.50001525e-04  2.35161085e-04  3.43362053e-05
  2.00012864e-05  6.41227325e-05]",-5.827161392978406,0.002946428874434293,0.7930899431202465,-0.03816054985098202,"[-0.13461475 -0.10900244 -0.0742909  -0.03970842  0.00721842  0.05061678
  0.08737594  0.12959783  0.17049944  0.19500851  0.19581773  0.16746501
  0.05778324 -0.10962679 -0.28938414 -0.36919923 -0.27091827 -0.22457357
 -0.22142698 -0.10449194  0.52764072  1.18695196  1.81276849  1.29726175
  0.01229625]","[ 3.32731658e-05  6.22103887e-05  5.98259785e-04  9.80298383e-04
 -3.26274452e-04 -1.01076233e-03]","[ 1.29410834e-02 -3.80444872e-04 -7.05219627e-04  1.03035834e-03
 -3.45867995e-03  5.73851523e-03  3.09247081e-04  7.09082116e-04
  4.55074771e-06 -9.06201355e-04  2.08099302e-03  1.14741628e-03
  7.92730822e-04  2.21438593e-03 -2.41588055e-03  9.56672573e-04
  2.26075071e-03  1.22752829e-03  4.33284161e-04  2.34037877e-03]",0.08445558787006491,"[ 1.29410834e-02 -3.80444872e-04 -7.05219627e-04  1.03035834e-03
 -3.45867995e-03  5.73851523e-03  3.09247081e-04  7.09082116e-04
  4.55074771e-06 -9.06201355e-04  2.08099302e-03  1.14741628e-03
  7.92730822e-04  2.21438593e-03 -2.41588055e-03  9.56672573e-04
  2.26075071e-03  1.22752829e-03  4.33284161e-04  2.34037877e-03]"
AAP,"[ 8.08449239e-02  2.33240085e-01  4.77963878e-02 -6.92938274e-02
 -1.89479630e-01  2.36809638e-02  1.08755545e-01  7.04009873e-02
  6.64868873e-02  1.57161581e-01  1.55109632e-01  1.99870102e-01
 -2.23213316e-02  1.43044867e-01  2.96389901e-01  9.89102501e-02
  1.33094649e-01  2.12826642e-01 -1.18535269e-01 -1.02192972e-01
  7.69467027e-02 -2.18619003e-01 -1.61466603e-01  1.33363727e-01
  4.31471701e-02  7.10117977e-02  1.03361053e-01  5.10395433e-02
  5.95069304e-04  1.38672489e-01  5.03017540e-02 -5.97603496e-02
 -1.88353578e-01 -7.93465515e-01 -2.59577267e-01  3.66150275e-02
  9.82813542e-01  6.48949214e-01 -1.16533520e+00 -1.04043601e+00
  5.30045778e-01  1.12582094e+00 -1.61830105e-01 -9.90996549e-01
 -5.91778933e-02  9.57875796e-01  2.70974222e-01 -4.29999661e-01
 -3.46672781e-01  6.43195195e-02 -4.42564678e-01 -1.79677969e+00
  1.74742712e+00  0.00000000e+00]",0.7097287674163334,0.2662462137373765,"[ 2.17180399e-04  1.88047152e-04 -2.54828798e-05 -2.44609592e-05
 -2.32669778e-05 -1.26249742e-04]",-6.127735755934254,0.0021815148549014316,0.7962183529693273,-0.03543137156811279,"[-0.13430466 -0.1135109  -0.08203063 -0.03565133  0.00974472  0.05305237
  0.09315506  0.13843497  0.17533251  0.20142535  0.19470662  0.17041068
  0.07219666 -0.10635922 -0.28590462 -0.34097003 -0.27558977 -0.2340919
 -0.19573093 -0.13351155  0.48588784  1.23233187  1.82633832  1.3297577
  0.00996043]",[ 0.00024338  0.00048846  0.00120146  0.00066981 -0.00042229 -0.00142096],"[ 0.00758552 -0.00324439 -0.00130053  0.00787038  0.0012159   0.00060376
 -0.00398736  0.00095898  0.00211028 -0.00118127  0.0002869   0.00152722
  0.00131387  0.00371479 -0.00070207  0.00067116  0.0013946  -0.0013267
 -0.0024435   0.00341966]",0.08433634549049902,"[ 0.00758552 -0.00324439 -0.00130053  0.00787038  0.0012159   0.00060376
 -0.00398736  0.00095898  0.00211028 -0.00118127  0.0002869   0.00152722
  0.00131387  0.00371479 -0.00070207  0.00067116  0.0013946  -0.0013267
 -0.0024435   0.00341966]"
AAPL,"[-0.03242724  0.05897108  0.03083373  0.05026069 -0.123457   -0.07121501
  0.14868216 -0.00979718  0.07824507  0.02706857  0.07557483  0.0708702
  0.01021144  0.13059506  0.13974008  0.06502862 -0.02733269  0.18756873
  0.08899319 -0.13578418 -0.17721979 -0.15233088  0.01821877 -0.01048695
 -0.01982699  0.00993785  0.08978112 -0.10497887  0.00429621 -0.03405841
  0.06627962  0.02406178 -0.05885821 -0.03805867  0.11987235 -0.25273872
  0.01831812  0.62003707 -0.0107404  -0.59426252 -0.33773067  0.61474596
  0.67274656 -0.27004225 -0.50629815  0.53304948  0.09603373 -0.64406227
 -0.33828658 -0.04332649  0.12989574 -0.43823876  2.53220477  0.        ]",0.14712390178738866,0.8265194744657024,"[ 2.92103880e-04 -4.37726182e-04  1.65038149e-04  1.94647055e-04
 -9.79464456e-05  1.19808844e-05]",-5.372054878501209,0.004644577455279376,0.793824824200104,-0.036923965416077814,"[-0.13452727 -0.11070088 -0.07996288 -0.03826089  0.01139028  0.05050852
  0.09333246  0.13334535  0.17300864  0.19590694  0.19694088  0.16945226
  0.06275074 -0.10771606 -0.29892515 -0.34150679 -0.25714888 -0.23879426
 -0.22413832 -0.1235074   0.5164503   1.19835623  1.81964938  1.32357515
  0.00690908]",[-0.00023866  0.00049795  0.0006306   0.00075406 -0.00022771 -0.00111895],"[ 0.01020843 -0.00214065 -0.0022207   0.00506764  0.00116829  0.00394889
 -0.00257169 -0.00134788  0.00078045  0.00105793  0.00224812  0.00029741
  0.00045926  0.00302068 -0.00137976  0.00036987  0.00122117  0.00035989
  0.001054    0.00615996]",0.08448980272197301,"[ 0.01020843 -0.00214065 -0.0022207   0.00506764  0.00116829  0.00394889
 -0.00257169 -0.00134788  0.00078045  0.00105793  0.00224812  0.00029741
  0.00045926  0.00302068 -0.00137976  0.00036987  0.00122117  0.00035989
  0.001054    0.00615996]"
ABBV,"[ 9.58454529e-02  7.22306750e-02 -1.69390946e-02 -9.63463137e-03
 -1.62337058e-01  3.67422636e-02  6.56106857e-02  1.25209495e-01
  4.90208846e-02  1.24954751e-01  1.27055822e-01  1.06146642e-01
 -3.52542057e-02  9.24676359e-02  1.80493936e-01  3.57805862e-02
  8.80734162e-02  1.95697406e-01 -5.84808424e-02 -2.36806590e-02
  3.70051821e-02 -1.41697633e-01 -1.54090278e-01  1.33458720e-01
 -4.24469141e-04  6.49982446e-02  6.59529380e-02 -1.32173977e-02
  8.73066964e-02  6.54154522e-02 -1.51895965e-02  8.95471316e-03
 -1.25843171e-01 -6.52178048e-01 -4.44809554e-01 -2.68076699e-01
  9.59368927e-01  7.86741277e-01 -6.09687025e-01 -4.47006089e-01
  8.54925038e-02  2.56928122e-01 -4.68166755e-01 -7.75868712e-01
  5.49387472e-01  1.07647409e+00  1.44739735e-01 -2.51107765e-01
 -4.91631757e-01 -1.76866098e-01 -3.18830646e-01 -9.38397779e-01
  1.04926394e+00  0.00000000e+00]",0.9917978636344102,-0.009892352694977688,"[ 4.30019846e-04  2.40058301e-04  1.68828759e-05  1.07241069e-04
 -5.06937067e-05 -7.73695468e-05]",-6.683341251711694,0.0012515891041908762,0.796535325787186,-0.03683935675835659,"[-0.13562467 -0.11217631 -0.08118984 -0.03531176  0.0084488   0.05516091
  0.0926001   0.13689434  0.17480726  0.19705078  0.19448918  0.16773671
  0.06562921 -0.10995446 -0.28937724 -0.34145135 -0.27189574 -0.2261739
 -0.20082505 -0.12152959  0.48873723  1.23259262  1.81917892  1.32932374
  0.007566  ]","[ 5.35697422e-05  7.03208209e-04  9.59683078e-04  5.19828844e-04
 -2.69566509e-04 -1.29725970e-03]","[ 8.05993495e-03 -3.73499170e-03 -2.26363180e-03  7.73788643e-03
  1.65602889e-03  2.14196932e-03 -2.18369961e-03 -2.61312574e-04
 -3.83617877e-04 -2.19774359e-03  9.52855969e-04  3.34710121e-03
  1.80466387e-03  3.37664988e-03 -4.34432630e-04  2.29449841e-04
  5.93742838e-04 -1.14706701e-03 -5.87859275e-05  1.30962443e-03]",0.0842212990918661,"[ 8.05993495e-03 -3.73499170e-03 -2.26363180e-03  7.73788643e-03
  1.65602889e-03  2.14196932e-03 -2.18369961e-03 -2.61312574e-04
 -3.83617877e-04 -2.19774359e-03  9.52855969e-04  3.34710121e-03
  1.80466387e-03  3.37664988e-03 -4.34432630e-04  2.29449841e-04
  5.93742838e-04 -1.14706701e-03 -5.87859275e-05  1.30962443e-03]"
ABT,"[ 8.94137265e-02  1.61387019e-01  7.94592603e-02 -1.24849670e-02
 -2.53890252e-01  1.28436250e-03  1.53198912e-01  6.96516234e-02
  9.31696128e-02  1.19854617e-01  1.36639126e-01  2.12719961e-01
 -1.03982523e-02  1.71344651e-01  2.10455801e-01  1.35879938e-01
  9.35443407e-02  2.28459791e-01  2.15891775e-03 -1.50664398e-01
 -5.71723873e-02 -2.22957429e-01 -1.36228948e-01  6.85473926e-02
  1.11810129e-02  2.76009351e-03  1.01333898e-01 -5.73409033e-02
 -9.88539127e-04  3.61916423e-02  3.85169668e-02 -1.62829999e-02
 -1.61944868e-01 -5.80143858e-01 -1.55056541e-01 -1.04516909e-01
  7.22085072e-01  8.36267882e-01 -8.23666614e-01 -9.80008866e-01
  1.13769053e-01  8.90903192e-01  2.30883019e-01 -6.56743614e-01
 -5.08826551e-02  1.06737689e+00 -1.73785049e-01 -1.06725368e+00
 -2.05489572e-01  2.83809078e-01 -1.22914077e-01 -1.36449847e+00
  2.62371736e+00  0.00000000e+00]",0.4692730838361892,0.5081231193772394,"[ 7.20480905e-04  3.48629097e-04  1.28660342e-04  1.55192111e-04
 -1.70895961e-06 -3.01784731e-06]",-5.873516970844544,0.002812962808531696,0.7963994184170443,-0.03606016152210963,"[-0.13361236 -0.11216595 -0.08355283 -0.03623759  0.01113414  0.05315897
  0.09392068  0.1370241   0.17492041  0.20212151  0.19546123  0.1717944
  0.06716258 -0.10362755 -0.28867737 -0.3395204  -0.26471732 -0.24008007
 -0.20995917 -0.13441419  0.48773608  1.21844679  1.82299647  1.31981683
  0.00942009]","[-7.59671338e-05  4.71968828e-04  9.00487089e-04  6.78379586e-04
 -3.12468690e-04 -1.37007510e-03]","[ 0.00831002 -0.00296766 -0.0017297   0.00710777  0.00178016  0.00160095
 -0.00378061 -0.0002088   0.00147001 -0.00012598  0.00121944  0.00159236
  0.00174423  0.00242168 -0.00246349  0.00097768  0.00223094 -0.00034675
 -0.00128852  0.00613095]",0.08433957117785208,"[ 0.00831002 -0.00296766 -0.0017297   0.00710777  0.00178016  0.00160095
 -0.00378061 -0.0002088   0.00147001 -0.00012598  0.00121944  0.00159236
  0.00174423  0.00242168 -0.00246349  0.00097768  0.00223094 -0.00034675
 -0.00128852  0.00613095]"
ACN,"[ 0.10998371  0.13781559  0.06213157 -0.08153471 -0.17255157  0.08725697
  0.06643413  0.08865661  0.10612723  0.11346486  0.10792804  0.13430116
  0.00596611  0.06666818  0.15131964  0.09758125  0.09817246  0.10802421
 -0.04378964 -0.07037852  0.14132971 -0.13058376 -0.14682775  0.13147853
  0.03399971  0.00745101 -0.00580595  0.01215448 -0.00247767  0.07782727
 -0.01578424 -0.06530173 -0.09217519 -0.70733488 -0.36350021 -0.01171307
  0.90922555  0.47484233 -0.85901552 -0.57445085  0.37259554  0.52312751
 -0.35728224 -0.5831462   0.23787662  0.45228201 -0.07363867 -0.19293079
  0.3445902   0.35982456 -0.73602718 -1.2516788   0.68079029  0.        ]",0.9130087229549386,0.06225453459178109,"[ 9.80676741e-05  6.71656194e-04 -1.03601057e-04  1.48021002e-04
  2.61677939e-05  1.34421504e-04]",-6.047102093181129,0.0023647047809494557,0.7968340780439405,-0.03627073431581136,"[-0.13398343 -0.11381294 -0.08158043 -0.03399189  0.00840925  0.05381737
  0.0944236   0.13672264  0.17376295  0.19857071  0.19631965  0.16624716
  0.06417419 -0.10596921 -0.28833064 -0.3492128  -0.27027299 -0.23092414
 -0.18816097 -0.12022085  0.48883344  1.2312263   1.82758133  1.31805215
  0.0033837 ]",[ 0.0001425   0.00047221  0.00100026  0.00053775 -0.00045208 -0.00116375],"[ 7.90176721e-03 -3.50764139e-03 -1.45849243e-03  7.63505057e-03
  7.05620157e-04  1.46155745e-03 -2.61838690e-03  5.38045436e-04
  3.65991955e-04 -1.79503453e-03  1.51709945e-03  2.45288762e-03
 -1.05741287e-05  2.74732226e-03 -1.82646473e-04  2.70589684e-03
  2.11075501e-03 -2.02061113e-03 -1.05551889e-03  3.01445234e-04]",0.08440159625847599,"[ 7.90176721e-03 -3.50764139e-03 -1.45849243e-03  7.63505057e-03
  7.05620157e-04  1.46155745e-03 -2.61838690e-03  5.38045436e-04
  3.65991955e-04 -1.79503453e-03  1.51709945e-03  2.45288762e-03
 -1.05741287e-05  2.74732226e-03 -1.82646473e-04  2.70589684e-03
  2.11075501e-03 -2.02061113e-03 -1.05551889e-03  3.01445234e-04]"
ADBE,"[ 9.98875299e-02  9.28852686e-02  1.12278278e-01 -5.21587680e-02
 -1.67027343e-01  6.24258460e-02  1.64282392e-01  2.15142318e-02
  1.05589415e-01  4.15475998e-02  8.18076159e-02  1.65786995e-01
  4.36836460e-03  1.74421741e-01  8.04113297e-02  1.27305547e-01
  7.77589665e-02  1.88827411e-01  4.19883706e-02 -1.11462609e-01
  1.40170444e-03 -1.76690724e-01 -6.79359826e-02  8.20565103e-02
  2.54154531e-02 -2.38098216e-02 -3.21808683e-03 -5.51326221e-02
 -1.71943912e-02  2.14727770e-02 -3.91242504e-02 -1.10158666e-01
 -7.84923662e-02 -5.39770503e-01 -1.96276963e-01  1.31235806e-01
  6.33790073e-01  4.47175970e-01 -1.00176396e+00 -9.08989826e-01
  5.34335529e-01  1.04171667e+00 -6.99057439e-02 -6.22090333e-01
 -1.00384567e-01  5.91581601e-01 -3.45190926e-01 -8.80273964e-01
  4.69694866e-01  5.11728102e-01 -3.33375043e-01 -3.71145388e-01
  2.01107046e+00  0.00000000e+00]",0.4934775308333274,0.48222220293807805,"[2.97341147e-04 3.20981331e-04 4.95232666e-05 5.26117800e-05
 5.00596324e-05 6.40039600e-05]",-6.04030886097989,0.0023808234565799833,0.7966207380112125,-0.03666018169466936,"[-0.13289803 -0.1130929  -0.08135714 -0.03467961  0.01144673  0.05159006
  0.09430282  0.13420493  0.1730496   0.20030665  0.19641931  0.1716613
  0.05998174 -0.10382839 -0.29011573 -0.34200556 -0.26215397 -0.23595116
 -0.20354626 -0.12758966  0.50065324  1.22159693  1.83142168  1.31523688
  0.00222047]","[-8.03697997e-05  4.15734968e-04  8.35102943e-04  5.16829859e-04
 -5.72357343e-04 -1.14164302e-03]","[ 0.00848926 -0.00305033 -0.00103275  0.00683913  0.00063222  0.00112236
 -0.00358666  0.00096879  0.00186577 -0.00093821  0.00133759  0.00147947
  0.00034943  0.00191476 -0.001936    0.00307691  0.00278167 -0.00081646
  0.001438    0.00447135]",0.08446138277524855,"[ 0.00848926 -0.00305033 -0.00103275  0.00683913  0.00063222  0.00112236
 -0.00358666  0.00096879  0.00186577 -0.00093821  0.00133759  0.00147947
  0.00034943  0.00191476 -0.001936    0.00307691  0.00278167 -0.00081646
  0.001438    0.00447135]"
ADI,"[ 0.05704281  0.23869484  0.09631574 -0.05227715 -0.16607209 -0.05551608
  0.16949318 -0.01690978  0.07413889  0.09826257  0.17493159  0.11611118
 -0.01910639  0.17360578  0.33444413  0.06338354  0.06086553  0.22208676
 -0.02512831 -0.12061012 -0.1377394  -0.29728636 -0.03234701  0.09624135
  0.01245999  0.08546351  0.08812486 -0.00857831 -0.02142795  0.04773842
  0.0229556  -0.04147311 -0.0677452  -0.32194752 -0.07815685 -0.26393677
  0.66183803  0.95623346 -0.71782381 -1.39102614  0.15810672  1.56785088
  0.42827846 -1.17427522 -0.74625144  0.96247361  0.55249228 -0.78005413
 -0.36133484  0.44215085 -0.1402856  -0.9185712   2.20941578  0.        ]",0.35602807502792855,0.6177488393112324,[ 0.00049838  0.00050464 -0.00016127  0.00026875 -0.00019468 -0.00019246],-5.870785912804651,0.0028206556732743586,0.7957153959051708,-0.0353780336605381,"[-0.13326408 -0.11307139 -0.08138821 -0.03777547  0.01176555  0.05008965
  0.09334786  0.13647042  0.1763009   0.19813491  0.19476708  0.17199969
  0.07395523 -0.10862731 -0.29205589 -0.33970863 -0.26692955 -0.23642888
 -0.21931455 -0.1440243   0.50727712  1.22395681  1.82369942  1.33431798
  0.00744896]","[ 5.21853241e-05  4.41727150e-04  9.32910980e-04  5.61762916e-04
 -3.53619152e-04 -1.11104316e-03]","[ 9.21656058e-03 -2.72586265e-03 -2.25554630e-03  6.91436901e-03
  2.19390381e-03  1.91457226e-03 -4.90203079e-03 -9.07915412e-05
  3.50833881e-03  4.26156570e-04 -3.64445441e-04 -5.17091885e-04
  1.43281133e-03  4.40868626e-03 -1.54245299e-03  4.73014225e-04
  2.63494752e-03 -4.07862287e-04  8.48389833e-05  5.21601279e-03]",0.08458282644195457,"[ 9.21656058e-03 -2.72586265e-03 -2.25554630e-03  6.91436901e-03
  2.19390381e-03  1.91457226e-03 -4.90203079e-03 -9.07915412e-05
  3.50833881e-03  4.26156570e-04 -3.64445441e-04 -5.17091885e-04
  1.43281133e-03  4.40868626e-03 -1.54245299e-03  4.73014225e-04
  2.63494752e-03 -4.07862287e-04  8.48389833e-05  5.21601279e-03]"
ADM,"[ 0.0847488   0.3124338   0.12497546 -0.03458685 -0.3112743  -0.10836501
  0.06591048  0.0132776   0.09636521  0.165354    0.17487275  0.11278042
  0.0084764   0.02564419  0.34112393  0.0976587   0.01568671  0.07910559
  0.03046489 -0.17838821 -0.21879666 -0.27156264 -0.08748016 -0.01095642
 -0.0113141   0.03020473  0.09820277 -0.04786518 -0.05319448 -0.04088278
  0.05292592  0.12695647 -0.04736777 -0.04689255  0.04468133 -0.71626401
  0.53873657  1.4530817   0.05301719 -1.23455083 -0.9476155   0.69985229
  1.2935397  -0.3855774  -0.69971502  0.81564575  0.20883008 -1.12632103
 -0.37213526  0.823274    0.10606265 -1.81106081  1.48981669  0.        ]",0.34226830990393703,0.6324591806839123,"[-1.32914140e-04  1.60088405e-04 -6.54041019e-05  5.74583309e-06
  2.77003629e-06  2.14282611e-05]",-6.275234549076881,0.0018823494986605514,0.7963008449897166,-0.03474157366564949,"[-0.13270217 -0.11263267 -0.085127   -0.03909803  0.00867977  0.05113124
  0.09406428  0.13903409  0.17594804  0.19795775  0.19612129  0.16474348
  0.07421968 -0.10633565 -0.29478877 -0.35262979 -0.26149282 -0.24226064
 -0.22731258 -0.13995415  0.49481404  1.19632139  1.8148311   1.32407724
  0.00894733]","[-3.20899570e-05  3.95040145e-04  6.94061009e-04  6.06314521e-04
  1.02979384e-04 -1.03125206e-03]","[ 1.01309768e-02 -2.38918049e-03 -3.61673554e-03  6.54295008e-03
  3.66124672e-03  4.06757603e-03 -4.40298785e-03 -3.15846905e-03
  1.15716837e-03  2.74535223e-03  1.89624260e-03 -3.48644845e-04
  1.27099448e-03  3.47070827e-03 -2.57409696e-03  7.37935130e-05
  3.89325976e-03  4.80709830e-04 -2.60086641e-03  3.03152702e-03]",0.08469437897401969,"[ 1.01309768e-02 -2.38918049e-03 -3.61673554e-03  6.54295008e-03
  3.66124672e-03  4.06757603e-03 -4.40298785e-03 -3.15846905e-03
  1.15716837e-03  2.74535223e-03  1.89624260e-03 -3.48644845e-04
  1.27099448e-03  3.47070827e-03 -2.57409696e-03  7.37935130e-05
  3.89325976e-03  4.80709830e-04 -2.60086641e-03  3.03152702e-03]"
