,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope,"fs_1 - beta(p=365.25,n=10)"
A,"[ 2.48660260e-01 -1.14025689e-01 -2.21108436e-01 -4.96809010e-02
 -1.40861049e-01 -8.58550103e-02  3.08585869e-02  9.40020120e-02
 -4.15281988e-01  2.75127094e-01  4.23740708e-04  2.94394848e-02
 -3.42597711e-01  3.97273658e-02  2.67832753e-01  2.22140811e-01
  5.78580717e-02 -4.42814785e-02 -1.65350355e-02 -2.50423026e-01
 -2.94927478e-01 -2.47302508e-02  7.73122897e-02 -1.16392953e-01
 -1.77518735e-01  1.51062338e-01 -2.34315574e-01  7.32684160e-02
  1.38279760e-01 -1.02975832e-01  5.87362854e-03 -1.22905128e-01
  1.96320623e-01  5.44336576e-01 -1.12226203e+00 -5.82181610e-01
 -1.76692807e+00 -2.54198420e+00 -1.12369501e-01 -1.51504567e+00
  2.01132079e+00  6.72530930e-01  1.75677362e+00  1.08990655e+00
  2.79220227e-01  4.16575488e-01 -4.82732204e-01  4.62999536e-02
 -9.48437843e-02 -1.52903448e-01 -8.14264277e-01 -1.62509924e+00
 -1.08268914e+00  0.00000000e+00]",0.16231152940514543,[ 0.00216346 -0.00211063  0.00038187 -0.00013989 -0.00043181 -0.00048121],-4.580382508246502,0.010250974464118039,0.7994866085196963,-0.0375598707001258,"[-0.12605849 -0.09964884 -0.06832616 -0.02730159  0.01666684  0.06027798
  0.0830475   0.14962929  0.17224858  0.18654628  0.15802874  0.11476854
 -0.00337143 -0.18836633 -0.33473136 -0.3121901  -0.21694892 -0.22398981
 -0.17838174  0.14274575  0.80260969  1.29170074  1.43904583  0.03848278
 -0.01496914]",[ 0.00082728  0.00030431  0.00094096  0.0001821  -0.0005425   0.00064437],"[ 0.01015839 -0.01129594 -0.0091079   0.00032686 -0.01130765  0.00315628
 -0.00345931  0.00534499  0.0004649   0.00484335  0.00404075  0.00071867
 -0.00146749  0.00072986 -0.00051185 -0.00090831  0.00102905 -0.00250652
 -0.00274585 -0.00275891]",0.08560626652131595,0.7994866085196963,"[ 0.01015839 -0.01129594 -0.0091079   0.00032686 -0.01130765  0.00315628
 -0.00345931  0.00534499  0.0004649   0.00484335  0.00404075  0.00071867
 -0.00146749  0.00072986 -0.00051185 -0.00090831  0.00102905 -0.00250652
 -0.00274585 -0.00275891]"
AAL,"[ 0.38318367  0.04940308 -0.18375786 -0.03100506  0.00927819 -0.08164922
  0.23804079 -0.01663869 -0.04794792  0.03047188  0.36706335  0.10516399
 -0.16200628  0.22020228  0.11359727  0.14390686  0.10749918 -0.01322601
  0.00950182 -0.01469645 -0.41647878 -0.13735901 -0.09294027  0.05782686
  0.00420646  0.24843975  0.12897857  0.02523285 -0.06973972 -0.27258497
 -0.03780055  0.01926796  0.0761038   0.23474962 -0.12657118  0.9432637
 -0.65413492 -0.84381137 -1.4805034  -2.50326535  0.22900123 -0.64274018
  2.66583365  2.15094157  2.01410585  2.35969329 -1.16245301 -0.23823463
 -1.72653762 -0.30916007 -0.17790836  0.63208717 -1.31512824  0.        ]",0.1511290519278525,[-0.00010688 -0.0010354  -0.00068543  0.00035724 -0.00074662 -0.00025632],-4.575264068160673,0.010303577971841225,0.8021017701593931,-0.03613330547948303,"[-0.12524191 -0.09923938 -0.06430507 -0.02707895  0.0227031   0.05734314
  0.09596956  0.14077155  0.18752589  0.19046543  0.16676604  0.12415595
 -0.0126068  -0.19301797 -0.33115403 -0.31164511 -0.2153195  -0.20118973
 -0.19404274  0.1325024   0.77136298  1.32424093  1.48168587  0.05475597
  0.00722943]","[ 7.43520737e-04 -1.23353936e-04  4.69164924e-04  9.16492865e-05
 -2.53789766e-04  1.76728805e-04]","[ 0.00930017 -0.0081834  -0.00493579  0.00335699 -0.0069275  -0.00079467
 -0.00622564  0.00059587 -0.00335366  0.00748783  0.00669089  0.00622323
  0.00346794 -0.00119363 -0.00144277 -0.00555125  0.00069615 -0.00073015
  0.00440093 -0.00363127]",0.0848560680265255,0.8021017701593931,"[ 0.00930017 -0.0081834  -0.00493579  0.00335699 -0.0069275  -0.00079467
 -0.00622564  0.00059587 -0.00335366  0.00748783  0.00669089  0.00622323
  0.00346794 -0.00119363 -0.00144277 -0.00555125  0.00069615 -0.00073015
  0.00440093 -0.00363127]"
AAP,"[ 0.27166439 -0.18838107 -0.32534547 -0.08892272 -0.03931295 -0.20263819
 -0.00337256  0.20874961 -0.3091356   0.2395235   0.08479705 -0.10010802
 -0.55003699  0.22020245  0.39775037  0.36461758 -0.03445436 -0.1631459
 -0.03596682 -0.39307589 -0.36760812  0.06618674  0.04830229 -0.20740273
 -0.09864029  0.14994479 -0.17232203  0.05678455  0.09434441 -0.29263413
 -0.20981076 -0.07960317  0.21879648  0.94037713 -1.373769   -0.25305292
 -2.34749173 -2.74646432 -0.94268065 -1.93203292  1.66505617  0.52821438
  1.29733239  1.13729772 -0.5310151  -0.63009774 -1.54443558 -1.4749395
 -0.08240513 -1.01246956 -0.2819032  -2.41797157 -1.00250483  0.        ]",0.15073705203818188,"[-1.84553441e-03 -7.13371243e-04 -8.65037436e-04 -1.41888499e-03
  7.51687301e-05 -4.22546715e-04]",-4.556885293497069,0.0104946959874732,0.7999338133444344,-0.03822355583816494,"[-0.1284015  -0.10075265 -0.06567093 -0.03045416  0.01540687  0.06385123
  0.08691106  0.14820474  0.17550296  0.18139203  0.14792187  0.12568942
  0.0038461  -0.17919195 -0.34204673 -0.32253324 -0.21532997 -0.23833461
 -0.18800185  0.15271608  0.79791045  1.26642762  1.44952869  0.03533722
 -0.01133894]",[ 0.00078073  0.00015354  0.0004101  -0.00035321 -0.00045563  0.00060638],"[ 1.12746577e-02 -1.20845395e-02 -8.05051598e-03 -1.39315491e-03
 -1.18269029e-02  7.86028445e-04 -4.71846656e-03  4.38434960e-03
  8.34799365e-05  3.64663688e-03  4.21789064e-03 -1.53417707e-03
 -4.57661827e-03 -2.12503009e-03 -4.78498506e-03 -5.81668313e-04
 -1.23549433e-03 -1.41468247e-03 -5.27217770e-03 -2.40125428e-03]",0.08597309753236217,0.7999338133444344,"[ 1.12746577e-02 -1.20845395e-02 -8.05051598e-03 -1.39315491e-03
 -1.18269029e-02  7.86028445e-04 -4.71846656e-03  4.38434960e-03
  8.34799365e-05  3.64663688e-03  4.21789064e-03 -1.53417707e-03
 -4.57661827e-03 -2.12503009e-03 -4.78498506e-03 -5.81668313e-04
 -1.23549433e-03 -1.41468247e-03 -5.27217770e-03 -2.40125428e-03]"
AAPL,"[ 0.17494771 -0.1823715  -0.16239421 -0.02037323 -0.13592354 -0.14205527
 -0.03599489  0.19905836 -0.53894976  0.38071547 -0.10707464  0.03998336
 -0.41185215 -0.00518232  0.30220029  0.31069071  0.01974153 -0.13196572
 -0.03387118 -0.46364216 -0.28740375  0.12755935  0.13138863 -0.1581701
 -0.36000117  0.05896692 -0.46815221  0.17081648  0.20043771 -0.11416828
 -0.03506408 -0.23533751  0.34493118  0.99896977 -2.05994683 -1.2343015
 -3.03744565 -3.80425948  0.0122073  -1.34685608  2.76316974  1.30089409
  1.25881643  0.71124321 -0.82260177 -0.54642018 -0.42071273  0.04222743
  0.30396409 -0.19645587 -0.84695618 -1.58317855 -0.26417904  0.        ]",0.1421945611384555,"[ 4.77374083e-05 -1.65002134e-04  2.24811511e-04 -4.90763594e-04
  1.91698594e-04 -4.15018335e-04]",-4.79143347654574,0.008300550205596622,0.798053621906824,-0.03815342496557039,"[-1.24754974e-01 -9.88138153e-02 -6.84238313e-02 -2.88692274e-02
  1.47618080e-02  6.33018873e-02  7.87140796e-02  1.53513691e-01
  1.67544681e-01  1.87026376e-01  1.54382191e-01  1.12418962e-01
 -1.31987712e-03 -1.82600897e-01 -3.37331340e-01 -3.19154347e-01
 -2.17694272e-01 -2.45945889e-01 -1.77367432e-01  1.64031291e-01
  8.11739964e-01  1.28399677e+00  1.39307111e+00  2.55825706e-02
 -2.92918601e-02]","[ 1.03739889e-03  4.02221105e-04  9.09227761e-04  8.50522965e-05
 -8.28429376e-04  1.07491011e-03]","[ 0.01144657 -0.01420653 -0.01085474 -0.00317016 -0.01459463  0.00357054
 -0.00305849  0.00733112  0.00232534  0.0033475   0.00312367 -0.0027237
 -0.00412752  0.00106857 -0.00050131  0.00028196  0.0009482  -0.00266054
 -0.00296565 -0.00044591]",0.0859776782177834,0.798053621906824,"[ 0.01144657 -0.01420653 -0.01085474 -0.00317016 -0.01459463  0.00357054
 -0.00305849  0.00733112  0.00232534  0.0033475   0.00312367 -0.0027237
 -0.00412752  0.00106857 -0.00050131  0.00028196  0.0009482  -0.00266054
 -0.00296565 -0.00044591]"
ABBV,"[ 1.63187381e-01 -1.61679773e-01 -2.10892923e-01 -1.26307258e-01
 -2.17799517e-01  6.32220783e-02 -1.01694873e-01  1.51216673e-01
 -3.91290679e-01  3.13295118e-02  1.19987876e-01 -8.77142178e-03
 -4.61676290e-01  2.25592135e-01  3.18528445e-01  1.65774482e-01
 -5.47493721e-02 -1.21680466e-01 -6.56519214e-03 -1.44434276e-01
 -3.08747506e-01  1.13115554e-01  1.65620269e-03 -2.89762939e-01
 -5.64199698e-02  3.78012245e-02 -7.68662227e-02 -1.15135801e-02
  2.46151254e-01 -9.87709541e-02  5.36662096e-02 -4.53992271e-02
  1.68374391e-01  5.58735954e-01 -6.38103690e-01 -3.07393161e-01
 -1.15219694e+00 -1.08724349e+00  2.08566509e-01 -1.34584146e-01
  1.06087291e+00  1.03100781e+00 -2.05607124e-01  5.80522896e-01
 -8.69181045e-01  4.88086796e-01 -1.06695380e+00  4.13920964e-01
 -1.32567522e+00 -8.73570196e-01 -2.55861370e+00 -2.56869504e+00
 -1.86238525e+00  0.00000000e+00]",0.1500779862412461,"[ 1.02297234e-03  1.50539129e-03 -3.66999742e-04  4.32273197e-04
 -1.71770886e-04  6.22294372e-05]",-4.137663869327677,0.015960092849689522,0.7978249988849954,-0.03796780214613586,"[-1.25803071e-01 -1.01498745e-01 -7.04870326e-02 -2.32762167e-02
  1.29839014e-02  6.19475865e-02  8.36511832e-02  1.40399398e-01
  1.76683834e-01  1.84475852e-01  1.52099222e-01  1.25492952e-01
  5.03686150e-04 -1.92379087e-01 -3.43073096e-01 -3.17798261e-01
 -2.16000894e-01 -2.11886565e-01 -1.78578211e-01  1.62647373e-01
  7.88868864e-01  1.25367546e+00  1.46580674e+00  2.40408151e-02
 -6.10559538e-03]",[ 0.00064144  0.00055528  0.00084301  0.0003448  -0.00032836  0.00049068],"[ 0.01012639 -0.00989076 -0.00826113  0.00188137 -0.00744215  0.00405003
  0.00039845  0.00302867  0.00125249 -0.00032321  0.00274026 -0.00232344
 -0.00080459 -0.00114674  0.00022438 -0.0043149  -0.00073383 -0.00721944
 -0.00537174 -0.00503778]",0.08694380555707316,0.7978249988849954,"[ 0.01012639 -0.00989076 -0.00826113  0.00188137 -0.00744215  0.00405003
  0.00039845  0.00302867  0.00125249 -0.00032321  0.00274026 -0.00232344
 -0.00080459 -0.00114674  0.00022438 -0.0043149  -0.00073383 -0.00721944
 -0.00537174 -0.00503778]"
ABT,"[ 0.11339624 -0.12967073  0.04640968 -0.04436225 -0.28607794  0.12771751
 -0.02842665 -0.00920759 -0.60642218  0.42592592 -0.16713503  0.20197287
 -0.05442402 -0.09341978  0.13255316 -0.01726423  0.19356861  0.05187099
 -0.06565164 -0.10459489 -0.21775592 -0.02891368  0.18105077 -0.18196499
 -0.3009686   0.04039093 -0.26345428  0.14220373  0.3540579   0.08317803
  0.29275753 -0.22243934  0.26409749  0.17454537 -0.93189276 -1.2473675
 -1.12764885 -2.20869893  1.43779423  0.07754718  2.72271293  1.89335322
  1.26397659  1.08751261 -0.15971497  1.00278263  0.12691616  1.52814023
 -0.27661019  0.93426395 -1.51238408 -0.13030535 -1.33011162  0.        ]",0.15760854458364867,[-0.00160979 -0.00014805 -0.00105603 -0.00130255 -0.00024291 -0.00150806],-4.8290496225802375,0.00799411508335384,0.7968570492848857,-0.037675159949034705,"[-0.12009978 -0.09918839 -0.07254065 -0.0215366   0.01548616  0.05686385
  0.07590914  0.15580043  0.16565118  0.19318671  0.1717721   0.10609731
 -0.010586   -0.20342482 -0.32330409 -0.3023432  -0.22547806 -0.20890848
 -0.1686927   0.14830399  0.82045149  1.28662015  1.42079883  0.02871165
 -0.01666797]",[ 0.00101208  0.00086857  0.00144653  0.00089588 -0.00075022  0.00091847],"[ 0.00912181 -0.01078216 -0.01107273  0.00220776 -0.01042284  0.00760885
  0.00113232  0.00739806  0.00378891  0.003431    0.00414807 -0.00059457
  0.00067342  0.00219011  0.00353269 -0.00155315  0.00389947 -0.00404762
  0.00163773 -0.00340741]",0.08602410667721684,0.7968570492848857,"[ 0.00912181 -0.01078216 -0.01107273  0.00220776 -0.01042284  0.00760885
  0.00113232  0.00739806  0.00378891  0.003431    0.00414807 -0.00059457
  0.00067342  0.00219011  0.00353269 -0.00155315  0.00389947 -0.00404762
  0.00163773 -0.00340741]"
ACN,"[ 0.15889916 -0.25145826 -0.2692859  -0.10221573 -0.15231292 -0.1092032
 -0.20879904  0.16141328 -0.48963844  0.40579896 -0.06736293 -0.07818597
 -0.52904512  0.1911612   0.40755064  0.27736802  0.01299263 -0.19511377
 -0.13626948 -0.34215644 -0.43100301  0.12901622  0.18990987 -0.38907237
 -0.10864368  0.08076364 -0.14916206  0.04632554  0.27802513 -0.25070682
 -0.11991963 -0.15754018  0.19062048  0.97437551 -1.41851918 -0.66596063
 -2.32153947 -2.72784117 -0.2297093  -0.96218162  2.14663492  1.49291827
  0.43966976  0.8497987  -1.6127893  -1.25419816 -1.59452011 -1.11773009
  0.36880669 -0.16039278 -1.02050554 -2.74463015 -2.3661565   0.        ]",0.14808349336412915,"[ 1.11035407e-03 -2.13130877e-04  2.15526057e-04 -1.27729446e-04
 -1.61318806e-05 -1.78366873e-04]",-4.797318118874312,0.008251847874947284,0.7977416349721235,-0.03876357754071592,"[-0.1271287  -0.10095343 -0.06880501 -0.02798174  0.00974136  0.06204959
  0.08036533  0.15456391  0.16964235  0.18139384  0.14874589  0.12427593
  0.00497606 -0.18443378 -0.33810633 -0.3237823  -0.2262567  -0.23179687
 -0.19632271  0.16192297  0.82288592  1.23227473  1.45024306  0.02579979
 -0.01014441]",[ 0.000762    0.00059787  0.00050909 -0.00013339 -0.00061343  0.00058162],"[ 0.01134549 -0.01229861 -0.0091989  -0.00132958 -0.0117174   0.00285273
 -0.0019233   0.00577363  0.0027236   0.0013181   0.00358974 -0.00469066
 -0.00597264 -0.0024373  -0.003854    0.0007467   0.00094256 -0.0032079
 -0.00641311 -0.00590195]",0.08667062978949787,0.7977416349721235,"[ 0.01134549 -0.01229861 -0.0091989  -0.00132958 -0.0117174   0.00285273
 -0.0019233   0.00577363  0.0027236   0.0013181   0.00358974 -0.00469066
 -0.00597264 -0.0024373  -0.003854    0.0007467   0.00094256 -0.0032079
 -0.00641311 -0.00590195]"
ADBE,"[ 0.18706351 -0.22407359 -0.08652833 -0.14806676 -0.25036843  0.10501146
 -0.05763461  0.04726491 -0.51097717  0.37287194 -0.03555255  0.07424699
 -0.2598099   0.14959354  0.29722444  0.05383512  0.14808668 -0.00569881
 -0.08400106 -0.09829448 -0.31259238 -0.03173388  0.14622851 -0.3409422
 -0.08705199  0.09859438 -0.02839287  0.07118079  0.36773629 -0.09621112
  0.16539667 -0.11648887  0.23711313  0.28852685 -0.51832436 -0.6034678
 -0.76494088 -1.61208345  0.91770574 -0.07470089  2.27557111  1.89663174
  1.0349892   1.68699672 -0.63482433  0.64089778 -1.28437266  0.09146218
 -0.68485237  0.12848919 -1.34321207 -1.32998902 -2.09308192  0.        ]",0.1621985396394395,"[ 1.51552787e-03  2.97861694e-04  1.35841858e-04 -2.37133623e-04
 -1.71218286e-05 -4.36074642e-04]",-4.427923783754542,0.01193925242732591,0.7982891556313104,-0.03852551500034505,"[-1.23116099e-01 -1.01985795e-01 -7.14355762e-02 -2.21046626e-02
  1.44170567e-02  5.86928870e-02  7.93264052e-02  1.53944630e-01
  1.71001200e-01  1.88012307e-01  1.62023251e-01  1.20584164e-01
 -9.71216609e-04 -1.98914341e-01 -3.27083288e-01 -3.06802301e-01
 -2.23756309e-01 -2.07793408e-01 -1.80858841e-01  1.44349968e-01
  8.15296125e-01  1.24762989e+00  1.46536777e+00  3.23961490e-02
 -2.62017152e-03]",[ 0.00086442  0.00091682  0.00093908  0.00057313 -0.00049173  0.0007244 ],"[ 0.00942805 -0.00955812 -0.00920257  0.0030567  -0.00884188  0.00609792
  0.00069326  0.00617224  0.00373748  0.00294624  0.00586619 -0.00171991
 -0.0004621  -0.00186748 -0.00057355 -0.00237575  0.0017184  -0.00399639
 -0.00179434 -0.0053684 ]",0.08639276150215335,0.7982891556313104,"[ 0.00942805 -0.00955812 -0.00920257  0.0030567  -0.00884188  0.00609792
  0.00069326  0.00617224  0.00373748  0.00294624  0.00586619 -0.00171991
 -0.0004621  -0.00186748 -0.00057355 -0.00237575  0.0017184  -0.00399639
 -0.00179434 -0.0053684 ]"
ADI,"[ 0.30489772 -0.15663501 -0.39791436 -0.01600886 -0.04021198 -0.30826451
 -0.03967699  0.249936   -0.44826001  0.33229812  0.07466576 -0.06985977
 -0.65183821  0.17297077  0.41457039  0.49292452 -0.054686   -0.25717736
 -0.07354778 -0.55717195 -0.53814976  0.15007058  0.08137509 -0.17508454
 -0.27972078  0.15610792 -0.37874858  0.10233101  0.07516203 -0.3464541
 -0.28344872 -0.18382793  0.25463344  1.44145444 -2.36083642 -0.60387145
 -3.85438223 -4.17721157 -1.52783055 -2.86651815  2.11702915  0.36667592
  1.6122655   0.83121034 -0.50442029 -0.86795098 -1.23177375 -1.20718892
  0.17239315 -0.74619289 -0.61578417 -2.50148469 -1.40003017  0.        ]",0.14859936169243193,"[ 1.05059280e-03  4.26864745e-04  2.88899316e-04  4.76047707e-04
 -9.48996989e-05 -1.56788554e-04]",-4.736060905120447,0.008773136427487352,0.800579875809562,-0.03794768001370894,"[-0.13000193 -0.0989992  -0.06548278 -0.03336037  0.01431277  0.06498881
  0.08227887  0.15131421  0.1750307   0.18275194  0.14290607  0.12365638
  0.0050819  -0.17072876 -0.34389744 -0.33124826 -0.21834069 -0.25578068
 -0.20909448  0.16190672  0.80259974  1.27365188  1.40259035  0.033013
 -0.0245034 ]","[ 8.65918764e-04  9.48575444e-05  2.67271527e-04 -5.33867737e-04
 -7.44939779e-04  7.40909891e-04]","[ 1.26752278e-02 -1.51147976e-02 -9.02786992e-03 -5.55769024e-03
 -1.55529426e-02 -8.07696888e-04 -7.40062600e-03  5.48014248e-03
 -2.15187563e-04  4.37073025e-03  3.39951723e-03 -1.76598082e-03
 -5.55595941e-03 -1.00249328e-03 -3.96062931e-03  7.79091892e-05
 -4.89690135e-04 -2.24502029e-03 -5.61277992e-03 -3.46137155e-03]",0.08581184239193769,0.800579875809562,"[ 1.26752278e-02 -1.51147976e-02 -9.02786992e-03 -5.55769024e-03
 -1.55529426e-02 -8.07696888e-04 -7.40062600e-03  5.48014248e-03
 -2.15187563e-04  4.37073025e-03  3.39951723e-03 -1.76598082e-03
 -5.55595941e-03 -1.00249328e-03 -3.96062931e-03  7.79091892e-05
 -4.89690135e-04 -2.24502029e-03 -5.61277992e-03 -3.46137155e-03]"
ADM,"[ 0.31448449 -0.06465716 -0.31917928 -0.03816001  0.07980076 -0.26014753
  0.22765988  0.22491828 -0.06089221 -0.03001089  0.16472659 -0.11741572
 -0.45259565  0.10992261  0.28832828  0.39292881 -0.10516243 -0.06337251
  0.12841457 -0.38328396 -0.10532165 -0.02378208 -0.12246706  0.08783747
 -0.0894658   0.17861123 -0.26335749  0.05716391 -0.14717177 -0.17958585
 -0.23371053  0.02472333  0.20159235  0.59190336 -1.10618923 -0.00654291
 -1.8550154  -2.2864524  -1.24205193 -2.41422529  0.91104671 -0.71109734
  1.91186205  0.84157901  0.83885856  0.04684808 -0.60901468 -1.19972621
 -0.15509725 -1.73988285  0.59319155 -1.96804071  1.37167079  0.        ]",0.1544562933145284,[ 0.00253498 -0.00105739  0.00065807  0.00058875 -0.0003706  -0.00026577],-4.503958497958786,0.011065108520744698,0.8007662445272227,-0.03713331280505983,"[-0.12823149 -0.09948453 -0.06255816 -0.03197765  0.02188081  0.06473794
  0.09571676  0.13782539  0.17831638  0.18136247  0.15274807  0.11863895
 -0.00344114 -0.17808502 -0.34767812 -0.31588816 -0.2006189  -0.23806667
 -0.15443815  0.14193081  0.76800399  1.32589512  1.45265058  0.04355228
 -0.01605136]",[ 0.00075984 -0.00046722  0.00073407 -0.00039985 -0.00021052  0.00056534],"[ 1.03245365e-02 -1.11193868e-02 -7.36741526e-03  5.58589283e-05
 -1.07008355e-02 -1.43878203e-04 -6.14749796e-03  2.36103547e-03
 -3.37193100e-03  5.32780890e-03  3.13896148e-03  2.47369219e-03
 -2.76111790e-03  6.60868752e-04 -3.90752581e-03 -1.06390153e-03
 -3.06111752e-03  9.83400448e-04 -3.82711658e-03  3.70536391e-03]",0.08510134149029809,0.8007662445272227,"[ 1.03245365e-02 -1.11193868e-02 -7.36741526e-03  5.58589283e-05
 -1.07008355e-02 -1.43878203e-04 -6.14749796e-03  2.36103547e-03
 -3.37193100e-03  5.32780890e-03  3.13896148e-03  2.47369219e-03
 -2.76111790e-03  6.60868752e-04 -3.90752581e-03 -1.06390153e-03
 -3.06111752e-03  9.83400448e-04 -3.82711658e-03  3.70536391e-03]"
