,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope,"fs_1 - beta(p=365.25,n=10)"
A,"[-0.03323476  0.01364173  0.00552748  0.03871439 -0.01836206  0.00737414
  0.0643574   0.01077496 -0.0757295   0.07878175  0.04535769 -0.22784489
 -0.08560827  0.03993947 -0.07693485  0.01014657 -0.05652315 -0.08215807
  0.01473001  0.08475138 -0.07759916 -0.04370553  0.14929534 -0.06319253
  0.163304   -0.07919287  0.00643723 -0.15568509  0.02233307 -0.03527412
  0.04742939  0.04693997 -0.05602853  0.72398552  0.35931421 -0.81921905
 -1.02306353  0.2578675   0.893332    0.22779458 -0.32964    -0.26841004
 -0.11976783  0.25839911  0.27915815 -0.40976966 -0.119181    0.76348459
 -0.0036099  -0.3386837  -0.23236569 -1.44910051  0.23832942  0.        ]",0.16969970674998539,"[-8.21015294e-05  5.70341080e-04 -2.98635833e-04  1.84675021e-04
 -1.38375915e-04 -7.39155234e-05]",-5.9582581432591795,0.002584409725169988,0.8068120749219064,-0.03833242966062031,"[-1.37056816e-01 -1.13109244e-01 -7.91602630e-02 -3.64591606e-02
  5.59726968e-03  5.08734689e-02  9.12716054e-02  1.38525333e-01
  1.75681589e-01  1.86950457e-01  1.92010391e-01  1.60258825e-01
  4.97218153e-02 -1.22450061e-01 -3.07234725e-01 -3.60949916e-01
 -2.67624918e-01 -2.06975559e-01 -2.16299898e-01 -8.97893078e-02
  5.77492812e-01  1.21256225e+00  1.88649723e+00  1.21948135e+00
  1.43954807e-03]",[ 0.00091717  0.00077915  0.0006553   0.00017465  0.00054074 -0.00024794],"[ 1.29426345e-02 -1.51771456e-03 -5.54574505e-03  2.95205049e-03
 -1.34393168e-03  6.04444277e-03 -1.95921061e-04 -2.45778127e-03
 -1.11571064e-03 -1.34934065e-03  3.42574049e-03  1.36694575e-03
 -1.69690991e-03  1.50565833e-03  1.36991590e-03 -1.09109946e-03
  6.40311210e-04 -2.73218541e-04 -2.25888216e-03 -1.27977628e-05]",0.08500059159554234,0.8068120749219064,"[ 1.29426345e-02 -1.51771456e-03 -5.54574505e-03  2.95205049e-03
 -1.34393168e-03  6.04444277e-03 -1.95921061e-04 -2.45778127e-03
 -1.11571064e-03 -1.34934065e-03  3.42574049e-03  1.36694575e-03
 -1.69690991e-03  1.50565833e-03  1.36991590e-03 -1.09109946e-03
  6.40311210e-04 -2.73218541e-04 -2.25888216e-03 -1.27977628e-05]"
AAL,"[ 0.01980425 -0.03728988  0.01762532  0.00126816 -0.01466862  0.01016008
  0.11369438  0.01064399 -0.01780261  0.06867053  0.0864362  -0.07057957
 -0.01818127 -0.00152544  0.02930257  0.06630764  0.0306107  -0.1683589
 -0.05727827  0.05488996 -0.02991676 -0.07183664  0.11295815 -0.05404662
  0.18510724 -0.02774476 -0.0256175  -0.04935408 -0.02633503 -0.01955248
  0.09454308  0.11516091 -0.08750874  0.39434853  0.2583301  -0.39518163
 -0.70676542 -0.05925233  0.78446253  0.43628288 -0.48644971 -0.61977809
 -0.10665576  0.24780571  0.66029893  0.22137438 -0.67360152 -0.4457367
  0.32027548  0.29771877  0.06489537 -0.00417186 -0.22270505  0.        ]",0.1650339163811008,"[ 1.75273169e-04 -5.03708027e-04  3.13126059e-04  6.28485721e-05
  6.23708253e-05  1.77099263e-04]",-5.605361613578887,0.003678090256362689,0.8079106539347009,-0.03877570051225747,"[-1.36748175e-01 -1.14088321e-01 -7.91936430e-02 -3.63005742e-02
  7.02819662e-03  5.09334359e-02  9.33256122e-02  1.38215052e-01
  1.77375984e-01  1.94131340e-01  1.95479443e-01  1.58347364e-01
  5.60311852e-02 -1.18699088e-01 -2.99973969e-01 -3.68864256e-01
 -2.74902722e-01 -2.09520604e-01 -2.10513281e-01 -9.41574737e-02
  5.70537878e-01  1.21625381e+00  1.89096044e+00  1.22594228e+00
  3.96414842e-04]",[ 0.00123083  0.000636    0.00071205  0.00030374  0.00071957 -0.00034552],"[ 1.18537705e-02 -1.81688324e-03 -4.33204079e-03  3.89364751e-03
 -2.28559025e-03  5.82262078e-03  4.50608133e-04 -2.81034090e-03
 -2.03910488e-03 -1.26736152e-03  3.35990288e-03  2.56061582e-03
  3.31083144e-04 -9.33062933e-05 -2.06869541e-03 -1.63495693e-04
  2.27597666e-03  4.87366045e-04  1.80677800e-03 -1.37957784e-03]",0.08496691135551539,0.8079106539347009,"[ 1.18537705e-02 -1.81688324e-03 -4.33204079e-03  3.89364751e-03
 -2.28559025e-03  5.82262078e-03  4.50608133e-04 -2.81034090e-03
 -2.03910488e-03 -1.26736152e-03  3.35990288e-03  2.56061582e-03
  3.31083144e-04 -9.33062933e-05 -2.06869541e-03 -1.63495693e-04
  2.27597666e-03  4.87366045e-04  1.80677800e-03 -1.37957784e-03]"
AAP,"[-0.05001571  0.12449581  0.09616057 -0.08033436 -0.02877281  0.02290276
 -0.19469826 -0.13125112 -0.07234796  0.0070045  -0.09795598  0.02677891
  0.218251   -0.11178766 -0.17297676 -0.09847438  0.00608799  0.09715057
  0.13724567 -0.10867828  0.12238848  0.17746567 -0.15391374  0.03307611
 -0.0230676   0.03926895  0.13063176  0.0180612   0.0292719   0.1439977
 -0.14675358 -0.18359783  0.01780395 -0.98682475 -0.34945227  1.23319621
  1.05881511 -0.6863135  -1.44749618  0.15538493  1.44338874  0.47564222
 -0.45252578 -0.07207994 -0.55196916 -0.63126599  0.73945974  1.04117787
 -0.26092172 -0.14134315 -0.35438986 -1.70537802  0.00920864  0.        ]",0.17131236539409228,"[ 3.02988307e-04  1.14365544e-04  4.51709891e-05 -1.49610346e-04
  4.38687571e-05 -1.49448448e-04]",-6.284387449569464,0.001865199148462988,0.8064644968469801,-0.03733035112609513,"[-0.13520838 -0.1157601  -0.07929503 -0.03607601 -0.00186779  0.04631366
  0.09145915  0.13531116  0.16992485  0.19790777  0.20604277  0.15119951
  0.0446248  -0.12905678 -0.30040051 -0.3436374  -0.25420234 -0.22796745
 -0.19189565 -0.05336084  0.52241079  1.23384025  1.8492788   1.23788232
  0.0092198 ]","[ 1.33293498e-03  8.04427858e-04  1.11376258e-03 -4.18613263e-04
  2.07642253e-05  2.37278014e-05]","[ 0.00738677 -0.00351874  0.00038078  0.00937144 -0.00439929 -0.00040407
  0.0001659   0.00281611  0.00127447 -0.00226694  0.00261764 -0.00084217
 -0.00200872  0.00351515  0.00197663 -0.0016758   0.00125567 -0.00037134
 -0.00348201  0.00014673]",0.08417257102045791,0.8064644968469801,"[ 0.00738677 -0.00351874  0.00038078  0.00937144 -0.00439929 -0.00040407
  0.0001659   0.00281611  0.00127447 -0.00226694  0.00261764 -0.00084217
 -0.00200872  0.00351515  0.00197663 -0.0016758   0.00125567 -0.00037134
 -0.00348201  0.00014673]"
AAPL,"[-1.11628876e-01  1.03315295e-01  4.05935103e-02 -1.69490232e-02
 -3.37801671e-02  5.22757244e-02 -1.11500623e-01  2.55177114e-02
 -1.55763277e-01  2.07055281e-02 -4.81667442e-02 -1.44380735e-01
 -2.28004719e-02  1.69317972e-02 -1.07249646e-01 -6.70763200e-02
 -8.12604844e-02  7.14691913e-02  4.23045538e-02  9.08895428e-03
 -1.41424904e-02 -5.17767047e-03 -9.07574187e-03  5.79202010e-02
  1.13685700e-01 -1.18210214e-01  1.80307546e-03 -2.14912874e-01
  8.15515357e-02 -3.20032358e-02 -1.55021457e-02 -1.25384711e-01
  1.01898377e-03  6.44402692e-01  9.09927697e-02 -9.67528326e-01
 -3.63807726e-01  6.72056189e-01 -4.38525239e-02 -3.70276833e-01
  6.87091151e-01  5.35792212e-01 -6.42368686e-01 -2.28198950e-02
  1.17645456e-01 -7.62561519e-01  3.25385765e-01  1.52137805e+00
 -4.15644592e-01 -7.85769508e-01 -8.97535479e-03 -1.95463539e+00
  1.69494144e-01  0.00000000e+00]",0.17204846534296014,[ 0.00057842 -0.00053375  0.00052824  0.00017251  0.00012607  0.00033485],-5.298472199746633,0.004999225893937224,0.8051883242036724,-0.037546312381496826,"[-1.36399546e-01 -1.14180670e-01 -7.93602838e-02 -3.53784564e-02
  6.12903505e-04  5.11221080e-02  8.84817790e-02  1.36068551e-01
  1.71785269e-01  1.90393534e-01  1.94488855e-01  1.57890628e-01
  4.82399442e-02 -1.27590412e-01 -3.08921361e-01 -3.46560630e-01
 -2.64789412e-01 -2.15332541e-01 -2.08662494e-01 -8.21655028e-02
  5.48547210e-01  1.23698461e+00  1.88138217e+00  1.21310398e+00
  8.99374466e-04]","[ 7.19634081e-04  9.21256948e-04  6.55642363e-04  1.21283097e-06
  1.19144631e-04 -2.27893973e-05]","[ 1.26651805e-02 -2.29295588e-03 -5.95989697e-03  5.02851603e-03
 -2.71777437e-04  3.22348981e-03 -1.86377073e-03  4.21649494e-04
  1.12439949e-03 -2.85809436e-03  2.77908173e-03  6.70097585e-04
 -2.79329034e-03  2.60608953e-03  3.32636850e-03 -2.20682003e-03
 -5.51733729e-04  4.57848254e-04 -3.98301428e-03  8.60933448e-05]",0.08490493051986989,0.8051883242036724,"[ 1.26651805e-02 -2.29295588e-03 -5.95989697e-03  5.02851603e-03
 -2.71777437e-04  3.22348981e-03 -1.86377073e-03  4.21649494e-04
  1.12439949e-03 -2.85809436e-03  2.77908173e-03  6.70097585e-04
 -2.79329034e-03  2.60608953e-03  3.32636850e-03 -2.20682003e-03
 -5.51733729e-04  4.57848254e-04 -3.98301428e-03  8.60933448e-05]"
ABBV,"[-1.37039124e-02  7.47277756e-02  7.19418092e-02 -8.50870323e-02
 -1.60296109e-02  3.45427635e-02 -1.82254874e-01 -1.12111797e-01
 -2.43396104e-02 -2.65570162e-02 -7.92417490e-02  1.05505206e-01
  2.18853268e-01 -1.09988377e-01 -1.22137771e-01 -8.19917600e-02
  3.92126464e-02  1.00644088e-01  8.03250792e-02 -1.13861329e-01
  1.28048084e-01  1.58380008e-01 -1.70122350e-01  4.94202325e-02
 -6.36993804e-02  7.04096784e-02  1.03699851e-01  8.28663236e-02
  1.09195066e-03  1.46161360e-01 -1.37562249e-01 -1.63976141e-01
  3.03072771e-02 -1.08227903e+00 -4.08361027e-01  1.30141563e+00
  1.26565922e+00 -6.50544461e-01 -1.48915495e+00  1.17334382e-01
  1.23967395e+00  3.19590447e-01 -2.91854139e-01  1.19660685e-02
 -4.84426066e-01 -3.86868308e-01  5.38407586e-01  4.06631169e-01
 -1.93367525e-01  2.06999737e-01 -1.03956778e-01 -9.05936162e-01
  1.65435606e-02  0.00000000e+00]",0.1686968435150878,"[ 5.98600754e-05  3.82360295e-04 -1.19076220e-04  2.08794810e-04
 -7.15531078e-05  5.74044765e-05]",-5.76769417333166,0.003126959434238642,0.8072166107707947,-0.03776935896851162,"[-1.35677018e-01 -1.15958691e-01 -7.90769168e-02 -3.57349954e-02
 -1.51185392e-03  4.69189607e-02  9.31129669e-02  1.34145347e-01
  1.70717415e-01  2.01521605e-01  2.06145207e-01  1.51370428e-01
  4.75845905e-02 -1.27853322e-01 -2.97652070e-01 -3.43564070e-01
 -2.59779266e-01 -2.28329156e-01 -1.90733644e-01 -5.66201169e-02
  5.19788774e-01  1.23705085e+00  1.83901378e+00  1.24216373e+00
  7.62129469e-03]","[ 1.51477620e-03  7.15905772e-04  1.11395279e-03 -3.79597045e-04
  7.18162075e-05  7.35322172e-05]","[ 7.05588912e-03 -3.70151502e-03  5.69328427e-04  1.00112976e-02
 -4.31274157e-03 -5.17341892e-04  6.32602172e-05  2.28245630e-03
  8.43919983e-04 -1.72781738e-03  2.84141685e-03 -6.26004380e-04
 -1.25406902e-03  3.00018736e-03  1.34519460e-04 -1.46163409e-03
  2.18815288e-03  2.53707179e-04 -1.23457494e-03  1.64531228e-04]",0.08420555974569177,0.8072166107707947,"[ 7.05588912e-03 -3.70151502e-03  5.69328427e-04  1.00112976e-02
 -4.31274157e-03 -5.17341892e-04  6.32602172e-05  2.28245630e-03
  8.43919983e-04 -1.72781738e-03  2.84141685e-03 -6.26004380e-04
 -1.25406902e-03  3.00018736e-03  1.34519460e-04 -1.46163409e-03
  2.18815288e-03  2.53707179e-04 -1.23457494e-03  1.64531228e-04]"
ABT,"[ 0.00874549  0.05699157  0.017407   -0.04133642 -0.01887479  0.02487143
 -0.14861219 -0.12293735  0.00997206 -0.00517666 -0.04999835  0.01959092
  0.18150286 -0.09699446 -0.17539349 -0.09145801  0.0287893   0.11098983
  0.07973089 -0.06748939  0.10428594  0.15178294 -0.12064346 -0.00994744
 -0.11558877  0.10402003  0.14976223  0.09751221 -0.03144397  0.17629845
 -0.14054869 -0.13663925  0.05185485 -1.05167148 -0.28043559  1.35445162
  1.08139984 -0.70035408 -1.2597195   0.1909016   0.93357081  0.16235713
  0.04790537  0.17262569 -0.73003637 -0.51848861  0.66545411  0.43439676
 -0.11807123  0.45213801 -0.46427171 -1.44776262  0.58728138  0.        ]",0.16981183893554289,[0.00073831 0.00022928 0.00028784 0.00011456 0.00011829 0.00017365],-6.2360247593735645,0.0019576220945031805,0.8076815976092591,-0.037922217783603746,"[-1.36812624e-01 -1.15020953e-01 -7.91886513e-02 -3.59922938e-02
 -5.51373880e-04  4.66067241e-02  9.42487940e-02  1.35071002e-01
  1.72023063e-01  1.97635667e-01  2.04453773e-01  1.52398182e-01
  4.42131370e-02 -1.28397482e-01 -2.98749099e-01 -3.42928930e-01
 -2.59582925e-01 -2.23589913e-01 -1.93106784e-01 -5.80459759e-02
  5.29232181e-01  1.22352863e+00  1.82449111e+00  1.24845243e+00
  1.00243764e-02]",[ 0.00155012  0.00064191  0.00117184 -0.00038638  0.00014644  0.00011513],"[ 0.00715548 -0.00332572  0.0007091   0.00945034 -0.00442615  0.00017305
  0.00029606  0.0013961   0.00039717 -0.00072621  0.00324204 -0.00125783
 -0.0016638   0.00345449  0.00026072 -0.00123402  0.00290634 -0.00081577
 -0.00264467  0.00187454]",0.08415488367573269,0.8076815976092591,"[ 0.00715548 -0.00332572  0.0007091   0.00945034 -0.00442615  0.00017305
  0.00029606  0.0013961   0.00039717 -0.00072621  0.00324204 -0.00125783
 -0.0016638   0.00345449  0.00026072 -0.00123402  0.00290634 -0.00081577
 -0.00264467  0.00187454]"
ACN,"[ 0.00741332  0.04194945  0.09867939 -0.05575096  0.00772613  0.06706081
 -0.15867259 -0.09970874 -0.03626453 -0.04532094 -0.03940537  0.05178117
  0.22598178 -0.11837656 -0.1765142  -0.0658529  -0.00631796  0.01676019
  0.09292311 -0.08855637  0.10338282  0.16525634 -0.11057367  0.01723324
 -0.00560389  0.03972064  0.1519884   0.04508383 -0.00338423  0.15024787
 -0.1351677  -0.13819822 -0.03160645 -1.01954968 -0.32263523  1.24129227
  1.1010936  -0.68290569 -1.22492114  0.31369286  0.97288699 -0.0742227
 -0.06248455  0.47771549 -0.52243382 -0.73870921  0.35280853  0.49882429
  0.01777631  0.44322122 -0.15916963 -1.38871551 -0.17686593  0.        ]",0.16725387305793843,"[ 3.26053266e-04  8.13869585e-04 -6.43819674e-05  1.34729133e-04
  5.39398810e-05  1.15821628e-04]",-6.209532185994183,0.002010177633391806,0.8076540048583755,-0.038059556860724604,"[-1.35082354e-01 -1.15343734e-01 -7.85402280e-02 -3.48061816e-02
 -8.85848213e-04  4.73166161e-02  9.27435895e-02  1.33462195e-01
  1.72223900e-01  1.99186195e-01  2.06401812e-01  1.51221656e-01
  4.40119767e-02 -1.26614630e-01 -3.00952112e-01 -3.50867629e-01
 -2.58457937e-01 -2.26101650e-01 -1.94193659e-01 -5.60205486e-02
  5.30274928e-01  1.23021347e+00  1.85029987e+00  1.23750513e+00
  1.08079845e-02]",[ 0.0014022   0.00071326  0.00112752 -0.00038613  0.0001344  -0.00010157],"[ 7.27895148e-03 -3.42139161e-03  4.16299599e-04  9.50069722e-03
 -4.37816080e-03  2.68077197e-04  5.76845964e-04  1.53448889e-03
 -2.56974009e-04 -1.04429366e-03  4.07348687e-03 -6.32448143e-04
 -2.25413077e-03  2.53511561e-03  5.07896617e-04 -9.19966616e-04
  2.87557889e-03  1.43646537e-06 -2.52760301e-03 -4.32351552e-04]",0.08433399776814716,0.8076540048583755,"[ 7.27895148e-03 -3.42139161e-03  4.16299599e-04  9.50069722e-03
 -4.37816080e-03  2.68077197e-04  5.76845964e-04  1.53448889e-03
 -2.56974009e-04 -1.04429366e-03  4.07348687e-03 -6.32448143e-04
 -2.25413077e-03  2.53511561e-03  5.07896617e-04 -9.19966616e-04
  2.87557889e-03  1.43646537e-06 -2.52760301e-03 -4.32351552e-04]"
ADBE,"[-0.13430571  0.19146535  0.10135596 -0.11391095 -0.08326765  0.05526606
 -0.20507808 -0.10533895 -0.18955151  0.08186369 -0.08146379 -0.09053801
  0.17499594 -0.09596711 -0.19951005 -0.12147042  0.01798593  0.07846008
  0.09071638 -0.0659138   0.11660692  0.10083039 -0.11971907  0.05063326
  0.14989799 -0.0312523   0.08777082 -0.15020248  0.05479216  0.11629966
 -0.06733724 -0.20305775 -0.00393995 -0.18746112 -0.16155337  0.20985409
  0.43909423 -0.18339542 -1.0791427   0.03736363  1.74482982  0.60670025
 -1.15560142 -0.11114662  0.12003393 -0.83148917  0.48675075  1.63722714
 -0.35742899 -0.47173538 -0.33516426 -2.75623881  0.30827908  0.        ]",0.1732754363880584,"[4.28882591e-04 3.52827917e-04 9.59210222e-05 2.82095493e-05
 7.72572202e-05 5.87038423e-05]",-5.974364618957607,0.002543117422136383,0.8047186265266406,-0.03675299679167616,"[-0.13517325 -0.11631943 -0.08048484 -0.03530594 -0.00197995  0.04697521
  0.08736799  0.13807182  0.17047385  0.19232843  0.2038426   0.15166214
  0.04307873 -0.13114462 -0.3006557  -0.34529665 -0.25948541 -0.22331241
 -0.1933428  -0.06359949  0.52759606  1.23753318  1.89335648  1.22700904
  0.00715462]","[ 8.80577079e-04  8.79762252e-04  1.04216484e-03 -1.85648021e-04
 -2.53955113e-05 -5.44237461e-05]","[ 0.00996961 -0.00297736 -0.00254747  0.00746566 -0.00287058  0.00044315
 -0.00042052  0.00350896  0.0014949  -0.00444247  0.00247442  0.0008376
 -0.00270612  0.00277144  0.00369075 -0.00205114  0.00030916 -0.00030044
 -0.00638699  0.00096565]",0.084413539064792,0.8047186265266406,"[ 0.00996961 -0.00297736 -0.00254747  0.00746566 -0.00287058  0.00044315
 -0.00042052  0.00350896  0.0014949  -0.00444247  0.00247442  0.0008376
 -0.00270612  0.00277144  0.00369075 -0.00205114  0.00030916 -0.00030044
 -0.00638699  0.00096565]"
ADI,"[-1.81512272e-01  1.74395670e-01 -1.86036709e-03 -6.72413374e-02
 -1.00801616e-01  3.50167806e-02 -1.86454687e-01  9.50918764e-02
 -1.81962546e-01  5.24681159e-02 -5.68719357e-02 -2.91794919e-02
  1.47401233e-02  3.06081361e-04 -4.35214761e-03 -1.14269132e-01
 -1.70964486e-02  1.81550783e-01 -2.03071752e-02 -2.40266049e-02
  5.76735542e-02 -8.21855268e-02 -1.45328976e-01  1.39651726e-01
  5.86935165e-02 -9.15807417e-02 -2.10075821e-02 -2.20014795e-01
  9.24437323e-02 -2.48108046e-02  2.36206364e-02 -1.76448815e-01
  9.18776063e-02  7.09991512e-01 -6.24552299e-02 -1.20090725e+00
 -6.77637141e-03  1.08850133e+00 -5.29249379e-01 -1.09633434e+00
  1.17685292e+00  1.36072987e+00 -1.04351324e+00 -7.84442410e-01
  4.35973604e-01 -2.01993011e-01  2.28998423e-01  1.30300731e+00
 -4.23437104e-01 -9.58704968e-01 -6.09929393e-02 -1.68877604e+00
  4.95686903e-01  0.00000000e+00]",0.17412515257491326,"[ 3.72139443e-04 -5.36970317e-06  8.35182478e-05  1.65187029e-04
 -5.79329354e-05  3.15783752e-06]",-5.938182985204783,0.002636816435342533,0.8037408531213264,-0.03692611770114639,"[-1.37370321e-01 -1.15154759e-01 -8.08793583e-02 -3.59628796e-02
 -1.38150387e-03  5.31444245e-02  8.74946801e-02  1.37222890e-01
  1.71608953e-01  1.95288022e-01  1.96171461e-01  1.56250883e-01
  5.46861608e-02 -1.31078829e-01 -3.04493556e-01 -3.36796100e-01
 -2.71405697e-01 -2.18173263e-01 -1.99720233e-01 -9.21465626e-02
  5.23212807e-01  1.25369315e+00  1.87420837e+00  1.21580572e+00
 -1.16373719e-05]","[ 7.16972930e-04  9.22948151e-04  6.58067021e-04  1.19241139e-04
 -1.92037520e-06  2.53270823e-04]","[ 0.01281589 -0.00276696 -0.00666303  0.00615793  0.00085595  0.00169702
 -0.00392679  0.00179375  0.00336521 -0.00402456  0.00081525  0.00130101
 -0.00117727  0.00222235  0.00244411 -0.00208785 -0.00117496  0.00035167
 -0.00335781  0.00123298]",0.08477229670361484,0.8037408531213264,"[ 0.01281589 -0.00276696 -0.00666303  0.00615793  0.00085595  0.00169702
 -0.00392679  0.00179375  0.00336521 -0.00402456  0.00081525  0.00130101
 -0.00117727  0.00222235  0.00244411 -0.00208785 -0.00117496  0.00035167
 -0.00335781  0.00123298]"
ADM,"[-1.44754355e-01  8.63123325e-02  7.39616001e-03  8.70846003e-02
 -4.75230485e-02  9.87401649e-02 -1.18532053e-01  2.04126041e-01
 -1.24638091e-01 -4.51581925e-02  4.23935020e-02 -3.09215743e-02
  7.27862736e-03 -3.83339082e-02  7.99200949e-04 -8.53662929e-03
 -1.78106408e-01  3.83414275e-02 -2.33809608e-03  2.27534550e-02
  1.00746276e-03 -1.41103390e-01 -1.09553833e-01  9.65669105e-02
  1.50502674e-02 -1.72064666e-01  8.66185610e-02 -2.50857528e-01
  7.63565953e-02 -8.64060511e-02  3.68139690e-02 -8.39053203e-02
  1.81585277e-02  8.80728459e-01  1.38638316e-01 -1.39272874e+00
 -2.47464091e-01  1.33714562e+00  1.17876164e-01 -1.26846043e+00
  2.04309832e-01  1.04653379e+00 -8.61434329e-03 -3.54971389e-01
 -7.82993272e-02 -3.68959220e-01  8.99098634e-04  8.42315182e-01
  1.53837948e-01 -7.50742866e-02 -2.28803540e-01 -1.93394132e+00
 -3.95616994e-01  0.00000000e+00]",0.17177952860631726,"[-1.34943165e-04  2.38737877e-04 -6.57539156e-05  6.47557534e-06
  3.13481727e-05  7.03717302e-05]",-6.063901376893764,0.002325311252421184,0.8045022073792688,-0.03771350466651391,"[-1.37107075e-01 -1.11742904e-01 -7.96658225e-02 -3.41436350e-02
  3.99972314e-04  5.65483495e-02  8.94898584e-02  1.33716982e-01
  1.75534372e-01  1.95619033e-01  1.95806836e-01  1.54895399e-01
  5.40004311e-02 -1.23657701e-01 -3.15926398e-01 -3.49599117e-01
 -2.69865688e-01 -2.14062324e-01 -2.06970111e-01 -1.03737676e-01
  5.29197594e-01  1.24327137e+00  1.85917427e+00  1.20245737e+00
  6.40743337e-03]","[6.18348733e-04 8.64397542e-04 4.93224052e-04 1.34956332e-04
 2.05126069e-04 5.70469147e-05]","[ 1.33914411e-02 -2.16658881e-03 -7.21776903e-03  5.43257414e-03
  1.62090357e-03  3.57611268e-03 -4.50478801e-03 -9.04257193e-04
  2.47162396e-03 -8.99067752e-04  2.06661042e-03 -6.50523580e-05
 -1.74550282e-03  1.79084400e-03  1.19693990e-03 -3.74733366e-04
  1.25097224e-03 -4.04570948e-04 -3.94764620e-03 -1.55884053e-03]",0.08502450279518566,0.8045022073792688,"[ 1.33914411e-02 -2.16658881e-03 -7.21776903e-03  5.43257414e-03
  1.62090357e-03  3.57611268e-03 -4.50478801e-03 -9.04257193e-04
  2.47162396e-03 -8.99067752e-04  2.06661042e-03 -6.50523580e-05
 -1.74550282e-03  1.79084400e-03  1.19693990e-03 -3.74733366e-04
  1.25097224e-03 -4.04570948e-04 -3.94764620e-03 -1.55884053e-03]"
