,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope,"fs_1 - beta(p=365.25,n=10)"
A,"[-0.2601545  -0.30863935  0.24438174 -0.05077606 -0.23442076 -0.24408679
  0.4768296   0.07599697  0.66208417 -0.08261668 -0.10779348 -0.13268472
 -0.28525531  0.11290651 -0.08708615  0.11489415  0.24134055  0.19003314
  0.17026538  0.32039562  0.2035229   0.19622534 -0.21035575  0.21267681
  0.15423845 -0.61525074 -0.11864139 -0.25506722  0.07826822 -0.07897284
 -0.34310753  0.25532033 -0.06709324 -1.42791897 -0.00924771 -3.46456988
  1.33947833 -3.49849719  2.67409799 -3.3626311   2.93867123 -1.84449436
  1.83069619 -0.4022005   0.10869414  1.0448399  -1.02493125  1.00775746
 -1.06042925 -0.25890002 -0.03304677 -2.6401797   2.74009386  0.        ]",0.23155040049230444,[-0.00061478  0.00132748 -0.00135869 -0.00037881  0.00022998 -0.00040579],-4.474311531837426,0.011398066629846985,0.7165116829199086,-0.03425633470788175,"[-0.10164367 -0.08757585 -0.05871436 -0.02421649  0.03576328  0.06244875
  0.12411373  0.13858638  0.16586645  0.18273209  0.16342428  0.12079773
 -0.01428698 -0.17932262 -0.31372542 -0.31324299 -0.22200481 -0.15049528
 -0.12567594  0.11222647  0.71442791  1.35684016  1.66147158  0.1211913
 -0.00549536]","[ 6.96588940e-05  7.30459360e-04  3.15381261e-04 -1.10844314e-03
  8.84061034e-05 -9.59974059e-04]","[ 0.00606396 -0.00556868 -0.01386306  0.00808693 -0.01453113  0.00899484
 -0.00986338  0.00822523 -0.00635054  0.00519588  0.00038811  0.00200587
  0.00156881 -0.00142717  0.00218445 -0.00384204  0.00147838  0.00157342
 -0.00515094  0.0097456 ]",0.08420585254556877,0.7165116829199086,"[ 0.00606396 -0.00556868 -0.01386306  0.00808693 -0.01453113  0.00899484
 -0.00986338  0.00822523 -0.00635054  0.00519588  0.00038811  0.00200587
  0.00156881 -0.00142717  0.00218445 -0.00384204  0.00147838  0.00157342
 -0.00515094  0.0097456 ]"
AAL,"[-1.67463223e-01 -3.47581175e-01  7.69583848e-02 -1.95568450e-01
 -1.42338724e-01 -1.34042534e-01  4.67666783e-01  1.64962160e-01
  3.00647191e-01  6.82859597e-02  7.48577556e-02  1.36108162e-03
  1.27152722e-02  3.29629820e-01 -1.16441401e-01  7.19725592e-02
  2.49596746e-01 -1.93245453e-01  1.91282953e-02  1.92548397e-03
  1.70990006e-01  9.09359849e-03 -1.95246748e-01  2.75113859e-01
  2.46366020e-02 -4.81068059e-01  7.83941248e-03 -5.34329427e-02
  1.90443172e-02 -3.51793991e-02 -3.43989984e-01  2.58625082e-01
 -4.60405957e-02 -1.82631827e+00  4.25810495e-02 -3.43871165e+00
  3.05014228e-01 -3.26266409e+00  8.79991727e-01 -2.47882052e+00
  1.04350022e+00 -7.89797110e-01  9.42067866e-01  3.40980596e-01
  3.88291834e-01  9.68466999e-01 -2.06662603e-01  6.83972467e-01
 -8.34097293e-01 -4.48846989e-01 -1.03116356e+00 -1.43369420e+00
 -4.62549554e-01  0.00000000e+00]",0.22586003735967627,"[-1.23894133e-03  4.82800052e-04 -3.94249838e-04  3.88069165e-04
 -5.04065686e-04 -2.52542164e-05]",-4.435958735878458,0.011843705477307157,0.7184427982025663,-0.03464879101610196,"[-0.10533536 -0.09126606 -0.05646255 -0.02124486  0.03522815  0.06536524
  0.11190919  0.14423072  0.17358117  0.18767867  0.17770299  0.13376212
 -0.01765982 -0.18281161 -0.31382437 -0.34456264 -0.23367349 -0.18822987
 -0.1316185   0.08845827  0.71859764  1.36539545  1.61911071  0.14210207
  0.00398811]",[ 0.00065183  0.00067992  0.00038964 -0.001143    0.00014799 -0.00099838],"[ 4.90434927e-03 -5.51863537e-03 -1.37177572e-02  5.07117335e-03
 -1.38121284e-02  3.91214323e-03 -7.43819559e-03  3.29042313e-03
 -2.95763512e-03  2.75318531e-03  2.60080488e-03  2.38980526e-03
  1.37235565e-03  9.94718924e-04  1.20198225e-03 -2.75832549e-03
  9.53020587e-04 -1.76282284e-03 -1.55867543e-03  2.84347225e-05]",0.08480529140137069,0.7184427982025663,"[ 4.90434927e-03 -5.51863537e-03 -1.37177572e-02  5.07117335e-03
 -1.38121284e-02  3.91214323e-03 -7.43819559e-03  3.29042313e-03
 -2.95763512e-03  2.75318531e-03  2.60080488e-03  2.38980526e-03
  1.37235565e-03  9.94718924e-04  1.20198225e-03 -2.75832549e-03
  9.53020587e-04 -1.76282284e-03 -1.55867543e-03  2.84347225e-05]"
AAP,"[-0.04783127 -0.67031127 -0.24977669 -0.26999921 -0.18258888 -0.3221582
  0.31877345 -0.24402186  0.35821036 -0.16816101 -0.01953624  0.07388523
  0.01830871  0.31744858 -0.38556537  0.04413285  0.1945563  -0.14237546
  0.18073946 -0.24912392  0.20137093  0.07426336 -0.02031516  0.29345198
 -0.07898506 -0.4992492   0.08104798 -0.16688618  0.31736702  0.10775778
 -0.1056963   0.25723158  0.22375654 -2.388361   -0.60918609 -3.68191153
 -0.41281176 -3.59318649 -0.84119537 -2.26574744 -1.20711491  0.41520004
 -1.51500078  2.13786027 -1.43356787  2.32290233 -0.91240339  1.00297394
  0.05499316 -1.36486866  0.68295659 -3.7591985   1.99930519  0.        ]",0.22034578931674495,[-0.00426708  0.00015922 -0.0009396  -0.00127771  0.00012593 -0.00013794],-4.359320355431823,0.012787075363236129,0.7209351912425739,-0.037821601723222756,"[-0.11220038 -0.09320388 -0.05753634 -0.02676423  0.03092329  0.05380165
  0.11394872  0.13489668  0.16935894  0.19059914  0.17877442  0.13411017
 -0.03350393 -0.18442668 -0.31991424 -0.34086288 -0.22080005 -0.21732515
 -0.1289245   0.09208107  0.75486942  1.36688621  1.59502221  0.13673145
  0.00760592]",[ 0.00039549  0.0016092   0.00094199 -0.00047456  0.00015397 -0.00028098],"[ 0.00324273 -0.00732706 -0.01422445  0.00285966 -0.01461069 -0.0009107
 -0.00669229 -0.00259535  0.00067467 -0.00406722  0.00791313 -0.00306475
  0.00509714 -0.0006019   0.00174077 -0.0002423  -0.00182442  0.0024446
 -0.00808841  0.00714032]",0.0858572033292039,0.7209351912425739,"[ 0.00324273 -0.00732706 -0.01422445  0.00285966 -0.01461069 -0.0009107
 -0.00669229 -0.00259535  0.00067467 -0.00406722  0.00791313 -0.00306475
  0.00509714 -0.0006019   0.00174077 -0.0002423  -0.00182442  0.0024446
 -0.00808841  0.00714032]"
AAPL,"[-1.24941526e-01 -9.38520609e-01 -3.00598457e-01 -5.22643491e-01
 -2.92059758e-01 -4.97302323e-01  6.58333928e-01  8.02860284e-02
  4.20481429e-01 -1.20787468e-03 -4.02661648e-03  2.59103101e-02
  1.37217683e-01  3.99599751e-01 -3.45061345e-01  2.12553864e-01
  3.08143573e-01 -4.40961418e-01  1.97070982e-01 -2.46943988e-01
  2.53683397e-01  1.89998610e-01 -3.54107695e-01  4.98769504e-01
 -8.35926039e-02 -7.07322579e-01  8.67842576e-02 -2.20458208e-01
  3.91784317e-01  5.54766649e-02 -3.80700797e-01  3.10449514e-01
  1.28419176e-01 -3.20796481e+00 -5.21826160e-01 -6.26782835e+00
 -4.99140016e-01 -6.38161414e+00 -6.53019569e-01 -4.87443613e+00
 -1.00724700e+00 -1.61626182e+00 -1.10675650e+00  1.03865946e+00
 -1.24298837e+00  2.21399517e+00 -8.84554991e-01  1.72028769e+00
 -5.16986500e-01 -4.28280617e-01 -2.30326058e-01 -2.80872732e+00
  4.55210252e-01  0.00000000e+00]",0.21906933825934408,[-0.00108559 -0.00124022  0.000316   -0.00071903  0.00032143  0.00011519],-4.8621383021871925,0.007733928720766966,0.7193286884968133,-0.04043672467932855,"[-0.11296095 -0.09968158 -0.05998008 -0.03167207  0.04111691  0.06488281
  0.11676544  0.14125307  0.16989077  0.18812314  0.18426403  0.13935228
 -0.03285523 -0.17537389 -0.30931066 -0.36544923 -0.22058763 -0.21546975
 -0.12517891  0.10521857  0.69408906  1.40389403  1.58946325  0.10794092
  0.00603328]",[ 0.00038749  0.00185661  0.00069735 -0.00121091  0.00030419 -0.00062914],"[ 7.17443954e-04 -7.16026392e-03 -2.09677301e-02  2.73287249e-03
 -2.26612062e-02 -3.65896221e-04 -1.33280094e-02 -1.83912221e-03
 -5.07590929e-03 -3.28995484e-03  4.97094852e-03 -2.91386769e-03
  4.94815102e-03 -3.33895924e-06  3.33222810e-03 -2.56550942e-03
  5.10990139e-04  9.48645604e-04 -5.25594083e-03  3.60782433e-03]",0.0846498476213998,0.7193286884968133,"[ 7.17443954e-04 -7.16026392e-03 -2.09677301e-02  2.73287249e-03
 -2.26612062e-02 -3.65896221e-04 -1.33280094e-02 -1.83912221e-03
 -5.07590929e-03 -3.28995484e-03  4.97094852e-03 -2.91386769e-03
  4.94815102e-03 -3.33895924e-06  3.33222810e-03 -2.56550942e-03
  5.10990139e-04  9.48645604e-04 -5.25594083e-03  3.60782433e-03]"
ABBV,"[ 0.04335325 -0.35497408 -0.04287014 -0.16182948 -0.13630814 -0.16057741
  0.22467835 -0.16763305  0.27901914 -0.12180209  0.05059021  0.1312689
  0.06585174  0.39004336 -0.29755423 -0.02653339  0.11299141 -0.03915556
  0.05328606 -0.26765789  0.18253641 -0.04374001  0.04951842  0.16446811
 -0.00664543 -0.35933384  0.00494725 -0.05374542  0.18520188  0.06918246
 -0.17358757  0.26047591  0.19677106 -1.70462562 -0.42480227 -1.98743928
 -0.01762087 -1.88519449 -0.24717422 -0.83997169 -0.32605872  1.14573118
 -0.43112728  2.33971434 -0.04407     2.19104762  0.21425187  1.08954459
  0.57766748 -1.12052502  0.51570426 -3.51890415  0.77456477  0.        ]",0.22017672360864848,[-0.00243905  0.0029644  -0.000589    0.00020347 -0.00026779  0.00055037],-3.8133974083047,0.022073060226667978,0.7228349152431883,-0.03474703221993038,"[-0.1080301  -0.09040847 -0.05659294 -0.02217842  0.02790762  0.05514804
  0.11091504  0.13672679  0.17250041  0.19343167  0.18077782  0.13714799
 -0.02769457 -0.18789365 -0.32603026 -0.33134044 -0.23019968 -0.21999849
 -0.12813525  0.07932694  0.76595744  1.34197791  1.60989575  0.15762821
  0.00456698]",[ 0.00061985  0.00120997  0.00079888 -0.00069251  0.00019686 -0.00030289],"[ 0.00533517 -0.00684374 -0.00988427  0.00397136 -0.00976068  0.00075844
 -0.00316854 -0.00040609  0.0026917  -0.0008988   0.00830013  0.00118352
  0.00459888  0.00204224  0.00243444  0.001734   -0.00093704  0.0016523
 -0.00768676  0.00331043]",0.0861009309884927,0.7228349152431883,"[ 0.00533517 -0.00684374 -0.00988427  0.00397136 -0.00976068  0.00075844
 -0.00316854 -0.00040609  0.0026917  -0.0008988   0.00830013  0.00118352
  0.00459888  0.00204224  0.00243444  0.001734   -0.00093704  0.0016523
 -0.00768676  0.00331043]"
ABT,"[-0.11875855 -0.6930121   0.10377834 -0.4350482  -0.30021245 -0.33447005
  0.70360078  0.21289017  0.5509328   0.05028534  0.11280446  0.05638247
  0.03395113  0.56504507 -0.20576286  0.16567292  0.35583076 -0.30092587
  0.04914237 -0.12946943  0.27398487  0.09580046 -0.27170046  0.44259393
  0.02576678 -0.81620375 -0.01640556 -0.15860967  0.15188889 -0.0635168
 -0.57443366  0.45335698  0.01064318 -3.06946742 -0.2915803  -5.70977727
  0.43239414 -5.60457368  1.08928825 -4.24116989  1.20174209 -1.16561058
  1.00123656  1.14507109  0.7155604   2.07263401  0.23432651  1.486688
 -0.21907604 -0.88491095 -0.57625306 -3.47646107 -0.36153671  0.        ]",0.23687584581623614,"[-3.02997782e-03  9.54778676e-04 -1.18824482e-03 -1.09652923e-03
  9.67592720e-05 -4.20435193e-04]",-4.830733025627153,0.007980669086356607,0.7194575035527617,-0.03803503063929156,"[-1.04286445e-01 -9.74300364e-02 -6.00791698e-02 -2.70063829e-02
  4.22308507e-02  6.80190385e-02  1.20967013e-01  1.43538973e-01
  1.75048234e-01  1.90390295e-01  1.78647367e-01  1.46697897e-01
 -2.40891520e-02 -1.76985638e-01 -3.03436196e-01 -3.53567952e-01
 -2.33562604e-01 -2.00214513e-01 -1.19914218e-01  9.37143155e-02
  7.06399826e-01  1.39613669e+00  1.61627689e+00  9.47389860e-02
  2.15087541e-04]",[ 0.00049139  0.00112407  0.00028634 -0.00176086  0.00064008 -0.00084952],"[ 0.00112941 -0.00657359 -0.0195897   0.0054518  -0.02056634  0.004576
 -0.01165915  0.00407232 -0.0040866   0.00289463  0.00514081  0.00290402
  0.0043645   0.00252122  0.00303476 -0.00140153 -0.00032323  0.00029329
 -0.00741677  0.0013485 ]",0.0843023416086612,0.7194575035527617,"[ 0.00112941 -0.00657359 -0.0195897   0.0054518  -0.02056634  0.004576
 -0.01165915  0.00407232 -0.0040866   0.00289463  0.00514081  0.00290402
  0.0043645   0.00252122  0.00303476 -0.00140153 -0.00032323  0.00029329
 -0.00741677  0.0013485 ]"
ACN,"[-0.20808118 -0.46707473 -0.14524707 -0.06474946 -0.08683477 -0.14990876
  0.44376055 -0.16353452  0.31722024 -0.06888379  0.02883484  0.01003411
  0.02441262  0.26655099 -0.31858582 -0.0134455   0.31658238 -0.14873005
  0.12394457 -0.08348551  0.22373585 -0.01450452 -0.04294951  0.29881892
 -0.06512859 -0.54013503  0.04712996 -0.0979166   0.15850195  0.16137504
 -0.05683772  0.30560754  0.02542366 -2.09630246 -0.12702308 -3.51106828
  0.10556834 -3.21422059  0.33365222 -2.27904461  0.13232929 -0.04222985
 -0.51698101  1.10703392 -1.53311497  1.57491713 -1.84446505  0.50315212
 -1.51500194 -1.48087171 -0.78847425 -3.23460249  1.04977081  0.        ]",0.23956002532417606,"[-2.43840575e-03 -4.66745620e-05 -6.98895034e-04 -7.13018460e-04
 -2.21921539e-04 -5.13772667e-04]",-4.235598673887372,0.014471144107839893,0.7175965701500353,-0.035813120263169754,"[-0.11011605 -0.08793949 -0.05512284 -0.02176389  0.03461221  0.05539409
  0.11242603  0.13894576  0.17139569  0.18766625  0.17860392  0.13132635
 -0.02868456 -0.18851233 -0.31017234 -0.34197991 -0.22510356 -0.19977066
 -0.12509449  0.08235838  0.74853154  1.3707287   1.60134432  0.13151909
  0.006099  ]",[ 0.00050554  0.00109516  0.00103368 -0.00033302  0.00022279 -0.00080661],"[ 0.00409603 -0.00593202 -0.01375472  0.0044174  -0.01364053  0.00235925
 -0.00673939  0.00085479 -0.00083072 -0.00118836  0.0049307  -0.00310645
  0.00309363 -0.00346612  0.00044641 -0.00478559 -0.00192075 -0.00132985
 -0.00648226  0.00428373]",0.0853782684166232,0.7175965701500353,"[ 0.00409603 -0.00593202 -0.01375472  0.0044174  -0.01364053  0.00235925
 -0.00673939  0.00085479 -0.00083072 -0.00118836  0.0049307  -0.00310645
  0.00309363 -0.00346612  0.00044641 -0.00478559 -0.00192075 -0.00132985
 -0.00648226  0.00428373]"
ADBE,"[-2.46924269e-01 -2.56793274e-01  2.51235023e-01  4.81850617e-02
 -1.22388585e-01 -2.75560706e-02  5.93180167e-01 -6.19247311e-02
  5.38357997e-01 -3.37255416e-02  1.16719433e-01  3.92131696e-02
 -5.79435108e-02  5.05892951e-01 -3.03213036e-01 -9.42861987e-02
  3.70495759e-01  4.05328582e-02  2.46916642e-02  3.55331349e-02
  3.09725779e-01 -1.30300149e-01 -1.68623453e-02  2.85049082e-01
  6.04624242e-02 -6.76367674e-01 -7.02911468e-02 -4.47454621e-02
  1.13609332e-03  6.47246043e-02 -3.15786380e-01  4.61541750e-01
 -3.94529025e-02 -2.19684425e+00  9.01060138e-02 -3.34071963e+00
  1.26278898e+00 -2.86660918e+00  2.33594409e+00 -1.85574867e+00
  2.60312874e+00  5.63733599e-01  1.66920301e+00  1.69603223e+00
  1.62112333e-01  2.09568357e+00 -1.06375188e+00  8.53777059e-01
 -1.50152515e+00 -1.73474692e+00 -1.15084720e+00 -4.25120283e+00
  6.79912217e-01  0.00000000e+00]",0.24693572580599765,[-0.00085027  0.00076083 -0.00045414 -0.00072512  0.00032589 -0.00015466],-4.603387359148959,0.010017844170197665,0.7167873193923129,-0.033750613756386716,"[-1.01562495e-01 -8.50462573e-02 -5.58797136e-02 -1.82131976e-02
  3.88859833e-02  5.76716489e-02  1.19799760e-01  1.40623730e-01
  1.75198310e-01  1.89937060e-01  1.73927209e-01  1.42814367e-01
 -2.69655122e-02 -1.92544645e-01 -3.03607313e-01 -3.26393828e-01
 -2.33892350e-01 -1.83493818e-01 -1.10532612e-01  6.46363363e-02
  7.49346763e-01  1.37112306e+00  1.63195437e+00  1.12731431e-01
 -1.10267807e-03]",[ 0.00059675  0.0005981   0.00069409 -0.00106192  0.00059231 -0.00089947],"[ 0.00380003 -0.00541925 -0.01337944  0.00777948 -0.01280764  0.00805448
 -0.00547213  0.00753951  0.00051986  0.00525789  0.00658242  0.0019664
  0.00428021 -0.00194412  0.00169073 -0.00454051 -0.00218887 -0.0017608
 -0.00967858  0.00356089]",0.08497477430935939,0.7167873193923129,"[ 0.00380003 -0.00541925 -0.01337944  0.00777948 -0.01280764  0.00805448
 -0.00547213  0.00753951  0.00051986  0.00525789  0.00658242  0.0019664
  0.00428021 -0.00194412  0.00169073 -0.00454051 -0.00218887 -0.0017608
 -0.00967858  0.00356089]"
ADI,"[-0.16440141 -0.76112526 -0.18786776 -0.31438494 -0.24563637 -0.40171521
  0.48136378 -0.09802291  0.50067015 -0.13211779 -0.0617562  -0.02535433
 -0.08164186  0.22334391 -0.25586448  0.17372733  0.29807825 -0.17792074
  0.21531319 -0.0697586   0.22120248  0.21477338 -0.15622347  0.36598885
 -0.03063564 -0.72501999  0.04433739 -0.26584788  0.27203185  0.07213834
 -0.19760024  0.32263152  0.08774584 -2.60296964 -0.50123008 -5.08863949
 -0.12354641 -5.04415757  0.06062819 -4.06555054 -0.19977037 -1.31459492
 -0.76288554  0.71141539 -1.32441489  1.71894202 -1.32234978  0.91038078
 -0.6552873  -1.20006486  0.16996066 -3.80616389  2.27977615  0.        ]",0.21701678176248249,[-0.00263077  0.00034449 -0.00072691 -0.00046423  0.00013376  0.00022922],-4.6471653016863,0.009588744639933089,0.7185065875101767,-0.038695953478338915,"[-0.1106807  -0.09434957 -0.05890288 -0.02891554  0.03589892  0.05861887
  0.11905237  0.13638216  0.16757682  0.18638736  0.17378374  0.12888823
 -0.02602881 -0.17666859 -0.31057669 -0.34405334 -0.21928589 -0.19610541
 -0.12819145  0.11099244  0.72996051  1.38200154  1.61041519  0.10591606
  0.00383725]",[ 0.00016691  0.00144162  0.00079046 -0.0006975   0.00028296 -0.00064281],"[ 0.00253536 -0.00699501 -0.01790121  0.0037951  -0.01882661  0.00163155
 -0.01139332  0.00013405 -0.00439225 -0.00215607  0.00384646 -0.00280215
  0.00355561 -0.00150373  0.00130882 -0.00281443 -0.00142242  0.00178072
 -0.00810472  0.0085159 ]",0.08484543122061611,0.7185065875101767,"[ 0.00253536 -0.00699501 -0.01790121  0.0037951  -0.01882661  0.00163155
 -0.01139332  0.00013405 -0.00439225 -0.00215607  0.00384646 -0.00280215
  0.00355561 -0.00150373  0.00130882 -0.00281443 -0.00142242  0.00178072
 -0.00810472  0.0085159 ]"
ADM,"[-0.04337135 -0.52039379  0.06623081 -0.28725096 -0.21162216 -0.26597559
  0.0986872  -0.10321316  0.4455098  -0.17725644 -0.03646962 -0.02052025
 -0.32883683  0.11720848 -0.03039866  0.14342986  0.14483097  0.04265139
  0.12283571  0.06786329  0.04816739  0.21008095  0.06153278  0.16587083
  0.01294407 -0.49354681  0.04630207 -0.24507381  0.04457358 -0.13903078
 -0.14742479  0.19865603  0.0829203  -1.66955009 -0.51108957 -2.94020918
  0.00620458 -2.76339283  0.18148813 -2.04549142  0.12234584 -0.33184262
 -0.17167108  0.75418589  0.08055074  0.76801425  0.17886959 -0.28207524
  0.92560523 -1.48865198  1.38283395 -2.70623997  2.96447956  0.        ]",0.22900469725580527,"[-1.72359314e-03 -6.61560378e-05  5.43003463e-06  3.05375357e-04
 -8.85451357e-04 -3.11139852e-04]",-4.327370673747592,0.013202214824268888,0.7210281085387901,-0.03635511369581304,"[-0.10536557 -0.09363531 -0.05812534 -0.02508979  0.02437192  0.05766307
  0.11660554  0.13474733  0.16909166  0.18748474  0.16197504  0.12119866
 -0.01252943 -0.17664867 -0.32257451 -0.32509101 -0.22674584 -0.17945837
 -0.14921959  0.11681358  0.76879526  1.34655738  1.62412499  0.14092038
  0.00560929]","[ 1.47990384e-04  7.36248850e-04  2.20742100e-04 -5.87091263e-04
 -3.15031858e-05 -5.56230292e-04]","[ 0.00536493 -0.00695366 -0.01245457  0.00415577 -0.01222634  0.00197405
 -0.00646154  0.00081549 -0.00159311 -0.00030873  0.00364628  0.00150168
  0.00079412  0.00227482 -0.00146989  0.00238835 -0.00200214  0.00429801
 -0.00518494  0.0095782 ]",0.08542604141213954,0.7210281085387901,"[ 0.00536493 -0.00695366 -0.01245457  0.00415577 -0.01222634  0.00197405
 -0.00646154  0.00081549 -0.00159311 -0.00030873  0.00364628  0.00150168
  0.00079412  0.00227482 -0.00146989  0.00238835 -0.00200214  0.00429801
 -0.00518494  0.0095782 ]"
