,mse,rmse,mae,mape
A,0.03554144448128205,0.18852438696699705,0.14700346607553402,0.12269266153236609
AAL,0.08582934770922773,0.2929664617481457,0.26880128746789783,0.22297461032691135
AAP,0.041778229215145894,0.20439723387351869,0.15548305888516084,0.22760166188398578
AAPL,0.0886978580316591,0.29782185620209123,0.253568212065685,0.1991125510617188
ABBV,0.0140763009554196,0.1186435879237458,0.08689723247871564,0.08242839423715428
ABT,0.013994075429144756,0.11829655713140919,0.0985581968255422,0.09727421277179882
ACN,0.0072385699229977375,0.0850797856308873,0.06668965165776647,0.06128061838506657
ADBE,0.07556780406688952,0.2748959877242473,0.22111777222452672,0.17357963438041485
ADI,0.05776389765975128,0.24034121090597693,0.21880269487921322,0.1782518204655771
ADM,0.0028034232951607923,0.052947363439181674,0.0425870384364308,0.043195876547626764
ADP,0.01484532605026573,0.12184139711225299,0.10556209953232663,0.0965786435373643
ADSK,0.1825442297355627,0.42725195111966746,0.3626605382047417,0.2683168516819738
AEE,0.010067138417903975,0.10033513052716868,0.07704768883829292,0.0741287789019772
AEP,0.007893213559807885,0.08884375926202068,0.07164142641244174,0.07580190894000843
AES,0.008031623891504823,0.08961932766710998,0.08053202517860515,0.09094708887156938
AFL,0.005934562390892984,0.07703611095384413,0.06574714302205893,0.06410212909612498
AIG,0.011922987565109726,0.10919243364404754,0.09065964885207546,0.0836201754830748
AIZ,0.014404349875726186,0.12001812311366224,0.10044017431259619,0.09190603744116752
AJG,0.018103800567875254,0.13455036442862298,0.11447985645175568,0.10185790160297484
AKAM,0.022452377992968328,0.14984117589290444,0.13353446175611444,0.1330932384025544
ALB,0.06714491844154072,0.2591233652944881,0.21235400496273316,0.1667401358400915
ALGN,0.2117171342190242,0.46012730218823594,0.33008955605371365,0.214086011559586
ALK,0.09044874728248058,0.30074698216687157,0.2683309340121283,0.21253460025007834
ALL,0.04057813278146274,0.20144014689595205,0.16631919517347926,0.1342299742673952
ALLE,0.010684825588492684,0.10336743001783823,0.08827783821631298,0.08654590979763563
AMAT,0.14618188371764063,0.382337395133723,0.3260529132430855,0.24218344531855562
AMCR,0.0057517448379069925,0.07584025868829163,0.06364378394388284,0.06328062168840969
AMD,0.5158716385919211,0.718242047357241,0.6507426935973136,0.41294526824831895
AME,0.03357678901572258,0.1832397037099836,0.1466997446418968,0.12313783954577731
AMGN,0.009981739065560128,0.09990865360698306,0.08822712109215743,0.09558287881400195
AMP,0.08565722615237198,0.2926725579079323,0.25844945450575885,0.19920098732125374
AMT,0.018929065934927127,0.13758294202017607,0.11509561527258447,0.1073723483703948
AMZN,0.030837886620556396,0.17560719410250936,0.13689879960382956,0.11617426723299948
ANET,0.4548145112805694,0.674399370759322,0.5655110764731425,0.34200932101697645
ANSS,0.03775226519791059,0.1942994215068861,0.1502111842348977,0.12538969582259327
AON,0.021217324797566738,0.14566167923502302,0.10622558035859113,0.09094638882930509
AOS,0.017978442041052062,0.13408371281051276,0.10245330160470696,0.09126502089870073
APA,0.019952374134575308,0.14125287301352601,0.122475450012555,0.14611609732394168
APD,0.002544200298988077,0.050440066405468546,0.039866957445738156,0.04001376877389838
APH,0.027303254650638438,0.16523696514593347,0.14415611154804955,0.1275798095771615
APTV,0.04778762230888941,0.2186038021373128,0.16894799429147878,0.1373429989721338
ARE,0.010629560947484417,0.10309976211167714,0.08068923554385256,0.07848490507390003
ATO,0.009811983636424442,0.09905545737830118,0.07884793423539986,0.07948892072815002
AVB,0.006535217215530092,0.08084069034545717,0.061259512676586976,0.06275565188499066
AVGO,0.09343529365430349,0.30567187252723055,0.2529187291021566,0.19230097001184956
AVY,0.016430753252147726,0.12818249978896387,0.09790199629521804,0.08927954034059923
AWK,0.008866161758144904,0.09416029820547991,0.0782514051621453,0.08712916442297779
AXP,0.0476462963436273,0.21828031597839348,0.19495730687136625,0.15914300176486854
AZO,0.03817851517257192,0.1953932321565205,0.15722969473176956,0.2149720146443375
BA,0.19743965251402443,0.44434181945212453,0.3633421469252304,0.2431096996073841
BAC,0.23969831778619105,0.4895899486163815,0.45651670785998494,0.31365786727232675
BAX,0.03171874444379763,0.17809757001092866,0.13455986862175248,0.11368326539707474
BBY,0.17364528376620764,0.4167076718350739,0.35878220365833047,0.2674818402711657
BDX,0.00723294279058265,0.08504670946358037,0.0656306467384377,0.06263716325952581
BEN,0.031330160787060087,0.1770032790291188,0.1552450963199555,0.13298242486694967
BIIB,0.01400351058329582,0.11833642965416787,0.08935566152381229,0.1035823697794696
BIO,0.09951854862171439,0.3154656060836338,0.27632708210682094,0.21206252665663378
BK,0.03819433523585376,0.19543371059224598,0.1755512495390627,0.1473769468398861
BKNG,0.053382052703476006,0.23104556412854155,0.1931777885773581,0.1568372720091113
BKR,0.03474586180363259,0.1864024189854643,0.16409110331319224,0.14380982067088696
BLK,0.012882454413130368,0.11350090049479945,0.08577765857695338,0.0779388572403251
BMY,0.029569594648920967,0.1719581188805023,0.15578926531162376,0.2163151535898766
BR,0.008434836782439075,0.09184136749003183,0.0741538405965942,0.0729910686607753
BSX,0.01266839378670969,0.11255395944483557,0.09194660496314985,0.09026619957482022
BWA,0.0515262413745944,0.22699392365126075,0.1991891975403386,0.1663112219256242
BXP,0.012922582844110075,0.11367753887250584,0.10151500723850727,0.11534931723841803
C,0.10494342112409784,0.3239497200555942,0.2928242742478351,0.2223634811223472
CAG,0.004989018107949957,0.0706329817291466,0.06042231422543851,0.05898737445391389
CAH,0.012766805847510911,0.11299029094356254,0.09843867625921285,0.11343682045339357
CAT,0.06437478394346038,0.2537218633532798,0.2135229233696339,0.16793314491843875
CB,0.00896162019351981,0.09466583435178612,0.07763171818974943,0.07158926422400486
CBOE,0.06563326390242834,0.2561898981272063,0.21053002669795717,0.16544638138826132
CBRE,0.029392317979145932,0.1714418793035877,0.1457136975001459,0.1261466145807896
CCI,0.00962373998166471,0.09810066249350567,0.08097942106976323,0.08736902163648541
CCL,0.08329941168422247,0.2886163745947594,0.24593532019565514,0.18889299099934914
CDNS,0.06897274467522871,0.26262662598302694,0.20523889349528424,0.1571200439824118
