,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.439159754799964,0.5197876376143136,"[-1.24099173e-04  1.57295338e-03 -3.80952263e-04  2.12152088e-04
  9.79064320e-05  3.17371654e-04]","[ 0.0061451  -0.00948404 -0.00080018  0.01144528 -0.00479765 -0.00523848
 -0.00262483  0.00356701  0.00217611  0.00173514  0.00333208 -0.00438801
 -0.00689939  0.00731655  0.00450782 -0.00175858 -0.00044889  0.00082826
 -0.00492687 -0.00314744]",-5.182898860433788,0.005611715233626361
AAL,-0.320050052494329,1.2770547983878755,"[-9.65268857e-04  5.69124073e-04 -4.32654001e-04 -3.27899783e-04
  1.02936335e-04 -1.88684329e-05]","[ 0.01267013 -0.00544513 -0.00374752  0.00061676 -0.00941643  0.00503898
  0.00618678  0.00039699 -0.00283015 -0.00247408  0.00132094 -0.00031316
 -0.00281142  0.0084262   0.00407869 -0.00559686 -0.00267273  0.00273235
 -0.00438697 -0.00384671]",-5.322133963949365,0.004882323897572763
AAP,0.44095131641323654,0.521144805393708,"[ 2.66232934e-05  8.87701566e-05 -1.42851833e-04 -1.93928727e-04
 -6.55770228e-05 -3.40831095e-04]","[ 0.00740624 -0.00843975 -0.00053626  0.00837522 -0.00828437 -0.00265904
  0.00278574  0.00448937 -0.00142847 -0.00380323  0.00189278  0.00261697
 -0.00137837  0.00293134  0.00038004 -0.00187139 -0.00209394  0.00175887
  0.00400124  0.00252762]",-5.129347105583493,0.00592042462428396
AAPL,-0.15003960765800456,1.1014455094840334,"[-1.26585753e-03 -4.93854713e-04 -2.47305341e-05 -3.04923688e-04
  2.27260387e-04  3.62897342e-04]","[ 0.01126833 -0.00618358 -0.00275021  0.00307539 -0.00858493  0.00159668
  0.00259973  0.00320531  0.00234037 -0.00250305 -0.00198174 -0.00284025
 -0.00242326  0.01079757  0.00546688 -0.00487786 -0.00382746 -0.00116548
 -0.00365654  0.00216242]",-5.031551372983799,0.006528674301084002
ABBV,0.43749840055127975,0.5097697414730278,"[ 6.79568888e-04  1.01145974e-03 -1.40994440e-04 -2.26854634e-04
  4.60079359e-05 -3.74828476e-04]","[ 8.81896653e-03 -8.36618985e-03 -2.76561442e-03  7.77806533e-03
 -5.32245657e-03 -7.90792542e-04  1.02624918e-03  9.42716059e-04
 -2.65392681e-03 -5.82434897e-06  5.63321367e-03  1.18023278e-03
 -5.60023398e-03  1.01069961e-03  2.07214920e-03  9.19125930e-04
 -2.48546959e-03  2.42141286e-03  8.37131129e-03 -4.01421744e-03]",-4.579028707636026,0.010264861637716574
ABT,0.4347909029546602,0.512378881093062,"[-1.55049561e-04  9.80624741e-04 -5.20235734e-04  3.60067700e-04
 -2.39727853e-04 -7.97045429e-05]","[ 1.04628715e-02 -5.76040280e-03 -8.18778988e-04  2.19891084e-03
 -1.25340335e-02  1.90850404e-03  7.61226906e-03  4.63103963e-03
 -2.10582803e-03 -5.86240362e-03  9.24863995e-05  8.18616623e-04
 -2.95982501e-03  8.60642292e-03  6.01235902e-03 -4.86417880e-03
 -5.69554855e-03 -2.16946637e-04 -7.65864909e-04  1.60915545e-03]",-4.986405235044647,0.0068301732817213235
ACN,0.44249473317662286,0.5162841333289414,"[-1.32825552e-03  1.42746334e-03 -8.52486246e-04 -2.68439054e-05
 -3.42540310e-05  6.61163100e-05]","[ 0.01188384 -0.00790748 -0.00662093  0.00639    -0.00041548  0.00099258
 -0.00444455 -0.00108767  0.00334607  0.00269005  0.00109881 -0.00247357
 -0.00318853  0.00478527  0.00155267 -0.00064348 -0.00038374  0.00149267
  0.00095062 -0.00439958]",-4.645156323497318,0.009608027581793759
ADBE,0.44183240568085863,0.5181165529581095,[-0.00159757  0.00035336 -0.00031346 -0.00029261  0.00026978  0.00045136],"[ 0.0103591  -0.00802829 -0.00457103  0.00686432 -0.00293739  0.00021767
 -0.00226793 -0.00037051  0.0016004   0.0027765   0.00269664 -0.0036665
 -0.00549656  0.00648218  0.00398889 -0.00145924 -0.0021402   0.0007059
  0.00053433 -0.00231198]",-4.8360391279715875,0.007938434987722953
ADI,0.4396176440070222,0.5178002600807247,"[-5.93381636e-04  1.49883316e-03 -4.69936841e-04  2.39713054e-04
  8.62155576e-05  4.18557568e-04]","[ 8.74737327e-03 -7.54210263e-03 -1.36203890e-03  6.04951997e-03
 -8.40717194e-03 -4.84738412e-05  3.12408355e-03  2.01925235e-03
 -1.12093008e-03 -5.79312573e-04  1.92083988e-03 -2.48647576e-03
 -3.58978613e-03  9.26509782e-03  3.91147799e-03 -6.09154286e-03
 -3.40867487e-03  2.85684671e-03 -1.74983744e-03  7.39996147e-04]",-4.997025599463113,0.006758018187336039
ADM,0.4392566701513909,0.5171942322950128,[0.00079787 0.00089519 0.00020837 0.00046771 0.00011125 0.00047496],"[ 0.00526792 -0.01017448 -0.00067607  0.01305509 -0.00382508 -0.00645036
 -0.00365032  0.00396512  0.0026689   0.0009735   0.00210597 -0.0024054
 -0.00356171  0.00577181  0.0019157  -0.00312095 -0.00338068  0.0030127
  0.0057455   0.00186161]",-4.986504693567659,0.006829493996555716
ADP,0.4334549563456617,0.5138997230162563,"[-1.09078674e-03  6.56192174e-04 -5.23320912e-04 -5.90664911e-05
 -2.46313861e-05  5.38358765e-05]","[ 0.00629712 -0.00850825  0.00099288  0.00899321 -0.01013148 -0.00391282
  0.00430493  0.00603491 -0.00281562 -0.00476547  0.00377809  0.00271071
 -0.0044383   0.00286111  0.00303527 -0.00115369 -0.00293353  0.00176905
  0.00288879 -0.00197716]",-5.200042632406661,0.005516329241356182
ADSK,0.4414390880152258,0.5200305643962615,"[-6.39440382e-04  1.21490528e-03 -4.32517641e-04  1.69191625e-04
  6.09878375e-05  3.25734854e-04]","[ 1.31624918e-02 -6.30172004e-03 -5.97006156e-03  1.92768925e-03
 -5.02293648e-03  5.54428035e-03  2.55944417e-03 -2.76863382e-03
 -2.04279937e-03  6.81139569e-04  1.60084136e-03 -9.50276134e-05
 -5.24618151e-04  5.60649482e-03 -2.11374681e-04 -4.33090749e-03
 -6.28047627e-04  3.69045933e-03 -4.24715810e-04 -8.97702861e-04]",-4.983688427402481,0.006848754778437327
AEE,0.43066170717377983,0.5178745585370703,"[ 3.30297173e-04 -2.36967643e-04  1.55708441e-04 -2.84010743e-04
  5.31693175e-05 -2.62746457e-04]","[ 0.00274063 -0.01068678  0.00202015  0.01497796 -0.00618897 -0.00905169
 -0.00207116  0.00654652  0.001149   -0.0017211   0.00309337  0.00189992
 -0.00186078 -0.00109299 -0.00373553  0.00300704  0.00344987  0.00198576
  0.00836552 -0.00188057]",-5.701595349038365,0.0033406317304057235
AEP,0.43250974718473195,0.5167968992616688,"[ 1.84851249e-04 -4.89219248e-04  1.50387287e-04 -3.25323541e-04
  2.47824028e-05 -3.08729659e-04]","[ 5.02144751e-03 -9.81379038e-03  4.33831830e-04  1.25918812e-02
 -6.05281236e-03 -7.01807403e-03 -1.38634836e-03  6.10649286e-03
  7.15272069e-04 -2.29571588e-03  3.98587974e-03  2.07913065e-03
 -4.84239756e-03 -1.39443966e-03 -1.26978959e-04  4.91135209e-03
  2.06110172e-03  9.67205222e-05  6.46733825e-03 -6.54583027e-03]",-5.479802206367507,0.0041701544463324264
AES,0.4346620049602165,0.5142425773434921,"[-2.05552783e-04  5.68766973e-04 -2.55605672e-04 -1.17219734e-04
  7.26401591e-06 -1.16028333e-04]","[ 0.00455407 -0.00948171  0.00184559  0.01157034 -0.00920907 -0.00616852
  0.00257792  0.00647285 -0.00216442 -0.00382823  0.00422922  0.00263409
 -0.00385744  0.00118717  0.00023166  0.00045641  0.00090114  0.00192455
  0.00134642 -0.0023538 ]",-5.138509473052119,0.005866427267868252
AFL,0.4326549674961687,0.5108969588288136,"[ 1.27202163e-04  2.30071343e-03 -4.38547945e-04  5.66413355e-04
  6.59306034e-05  5.29410550e-04]","[ 0.0050037  -0.0096293   0.00081429  0.01156577 -0.00759648 -0.0052337
  0.00161584  0.00424788 -0.00285462 -0.00121463  0.00612585  0.0009814
 -0.00615764  0.00169924  0.00204978  0.00048176 -0.00076012  0.00175909
  0.00214883 -0.00210021]",-5.049638837883823,0.006411648672748002
AIG,0.4407850899221451,0.5221055902063808,"[ 2.82878058e-05  9.79738024e-04 -1.74368717e-04  2.52950324e-04
  4.74339305e-05  2.78822232e-04]","[ 0.01334022 -0.00671465 -0.00702599  0.00291076 -0.00248759  0.00507298
 -0.00040842 -0.00383715 -0.00035599  0.00313683  0.00223421 -0.00220732
 -0.00274558  0.00587485  0.00174419 -0.00264874 -0.00185265  0.00145203
  0.00069522  0.00055875]",-5.173567490087514,0.00566432530703966
AIZ,0.44321080884285463,0.5197095102851427,[ 0.00019099  0.00159768 -0.00046422  0.00053403 -0.00015928  0.00013516],"[ 0.00774638 -0.00954165 -0.00346236  0.01038448 -0.00204043 -0.00184193
 -0.00208257 -0.00130914 -0.00259841  0.00351878  0.00748225  0.00020282
 -0.00579814 -0.00094718 -0.00078788  0.00276496  0.00204169  0.00210446
  0.0028056  -0.00318933]",-4.834354811752458,0.007951817089208902
