,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.4457393174517103,0.5058025666736201,"[-1.40772478e-03  1.34787056e-03 -1.06330539e-03  2.80082817e-05
 -2.51554605e-04 -2.47045196e-04]","[ 1.27623996e-02 -4.03575339e-03 -4.89066237e-03  1.08949987e-02
 -1.11763209e-02  6.73357658e-03 -9.66543203e-03 -4.00848209e-04
 -8.19751161e-03 -3.24786419e-03 -2.83126540e-03 -7.76008395e-05
 -4.48867551e-03  3.81390432e-03 -4.32087165e-03  3.35656304e-03
 -1.31893955e-04  4.41488357e-03  5.92133862e-03  7.40132325e-03]",-4.464545444798415,0.011509926468023582
AAL,-1.017362625180611,1.9662773902476283,[-0.0020793   0.00105108 -0.00052428 -0.00047292  0.00041006  0.0005368 ],"[ 0.00475785 -0.00892958 -0.00906431 -0.00203056 -0.00473991 -0.006158
  0.00186731 -0.00538374 -0.00110974  0.00060136 -0.00418279  0.00444313
 -0.00892146  0.00241663 -0.00628809 -0.00222222  0.00085996 -0.0010222
  0.00704679  0.00217655]",-4.4892860090519395,0.011228658108428494
AAP,-1.5023244655557322,2.438235953280444,"[-2.69043961e-03  3.41425568e-04 -9.78104151e-04 -7.86095705e-04
  4.10610547e-05 -2.82300167e-04]","[ 0.00251711 -0.01097218 -0.00962514 -0.0069312  -0.00129825 -0.011291
  0.00755932 -0.00814417  0.00379462  0.00098553 -0.00146898  0.00579586
 -0.00794017  0.00290208 -0.00538532 -0.00234992  0.00160136 -0.00056098
  0.00624075  0.00346071]",-4.762332966215105,0.008545649412200654
AAPL,-1.1739630354062565,2.1286180116952065,"[-5.01915663e-04  3.00614835e-04 -3.08516944e-04  3.73257257e-05
 -9.93996615e-05 -6.79349711e-05]","[ 0.00322848 -0.00897912 -0.01290604 -0.00248351 -0.01019342 -0.00884064
 -0.00219634 -0.01141001 -0.00169511 -0.00613158 -0.00183117  0.00016529
 -0.00703366  0.00182554 -0.00612792 -0.00096659  0.0004303   0.00074558
  0.00726781  0.00593821]",-4.958460139487107,0.007023735081927363
ABBV,-0.17631258298513028,1.1325438778937253,[-0.00149256 -0.0002663  -0.00019942 -0.00131662  0.00043801 -0.00033137],"[ 0.00946804 -0.00619694 -0.00634817  0.00424744 -0.00700693 -0.00159957
 -0.00077648 -0.0070212   0.00212097 -0.00517375  0.00600235  0.00185892
 -0.00067612  0.00728705 -0.00499115  0.00513165 -0.00437783  0.00164
  0.00232173 -0.00069745]",-4.31212942414479,0.01340497430464266
ABT,-0.5582416295296279,1.5210849393249888,"[-2.11843746e-03  2.35231469e-03 -1.37085046e-03 -3.67706339e-06
 -6.37930457e-05  1.18615961e-04]","[ 0.00661654 -0.00684758 -0.01068556  0.00282752 -0.01176764 -0.00324496
 -0.00576398 -0.0081773  -0.00411522 -0.00568333 -0.00211938  0.00054704
 -0.00703114  0.00393507 -0.00787312  0.00173151 -0.00339703  0.00225553
  0.00255568  0.00553389]",-4.474474823719262,0.011396205570049812
ACN,-0.8255745081213137,1.7841038984942517,"[-3.30725961e-03  1.12550191e-03 -1.74988599e-03 -7.33670607e-05
 -4.51318202e-04 -3.21533930e-04]","[ 5.32971944e-03 -7.99504176e-03 -1.04998783e-02 -8.09440248e-05
 -8.98870926e-03 -5.72871975e-03 -2.60598435e-03 -8.61225268e-03
 -3.04808280e-03 -5.15201412e-03 -2.93679756e-03 -1.04383021e-03
 -6.54353751e-03 -7.62353272e-04 -4.16841228e-03 -2.76566104e-03
  1.61879638e-03  9.13334380e-04  4.18817720e-03  6.18579850e-03]",-4.36476873023429,0.01271759603062556
ADBE,0.44477739224925467,0.505631633403686,"[-1.90299692e-03  2.69899968e-03 -1.23264830e-03 -5.05802363e-04
  2.55484009e-04  8.13532025e-05]","[ 0.01193769 -0.00485029 -0.00420864  0.00834516 -0.00786159  0.00422403
 -0.00536187 -0.00127769 -0.00502291 -0.00256603 -0.00146146  0.00046205
 -0.00436128  0.00338286 -0.00521281  0.00272389 -0.00383472  0.00356592
 -0.0014461   0.00422195]",-4.532486258151668,0.010753905821644228
ADI,-1.2213075792575827,2.1779423773218713,"[-1.80841386e-03  6.51865112e-04 -8.72568248e-04 -6.53008761e-05
 -1.54469910e-04 -4.34670381e-05]","[ 3.32303539e-03 -9.55300991e-03 -1.08195597e-02 -3.52381173e-03
 -6.28835746e-03 -8.04972075e-03  3.28184052e-04 -7.65507665e-03
 -2.63812003e-03 -2.27064468e-03 -4.66161121e-03  8.73557478e-04
 -7.43713385e-03 -9.97047514e-05 -3.91096431e-03 -1.09677721e-03
  9.48112660e-04  4.03891280e-03  2.31376997e-03  8.26359214e-03]",-5.050592868583644,0.006405534680009849
ADM,-1.5866833258997441,2.526030837008265,"[-1.18892989e-03 -9.83304557e-05 -4.78605463e-04  1.84508728e-04
 -2.47677310e-04 -1.13915132e-05]","[ 0.00259061 -0.01111674 -0.00878806 -0.00669144 -0.00021862 -0.00951393
  0.00708017 -0.00453287  0.00093737  0.00414107 -0.00517419  0.00654847
 -0.00907632  0.00193802 -0.0039099  -0.00185834  0.00309741  0.00289322
  0.00502984  0.00777574]",-5.846092343418526,0.002891174831368695
