,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,-0.35933488341441405,1.3407970090513177,[ 0.00064956 -0.00036178  0.00022329  0.00085676 -0.00030385  0.00027743],"[ 3.62971693e-03 -9.17409196e-03 -4.32375339e-04  2.35882312e-03
 -5.45883950e-04  4.04144419e-03  3.32485783e-04  2.91807790e-03
 -2.69015667e-03  1.55481704e-03  7.91582571e-05  3.31385923e-04
 -1.11695622e-04  8.46026111e-04  1.39436677e-03  2.67716773e-03
 -3.42921089e-03  4.70973124e-03 -3.34829872e-03 -3.52619855e-03]",-4.985434164450983,0.006836809083539387
AAL,0.4701306823871073,0.5076409390631758,[ 0.0001892   0.00021305  0.00025271 -0.000111    0.00026795  0.00030452],"[ 0.00523546 -0.00227342 -0.00890615  0.00699954 -0.00652316 -0.00204528
  0.0019966  -0.00181119 -0.0016363  -0.00031934  0.00247903 -0.0019057
  0.00106945  0.00185189  0.00128664 -0.00070896  0.00310307  0.00354536
 -0.00101593  0.00123572]",-6.037404768051523,0.0023877476385114125
AAP,0.47443245974094633,0.5059309466501706,"[-4.92605870e-04  9.07886231e-04 -7.37318360e-05 -2.48492812e-04
  3.79022121e-04  4.37568604e-04]","[ 0.00509586 -0.00609586 -0.00308877  0.00651974 -0.00574272  0.0044903
 -0.00383872 -0.00085748 -0.00264949 -0.00355693  0.00241025 -0.00263527
  0.00159752 -0.00112471  0.00576515 -0.00014281  0.00240722  0.00542961
  0.00356499  0.00027181]",-5.571666176427976,0.003804136786200606
AAPL,0.48024377807715424,0.5067071633250961,"[-4.70472521e-04  5.37479053e-04 -4.47353646e-05 -5.88339301e-05
  2.57415174e-04  4.53105909e-04]","[ 3.96096283e-03 -5.70129897e-03 -5.16258266e-03  3.10330726e-03
 -9.91064320e-04 -5.18068503e-04  4.09118265e-03  3.70044428e-03
 -5.32056124e-03  4.39680955e-03 -2.23418621e-03 -2.57956463e-03
  8.68462943e-04 -6.02367977e-04  4.32370511e-04  2.95817146e-04
  1.62596933e-03 -9.36120916e-05  5.09009617e-03  4.29035381e-03]",-5.193400993656143,0.0055530886436159195
ABBV,-0.41671996265739153,1.4059852186286075,[-0.00058681  0.00117342 -0.00066255  0.0007639  -0.00033138  0.00026087],"[ 0.00373422 -0.00966295  0.00035682  0.002775   -0.00116098  0.0050554
 -0.00083602  0.00234958 -0.00253587  0.00044603  0.00101645 -0.00011659
  0.00047309  0.0016425   0.00044644  0.00250719 -0.00158028  0.00333545
 -0.00099631  0.00169938]",-4.811340226388254,0.00813694703545775
ABT,-0.58069748162657,1.5613960497765047,[ 0.0007083  -0.00088947  0.00036759  0.0006006  -0.00025645  0.0001172 ],"[ 0.00337097 -0.01073632  0.00139449  0.00161997  0.00039803  0.00508043
  0.00063106  0.00368024 -0.00293214  0.00290929 -0.00140533  0.00058356
 -0.00042729  0.00010247  0.00082502  0.00239282 -0.00278043  0.00282857
 -0.00043665 -0.00128936]",-5.3883796402070745,0.004569371366021461
ACN,0.4797862185386295,0.504797840020483,"[ 1.81982109e-04 -2.03561771e-05  2.89741988e-04  2.77026380e-04
  1.22294517e-04  4.77570354e-04]","[ 0.00454422 -0.00304327 -0.0081169   0.00493226 -0.0035869  -0.00189596
  0.00295724  0.00099677 -0.00301244  0.00153056  0.00044743 -0.00107098
 -0.00031953  0.00026195  0.00227098 -0.00019406 -0.00073354  0.0039241
 -0.00066494 -0.00665097]",-5.099586189516417,0.006099269985232952
ADBE,0.4813347032929961,0.5051874592603607,"[-7.26966295e-04  3.70878547e-05 -3.75209010e-04  9.20103569e-05
 -1.68943716e-04 -5.99558364e-05]","[ 0.00400899 -0.0038289  -0.0074382   0.00321621 -0.00102817 -0.00208138
  0.00435885  0.00378479 -0.00525562  0.00363986 -0.00145544 -0.00180275
 -0.00070371 -0.00068352  0.001762   -0.0010642   0.00014111  0.00182148
  0.00330582 -0.00541884]",-5.005980976138483,0.006697767774128889
ADI,0.4700568953766868,0.5052558410507701,"[-4.21836155e-04 -6.03882735e-05  4.06222508e-05 -4.03776943e-04
  2.40125808e-04  8.25543209e-05]","[ 0.00544519 -0.00180731 -0.00853349  0.00723863 -0.00615966  0.00010213
 -0.00154115 -0.00028107 -0.00430776 -0.0030767   0.00254253 -0.00376238
  0.00093204 -0.00088474  0.00480668 -0.00205885  0.00269618  0.003299
  0.00619135 -0.00524266]",-5.874968070962689,0.0028088838780518954
ADM,0.4742617972901573,0.49528256710297935,[-0.00195187  0.00092126 -0.00063316 -0.00011501  0.00016357  0.00047345],"[ 4.33668880e-03 -4.97160846e-03 -5.69385516e-03  4.51662250e-03
 -3.42905394e-03  7.11343609e-06  1.97405191e-03  1.89112792e-04
 -4.85584506e-04  1.00060277e-03  1.68387363e-03  2.42339675e-03
 -3.39253145e-03  3.05190221e-03 -2.09036153e-03 -1.84493153e-03
 -6.91875849e-04  6.57953129e-04 -1.14354969e-03 -6.62299456e-03]",-4.8336314784293695,0.007957570984229764
ADP,0.46879393593106766,0.5036267888642023,"[-2.31171801e-04  3.38071983e-04 -1.25564686e-04  2.24480784e-04
 -1.96044595e-05  2.28352295e-04]","[ 0.00536507 -0.00273339 -0.00741484  0.0073153  -0.00668411  0.00096514
 -0.00210322 -0.00158211 -0.00222563 -0.00368025  0.00354038 -0.00218945
  0.00087255  0.00031389  0.00424403 -0.0005819   0.00144434  0.00440948
  0.00372599 -0.00295285]",-5.851413009407972,0.0028758327071271733
ADSK,0.4762913756474586,0.506109801339229,"[ 5.82083291e-04 -2.88849000e-04  2.28719107e-04  2.37504789e-05
 -1.45797818e-05 -9.06776953e-05]","[ 0.00435621 -0.00317301 -0.00787241  0.00450757 -0.00315164 -0.00132825
  0.00164923  0.00129448 -0.00340107 -0.00058732  0.0027726  -0.00205993
  0.00125197  0.00171743  0.00233344  0.0009482   0.00040949  0.00413243
  0.0030719  -0.0010561 ]",-5.453424283332425,0.0042816180861074355
AEE,-0.09983314060777582,1.0790073574670522,[-0.00128093 -0.00097611  0.00018867 -0.00058912  0.00035876  0.00032852],"[ 4.38201938e-03 -7.39048090e-03 -2.18184764e-03  4.59693038e-03
 -3.38835499e-03  3.61686084e-03 -8.25556590e-04  6.74235498e-04
 -2.02130644e-03 -8.11086523e-05  1.00655820e-03 -1.48841752e-04
 -4.40375856e-04  1.31867910e-03 -8.52922877e-04  3.87434898e-04
 -5.84498244e-04 -1.60801291e-03  7.89228107e-03 -2.66250290e-03]",-4.90010405017996,0.007445808292924315
AEP,0.4779618999036558,0.5088020049781223,"[-5.26859018e-04 -5.92695960e-04  2.35067571e-04 -8.02768841e-05
  1.89808849e-04  3.97924489e-04]","[ 3.62446386e-03 -1.06851556e-02  1.82767271e-03  2.13770285e-03
 -2.11452720e-06  6.35085405e-03 -1.18163698e-03  3.67736304e-03
 -2.97708270e-03  1.53931415e-03 -9.56539449e-04  1.73902114e-03
 -3.55862562e-03  2.97092714e-04 -8.65795137e-04 -2.03359344e-03
 -3.05680509e-04 -1.44190317e-03  6.08993474e-03 -4.54392330e-03]",-5.483548924606696,0.004154559286187199
AES,-0.25416540902178597,1.2314489610083845,[-0.00054388 -0.00026544 -0.00012367  0.00017621 -0.00010042  0.00013868],"[ 0.00368107 -0.00849639 -0.00089181  0.00240169 -0.00017675  0.00447348
 -0.00112491  0.00407694 -0.00447718 -0.00027968  0.0017452  -0.00045328
 -0.00160029  0.00268205 -0.00211028 -0.00109726  0.00015887 -0.00108704
  0.00464305 -0.00290615]",-5.024722282393034,0.006573411793652022
AFL,0.47913832185813165,0.506811808857678,[ 0.0001908   0.00064589 -0.00017247  0.0007151  -0.00022019  0.00029099],"[ 0.00389665 -0.00934362  0.00024319  0.00323123 -0.00188146  0.00562859
 -0.002364    0.00145729 -0.00162463 -0.00157813  0.00264705  0.00044517
  0.00024033  0.00204832  0.00165521  0.00245764 -0.00168688  0.00514193
 -0.0015169   0.00105376]",-5.2628425030250074,0.005180558018026346
AIG,0.47642578599119095,0.5000159725861563,"[-1.06494561e-04  2.54662302e-04 -3.83689463e-04  9.10501739e-05
 -2.59509704e-04 -3.57453508e-04]","[ 0.00494534 -0.00310731 -0.00798027  0.00630512 -0.0058741  -0.00153994
  0.00209227 -0.0017896  -0.00081474  0.00010651  0.00198953 -0.00122977
  0.00185807  0.0011251   0.00266507  0.00187631  0.00081783  0.0047174
  0.00073711  0.00316103]",-5.022933430628073,0.006585181176643188
AIZ,-0.34988299716054083,1.3348524280502465,"[-2.68843912e-04 -5.72089742e-04  1.56971028e-04 -1.06319829e-04
  6.18134228e-05  8.95658765e-05]","[ 0.00343755 -0.00919807 -0.0001927   0.00158997  0.00095606  0.00471509
 -0.00080294  0.00529373 -0.00587488  0.00035168  0.00088255 -0.00223842
  0.00086333  0.00100987  0.00172835  0.00154513 -0.00051364  0.00486639
 -0.00259265  0.00157567]",-5.478247513894979,0.004176642796447063
AJG,0.4780127380532545,0.505420261806862,"[ 8.78665848e-04 -4.31565861e-05  2.74294603e-04  3.72344941e-04
 -7.91587795e-05  9.20790709e-05]","[ 0.00400796 -0.00580063 -0.00452404  0.00340933 -0.0016526   0.00134701
  0.00027907  0.00273786 -0.00450528 -0.00099805  0.00333671 -0.00291091
  0.00261472  0.00300867  0.001069    0.00293236 -0.00030894  0.00531658
 -0.00252727  0.00368552]",-5.2626151343648555,0.005181736048480272
AKAM,0.4741343323109112,0.5035107201144592,"[ 5.54984465e-06  2.60162692e-04 -1.97466327e-04  1.12386287e-04
 -1.30676925e-04 -1.31779008e-04]","[ 0.00531044 -0.00090041 -0.01056753  0.00713909 -0.00672299 -0.00323613
  0.0024798  -0.0023054  -0.00026373 -0.00028287  0.00241452  0.00058093
 -0.00195099  0.0017365   0.00076886 -0.00277191  0.0018701   0.00159204
  0.00276263 -0.00597305]",-5.448532703196141,0.004302613272042226
ALB,0.48307358186684074,0.5056482669360315,"[ 1.77625601e-05 -7.66275893e-04  4.23540830e-04  1.08743630e-04
  1.26436836e-04  3.94173627e-04]","[ 0.00455054 -0.00457613 -0.00592955  0.00493043 -0.00350252  0.00020002
  0.00172673  0.00120824 -0.003275    0.00178068 -0.00103905 -0.00105838
 -0.0007843  -0.00151247  0.00295914 -0.00094    -0.00044083  0.00213642
  0.00367832 -0.00784621]",-4.910705836054055,0.007367286399367177
ALGN,-0.12905287712354438,1.1162339442164777,[0.00050571 0.0002422  0.00025587 0.00015292 0.0001383  0.00029577],"[ 0.00429025 -0.00770463 -0.00160941  0.00433698 -0.00308857  0.00462444
 -0.00256936  0.00101497 -0.0027718  -0.00239095  0.00303946 -0.00172203
  0.00181533  0.00160083  0.00234381  0.00220085  0.00035452  0.00452285
  0.001416    0.00435346]",-5.22263400906225,0.0053931049140954245
