,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.44586012626882787,0.5130099634369181,"[ 1.03964807e-04  7.67002559e-04 -4.88193809e-04 -4.41778057e-05
 -4.33951736e-04 -4.14427530e-04]","[ 1.50708435e-02 -1.57386556e-03 -6.60578425e-03  1.30432503e-02
 -1.01698277e-02  9.64602522e-04 -1.19999074e-03 -6.10700336e-03
  1.03530628e-03 -2.73779572e-03  4.12119133e-04  2.78192098e-05
 -1.13435538e-03 -2.46287738e-03  4.03643340e-03 -2.69559778e-03
  4.51506346e-03  1.84427780e-03  4.56886341e-03 -1.66031667e-03]",-4.911493488961632,0.007361485819535439
AAL,0.45363955282669405,0.5163867609651368,"[ 2.58972489e-04 -1.38173605e-03  6.10978852e-04  3.73113836e-04
 -7.01520147e-05  6.80530347e-05]","[ 0.01291114 -0.00488665 -0.00422927  0.00642618 -0.00300437 -0.00142132
  0.00536211 -0.00274779  0.00397988  0.00411149 -0.00128987  0.00751179
 -0.0089421   0.00142745 -0.00264831 -0.00612844  0.00480015 -0.00182226
  0.00181014  0.00099015]",-4.549985030856091,0.010567362567039718
AAP,-0.731608402828326,1.6966055163727918,"[-1.67092704e-03 -5.18687444e-05 -1.17133537e-03  6.23448260e-04
 -2.88389720e-04 -8.74337146e-04]","[ 0.00980547 -0.00999375 -0.0005659  -0.00329503  0.00721424 -0.00413633
  0.01207273  0.00276762  0.00325017  0.00893324 -0.00091953  0.0063502
 -0.00275594  0.00271221 -0.00056671  0.00189224 -0.00081423  0.00196979
  0.00299453 -0.00259159]",-4.349301604824974,0.012915829784530429
AAPL,0.4503419629819562,0.5098189540379482,[ 0.00065116 -0.000899   -0.00013677  0.00090378 -0.00062734 -0.00115904],"[ 1.32502086e-02 -4.06390757e-03 -5.28835409e-03  8.05605129e-03
 -5.87963170e-03 -1.40632187e-03  2.84198696e-03 -5.79320581e-03
  4.91026182e-03 -1.26963690e-03  4.11046161e-03  4.34875559e-03
 -2.45908134e-03  3.38833460e-03 -1.42746095e-03 -1.08671353e-03
  3.17739487e-03 -1.43972980e-03  7.80564877e-03  5.17555591e-05]",-4.3365831608475665,0.013081148109525433
ABBV,-0.01714210128209659,0.9850043685942974,[ 0.00024488 -0.00264828  0.00023582  0.00018001 -0.00026993 -0.00101386],"[ 0.01282418 -0.00572379 -0.00273821  0.00671532 -0.00409259  0.00114644
  0.00076017 -0.00422782  0.00400325 -0.00347836  0.00685132  0.00369796
 -0.0006142   0.00587445 -0.00215085  0.00242598 -0.00099334  0.00232489
 -0.00120046 -0.00131437]",-4.1414775500423895,0.015899342067058453
ABT,0.45525744572477883,0.5219595378093865,[ 0.00132564  0.00061204 -0.0001003   0.00063335 -0.00058739 -0.0002895 ],"[ 0.01436744 -0.00273176 -0.00585228  0.01119256 -0.00893494  0.00017132
  0.00024131 -0.0072122   0.0049509  -0.0029545   0.00402557  0.00470038
 -0.00404634  0.00281672 -0.00082313 -0.00261456  0.00389151  0.00070861
  0.00219193  0.00137843]",-4.838631946190384,0.007917878729694355
ACN,0.45407441136916726,0.5185575625823873,"[ 5.24355471e-05  5.78576788e-04 -5.80149837e-04  4.88743266e-04
 -7.31091996e-04 -2.89397003e-04]","[ 0.01477212 -0.00012059 -0.01028139  0.01200566 -0.00957989 -0.00527596
  0.00614814 -0.00705591  0.00362086  0.00411709 -0.00364975  0.00265106
 -0.00201937 -0.00386249  0.00474293 -0.00131649  0.00250166  0.00298349
  0.00385716 -0.00146692]",-4.689491950027083,0.009191354637708067
ADBE,0.9577185972826253,0.01720792246318805,[ 0.00217528  0.00043396  0.00048879 -0.00045894 -0.00046293 -0.00021152],"[ 1.50268805e-02  7.33281959e-04 -1.10417339e-02  1.27515978e-02
 -1.00010152e-02 -5.19044073e-03  5.22481765e-03 -6.51097682e-03
  1.96571653e-03  2.46292380e-03 -1.26196282e-03  1.50767922e-04
  1.51369018e-03 -1.06896656e-03  1.68686905e-03  2.36242745e-03
  6.86916514e-05  7.39754996e-04  5.97454637e-03  3.72023083e-04]",-4.757134032108109,0.008590193370617318
ADI,0.05360425625963272,0.9064978750746232,[-0.00083009  0.00315141 -0.001867    0.00087442 -0.00103253 -0.0006705 ],"[ 0.01237605 -0.00494145 -0.00535615  0.00531783 -0.00301267 -0.00385489
  0.00704343 -0.00433215  0.00516016  0.00342365  0.0001535   0.00531876
 -0.00340704 -0.00012118  0.00321668 -0.0023848   0.00594314  0.00372997
  0.00306683  0.0043334 ]",-4.615909426689285,0.009893182190688427
ADM,-1.2326843161014094,2.193211135809123,"[ 5.41154426e-05 -8.83414972e-04 -1.44483042e-04  9.17503691e-04
 -5.12338983e-04 -2.66899370e-04]","[ 8.52368724e-03 -1.32705267e-02  2.79310863e-03 -7.56548181e-03
  1.16314106e-02 -2.98233383e-03  1.23421486e-02  5.13159115e-03
  2.91954979e-03  8.62149048e-03  1.21868003e-05  6.67039756e-03
 -3.72118111e-03  2.57577926e-03  8.77008702e-04 -1.18436001e-03
  4.71563531e-03  2.70972726e-03  3.67983273e-03  1.89731493e-03]",-5.231725410810114,0.005344296236485359
ADP,0.44701450743288096,0.5178063395136614,"[ 1.03454420e-03  1.36914389e-04  4.99858091e-05  2.57679893e-04
 -4.12912841e-04 -2.62821149e-04]","[ 0.01347115 -0.00135042 -0.01017997  0.00810965 -0.00550159 -0.00795242
  0.01029776 -0.00483199  0.00339947  0.00724978 -0.00395956  0.00262387
 -0.0005592  -0.00274356  0.00393517  0.00057899  0.00237828  0.00297901
  0.00442233  0.00213953]",-5.143760755713786,0.005835701744880775
ADSK,0.9764543922688756,-0.007679861838250088,"[ 4.53161345e-05  5.46534569e-04  3.17791887e-05  1.51198795e-04
 -6.00609601e-05  3.00707493e-04]","[ 0.01562736  0.00051094 -0.00973931  0.01471133 -0.01239515 -0.00208271
  0.0010159  -0.00829455  0.00287894 -0.00137221  0.0003393   0.00131538
 -0.00147014 -0.00106406  0.00156003 -0.00109873  0.00098856  0.00109382
  0.00038717 -0.00326926]",-4.851630558395679,0.007815623323569025
