,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,0.07937766510819975,0.8641454884250417,"[-2.37314708e-03  1.56350702e-03 -1.15832732e-03 -7.49993116e-04
  2.17755453e-04 -6.05411921e-05]","[ 1.04836162e-02 -5.60091583e-03 -5.24216585e-03  7.65863229e-03
 -8.52820905e-03  5.52649968e-03 -9.54630938e-03  2.14351771e-03
 -1.09497695e-02 -7.26029787e-05 -7.35556857e-03 -3.22900244e-04
 -6.86714576e-03 -1.66877084e-04 -2.16317849e-03  1.24094174e-03
  1.84057321e-03  7.65805985e-03  2.99333915e-03  1.26218942e-02]",-4.286782686147192,0.0137490893500896
AAL,-0.8579379641089632,1.7999228683191155,"[-8.81852575e-04  8.98608349e-04 -4.63593544e-04  4.66605163e-05
  3.12101448e-05  2.06915690e-04]","[ 0.00497146 -0.00860025 -0.00993642 -0.00136524 -0.00705983 -0.00580064
 -0.00054021 -0.00614947 -0.00177116  0.00010944 -0.00316217  0.0051027
 -0.00929891  0.00503821 -0.007147   -0.00046423  0.00054856 -0.00154645
  0.00964072  0.00141831]",-4.423737927314313,0.011989333166258468
AAP,-1.2255455070195382,2.1490417610520067,"[-2.72938941e-03  9.73956704e-05 -1.07503531e-03 -7.17076879e-04
 -9.98216884e-05 -4.27470104e-04]","[ 0.00346745 -0.01055859 -0.01016314 -0.00627649 -0.00375888 -0.01176751
  0.00675812 -0.01065456  0.00472556 -0.0004778   0.0003088   0.00660937
 -0.00907957  0.00599652 -0.00790128 -0.00151286  0.0008225  -0.0026024
  0.00976918  0.00380064]",-4.650280665173141,0.009558918698444682
AAPL,-1.2446086689964675,2.195644677103239,"[-3.49185914e-04 -7.68103608e-04  4.59626473e-04 -7.74781250e-05
  2.96686650e-04  5.68035431e-04]","[ 0.00228488 -0.009587   -0.01390351 -0.0039842  -0.01084653 -0.01003004
 -0.00331419 -0.01190611 -0.00238574 -0.00514725 -0.00225397  0.00121422
 -0.00749301  0.00227714 -0.00527258 -0.0009948   0.0013982   0.00055896
  0.00751951  0.00620521]",-4.864506973903949,0.007715631261438858
ABBV,-0.3890818369190019,1.3341498000153427,"[-9.37728560e-04 -1.53567444e-03  7.99814284e-05 -1.60361699e-03
  2.98116553e-04 -8.97471393e-04]","[ 0.00792758 -0.00797807 -0.00597845 -0.00028002 -0.00325982 -0.00572094
  0.00415604 -0.00868116  0.00399866 -0.00417574  0.00411625  0.00176748
 -0.00275486  0.00469638 -0.0052189   0.00251013 -0.00377033  0.00263872
 -0.00164342  0.00329279]",-4.09649748144518,0.016630823277420898
ABT,-1.030512044705383,1.990567440361794,[-0.00304278  0.00211518 -0.00126877 -0.00052218  0.00033846  0.00048048],"[ 0.00326407 -0.00850798 -0.01344875 -0.00085475 -0.01230205 -0.00557657
 -0.00728394 -0.00720679 -0.00648769 -0.00224811 -0.00501796  0.00278909
 -0.00836427  0.00447455 -0.00553501  0.00236226 -0.0002924   0.00454844
  0.00309747  0.00702417]",-4.581694763150629,0.01023753139490127
ACN,-0.8861026538615895,1.839412819027379,"[-4.45071646e-03  1.05721140e-03 -1.66259181e-03 -5.67195400e-04
  3.22199055e-05  2.43277118e-04]","[ 0.00452838 -0.00872684 -0.01105074 -0.00176248 -0.00914078 -0.00701196
 -0.00383787 -0.00935542 -0.00444133 -0.00521145 -0.00395833 -0.00135108
 -0.00734205 -0.00151441 -0.00386862 -0.00244306  0.00148237  0.00199465
  0.0040472   0.00769254]",-4.336639623552106,0.013080409533375888
ADBE,-0.08786296415437242,1.0331672828980294,[-0.00146832  0.00294005 -0.00066038 -0.0007205   0.00079172  0.00070237],"[ 0.00936619 -0.00576133 -0.00622797  0.0063314  -0.00802749  0.00352181
 -0.00645194  0.00048068 -0.00651499  0.00022046 -0.0029577   0.00202647
 -0.0043738   0.00367507 -0.00287457  0.00316213 -0.00142761  0.0049653
 -0.00178417  0.00372906]",-4.3795135528099784,0.012531453028763188
ADI,-1.0426867016048327,1.9982935012339753,[-0.00236916  0.00090195 -0.00080477 -0.00022142  0.00016758  0.00045861],"[ 0.00348152 -0.0091174  -0.01246849 -0.0027836  -0.01000786 -0.00853394
 -0.00330561 -0.01067213 -0.00285439 -0.00472711 -0.00277717  0.00128553
 -0.00816055  0.00277878 -0.00646972  0.00020979 -0.00034937  0.00258014
  0.00528871  0.0088051 ]",-4.805883111690616,0.008181472668965266
ADM,-1.0635467577072257,1.9985672272500776,"[-8.51207569e-04 -9.86343756e-05 -4.27197107e-04  3.11353244e-04
 -2.68412668e-04  3.55930633e-05]","[ 0.00447134 -0.01050085 -0.00828988 -0.00566899 -0.0018014  -0.00992963
  0.00726155 -0.0073631   0.00259632  0.00213627 -0.00329272  0.00684715
 -0.01164711  0.00392719 -0.00777817 -0.00254031  0.0019001   0.00085996
  0.00813517  0.01188573]",-5.620124302685203,0.003624190584344306
