,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
A,-0.40391436255803764,1.3446925592093162,"[ 4.75696315e-04  7.59067189e-05  1.78186529e-04  2.38813916e-04
 -3.31380281e-05  8.81359400e-05]","[ 0.00643942 -0.00448319 -0.00967248  0.00835946 -0.00812508  0.00687631
 -0.00315102  0.00542557 -0.00224901  0.00622877  0.00146788  0.00784758
 -0.00103724  0.00688276 -0.00180881  0.00218463 -0.00411816  0.00097999
 -0.00838115  0.00031298]",-4.782258529008959,0.008377057757951327
AAL,0.4429007667629424,0.5149604491172303,[-0.00034973  0.00076586 -0.00037944  0.0004786  -0.00019236  0.00017722],"[ 0.00821221 -0.00614913 -0.00889579  0.00446523 -0.01003201  0.00354141
 -0.00583184  0.00477367 -0.00290083  0.00723154  0.0030077   0.00779943
  0.00078378  0.00461677 -0.00087033 -0.00015889 -0.00229631 -0.00149432
 -0.00464546 -0.00392508]",-4.60426828038995,0.010009023124372966
AAP,0.4417664601486753,0.5080159683854168,[-0.00271492 -0.00033881 -0.00019233 -0.00156073  0.00076238  0.00022382],"[ 1.00113769e-02 -6.87031309e-03 -6.31456124e-03  2.06228548e-03
 -7.92288135e-03  1.79508334e-05 -4.38591684e-03  1.03138462e-03
 -1.48850273e-03  3.44458275e-03  4.20128633e-03  3.35996269e-03
  1.13257911e-03 -4.89931616e-04 -2.56354297e-03 -3.20676212e-03
 -4.79861803e-03 -4.30370689e-04 -4.15807262e-03  2.42824609e-03]",-4.209495798057623,0.01485385579327624
AAPL,-0.35617912068111124,1.2895259445795078,[-0.00090379 -0.00043255  0.00031792 -0.00100484  0.00061849  0.00021838],"[ 0.00643292 -0.00551213 -0.01133612  0.0062713  -0.01178548  0.00562006
 -0.00671399  0.00585696 -0.00381392  0.0066228   0.00127756  0.00561983
 -0.00274449  0.00198045 -0.00533493 -0.00117373 -0.00531505 -0.00012819
 -0.00352206 -0.0012786 ]",-4.63181270740671,0.00973709259520912
ABBV,-0.09874735055671453,1.0437801649651761,[ 0.00097185  0.00335488 -0.00023084  0.00063534  0.00032696  0.00082011],"[ 0.00824196 -0.00489587 -0.00695073  0.00666308 -0.00542154  0.00445641
 -0.00041527  0.00282763  0.00107891  0.00315704  0.00424808  0.00354777
  0.00095008  0.00158559 -0.00113073 -0.00153534 -0.00301039 -0.00124264
 -0.0045453  -0.00092849]",-3.822492799694477,0.02187320735254449
ABT,-0.7358645570091665,1.6715802917858484,"[-1.72152010e-03  6.66369138e-04 -8.85687614e-04 -6.86442905e-04
 -1.98929486e-05 -4.91886430e-04]","[ 4.69091887e-03 -3.86669838e-03 -1.22479747e-02  1.04202822e-02
 -9.83410868e-03  9.90004085e-03 -3.09567474e-03  7.82389164e-03
 -1.26330481e-03  6.43592640e-03  1.20491799e-03  5.79188934e-03
 -3.24399412e-03  4.66801425e-03 -3.42701107e-03  1.76151600e-03
 -1.94225180e-03 -1.73309763e-05 -3.43439909e-03 -5.23755981e-03]",-4.878674284917034,0.0076070921825644195
ACN,0.4448331984705408,0.5117899987147198,[-0.0007418   0.00089713 -0.00050967 -0.00073883  0.00016046 -0.0004367 ],"[ 0.00890503 -0.00577781 -0.00691576  0.00476461 -0.00670002  0.00285505
 -0.00200839  0.00240482  0.00037581  0.00324712  0.00431763  0.00281215
  0.00035757 -0.00026    -0.00309507 -0.00284374 -0.00543011 -0.00134296
 -0.00659388  0.0001833 ]",-4.221234455226322,0.014680510881248884
ADBE,-0.5485607465853101,1.5016508100862787,"[-6.37041536e-04  1.50108368e-03 -4.58383788e-04  4.49196649e-05
  1.28069700e-04  2.80193327e-04]","[ 5.83344057e-03 -3.68609175e-03 -9.69733237e-03  1.02277261e-02
 -6.42524206e-03  8.69677346e-03  2.95528855e-05  5.76031971e-03
  1.29513281e-03  4.52398837e-03  3.53671739e-03  4.63930697e-03
  3.70572389e-04  3.25426842e-03 -3.80621682e-04 -8.82310401e-04
 -2.64591872e-03 -3.12826448e-03 -7.69382239e-03 -3.55659236e-03]",-4.53710260473523,0.010704376475516959
ADI,0.1240341253293779,0.8249789631262658,[-0.00115682  0.00034842 -0.000237   -0.00020471  0.00016639  0.00026192],"[ 0.00882446 -0.0070446  -0.0085939   0.00239024 -0.01111455  0.00094275
 -0.00836087  0.00285532 -0.00596806  0.00658804  0.00118995  0.00774829
 -0.00077317  0.00370982 -0.00401898 -0.00151909 -0.00775333 -0.00083405
 -0.00964874  0.00134792]",-4.400238074363023,0.012274417331099933
ADM,0.4412728528494584,0.5112444306759653,"[ 9.80544154e-04  1.08736910e-04 -6.81511750e-06  1.08351248e-04
 -2.64121943e-04 -5.60751997e-04]","[ 0.01010069 -0.00684116 -0.0058195   0.00224717 -0.00744698 -0.0001181
 -0.00500377  0.00101418 -0.00347199  0.00500436  0.00282641  0.00748275
  0.00140561  0.00488797 -0.00170554  0.00021014 -0.00624086  0.00271327
 -0.0078855   0.00755441]",-4.468916158839104,0.011459729648683761
