,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope,"fs_1 - beta(p=365.25,n=10)"
A,"[ 2.67273926e-02 -7.11301456e-02 -1.10730233e-02  1.11013566e-01
 -1.85062468e-02 -1.68873643e-01  8.02073368e-02  1.37500287e-01
 -9.33050096e-02  1.14060909e-01 -1.77775848e-03 -2.25819727e-01
  1.59112402e-02 -2.03354200e-01 -1.59599082e-01  1.72172279e-01
 -2.63174879e-01  1.73560258e-01 -9.42688832e-02 -7.77570961e-02
 -1.16949103e-01 -1.72804159e-01  1.81452449e-01 -7.70055670e-02
 -2.86530027e-02 -1.24243544e-01  2.00703286e-01  1.38496532e-01
  7.11612490e-03 -3.72307967e-01 -4.12639479e-02 -2.45497099e-01
 -1.98579489e-01 -1.09738336e+00  7.93263910e-01  2.39100313e-01
 -1.92787648e+00  2.25390161e-01  1.38114543e+00 -1.53392905e-01
 -8.52724149e-01 -2.12674206e-01  1.55346386e+00 -8.16648984e-01
 -1.31627998e+00  7.40293856e-01 -4.02346572e-02  8.27354979e-01
  1.23248872e-01 -9.35769282e-01  1.24226956e+00 -7.49996939e-01
 -4.26485522e-01  0.00000000e+00]",0.16502524055500536,"[ 2.27411844e-04  1.70825979e-04 -1.40818599e-04 -1.58582263e-04
  7.47812011e-05 -1.78531846e-04]",-5.364454343706315,0.004680013222639206,0.8217388109049548,-0.038738867905596164,"[-0.12033617 -0.09296906 -0.06302303 -0.02996014  0.01672786  0.06012368
  0.09411113  0.14245373  0.16446417  0.1603488   0.14855457  0.0619875
 -0.08135293 -0.22663179 -0.34184919 -0.2423922  -0.19886558 -0.16959333
 -0.08883094  0.30979494  0.90345674  1.2334108   1.08569829 -0.12190247
  0.0151705 ]","[-2.58598681e-05 -9.15509395e-04 -1.10469818e-03 -1.43909029e-04
 -1.32404205e-03  1.02283607e-03]","[ 0.00592693 -0.00339294 -0.0032562  -0.00080021 -0.00308565  0.00627152
 -0.00160584 -0.00294866 -0.000702    0.00614649 -0.00088581 -0.0024582
  0.00149605  0.00181333  0.0008164   0.00115549 -0.00255632  0.00499638
  0.0006482  -0.00102211]",0.08648122485271137,0.8217388109049548,"[ 0.00592693 -0.00339294 -0.0032562  -0.00080021 -0.00308565  0.00627152
 -0.00160584 -0.00294866 -0.000702    0.00614649 -0.00088581 -0.0024582
  0.00149605  0.00181333  0.0008164   0.00115549 -0.00255632  0.00499638
  0.0006482  -0.00102211]"
AAL,"[ 0.10482213 -0.07343382  0.07759041  0.08984331  0.05590002 -0.15560993
  0.33887023  0.20976714 -0.07872422 -0.02803062 -0.07659894 -0.30117741
  0.01823415 -0.13701958 -0.17574123  0.24550604 -0.03853866  0.17739735
 -0.0998664  -0.07184845 -0.18641584 -0.16710864  0.09889374 -0.15995219
  0.08323251 -0.14775684 -0.07408246  0.27579933  0.08459797 -0.22434309
 -0.06082116 -0.17514569 -0.40229982 -1.75706617  1.5539297   0.00564618
 -2.94329321  0.97537083  1.88835582 -0.57407072 -0.45294184 -0.48796396
  1.21084028 -0.29988033 -1.3941663  -0.1780086   0.49828898  1.25204194
 -1.35761573 -0.57552697  1.91957762  0.96977043  0.37887491  0.        ]",0.1661104617261287,"[ 2.04950208e-04  1.99164794e-04  6.69123979e-05 -2.79530315e-04
  2.40514591e-04  1.21692936e-05]",-5.780388930772081,0.003087514345348604,0.8232902866453805,-0.038757311049339396,"[-0.11835201 -0.09338793 -0.06101753 -0.02967643  0.02389412  0.06175286
  0.09405337  0.13700416  0.16189337  0.15711717  0.14877419  0.0644903
 -0.08214309 -0.22193717 -0.32243053 -0.24281641 -0.20201878 -0.17305042
 -0.09890064  0.31211334  0.88643597  1.21876374  1.11011231 -0.12213576
 -0.00263787]",[ 0.00024182 -0.00069573 -0.00070159 -0.00024107 -0.00115461  0.00045114],"[ 0.00413847 -0.00107681 -0.00381797 -0.00370775 -0.00116114  0.00776483
 -0.00282041 -0.0019008  -0.00158442  0.00477919  0.00072071 -0.00258648
 -0.00123606  0.00326399  0.00183517 -0.00273507 -0.00119316  0.00720586
  0.00496297  0.0011382 ]",0.0862490635981032,0.8232902866453805,"[ 0.00413847 -0.00107681 -0.00381797 -0.00370775 -0.00116114  0.00776483
 -0.00282041 -0.0019008  -0.00158442  0.00477919  0.00072071 -0.00258648
 -0.00123606  0.00326399  0.00183517 -0.00273507 -0.00119316  0.00720586
  0.00496297  0.0011382 ]"
AAP,"[-0.01444951 -0.07259161 -0.07691528  0.01689363  0.07423388 -0.00484036
 -0.08271017 -0.05457566  0.02854363  0.17243839  0.17422012  0.05841
  0.09637708  0.09018145 -0.10342227  0.04529352 -0.20431658  0.10200809
  0.07990009 -0.02204951  0.03429246 -0.00444262  0.16637952 -0.03842293
 -0.07048498 -0.06291024  0.23639021 -0.08207203  0.03802667 -0.08879282
  0.10547911 -0.01069968 -0.01966826  0.08470307 -0.0968147   0.20818001
  0.1896115  -0.73866717 -0.12526093  0.67405869 -0.3434629  -0.1293257
  0.90815161 -0.4067154  -0.35773934 -0.01679888 -0.56863723  0.73111822
  0.08093802  0.16221599  0.60540662 -1.6685056   1.31831911  0.        ]",0.16556815889300322,"[ 2.88573798e-04 -5.69284451e-04  2.88611854e-04  2.82470396e-04
 -1.43668286e-04  9.07933111e-05]",-5.783588899673746,0.0030776501863782673,0.8209207665079103,-0.0387548398936767,"[-0.12180246 -0.09523213 -0.06049548 -0.02552862  0.01218547  0.05473248
  0.09885365  0.14317163  0.17183472  0.17210945  0.15304484  0.07821577
 -0.07649143 -0.23523187 -0.33737921 -0.24956694 -0.18303048 -0.16190343
 -0.06790426  0.33810343  0.90316078  1.24093857  1.07361029 -0.11746267
  0.01833023]",[-0.00061989 -0.00076975 -0.0004137   0.00030982 -0.00082943  0.00150149],"[ 9.15255513e-03 -5.98299875e-03 -3.55022886e-03  5.22637915e-03
 -5.68748414e-03  1.94159613e-03  6.27623688e-04 -1.60250314e-03
 -3.70489995e-04  4.87013415e-03  1.75269742e-06  3.54694324e-04
 -2.20968249e-04  4.17680296e-04  8.43858378e-04  9.87224135e-04
  5.06454870e-04  2.96507467e-03 -1.71733327e-03  4.27727195e-03]",0.08635610252689363,0.8209207665079103,"[ 9.15255513e-03 -5.98299875e-03 -3.55022886e-03  5.22637915e-03
 -5.68748414e-03  1.94159613e-03  6.27623688e-04 -1.60250314e-03
 -3.70489995e-04  4.87013415e-03  1.75269742e-06  3.54694324e-04
 -2.20968249e-04  4.17680296e-04  8.43858378e-04  9.87224135e-04
  5.06454870e-04  2.96507467e-03 -1.71733327e-03  4.27727195e-03]"
AAPL,"[ 8.59775767e-02  8.53267702e-03  1.46533174e-01  2.87295763e-02
 -6.06581907e-02 -1.55920701e-01 -3.48892651e-02  2.27889815e-01
 -1.67173544e-01  3.90848884e-02 -1.89403827e-01 -3.92463790e-01
 -2.02944186e-01 -2.91438610e-01 -1.34312140e-01  9.09759909e-02
  7.53492651e-04  2.10252588e-01 -1.35781687e-01 -1.39923983e-01
 -2.73037615e-01 -2.07447148e-01 -2.73746682e-02 -1.16050688e-01
  5.35509279e-02 -2.05421746e-01  3.17106199e-03  1.87264354e-01
  1.73855023e-02 -2.76912568e-01 -1.77534661e-01 -2.54562783e-01
 -2.27000428e-01 -1.65554802e+00  1.34697290e+00 -4.13801154e-02
 -3.08174990e+00  1.83461597e+00  1.89792153e+00 -1.44568759e+00
 -3.62828861e-01  7.58709641e-02  4.13031316e-01 -4.56023430e-01
 -1.08635193e+00  1.17760776e+00  7.16379556e-01 -6.62115759e-01
  3.84866451e-01 -4.11684379e-01 -1.92992089e-01  3.76446931e-01
 -3.68613450e-01  0.00000000e+00]",0.16126257483380574,"[ 3.96582826e-04  7.54988833e-04 -3.27829212e-04  1.51366081e-04
  4.11064580e-05 -3.35613288e-05]",-5.718626037021288,0.003284220200799462,0.8229159097987588,-0.03797114336499455,"[-0.11680977 -0.09481583 -0.06383426 -0.02947598  0.01323331  0.0629127
  0.09172707  0.1399029   0.15608056  0.15349692  0.1373902   0.05709001
 -0.07939943 -0.22973164 -0.32182516 -0.24053145 -0.20323597 -0.17883799
 -0.11146211  0.30169322  0.86632361  1.22572014  1.1036325  -0.12783336
  0.00287531]","[ 4.59081609e-05 -8.73752818e-04 -8.81310341e-04 -4.63628407e-04
 -1.33774743e-03  9.69202700e-04]","[ 4.34837533e-03 -1.66233625e-03 -3.97506374e-03 -4.01679569e-03
  1.16849037e-03  7.98694341e-03 -5.15088274e-03 -1.87932839e-03
 -4.55691100e-05  2.74495277e-03  3.71842248e-04 -1.80034401e-03
  2.19492878e-03  3.64758683e-03 -3.35105021e-03  2.13125491e-03
 -9.94248305e-04  1.18507155e-03  3.02645916e-03 -1.32940945e-03]",0.08604267125354384,0.8229159097987588,"[ 4.34837533e-03 -1.66233625e-03 -3.97506374e-03 -4.01679569e-03
  1.16849037e-03  7.98694341e-03 -5.15088274e-03 -1.87932839e-03
 -4.55691100e-05  2.74495277e-03  3.71842248e-04 -1.80034401e-03
  2.19492878e-03  3.64758683e-03 -3.35105021e-03  2.13125491e-03
 -9.94248305e-04  1.18507155e-03  3.02645916e-03 -1.32940945e-03]"
ABBV,"[ 0.05744352  0.1192184   0.04000391  0.02741649 -0.08931315 -0.08876906
 -0.0421358   0.12675701 -0.07303205 -0.03101003 -0.15531671 -0.11545076
 -0.07379073 -0.16830569 -0.09667273  0.00772516 -0.16538947  0.01406144
 -0.16417567 -0.13432227 -0.20790367 -0.23632144  0.17504886  0.0716574
 -0.02288554 -0.20586337  0.14553649  0.1067761   0.04008167 -0.29506523
 -0.03220426 -0.18939516 -0.00254751 -0.57298887  0.31475652  0.56755343
 -1.15332393 -0.22709691  1.27586194 -0.4981503  -1.4297779   0.62927035
  1.07284629 -0.83852942 -0.64937178  0.79893758  0.3433093  -0.4370142
  0.15242894 -0.24501509 -0.12979041  0.46715284 -0.36357526  0.        ]",0.15927998446897862,"[-2.18301750e-04 -5.27244719e-04 -1.97043996e-04 -2.06618671e-04
 -1.04112553e-05 -2.68789237e-04]",-5.462074533128055,0.004244740749172136,0.8223490355812689,-0.03690966539883467,"[-0.11910765 -0.09481956 -0.064567   -0.02752068  0.01329056  0.05990575
  0.09513738  0.1363287   0.15716216  0.16524145  0.1439688   0.06331551
 -0.07576062 -0.23703057 -0.33432139 -0.25931883 -0.20715614 -0.17844816
 -0.09897287  0.29766447  0.90582028  1.26696317  1.08493448 -0.12845911
  0.01257692]","[-1.92581908e-04 -7.57113264e-04 -9.30055066e-04 -1.40030632e-05
 -1.20417175e-03  1.53234872e-03]","[ 0.00733805 -0.00484803 -0.00242641  0.0014869  -0.00432162  0.0059435
 -0.00257601 -0.00442058  0.0017546   0.00521569 -0.00092558 -0.00060194
  0.00173503  0.00287417 -0.0025014   0.0011225  -0.0005797   0.0009059
  0.00374292 -0.00075682]",0.08625487090014737,0.8223490355812689,"[ 0.00733805 -0.00484803 -0.00242641  0.0014869  -0.00432162  0.0059435
 -0.00257601 -0.00442058  0.0017546   0.00521569 -0.00092558 -0.00060194
  0.00173503  0.00287417 -0.0025014   0.0011225  -0.0005797   0.0009059
  0.00374292 -0.00075682]"
ABT,"[-8.60274856e-03 -4.03962386e-02 -4.02824973e-02  1.30901906e-02
 -9.69611101e-04 -1.36478952e-01  4.99288271e-02  9.90024426e-02
 -1.26450686e-01  1.12498521e-01 -7.16676310e-02 -1.59039281e-01
  2.07327050e-03 -1.43734349e-01 -1.03562651e-01  1.79679739e-01
 -2.61134439e-01  1.14908584e-01 -1.06581347e-01 -7.71874662e-02
 -1.85402524e-01 -1.97859781e-01  2.53956395e-01 -1.89149591e-02
 -3.73809001e-02 -2.68116575e-01  2.57174890e-01  1.36431047e-01
  5.05083438e-02 -3.27711950e-01 -2.45504148e-02 -2.38748423e-01
 -6.43459467e-02 -9.42049521e-01  6.35819387e-01  6.35621168e-01
 -1.63377174e+00 -4.07216917e-01  1.35437842e+00  1.61688628e-01
 -1.27224432e+00 -2.67580428e-01  1.73570335e+00 -6.27958093e-01
 -1.41432241e+00  5.61483471e-01  2.93388040e-01  4.49125232e-01
  8.16450707e-02 -6.83897280e-01  4.97286418e-01 -3.13365861e-01
  4.50071531e-01  0.00000000e+00]",0.16412669036097408,"[ 4.16706531e-04 -1.45635496e-04 -4.21163897e-06  8.36186142e-05
  1.11739116e-04  7.21172600e-05]",-5.892022978937933,0.002761384819367527,0.8210369216076651,-0.038445419667819336,"[-0.12098028 -0.09530222 -0.06238426 -0.0290822   0.01593472  0.05916004
  0.09316877  0.1420696   0.1615259   0.16334303  0.14785763  0.06506225
 -0.07735077 -0.22609333 -0.34215784 -0.24812977 -0.20123278 -0.17014975
 -0.09679919  0.30625638  0.91699153  1.24652558  1.08539269 -0.1341749
  0.01881716]","[-3.85026862e-05 -7.90620669e-04 -1.02423007e-03 -7.28462881e-05
 -1.32872712e-03  1.35545948e-03]","[ 6.36585683e-03 -3.92287988e-03 -2.17312775e-03  7.55128643e-05
 -4.81521146e-03  6.11883882e-03 -7.41241057e-04 -3.87867694e-03
 -7.91826192e-04  6.81373240e-03 -3.84811690e-04 -2.75845831e-03
  1.17810708e-03  2.74558482e-03 -2.04184511e-04  9.88547427e-04
 -1.78647732e-03  2.77554125e-03  1.77349040e-03  1.48667057e-03]",0.08639216251588114,0.8210369216076651,"[ 6.36585683e-03 -3.92287988e-03 -2.17312775e-03  7.55128643e-05
 -4.81521146e-03  6.11883882e-03 -7.41241057e-04 -3.87867694e-03
 -7.91826192e-04  6.81373240e-03 -3.84811690e-04 -2.75845831e-03
  1.17810708e-03  2.74558482e-03 -2.04184511e-04  9.88547427e-04
 -1.78647732e-03  2.77554125e-03  1.77349040e-03  1.48667057e-03]"
ACN,"[-3.35307260e-02 -3.97945811e-01 -5.51714496e-02  1.72618437e-01
  1.76211469e-02 -1.20563743e-01 -6.04676055e-02  6.54084777e-02
 -6.32145550e-02  4.61045883e-01  2.88081876e-01 -2.37837186e-01
 -1.54116809e-02 -3.96426172e-02 -2.10715085e-01  2.03736297e-01
 -2.03850617e-01  5.70108196e-01  1.91777747e-01 -7.98653408e-02
  1.96301552e-02  5.85378972e-03  7.97769066e-02 -4.37988117e-01
 -4.86039038e-02  1.09803361e-01  2.51387164e-01 -1.43700949e-03
 -7.10786954e-02 -1.30398236e-01  3.78042054e-02 -2.53395759e-01
 -4.25665261e-01 -1.35554474e+00  1.46102518e+00 -1.23376325e+00
 -2.35682664e+00  1.86403180e+00  2.19747842e-02  2.71941915e-01
  1.55906348e+00 -1.43519628e+00  1.04985907e+00 -9.39712589e-01
 -1.31797379e+00  7.73289442e-01 -1.75257240e+00  2.33677224e+00
  1.16416079e+00 -1.18038343e+00  1.82972841e+00 -2.59825100e+00
  1.51695237e+00  0.00000000e+00]",0.1592053718315671,"[-1.74698396e-04  6.69974339e-04 -2.79644961e-04  2.46131841e-04
  3.67446759e-05  2.64086417e-04]",-5.46740052392834,0.004222193395789288,0.8205416877938981,-0.041879839818641046,"[-0.12149302 -0.09173563 -0.0623682  -0.02891492  0.01265051  0.05818348
  0.09543892  0.15589757  0.17729701  0.15926223  0.147273    0.07288019
 -0.08626495 -0.22343858 -0.33837416 -0.20442193 -0.16749909 -0.16424211
 -0.07720002  0.33855793  0.88202503  1.15065597  1.08247937 -0.1022038
  0.01874503]","[-2.55241005e-04 -1.18219073e-03 -5.22332105e-04 -4.98973338e-05
 -1.39559348e-03  4.91539262e-04]","[ 0.00523119 -0.0012306  -0.00731092 -0.00211336  0.00139585  0.00276605
 -0.00049366  0.00279991 -0.00442378  0.00427224 -0.00141401 -0.00240857
  0.00140993 -0.00304447  0.00492537  0.00433092 -0.00360159  0.00707546
 -0.00429061  0.00391313]",0.08626305137768574,0.8205416877938981,"[ 0.00523119 -0.0012306  -0.00731092 -0.00211336  0.00139585  0.00276605
 -0.00049366  0.00279991 -0.00442378  0.00427224 -0.00141401 -0.00240857
  0.00140993 -0.00304447  0.00492537  0.00433092 -0.00360159  0.00707546
 -0.00429061  0.00391313]"
ADBE,"[ 3.86638340e-02 -2.09167254e-01  8.05333750e-02  1.20370718e-01
 -1.04861325e-02 -1.87250754e-01 -4.93197883e-02  1.67618575e-01
 -1.46130658e-01  2.37362381e-01  4.66012247e-02 -4.15564443e-01
 -1.35961351e-01 -2.68740541e-01 -1.60465501e-01  1.79216543e-01
 -7.28992014e-02  3.83051765e-01 -3.12028095e-03 -7.39048602e-02
 -9.41536685e-02 -5.60560915e-02 -8.75934855e-02 -2.65717879e-01
  2.40880426e-02 -1.75321659e-03  7.21260854e-02  9.38295762e-02
 -7.60545390e-02 -2.47103196e-01 -1.65739720e-01 -2.82171433e-01
 -3.54679421e-01 -1.67077067e+00  1.41590244e+00 -6.55753643e-01
 -3.00640850e+00  2.38022980e+00  1.24282903e+00 -1.03385565e+00
  8.07531145e-01 -7.23286365e-01  2.90579083e-01 -4.02733396e-01
 -1.23350346e+00  1.28452907e+00 -2.12131535e-01  5.15584095e-01
  1.11062573e+00 -1.14661524e+00  7.85188186e-01 -1.50311391e+00
 -4.43074960e-01  0.00000000e+00]",0.1572422525078961,[ 0.00032563  0.0007157  -0.00035529  0.00020863 -0.00017297 -0.00023486],-5.484923546599145,0.004148852261023284,0.8219759472474053,-0.040063759599771785,"[-0.11838746 -0.09280616 -0.06285351 -0.0305593   0.01281035  0.06118643
  0.09245069  0.14768043  0.16657328  0.15218824  0.14101982  0.0594806
 -0.08253804 -0.22400656 -0.32784882 -0.22269452 -0.1881616  -0.16739504
 -0.09015233  0.3270742   0.85318915  1.19040977  1.09767079 -0.11150969
  0.00696908]",[-0.00010675 -0.00116568 -0.00078617 -0.00051877 -0.00140717  0.00066886],"[ 4.30312410e-03 -1.37560188e-03 -5.68133423e-03 -3.89233768e-03
  2.68538082e-03  6.23761945e-03 -4.00939595e-03  9.88966629e-04
 -2.38964255e-03  2.20601330e-03  4.06639992e-04 -2.15126038e-03
  2.43328296e-03  1.05571644e-03 -9.00324715e-05  4.26328545e-03
 -3.25144757e-03  4.10923938e-03 -1.75325970e-03 -1.68895556e-03]",0.08616109520207949,0.8219759472474053,"[ 4.30312410e-03 -1.37560188e-03 -5.68133423e-03 -3.89233768e-03
  2.68538082e-03  6.23761945e-03 -4.00939595e-03  9.88966629e-04
 -2.38964255e-03  2.20601330e-03  4.06639992e-04 -2.15126038e-03
  2.43328296e-03  1.05571644e-03 -9.00324715e-05  4.26328545e-03
 -3.25144757e-03  4.10923938e-03 -1.75325970e-03 -1.68895556e-03]"
ADI,"[ 0.04244571 -0.02894067  0.05898815  0.08197144 -0.03067174 -0.1986015
  0.03760441  0.20485124 -0.15112425  0.09487463 -0.08438316 -0.34817906
 -0.06871764 -0.30457836 -0.17099613  0.15454017 -0.18049441  0.19486887
 -0.11017368 -0.09364688 -0.17527782 -0.21073042  0.08793661 -0.10084503
  0.00327693 -0.1868221   0.13682533  0.18560468  0.02803593 -0.41711169
 -0.12139125 -0.24145558 -0.22864082 -1.47630648  1.09924145  0.1729629
 -2.67645724  0.99068945  1.78247303 -0.74787094 -0.76135973 -0.09258078
  1.24716446 -0.71471918 -1.42334155  1.1160866   0.50549828 -0.00724323
  0.11300204 -0.55459029  0.76563838 -0.51912018 -0.78703873  0.        ]",0.17000333917965885,"[ 2.59308758e-04  1.98242328e-04 -7.24162688e-05 -2.06341847e-04
  1.45003591e-04 -1.14322505e-04]",-5.639807554577507,0.0035535522052777472,0.8220510801408557,-0.03833301794040384,"[-0.11877078 -0.09362083 -0.06323831 -0.03071653  0.01541953  0.06223001
  0.09213805  0.1421244   0.16085265  0.15529092  0.14411799  0.05644704
 -0.08214846 -0.22684921 -0.33573548 -0.24053513 -0.2001357  -0.17213515
 -0.09741585  0.30291701  0.8865009   1.22859568  1.09349596 -0.12691009
  0.01088387]","[ 9.10153822e-05 -8.77312000e-04 -1.22487030e-03 -3.40173826e-04
 -1.29256603e-03  9.56835619e-04]","[ 0.00486333 -0.00245201 -0.00339761 -0.00290972 -0.00106008  0.00750672
 -0.00321457 -0.00278263 -0.00043317  0.00513288 -0.0004758  -0.00276547
  0.00227397  0.00319582 -0.00156263  0.00125888 -0.00144018  0.0037536
  0.00093254 -0.00218044]",0.08642676374281158,0.8220510801408557,"[ 0.00486333 -0.00245201 -0.00339761 -0.00290972 -0.00106008  0.00750672
 -0.00321457 -0.00278263 -0.00043317  0.00513288 -0.0004758  -0.00276547
  0.00227397  0.00319582 -0.00156263  0.00125888 -0.00144018  0.0037536
  0.00093254 -0.00218044]"
ADM,"[ 0.05477141  0.04028127  0.00209044  0.03957339  0.02988552 -0.0679841
  0.06876335  0.06023906 -0.0114567  -0.01145755 -0.00514202 -0.08888224
  0.0618088  -0.07276373 -0.11553146  0.06382724 -0.15293839  0.0079766
 -0.08062612 -0.03780223 -0.07083768 -0.10904824  0.12905566  0.03461072
 -0.01592734 -0.11933877  0.09717518  0.07894255  0.05551912 -0.21677229
  0.00490128 -0.05753623 -0.08057671 -0.43288668  0.23165001  0.48921556
 -0.7614459  -0.43512642  0.97861028 -0.06152361 -1.03714217  0.26718415
  0.97539469 -0.36702271 -0.5388804   0.05310184  0.26611199  0.26315094
 -0.54493095  0.00219128  0.73295105 -0.31534391 -0.083189    0.        ]",0.15932939462942022,"[ 5.56672169e-04 -6.79109046e-04  8.01498183e-05  4.07555006e-04
 -3.57766302e-05  1.46367597e-04]",-5.12282827185525,0.005959144956595484,0.8222959497220071,-0.037667757789343205,"[-0.11997893 -0.09457102 -0.06158636 -0.02713449  0.01641504  0.05779709
  0.09706132  0.13661697  0.1641082   0.16613596  0.15109371  0.06838144
 -0.07715588 -0.23405238 -0.33240606 -0.25895354 -0.19993299 -0.16703125
 -0.08043988  0.32054342  0.89644227  1.25925107  1.08521297 -0.12157196
  0.00906581]","[-2.69775542e-04 -7.17718744e-04 -7.01613088e-04  5.09418216e-05
 -8.93406343e-04  1.32064805e-03]","[ 0.00772596 -0.00503391 -0.00268836  0.0025447  -0.0049186   0.0050396
 -0.00137831 -0.00331325  0.00074367  0.00489122  0.00033307 -0.0001792
 -0.00023782  0.00270538 -0.00055808 -0.00074264  0.00026508  0.00338251
  0.00172823  0.0003035 ]",0.08637417148557447,0.8222959497220071,"[ 0.00772596 -0.00503391 -0.00268836  0.0025447  -0.0049186   0.0050396
 -0.00137831 -0.00331325  0.00074367  0.00489122  0.00033307 -0.0001792
 -0.00023782  0.00270538 -0.00055808 -0.00074264  0.00026508  0.00338251
  0.00172823  0.0003035 ]"
