,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope,"fs_1 - beta(p=365.25,n=10)"
A,"[ 1.07051142e-01  2.39908378e-01  4.56939967e-02  5.50291734e-02
  1.19762707e-01  3.07763240e-01  2.70705588e-01  6.32366186e-02
  2.45093338e-01  4.98792029e-02 -1.24362684e-01  7.73155669e-02
 -1.59631766e-01  2.22280821e-01 -2.52498366e-01 -1.56254939e-01
  9.42016885e-02  6.66372366e-02  1.54812515e-01  1.17676861e-01
  9.58551404e-02 -3.38828244e-02 -9.47766841e-04 -3.64288279e-01
  1.45099069e-01 -9.88938334e-03 -5.13122470e-02 -1.59165369e-02
 -8.63543000e-02  1.42695119e-01  2.31219508e-01  3.10197231e-01
  1.00702231e-01 -1.81635632e+00 -5.25365711e-02  2.37194184e+00
  7.49895091e-01 -1.85651513e+00 -9.79308515e-01  2.20494422e-01
  3.95669162e-02  6.62333042e-01  1.25504660e+00 -5.42561692e-01
 -2.36333143e+00  6.89741605e-02  2.20457800e+00  6.01862672e-01
 -1.08218753e+00 -3.74981103e-01 -3.36987582e-01 -6.58589500e-01
  2.30764279e-01  0.00000000e+00]",0.13262413259454103,"[ 8.61530625e-04  1.58262673e-03 -2.99167449e-04  5.28391840e-04
 -1.70966200e-04 -2.28497919e-05]",-4.920622139345276,0.007294591182600759,0.831432659335182,-0.0379073091574131,"[-0.12384665 -0.0997987  -0.06425891 -0.02070046  0.02058725  0.05850279
  0.10352537  0.13661492  0.1601256   0.17993392  0.14973567  0.09632003
 -0.0699873  -0.23469326 -0.3214245  -0.2608351  -0.18437365 -0.1592126
 -0.09099192  0.27076029  0.84612229  1.19444124  1.21772994 -0.11082103
 -0.00147881]","[-1.08711306e-03  1.07074726e-03 -6.73567964e-05  7.78434216e-04
  1.78082042e-03 -6.97356113e-05]","[ 0.000366   -0.00495398  0.00269847  0.00561482 -0.00920952 -0.00065199
 -0.00062702 -0.00027185  0.00146557  0.00351873 -0.00167912 -0.00382674
 -0.00217619  0.00785414  0.00156514 -0.00262556 -0.00058058 -0.00137346
 -0.00029562  0.00054761]",0.08632585881041127,0.831432659335182,"[ 0.000366   -0.00495398  0.00269847  0.00561482 -0.00920952 -0.00065199
 -0.00062702 -0.00027185  0.00146557  0.00351873 -0.00167912 -0.00382674
 -0.00217619  0.00785414  0.00156514 -0.00262556 -0.00058058 -0.00137346
 -0.00029562  0.00054761]"
AAL,"[ 0.10433226  0.17540887  0.09483805  0.07441314  0.12893597  0.11714955
  0.37927716  0.1500329   0.27074287 -0.01156115  0.08900854  0.08953213
 -0.16915903 -0.05061728 -0.07947374 -0.17977629  0.14418969  0.1362313
  0.25194086  0.2120859  -0.23554171 -0.12475606 -0.17582276 -0.17923321
  0.26372199 -0.10262318 -0.2232481  -0.1811376  -0.09330274  0.01030805
  0.06268174  0.13444703 -0.13628504 -1.03520558  0.42547397  1.62624811
 -0.69038934 -1.90338433  0.88924086  1.40425637 -1.2043962  -1.00034841
  1.57261691  0.78513026 -1.76369962 -0.52991714  1.2779822   0.23903031
 -0.83285325  0.07329443  1.15619446 -0.06340879 -2.30922125  0.        ]",0.13632119461571787,"[-5.63898257e-04  5.79587801e-04 -3.45984408e-04 -3.48912071e-04
  8.32492385e-05 -1.61821302e-04]",-5.106653784696883,0.006056314787858018,0.8313753342255658,-0.03855218388913089,"[-0.12278224 -0.09929242 -0.06402694 -0.02584645  0.02407639  0.06118732
  0.10398291  0.13455415  0.16879376  0.18069216  0.14911212  0.08136676
 -0.059074   -0.23475672 -0.31849741 -0.25473173 -0.17617526 -0.14833508
 -0.13401254  0.25686218  0.81820414  1.23681653  1.24747643 -0.1176057
 -0.01282412]",[-0.00153897  0.00103919 -0.00031423  0.00030031  0.0013716  -0.00071813],"[ 0.00266351 -0.00356142  0.00085731  0.0015973  -0.00930105  0.00499694
  0.00236318 -0.00395131 -0.00336291  0.00399785  0.00184256 -0.00283393
 -0.00372921  0.0048769   0.00093588 -0.00174077  0.00062585  0.00336834
  0.00136798 -0.00632916]",0.08520640427988517,0.8313753342255658,"[ 0.00266351 -0.00356142  0.00085731  0.0015973  -0.00930105  0.00499694
  0.00236318 -0.00395131 -0.00336291  0.00399785  0.00184256 -0.00283393
 -0.00372921  0.0048769   0.00093588 -0.00174077  0.00062585  0.00336834
  0.00136798 -0.00632916]"
AAP,"[-1.70853364e-02  3.20497003e-01  2.60515896e-02 -2.92439418e-02
  5.97866992e-02  1.21137244e-01 -8.39510317e-03 -3.11614358e-02
  2.01843085e-02  9.51497830e-02 -3.60837185e-02  2.53141162e-02
 -2.93601522e-01  1.27152205e-01  1.66683437e-01 -9.20821240e-02
  6.51115844e-02 -5.49654959e-02  1.10724350e-01  1.73671398e-01
  9.76369397e-02  7.13032803e-02  1.27410410e-01 -1.83783166e-01
 -4.62636702e-03  6.53044176e-02 -2.26099893e-01 -2.71779245e-01
 -1.82401278e-01  6.87312542e-02  1.07693131e-01  2.82276524e-01
  7.72395150e-04 -1.89234071e+00  1.15508503e-01  2.59722130e+00
  1.39867700e-01 -2.89507379e+00 -6.12706680e-01  1.90212467e+00
  5.60900672e-01 -4.70031696e-01 -2.45059341e-01 -5.72010827e-01
 -3.34029915e-01  1.28989737e+00  1.11002749e+00 -7.85698655e-01
 -1.14197913e+00 -5.40225929e-01  3.54688611e-02  1.15435583e+00
  2.02944652e+00  0.00000000e+00]",0.13929803100482624,"[ 1.23647031e-03 -3.51630734e-05  3.31410254e-04 -9.45756116e-05
  3.18939209e-05 -2.79159415e-04]",-5.30631212900547,0.004960185553300246,0.8288153536253313,-0.03717586082062011,"[-0.12415112 -0.10183371 -0.06566993 -0.02561896  0.01248972  0.05562604
  0.09569696  0.13884852  0.16491804  0.17760767  0.14315936  0.09247021
 -0.04369807 -0.23096555 -0.32330661 -0.2734515  -0.19113704 -0.15181853
 -0.08969809  0.28639136  0.87301748  1.23407995  1.17740085 -0.10328332
 -0.01484384]",[-0.00180902  0.00077767 -0.00025986  0.00035647  0.00170465 -0.00027729],"[ 0.00020679 -0.00431479  0.00330287  0.003832   -0.01212707  0.00058084
  0.00387341  0.00121492 -0.00195678 -0.0007118  -0.00177073  0.00148359
  0.00150989  0.00430757 -0.00205246 -0.00262563 -0.00118485  0.00028621
  0.0040707   0.00580681]",0.08614982421041369,0.8288153536253313,"[ 0.00020679 -0.00431479  0.00330287  0.003832   -0.01212707  0.00058084
  0.00387341  0.00121492 -0.00195678 -0.0007118  -0.00177073  0.00148359
  0.00150989  0.00430757 -0.00205246 -0.00262563 -0.00118485  0.00028621
  0.0040707   0.00580681]"
AAPL,"[-0.03229795  0.34603138  0.15113907  0.18264496  0.11628961  0.36976224
  0.27814815 -0.09835712  0.26543483 -0.03686622 -0.21456871 -0.05361732
 -0.25931461  0.23340506 -0.02024404 -0.17306768  0.13761795  0.1230126
  0.03301536  0.08778916  0.02072205  0.03377641  0.06815039 -0.25355905
  0.0432313   0.20243749 -0.07043556 -0.11079784 -0.2174316   0.10154179
  0.21782803  0.24986265 -0.13722258 -2.1441934   0.14148943  2.7098334
 -0.22983012 -2.22425634  0.15945213  0.60235926 -1.10341014  0.96040291
  2.16921332 -1.31852826 -2.40440861  1.42478794  1.7508523  -0.38410633
 -0.35105534 -0.62850124 -1.07666105  1.10781917  1.17739375  0.        ]",0.12583997585751297,"[-7.31449947e-05  9.69387628e-04 -5.85987323e-04  2.87976824e-04
 -3.01870865e-04 -2.80344314e-04]",-5.339145663843145,0.004799969746776044,0.8284946093918817,-0.036930052969022915,"[-0.12140614 -0.0969605  -0.06437912 -0.01910085  0.02044371  0.05295273
  0.10426859  0.13372117  0.15657774  0.1745596   0.14556053  0.0979057
 -0.05533956 -0.23578291 -0.31780146 -0.25596677 -0.19526679 -0.16364656
 -0.09997341  0.28042776  0.85658895  1.22239212  1.19332026 -0.09095978
 -0.00339415]",[-0.00133849  0.0006914  -0.00018176  0.00070386  0.0015992  -0.00068953],"[-0.00061262 -0.00441435  0.00358886  0.00267981 -0.01025923  0.00272139
  0.00039561 -0.00343158  0.00207884  0.00572512 -0.00389483 -0.00411725
  0.00178137  0.00630941 -0.00089148 -0.00036866 -0.00115787 -0.0031622
  0.00460168  0.00280758]",0.08555731836302345,0.8284946093918817,"[-0.00061262 -0.00441435  0.00358886  0.00267981 -0.01025923  0.00272139
  0.00039561 -0.00343158  0.00207884  0.00572512 -0.00389483 -0.00411725
  0.00178137  0.00630941 -0.00089148 -0.00036866 -0.00115787 -0.0031622
  0.00460168  0.00280758]"
ABBV,"[-0.11643996  0.40362635  0.11193339  0.18173151  0.11824687  0.13168354
  0.10758704 -0.02692454  0.13489623  0.00457873 -0.01535607 -0.06951851
 -0.45318064  0.05122042  0.4434988  -0.16481615  0.13988564  0.02607151
  0.07327409  0.18801401 -0.12890706  0.01858548  0.05753014 -0.04947168
  0.01454615  0.24622826 -0.34579313 -0.40379315 -0.27319272 -0.02948294
  0.07182252  0.17917957 -0.34202325 -1.69666934  0.50651926  2.33243468
 -1.26281234 -3.13585576  1.19647748  2.70524766 -1.04646836 -1.12211911
  1.09459211 -0.06219943 -0.75055396  1.69978771  1.03574061 -1.5385158
 -0.9742309  -0.76931072  0.43492696  3.45365742  1.88249098  0.        ]",0.13538761909694755,"[ 4.40776819e-04  1.03178597e-03 -2.18594953e-04 -2.19644473e-04
  7.92981451e-05 -2.49406134e-04]",-4.931065765304166,0.007218805627583514,0.8267205508776514,-0.03640463706291629,"[-0.12217663 -0.09704751 -0.0642355  -0.02540717  0.01565387  0.05544294
  0.09939386  0.13553011  0.1655875   0.17365072  0.13602198  0.08895586
 -0.02577872 -0.23449414 -0.31746189 -0.26555575 -0.19385034 -0.15085624
 -0.11816324  0.27697052  0.85994552  1.26754959  1.18366012 -0.08563679
 -0.02283297]",[-0.00216831  0.00045785 -0.00046714  0.00022877  0.00145194 -0.00118608],"[ 0.00077035 -0.00325586  0.00270622 -0.00026913 -0.01278968  0.00597999
  0.0059004  -0.00340143 -0.00402573  0.00251798 -0.00056146 -0.00019304
  0.00274017  0.00369431 -0.00365269 -0.00184287 -0.00174541  0.00171431
  0.01045043  0.00529431]",0.08534331774914661,0.8267205508776514,"[ 0.00077035 -0.00325586  0.00270622 -0.00026913 -0.01278968  0.00597999
  0.0059004  -0.00340143 -0.00402573  0.00251798 -0.00056146 -0.00019304
  0.00274017  0.00369431 -0.00365269 -0.00184287 -0.00174541  0.00171431
  0.01045043  0.00529431]"
ABT,"[-0.05613922  0.49794125  0.12252187  0.1480366   0.12744352  0.23061318
  0.19762197 -0.06964654  0.21769781  0.07734457 -0.06006382 -0.02627226
 -0.42549423  0.17083023  0.17635201 -0.22961253  0.17314502  0.06543224
  0.18341758  0.25571612 -0.04089486  0.04672773  0.08900953 -0.21922055
  0.08198577  0.1503414  -0.37418219 -0.42575251 -0.33138183  0.02761509
  0.14784575  0.32112687 -0.13733495 -2.7155313   0.28048583  3.70024916
 -0.41848951 -4.10604416  0.21536525  2.78795506 -0.63957655 -0.97380894
  1.36463241 -0.0981123  -1.67234572  1.25452239  1.71678133 -0.92547747
 -1.02906911 -0.53864022 -0.13437556  1.98073907  1.65782163  0.        ]",0.12450831666807914,"[ 1.06932930e-03  1.02318152e-03  1.44157758e-05  4.90955490e-04
 -7.38501021e-05  1.16110550e-04]",-5.617638727834351,0.0036332099858706964,0.8279919377904467,-0.03542885504710051,"[-0.12198605 -0.09789648 -0.06414932 -0.02271633  0.01822059  0.05400992
  0.10257572  0.13825671  0.16339452  0.17540464  0.13733606  0.09475397
 -0.04265177 -0.23899018 -0.31514056 -0.26210986 -0.18303518 -0.14369579
 -0.10876755  0.28168559  0.8665508   1.22946224  1.19970258 -0.09503163
 -0.024018  ]",[-0.00223687  0.00030078 -0.00039195  0.00045849  0.00183784 -0.00065975],"[-0.00238793 -0.00395516  0.0062649   0.00216223 -0.01548684  0.00297486
  0.00622683 -0.00184441 -0.00365713  0.00331334 -0.00099364 -0.00260072
  0.0015892   0.00541914 -0.0020652  -0.00192282 -0.00072207 -0.00010656
  0.00667738  0.00470786]",0.08592926559769992,0.8279919377904467,"[-0.00238793 -0.00395516  0.0062649   0.00216223 -0.01548684  0.00297486
  0.00622683 -0.00184441 -0.00365713  0.00331334 -0.00099364 -0.00260072
  0.0015892   0.00541914 -0.0020652  -0.00192282 -0.00072207 -0.00010656
  0.00667738  0.00470786]"
ACN,"[ 8.92712943e-02 -1.31024703e-01  1.24252957e-02  7.10830560e-02
  2.03498456e-02  8.23257564e-02  1.29180937e-01  2.04427851e-01
  1.01426835e-01 -1.66953186e-01 -4.93986851e-02  3.78050440e-02
 -1.13052892e-03 -7.09214405e-02  3.80603384e-02  5.15682130e-02
  2.15883853e-02  5.11112662e-02 -7.57367058e-02 -1.26969899e-01
 -8.74436339e-02 -1.01770289e-01 -1.76647728e-01 -3.20443866e-02
  6.46732720e-02  5.69689857e-02  1.92801255e-01  2.57918590e-01
  9.54567960e-02  7.75421258e-02  3.92052765e-02 -9.31632056e-02
 -2.14971370e-01  9.01571684e-01  6.16691866e-02 -1.31111847e+00
 -3.82807048e-01  1.63800591e+00  5.86430370e-01 -1.53378336e+00
 -6.96806570e-01  1.38989925e+00  8.17049520e-01 -8.06448441e-01
 -5.09958018e-01  2.69437932e-01  2.23734126e-01  2.36546560e-01
 -6.02831974e-02 -7.06500839e-01  6.04467260e-01  1.22601499e+00
 -1.35099695e+00  0.00000000e+00]",0.13461074389288885,"[-2.02067270e-03  1.62604023e-03 -1.24829271e-03  1.44558179e-04
 -2.03807476e-04  7.21328392e-05]",-4.570631733296576,0.010351418316003641,0.8310577872787059,-0.04161719677953304,"[-0.12461123 -0.09911194 -0.0664532  -0.02693698  0.01676295  0.06320636
  0.09784565  0.12816521  0.16353223  0.17869601  0.15712549  0.0812844
 -0.05176391 -0.22109542 -0.32736026 -0.26160401 -0.20596608 -0.18584331
 -0.11110035  0.26089521  0.80977623  1.26740965  1.20107309 -0.10352987
  0.01341035]","[-3.03704982e-04  1.65267599e-03 -6.49130370e-05  2.61532070e-04
  6.69514021e-04 -9.01473622e-04]","[ 0.00874035 -0.00451601 -0.00699117  0.00241762  0.00051715  0.0041107
 -0.0055515  -0.0034414   0.00390904  0.00243325 -0.0013514   0.00139082
 -0.00201377  0.00339716  0.0003632  -0.00019656 -0.00244979  0.00152348
  0.00469144 -0.00426785]",0.08472949445389677,0.8310577872787059,"[ 0.00874035 -0.00451601 -0.00699117  0.00241762  0.00051715  0.0041107
 -0.0055515  -0.0034414   0.00390904  0.00243325 -0.0013514   0.00139082
 -0.00201377  0.00339716  0.0003632  -0.00019656 -0.00244979  0.00152348
  0.00469144 -0.00426785]"
ADBE,"[ 0.03565762  0.08445487  0.05605621  0.19053413  0.12939523  0.16108306
  0.21655864  0.18780905  0.20428486 -0.07540097 -0.06220227  0.00683552
 -0.21486376  0.08518559  0.03464773 -0.12399044  0.04686324  0.05959698
  0.010971    0.0026823  -0.06397326 -0.11276049 -0.11924779 -0.13660984
  0.06930777  0.10007389 -0.03613721  0.01006431  0.01621642  0.01840845
  0.16865076  0.09366339 -0.19023202 -0.22996211  0.10826343  0.2861133
 -0.38200305 -0.29440093  0.64499494 -0.08013202 -0.90175625  0.39913685
  1.45065093 -0.03547825 -1.58153317 -0.02948967  1.43419338  0.44622329
 -0.87624193 -0.91673335  0.37702971  1.06706288  0.00983767  0.        ]",0.14227035570522223,"[-3.19281846e-04  1.13453195e-04 -7.36026461e-05  1.84327450e-04
 -1.16742073e-05  2.32830319e-04]",-4.760539100972415,0.00856099291362982,0.8299273913721319,-0.039499323618947174,"[-1.23579518e-01 -9.65480180e-02 -6.38380660e-02 -2.47463825e-02
  1.90720946e-02  6.25081944e-02  1.01475951e-01  1.31741646e-01
  1.62904859e-01  1.77045771e-01  1.47158054e-01  8.97136234e-02
 -5.13584403e-02 -2.31662613e-01 -3.24436749e-01 -2.61022923e-01
 -1.97497699e-01 -1.71386898e-01 -1.08543008e-01  2.57773668e-01
  8.22104733e-01  1.24689816e+00  1.20156248e+00 -9.99069157e-02
 -7.04776478e-04]",[-0.00098541  0.00132563 -0.00026321  0.00060641  0.00120354 -0.00082502],"[ 0.00527328 -0.00447607 -0.00272181  0.00234626 -0.00485884  0.0042463
 -0.00161331 -0.00358028  0.00084639  0.00388751  0.00014105 -0.00193333
 -0.00264958  0.00597873  0.00127191 -0.00209627 -0.00258133  0.00091215
  0.00431146 -0.00010596]",0.0855289842999602,0.8299273913721319,"[ 0.00527328 -0.00447607 -0.00272181  0.00234626 -0.00485884  0.0042463
 -0.00161331 -0.00358028  0.00084639  0.00388751  0.00014105 -0.00193333
 -0.00264958  0.00597873  0.00127191 -0.00209627 -0.00258133  0.00091215
  0.00431146 -0.00010596]"
ADI,"[ 5.73734188e-02  3.26107828e-01  1.05715203e-01  1.03224393e-01
  1.86823814e-01  3.14404418e-01  2.73240992e-01 -3.08409312e-02
  2.12789159e-01  6.70275067e-02 -9.24331361e-02  2.14714872e-02
 -2.71005770e-01  1.87795015e-01 -3.84150225e-02 -1.77177507e-01
  1.10427495e-01  4.78504619e-02  1.21093207e-01  1.90711802e-01
 -6.30138866e-04 -4.29302318e-02  6.87732860e-02 -2.68513482e-01
  9.07542417e-02  1.12221239e-01 -1.42792882e-01 -1.67796343e-01
 -1.03712489e-01  7.35849512e-02  1.96881098e-01  3.16619891e-01
 -6.17757836e-02 -1.86524031e+00  1.57173539e-01  2.48684797e+00
 -1.34466582e-01 -2.55155108e+00  2.64191690e-02  1.31250745e+00
 -6.21745138e-01 -1.90857261e-01  1.39230293e+00 -3.24507757e-01
 -2.14116926e+00  8.02642283e-01  2.19318827e+00 -4.61685784e-01
 -1.44765674e+00 -1.03601342e-01 -3.75709550e-03  1.72314172e-01
  1.23467017e+00  0.00000000e+00]",0.12319481148835071,"[ 1.98105310e-05  1.13160010e-03 -4.13780931e-04  6.44346950e-05
 -7.45129196e-05 -1.51138965e-04]",-5.248478425435342,0.005255508967286109,0.8303852493368773,-0.037076529000580866,"[-0.12248034 -0.09876488 -0.06262944 -0.02048282  0.02052628  0.05536588
  0.10244323  0.13762187  0.16164193  0.1775761   0.14462269  0.09476978
 -0.05666944 -0.23543259 -0.31982336 -0.26298576 -0.18865352 -0.15175257
 -0.10315155  0.26862923  0.86106469  1.21776568  1.20290761 -0.09936437
 -0.0074648 ]",[-0.00149889  0.00098118 -0.00024609  0.00064813  0.0018011  -0.00049266],"[ 2.27088565e-04 -4.36544172e-03  3.02553524e-03  3.03474322e-03
 -1.11485807e-02  2.36005247e-03  2.25461250e-03 -2.11968315e-03
 -1.10423958e-03  3.61255853e-03 -1.26578499e-03 -3.57830006e-03
  2.13375201e-05  7.37131244e-03 -9.84820047e-04 -3.42883864e-03
  1.56020777e-04 -1.64044303e-04  1.73154640e-03  3.44057455e-03]",0.08605110783259451,0.8303852493368773,"[ 2.27088565e-04 -4.36544172e-03  3.02553524e-03  3.03474322e-03
 -1.11485807e-02  2.36005247e-03  2.25461250e-03 -2.11968315e-03
 -1.10423958e-03  3.61255853e-03 -1.26578499e-03 -3.57830006e-03
  2.13375201e-05  7.37131244e-03 -9.84820047e-04 -3.42883864e-03
  1.56020777e-04 -1.64044303e-04  1.73154640e-03  3.44057455e-03]"
ADM,"[ 0.13695136  0.27899449 -0.01071961  0.06657701  0.12878456  0.30877249
  0.13117999  0.21000374  0.18601712  0.04367855 -0.15531265  0.10049186
 -0.34107024  0.27120791 -0.03092239 -0.1214538   0.06857852 -0.03510199
  0.10107551  0.07045517  0.20408574 -0.03117184  0.00697268 -0.41136509
  0.07299878  0.08602867 -0.05944834 -0.00580429 -0.07581254  0.19236021
  0.3006451   0.38058445  0.03381057 -1.75837291 -0.21077479  2.25938601
  1.029754   -1.96050552 -1.45918859  0.24354576  0.81827796  1.08767481
  0.53294651 -1.07442466 -1.84946634  0.78541097  2.62823148  0.38104342
 -1.93116349 -1.43984608  0.09193629  1.21854985  1.89931894  0.        ]",0.13574635004538016,"[ 1.98651108e-03  5.02164174e-04  5.04097857e-04  5.14932930e-04
 -1.50384911e-05  1.05717077e-04]",-5.140959939809094,0.005852069381812041,0.8320630785523163,-0.03750006393439599,"[-0.12509785 -0.0995656  -0.06403707 -0.02064118  0.01641735  0.06343425
  0.10130625  0.13584638  0.15912393  0.18045488  0.14107188  0.09975024
 -0.05554771 -0.23258596 -0.32225041 -0.26927342 -0.18976259 -0.16380202
 -0.07597692  0.26976334  0.8467715   1.18149064  1.19906957 -0.10265393
 -0.00297617]","[-1.08314369e-03  1.03178161e-03  8.89749127e-05  9.49778797e-04
  1.96822359e-03 -2.05939241e-04]","[ 0.00061394 -0.00539809  0.00240814  0.00632278 -0.00949302 -0.00203685
 -0.0005524   0.0018201   0.00261895  0.00169518 -0.00299973 -0.00222608
 -0.0002321   0.00909398  0.00094602 -0.00512799 -0.00376371 -0.00038363
  0.00439953  0.00545749]",0.08689510507225241,0.8320630785523163,"[ 0.00061394 -0.00539809  0.00240814  0.00632278 -0.00949302 -0.00203685
 -0.0005524   0.0018201   0.00261895  0.00169518 -0.00299973 -0.00222608
 -0.0002321   0.00909398  0.00094602 -0.00512799 -0.00376371 -0.00038363
  0.00439953  0.00545749]"
