,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.0044772 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.       ]",0.16558139073780462,"[ 1.70428505e-04 -3.90639396e-04  1.05178542e-05  7.57948937e-05
 -1.28342874e-04 -8.78815918e-05]","[ 0.00851421 -0.00576528 -0.00257049  0.00344275 -0.00515961  0.00163908
 -0.00309421  0.00160724 -0.00094862  0.00044389  0.00109364  0.00318819
 -0.00021936  0.00521295  0.00345288  0.00029855  0.00011119 -0.00195144
  0.00259372  0.00119698]",-5.580284623396756,0.003771491911173933,0.8143678202767847,-0.03917852288839262,"[-1.43428506e-01 -1.19306801e-01 -8.42088311e-02 -4.13469331e-02
  1.12257929e-03  4.50368001e-02  8.84412292e-02  1.33624459e-01
  1.72894915e-01  2.00023760e-01  2.05334114e-01  1.73228152e-01
  8.11323867e-02 -8.85372768e-02 -2.81194361e-01 -3.69786820e-01
 -2.89769919e-01 -2.27183371e-01 -2.13278151e-01 -1.40493278e-01
  4.03087840e-01  1.14442423e+00  1.80522299e+00  1.49502198e+00
  8.65620810e-04]",[-0.00039896  0.00173405  0.00082967 -0.00063748 -0.0001299  -0.00107575],"[ 1.01923457e-02 -2.87578849e-03 -1.67670139e-03  5.28107149e-03
 -7.08837489e-04  3.29025174e-03  1.69214622e-04  8.80373027e-04
  1.25359693e-03 -1.96103561e-03  1.94769047e-03  1.35125477e-03
 -1.12436176e-03  2.78158637e-03 -6.02688386e-05  1.05787007e-05
 -5.37761920e-04  1.61839931e-04  1.38904768e-03 -8.92356639e-04]",0.08508936036703396,0.8143678202767847
AAL,"[0.00429354 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16305183766173617,"[-1.54288909e-04 -1.65219808e-04 -9.82548867e-05 -8.89133802e-05
 -1.75181681e-05 -4.81211968e-05]","[ 0.00550165 -0.00263908 -0.00197643  0.00975885  0.00090188  0.00589559
  0.00228627  0.00107452  0.00277756  0.00101955  0.00824087  0.00192612
  0.00412177 -0.00307699 -0.00086081 -0.00486675  0.00180496  0.00106554
  0.01170497 -0.00793156]",-5.0356716165755975,0.006501829913317117,0.8143640898881969,-0.03917847906601273,"[-1.43428512e-01 -1.19306591e-01 -8.42091399e-02 -4.13468389e-02
  1.12245748e-03  4.50365968e-02  8.84410572e-02  1.33624677e-01
  1.72895336e-01  2.00023805e-01  2.05334118e-01  1.73228119e-01
  8.11321390e-02 -8.85373978e-02 -2.81193984e-01 -3.69786222e-01
 -2.89768614e-01 -2.27182392e-01 -2.13278378e-01 -1.40494913e-01
  4.03088178e-01  1.14442538e+00  1.80522111e+00  1.49502122e+00
  8.65948828e-04]",[-0.00039898  0.00173404  0.00082966 -0.00063745 -0.00012989 -0.00107576],"[ 1.01923232e-02 -2.87577463e-03 -1.67670167e-03  5.28108432e-03
 -7.08823127e-04  3.29026276e-03  1.69215117e-04  8.80391303e-04
  1.25361946e-03 -1.96105708e-03  1.94769166e-03  1.35126968e-03
 -1.12434419e-03  2.78159140e-03 -6.02917100e-05  1.05912559e-05
 -5.37769317e-04  1.61821857e-04  1.38903438e-03 -8.92368081e-04]",0.08508936335853068,0.8143640898881969
AAP,"[0.00415838 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.15772863784442628,"[-8.38337126e-04 -1.09192080e-03 -2.47127577e-04 -4.03302497e-04
 -6.44901573e-05  9.79961159e-05]","[ 0.00607716 -0.00106263  0.00137075  0.00974353  0.0034823   0.001336
  0.0004545  -0.00441141 -0.00146548 -0.00287944  0.00244722  0.00053752
 -0.00178176 -0.00022684 -0.00228898 -0.00117655 -0.00164556  0.00015214
 -0.00021073 -0.00243368]",-4.963421046349131,0.006988977272773533,0.8143613444340648,-0.0391784468140553,"[-1.43428516e-01 -1.19306438e-01 -8.42093671e-02 -4.13467695e-02
  1.12236783e-03  4.50364473e-02  8.84409307e-02  1.33624837e-01
  1.72895646e-01  2.00023839e-01  2.05334120e-01  1.73228094e-01
  8.11319567e-02 -8.85374869e-02 -2.81193708e-01 -3.69785782e-01
 -2.89767654e-01 -2.27181671e-01 -2.13278544e-01 -1.40496117e-01
  4.03088428e-01  1.14442622e+00  1.80521973e+00  1.49502067e+00
  8.66190240e-04]",[-0.00039898  0.00173404  0.00082965 -0.00063744 -0.00012988 -0.00107577],"[ 1.01923067e-02 -2.87576443e-03 -1.67670188e-03  5.28109377e-03
 -7.08812556e-04  3.29027088e-03  1.69215481e-04  8.80404754e-04
  1.25363605e-03 -1.96107288e-03  1.94769254e-03  1.35128065e-03
 -1.12433127e-03  2.78159511e-03 -6.03085426e-05  1.06004961e-05
 -5.37774760e-04  1.61808556e-04  1.38902458e-03 -8.92376503e-04]",0.08508936556018255,0.8143613444340648
AAPL,"[0.00455212 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1678325828252042,"[-7.47239808e-05  1.69467420e-04  1.16720926e-04  1.25263780e-04
  5.06850886e-05  2.29653694e-07]","[ 8.80853263e-03 -5.87469118e-03 -1.77302284e-03  3.35445438e-03
 -3.61126662e-03 -1.28611824e-04 -4.08849824e-03 -2.01463930e-03
 -4.29728936e-03 -5.24071997e-04  1.72970819e-04  3.81325774e-03
 -1.65609319e-03  3.71458101e-03 -2.37944823e-04  1.20613276e-03
  4.07726768e-05  9.24801973e-04  1.45166113e-03 -1.31272381e-03]",-5.752753456390493,0.0031740292024814314,0.8143693420395881,-0.03917854076515428,"[-1.43428504e-01 -1.19306886e-01 -8.42087051e-02 -4.13469716e-02
  1.12262899e-03  4.50368830e-02  8.84412993e-02  1.33624370e-01
  1.72894743e-01  2.00023741e-01  2.05334113e-01  1.73228165e-01
  8.11324877e-02 -8.85372274e-02 -2.81194514e-01 -3.69787064e-01
 -2.89770452e-01 -2.27183770e-01 -2.13278059e-01 -1.40492611e-01
  4.03087702e-01  1.14442377e+00  1.80522375e+00  1.49502229e+00
  8.65486999e-04]",[-0.00039896  0.00173406  0.00082968 -0.00063749 -0.00012991 -0.00107574],"[ 1.01923548e-02 -2.87579415e-03 -1.67670127e-03  5.28106625e-03
 -7.08843349e-04  3.29024724e-03  1.69214420e-04  8.80365572e-04
  1.25358774e-03 -1.96102685e-03  1.94768998e-03  1.35124869e-03
 -1.12436893e-03  2.78158431e-03 -6.02595085e-05  1.05735790e-05
 -5.37758903e-04  1.61847304e-04  1.38905311e-03 -8.92351971e-04]",0.08508935914669234,0.8143693420395881
ABBV,"[0.00425728 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1615100507470503,"[-2.48830937e-04 -1.16006467e-04  1.56156514e-04 -4.48312316e-04
  2.56012922e-04 -9.84313588e-05]","[ 0.00632173 -0.00404086 -0.00303065  0.00848767  0.00046601  0.00646376
  0.00384513 -0.00044717  0.00060863 -0.00330751  0.00311424  0.00259542
  0.00345823  0.00105683  0.00153124 -0.00530217 -0.00128107 -0.00198805
  0.00690424 -0.00428159]",-5.001505425512482,0.00672781115306613,0.8143633532288466,-0.03917847041217811,"[-1.43428513e-01 -1.19306550e-01 -8.42092008e-02 -4.13468203e-02
  1.12243343e-03  4.50365567e-02  8.84410233e-02  1.33624720e-01
  1.72895420e-01  2.00023815e-01  2.05334118e-01  1.73228112e-01
  8.11320901e-02 -8.85374217e-02 -2.81193910e-01 -3.69786104e-01
 -2.89768356e-01 -2.27182198e-01 -2.13278423e-01 -1.40495236e-01
  4.03088245e-01  1.14442560e+00  1.80522074e+00  1.49502107e+00
  8.66013604e-04]",[-0.00039898  0.00173404  0.00082966 -0.00063745 -0.00012989 -0.00107577],"[ 1.01923188e-02 -2.87577190e-03 -1.67670173e-03  5.28108686e-03
 -7.08820290e-04  3.29026494e-03  1.69215215e-04  8.80394912e-04
  1.25362391e-03 -1.96106132e-03  1.94769190e-03  1.35127262e-03
 -1.12434073e-03  2.78159239e-03 -6.02962265e-05  1.05937352e-05
 -5.37770777e-04  1.61818288e-04  1.38903175e-03 -8.92370341e-04]",0.08508936394927719,0.8143633532288466
ABT,"[0.00440117 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16412938223709428,"[ 1.00092683e-03  2.08324932e-04  5.15346232e-04  1.44132709e-04
  1.54761853e-04 -3.80087191e-05]","[ 8.97582887e-03 -6.94221982e-03 -3.14729747e-03  2.86204460e-03
 -4.41292502e-03  1.21396486e-03 -3.41977241e-03 -1.31150144e-03
 -4.25337256e-03 -2.28498926e-04  1.13518776e-03  4.66289209e-03
 -1.35952795e-06  2.37823889e-03 -1.61242075e-03 -7.97895500e-04
 -1.38126280e-03  1.95733917e-03  1.69052955e-03 -2.45500841e-03]",-5.389769298855473,0.004563025909615281,0.8143662759314241,-0.03917850474634455,"[-1.43428508e-01 -1.19306714e-01 -8.42089589e-02 -4.13468941e-02
  1.12252886e-03  4.50367159e-02  8.84411580e-02  1.33624549e-01
  1.72895089e-01  2.00023779e-01  2.05334116e-01  1.73228138e-01
  8.11322842e-02 -8.85373269e-02 -2.81194205e-01 -3.69786572e-01
 -2.89769379e-01 -2.27182965e-01 -2.13278245e-01 -1.40493955e-01
  4.03087980e-01  1.14442471e+00  1.80522221e+00  1.49502167e+00
  8.65756607e-04]",[-0.00039897  0.00173405  0.00082967 -0.00063747 -0.0001299  -0.00107575],"[ 1.01923364e-02 -2.87578276e-03 -1.67670151e-03  5.28107680e-03
 -7.08831543e-04  3.29025630e-03  1.69214827e-04  8.80380593e-04
  1.25360626e-03 -1.96104450e-03  1.94769096e-03  1.35126094e-03
 -1.12435449e-03  2.78158845e-03 -6.02783071e-05  1.05838985e-05
 -5.37764982e-04  1.61832449e-04  1.38904218e-03 -8.92361376e-04]",0.08508936160548512,0.8143662759314241
ACN,"[0.00443098 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1642445407481854,"[ 6.62870495e-04 -7.70755810e-05  3.00863431e-04  3.54267112e-04
  3.42577278e-05  4.08691870e-04]","[ 0.00801703 -0.00621045 -0.00402186  0.00449982 -0.00443087  0.00436728
 -0.00046513  0.00207463  0.00021594 -0.00056343  0.00178809  0.0022743
 -0.00113081  0.00381655  0.00172948  0.00202391  0.00249204 -0.00028294
  0.00022569 -0.00138279]",-5.484495762086333,0.004150627455439764,0.814366881577847,-0.03917851186111745,"[-1.43428507e-01 -1.19306748e-01 -8.42089088e-02 -4.13469094e-02
  1.12254864e-03  4.50367489e-02  8.84411859e-02  1.33624514e-01
  1.72895021e-01  2.00023771e-01  2.05334115e-01  1.73228143e-01
  8.11323244e-02 -8.85373072e-02 -2.81194266e-01 -3.69786669e-01
 -2.89769591e-01 -2.27183124e-01 -2.13278208e-01 -1.40493689e-01
  4.03087925e-01  1.14442452e+00  1.80522252e+00  1.49502179e+00
  8.65703351e-04]",[-0.00039897  0.00173405  0.00082967 -0.00063747 -0.0001299  -0.00107575],"[ 1.01923400e-02 -2.87578501e-03 -1.67670146e-03  5.28107472e-03
 -7.08833875e-04  3.29025451e-03  1.69214747e-04  8.80377626e-04
  1.25360260e-03 -1.96104101e-03  1.94769077e-03  1.35125852e-03
 -1.12435734e-03  2.78158763e-03 -6.02745938e-05  1.05818601e-05
 -5.37763782e-04  1.61835383e-04  1.38904434e-03 -8.92359518e-04]",0.08508936111980132,0.814366881577847
ADBE,"[0.00435162 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1641678739616671,[ 0.00083239 -0.000754    0.00073087 -0.00020216  0.00029584  0.00017763],"[ 0.00757611 -0.00328633  0.00012689  0.00571987 -0.00207075 -0.00076239
 -0.00527731 -0.00106572 -0.0029363   0.0031272   0.00331456  0.00479921
  0.00058824  0.00404023  0.00333121  0.00144381  0.00252514 -0.00185051
  0.00148827  0.00140761]",-5.187673905732379,0.005584982913995333,0.8143652694398457,-0.03917849292268188,"[-1.43428510e-01 -1.19306658e-01 -8.42090422e-02 -4.13468687e-02
  1.12249600e-03  4.50366611e-02  8.84411116e-02  1.33624608e-01
  1.72895203e-01  2.00023791e-01  2.05334117e-01  1.73228129e-01
  8.11322173e-02 -8.85373596e-02 -2.81194103e-01 -3.69786411e-01
 -2.89769027e-01 -2.27182701e-01 -2.13278306e-01 -1.40494396e-01
  4.03088071e-01  1.14442501e+00  1.80522171e+00  1.49502146e+00
  8.65845109e-04]",[-0.00039897  0.00173405  0.00082967 -0.00063746 -0.00012989 -0.00107576],"[ 1.01923303e-02 -2.87577902e-03 -1.67670158e-03  5.28108027e-03
 -7.08827668e-04  3.29025928e-03  1.69214961e-04  8.80385524e-04
  1.25361234e-03 -1.96105029e-03  1.94769129e-03  1.35126497e-03
 -1.12434975e-03  2.78158981e-03 -6.02844780e-05  1.05872860e-05
 -5.37766978e-04  1.61827572e-04  1.38903858e-03 -8.92364463e-04]",0.08508936241261719,0.8143652694398457
ADI,"[0.00452182 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1652570736608922,"[-2.65972223e-04 -5.39383414e-04 -1.44462231e-05 -1.07119810e-04
 -5.39548429e-05 -9.03085996e-05]","[ 8.44676884e-03 -6.71822184e-03 -4.17923253e-03  3.51376209e-03
 -5.54168611e-03  3.82300157e-03 -1.31459584e-03  2.54168587e-03
 -2.23080241e-05 -1.92518200e-04  1.43479053e-03  2.75562209e-03
 -5.75570255e-04  4.54442298e-03  2.50552352e-03  1.31612204e-03
  1.59586376e-03 -4.70849298e-04  2.22660597e-03  3.87785963e-04]",-5.7856172529519165,0.003071413951315683,0.8143687265469414,-0.039178533534713816,"[-1.43428505e-01 -1.19306851e-01 -8.42087561e-02 -4.13469560e-02
  1.12260889e-03  4.50368495e-02  8.84412710e-02  1.33624406e-01
  1.72894813e-01  2.00023749e-01  2.05334114e-01  1.73228160e-01
  8.11324469e-02 -8.85372474e-02 -2.81194452e-01 -3.69786965e-01
 -2.89770236e-01 -2.27183609e-01 -2.13278096e-01 -1.40492881e-01
  4.03087757e-01  1.14442395e+00  1.80522344e+00  1.49502217e+00
  8.65541120e-04]",[-0.00039896  0.00173406  0.00082968 -0.00063749 -0.0001299  -0.00107574],"[ 1.01923511e-02 -2.87579186e-03 -1.67670132e-03  5.28106837e-03
 -7.08840979e-04  3.29024906e-03  1.69214502e-04  8.80368587e-04
  1.25359146e-03 -1.96103039e-03  1.94769018e-03  1.35125115e-03
 -1.12436603e-03  2.78158514e-03 -6.02632821e-05  1.05756506e-05
 -5.37760124e-04  1.61844322e-04  1.38905092e-03 -8.92353859e-04]",0.08508935964027209,0.8143687265469414
ADM,"[0.00450767 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17171695281963398,[-0.00048069 -0.0008617   0.00044047 -0.0001261   0.00025187  0.00035945],"[ 0.00671827 -0.00377067 -0.00206374  0.00787841  0.0003741   0.00469386
  0.00259085 -0.00142961 -0.00032961 -0.00424204  0.00050958  0.00139945
 -0.0007067   0.00345693  0.00201604 -0.00012515  0.00168749 -0.00171126
  0.00336961 -0.00423848]",-5.227837056204805,0.005365117208797211,0.81436843915327,-0.0391785301585844,"[-1.43428505e-01 -1.19306835e-01 -8.42087799e-02 -4.13469487e-02
  1.12259950e-03  4.50368338e-02  8.84412577e-02  1.33624423e-01
  1.72894845e-01  2.00023752e-01  2.05334114e-01  1.73228157e-01
  8.11324278e-02 -8.85372567e-02 -2.81194423e-01 -3.69786919e-01
 -2.89770136e-01 -2.27183533e-01 -2.13278114e-01 -1.40493007e-01
  4.03087784e-01  1.14442404e+00  1.80522330e+00  1.49502211e+00
  8.65566391e-04]",[-0.00039896  0.00173406  0.00082968 -0.00063748 -0.0001299  -0.00107575],"[ 1.01923494e-02 -2.87579079e-03 -1.67670134e-03  5.28106936e-03
 -7.08839872e-04  3.29024991e-03  1.69214540e-04  8.80369995e-04
  1.25359319e-03 -1.96103205e-03  1.94769027e-03  1.35125230e-03
 -1.12436467e-03  2.78158553e-03 -6.02650442e-05  1.05766178e-05
 -5.37760693e-04  1.61842929e-04  1.38904989e-03 -8.92354740e-04]",0.08508935987074064,0.81436843915327
