,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.00500886 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1741367077317709,"[ 4.96970363e-04 -5.94301346e-04  6.66565861e-05  1.50319590e-04
 -2.40215267e-04 -2.80288902e-04]","[ 0.00745158 -0.00533965 -0.00304973  0.00507282 -0.00315972  0.0026541
 -0.0025777   0.00056446 -0.00065424  0.0017698   0.00363391  0.00224303
 -0.00083009  0.00382007  0.00490911  0.00126177  0.00126997 -0.0040411
  0.0035263   0.00277863]",-5.85247779100525,0.0028727722030571366,0.8124744476225803,-0.037778416678862274,"[-0.13904447 -0.11419553 -0.08173376 -0.0389474   0.00499491  0.04841909
  0.09068445  0.13356264  0.17405197  0.19879712  0.20168474  0.17289201
  0.07413627 -0.08842689 -0.28199494 -0.35991322 -0.28171896 -0.22474981
 -0.21085029 -0.13907202  0.41594207  1.16140715  1.81975729  1.48018721
  0.00688117]",[-0.00145397 -0.00012788 -0.0008654   0.00020395  0.00017822 -0.00105885],"[ 1.08024659e-02 -2.79310177e-03 -2.01461671e-03  5.33560528e-03
 -1.95072432e-03  2.40802180e-03 -1.12979358e-04 -6.50165222e-04
  5.32520949e-04 -4.92421837e-04  1.71273566e-03  9.34781848e-04
  5.09915331e-05  1.86415288e-03 -3.11510834e-05  4.18678643e-04
  1.04440804e-03  1.54018571e-03  1.63986555e-03 -5.10991263e-04]",0.08618613515294236,0.8124744476225803
AAL,"[0.00465322 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16273147822609663,"[ 2.83702455e-04 -5.85207945e-04  1.83260426e-04 -2.05448552e-04
  8.51516599e-05 -8.21682180e-06]","[ 0.00747146 -0.00233672  0.00043462  0.00481761 -0.00402935 -0.00038137
 -0.00399254  0.00228663  0.00134851  0.00160671  0.00301697  0.00102019
 -0.00057362  0.0035417   0.00260811 -0.00065346 -0.00045487  0.00074885
  0.01069027  0.00061119]",-5.4463092231297745,0.004312190690539665,0.8124667626181575,-0.03777834799720579,"[-0.13904469 -0.11419547 -0.08173368 -0.03894741  0.00499507  0.0484194
  0.0906848   0.13356243  0.17405194  0.19879729  0.20168604  0.17289184
  0.07413595 -0.08842686 -0.2819961  -0.35991279 -0.28171893 -0.22475109
 -0.2108502  -0.13907005  0.41594024  1.1614072   1.81975782  1.48018699
  0.00688221]",[-0.00145401 -0.00012782 -0.00086542  0.00020391  0.00017824 -0.00105881],"[ 1.08024687e-02 -2.79313354e-03 -2.01463950e-03  5.33569201e-03
 -1.95071037e-03  2.40803689e-03 -1.13006806e-04 -6.50107486e-04
  5.32455703e-04 -4.92399143e-04  1.71271742e-03  9.34746996e-04
  5.09394925e-05  1.86417236e-03 -3.11453209e-05  4.18676035e-04
  1.04442110e-03  1.54022066e-03  1.63987837e-03 -5.11019578e-04]",0.08618611993100947,0.8124667626181575
AAP,"[0.00471815 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16662975329235755,"[-8.45372444e-04 -9.30754648e-04 -6.48607776e-05 -2.63154242e-05
  2.79053662e-05 -9.48235705e-05]","[ 6.08698369e-03  1.12976732e-03  3.47119395e-03  8.83009742e-03
  1.33917242e-03 -1.12807797e-03 -1.78589384e-03 -1.51453325e-03
  1.30361701e-03 -1.49188814e-03  1.84190927e-03 -1.23793405e-03
 -3.02055896e-03  2.24315448e-03  1.15153898e-03 -1.09916371e-03
 -2.56632560e-03 -1.87329386e-03  1.83779220e-03  9.52652806e-05]",-5.403333613733564,0.0045015494748277055,0.8124681657647443,-0.03777836053726778,"[-0.13904465 -0.11419548 -0.08173369 -0.0389474   0.00499504  0.04841934
  0.09068474  0.13356246  0.17405195  0.19879726  0.20168581  0.17289187
  0.07413601 -0.08842686 -0.28199589 -0.35991287 -0.28171893 -0.22475085
 -0.21085022 -0.13907041  0.41594057  1.16140719  1.81975772  1.48018703
  0.00688202]",[-0.001454   -0.00012783 -0.00086542  0.00020392  0.00017824 -0.00105882],"[ 1.08024682e-02 -2.79312774e-03 -2.01463534e-03  5.33567617e-03
 -1.95071292e-03  2.40803413e-03 -1.13001794e-04 -6.50118028e-04
  5.32467616e-04 -4.92403287e-04  1.71272075e-03  9.34753359e-04
  5.09489942e-05  1.86416880e-03 -3.11463730e-05  4.18676511e-04
  1.04441871e-03  1.54021428e-03  1.63987603e-03 -5.11014408e-04]",0.08618612271026657,0.8124681657647443
AAPL,"[0.00487455 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16960572819218825,[-0.00023901 -0.00101659  0.00032191 -0.00035476  0.00011297  0.00014378],"[ 7.64763087e-03 -3.00372017e-03 -1.93234710e-04  4.66196022e-03
 -3.41799733e-03  1.07151448e-04 -3.31538732e-03  1.83908203e-04
 -1.68808452e-03  1.80462557e-04  9.80109849e-04  3.46236198e-03
  6.80692458e-04  5.31200266e-03  3.23017556e-03  3.61220786e-05
  8.93163928e-04  2.22941311e-04  5.69915643e-03 -4.08166849e-04]",-5.734234865579078,0.003233355373625043,0.8124715453090174,-0.03777839074059442,"[-0.13904455 -0.11419551 -0.08173373 -0.0389474   0.00499497  0.04841921
  0.09068458  0.13356256  0.17405196  0.19879719  0.20168524  0.17289195
  0.07413615 -0.08842688 -0.28199538 -0.35991305 -0.28171895 -0.22475029
 -0.21085026 -0.13907128  0.41594137  1.16140717  1.81975749  1.48018712
  0.00688156]",[-0.00145398 -0.00012786 -0.00086541  0.00020394  0.00017823 -0.00105883],"[ 1.08024670e-02 -2.79311377e-03 -2.01462532e-03  5.33563803e-03
 -1.95071905e-03  2.40802750e-03 -1.12989724e-04 -6.50143418e-04
  5.32496308e-04 -4.92413266e-04  1.71272877e-03  9.34768686e-04
  5.09718794e-05  1.86416024e-03 -3.11489071e-05  4.18677658e-04
  1.04441297e-03  1.54019891e-03  1.63987039e-03 -5.11001957e-04]",0.0861861294042375,0.8124715453090174
ABBV,"[0.00485878 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.16863931349342476,"[ 2.25184614e-04 -1.59210435e-04 -3.27535943e-05 -2.31017259e-04
  1.27574473e-06 -2.32507309e-04]","[ 0.00724974 -0.00578219 -0.00386068  0.00572478 -0.0020444   0.00404695
 -0.00080432 -0.00084079 -0.0019931   0.00015727  0.00283774  0.00335291
  0.00045096  0.00344692  0.00320343  0.00034181  0.00091425 -0.0012939
  0.00662419  0.00227521]",-5.701876532294519,0.0033396925327476706,0.8124712045315968,-0.03777838769503238,"[-0.13904456 -0.1141955  -0.08173373 -0.0389474   0.00499498  0.04841922
  0.0906846   0.13356255  0.17405196  0.1987972   0.20168529  0.17289194
  0.07413613 -0.08842687 -0.28199543 -0.35991304 -0.28171895 -0.22475035
 -0.21085025 -0.13907119  0.41594129  1.16140717  1.81975751  1.48018711
  0.0068816 ]",[-0.00145399 -0.00012785 -0.00086541  0.00020393  0.00017823 -0.00105883],"[ 1.08024671e-02 -2.79311518e-03 -2.01462633e-03  5.33564188e-03
 -1.95071843e-03  2.40802817e-03 -1.12990941e-04 -6.50140857e-04
  5.32493415e-04 -4.92412260e-04  1.71272796e-03  9.34767140e-04
  5.09695718e-05  1.86416110e-03 -3.11486516e-05  4.18677543e-04
  1.04441355e-03  1.54020046e-03  1.63987096e-03 -5.11003212e-04]",0.08618612872924881,0.8124712045315968
ABT,"[0.00489494 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17059407126487844,"[ 7.26785829e-04 -5.99124254e-04  2.37958159e-04  1.13329472e-05
 -3.61842004e-05 -1.29064072e-04]","[ 7.44865445e-03 -3.90408453e-03 -1.39237677e-03  5.13676278e-03
 -3.12100373e-03  1.19369687e-03 -3.28210044e-03  5.92934703e-04
 -7.41818543e-04  1.72044734e-03  3.34719255e-03  2.76588810e-03
  7.37660939e-04  3.68647915e-03  3.76975108e-03 -7.10147498e-04
  8.05815940e-05 -1.68125631e-03  6.80625536e-03  8.70485378e-04]",-5.7082122355177765,0.0033186001201924273,0.8124719860088314,-0.03777839467917293,"[-0.13904454 -0.11419551 -0.08173374 -0.0389474   0.00499496  0.04841919
  0.09068456  0.13356257  0.17405196  0.19879718  0.20168516  0.17289196
  0.07413617 -0.08842688 -0.28199532 -0.35991308 -0.28171895 -0.22475022
 -0.21085026 -0.13907139  0.41594148  1.16140716  1.81975746  1.48018714
  0.0068815 ]",[-0.00145398 -0.00012786 -0.00086541  0.00020394  0.00017822 -0.00105884],"[ 1.08024668e-02 -2.79311195e-03 -2.01462401e-03  5.33563306e-03
 -1.95071985e-03  2.40802663e-03 -1.12988150e-04 -6.50146728e-04
  5.32500050e-04 -4.92414568e-04  1.71272982e-03  9.34770685e-04
  5.09748637e-05  1.86415912e-03 -3.11492376e-05  4.18677808e-04
  1.04441222e-03  1.54019691e-03  1.63986965e-03 -5.11000333e-04]",0.08618613027714565,0.8124719860088314
ACN,"[0.00495852 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17085884925156927,"[ 7.61211995e-04 -2.61294088e-04  4.01088625e-04  2.23327733e-04
  1.55792941e-05  2.56811664e-04]","[ 0.00740797 -0.00486091 -0.00308499  0.00535098 -0.00297132  0.0039901
  0.00019566  0.0010594   0.00062378 -0.00124349  0.0023275   0.00095572
 -0.00133143  0.00226706  0.00103763  0.00021484  0.00085041 -0.00129532
  0.00022825 -0.00316537]",-5.912802628250699,0.0027045962775921165,0.8124733599985727,-0.037778406958657265,"[-0.1390445  -0.11419552 -0.08173375 -0.0389474   0.00499493  0.04841913
  0.0906845   0.13356261  0.17405196  0.19879715  0.20168493  0.17289199
  0.07413622 -0.08842688 -0.28199511 -0.35991316 -0.28171896 -0.22474999
 -0.21085028 -0.13907174  0.41594181  1.16140716  1.81975736  1.48018718
  0.00688131]",[-0.00145398 -0.00012787 -0.00086541  0.00020394  0.00017822 -0.00105884],"[ 1.08024663e-02 -2.79310627e-03 -2.01461993e-03  5.33561755e-03
 -1.95072235e-03  2.40802394e-03 -1.12983242e-04 -6.50157051e-04
  5.32511715e-04 -4.92418625e-04  1.71273308e-03  9.34776916e-04
  5.09841680e-05  1.86415564e-03 -3.11502678e-05  4.18678274e-04
  1.04440989e-03  1.54019066e-03  1.63986736e-03 -5.10995270e-04]",0.08618613299865087,0.8124733599985727
ADBE,"[0.0047705 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.       ]",0.16901045646826038,"[ 8.57829017e-04 -1.12861618e-03  6.32857186e-04 -1.71148390e-04
  1.20830493e-04  4.86046435e-05]","[ 0.00754952 -0.00210249  0.00095191  0.00501857 -0.00283122 -0.0012001
 -0.00459158 -0.0005083  -0.00226533  0.00140788  0.00217831  0.00379123
  0.00085178  0.00419459  0.00259978  0.00011243  0.00094022 -0.00063329
  0.00179872  0.00020647]",-5.366862432374065,0.004668756894390617,0.812469297069673,-0.03777837064785357,"[-0.13904462 -0.11419549 -0.08173371 -0.0389474   0.00499502  0.0484193
  0.09068468  0.13356249  0.17405195  0.19879724  0.20168561  0.1728919
  0.07413606 -0.08842687 -0.28199572 -0.35991293 -0.28171894 -0.22475067
 -0.21085023 -0.1390707   0.41594084  1.16140718  1.81975764  1.48018706
  0.00688186]",[-0.00145399 -0.00012784 -0.00086541  0.00020392  0.00017823 -0.00105882],"[ 1.08024678e-02 -2.79312306e-03 -2.01463198e-03  5.33566341e-03
 -1.95071497e-03  2.40803191e-03 -1.12997754e-04 -6.50126527e-04
  5.32477221e-04 -4.92406627e-04  1.71272344e-03  9.34758490e-04
  5.09566550e-05  1.86416594e-03 -3.11472213e-05  4.18676895e-04
  1.04441679e-03  1.54020914e-03  1.63987414e-03 -5.11010240e-04]",0.08618612495107826,0.812469297069673
ADI,"[0.00501365 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1724585171853299,"[-1.51140656e-04 -6.95468605e-04  5.93105349e-05 -1.26646012e-04
 -4.67095215e-05 -1.47816555e-04]","[ 7.75620782e-03 -5.44540713e-03 -3.36961596e-03  4.30135937e-03
 -4.27484853e-03  3.53144912e-03 -9.59908739e-04  1.67592535e-03
  8.29918264e-05 -2.46811672e-04  2.28598596e-03  1.90989770e-03
 -8.40599475e-04  3.40701408e-03  2.29926521e-03  9.39903189e-04
  1.30473799e-03 -1.19497706e-03  1.93543683e-03  1.43639271e-04]",-6.00984494082663,0.0024544687388023206,0.81247455129748,-0.03777841760541527,"[-0.13904446 -0.11419553 -0.08173377 -0.0389474   0.0049949   0.04841909
  0.09068444  0.13356264  0.17405197  0.19879712  0.20168473  0.17289201
  0.07413627 -0.08842689 -0.28199493 -0.35991322 -0.28171896 -0.22474979
 -0.21085029 -0.13907205  0.41594209  1.16140715  1.81975728  1.48018721
  0.00688115]",[-0.00145397 -0.00012788 -0.0008654   0.00020395  0.00017822 -0.00105885],"[ 1.08024658e-02 -2.79310134e-03 -2.01461640e-03  5.33560411e-03
 -1.95072451e-03  2.40802160e-03 -1.12978987e-04 -6.50166001e-04
  5.32521829e-04 -4.92422143e-04  1.71273591e-03  9.34782319e-04
  5.09922351e-05  1.86415262e-03 -3.11511611e-05  4.18678679e-04
  1.04440787e-03  1.54018524e-03  1.63986537e-03 -5.10990881e-04]",0.08618613535829454,0.81247455129748
ADM,"[0.00505378 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.17014684142700218,"[-1.47630512e-06 -4.49561556e-04  1.22526705e-04 -8.40723414e-06
  7.75358257e-05  2.60677484e-05]","[ 6.61888162e-03 -4.60778441e-03 -2.94196224e-03  7.56020972e-03
  4.56402471e-04  3.91308190e-03 -2.01716972e-04 -2.51388523e-03
 -1.73093867e-03 -9.55095706e-05  3.90514053e-03  1.72083159e-03
 -2.12948568e-03  1.18154054e-03  1.32466485e-03  2.19148670e-03
  2.28123078e-03 -2.26475798e-03  1.44838772e-03  8.39080608e-04]",-6.384361118626509,0.0016877464209877867,0.8124754184321612,-0.037778425355085014,"[-0.13904444 -0.11419554 -0.08173378 -0.03894739  0.00499488  0.04841905
  0.0906844   0.13356266  0.17405197  0.1987971   0.20168458  0.17289203
  0.07413631 -0.08842689 -0.2819948  -0.35991327 -0.28171896 -0.22474965
 -0.2108503  -0.13907227  0.4159423   1.16140714  1.81975722  1.48018723
  0.00688103]",[-0.00145397 -0.00012789 -0.0008654   0.00020395  0.00017821 -0.00105885],"[ 1.08024655e-02 -2.79309776e-03 -2.01461383e-03  5.33559432e-03
 -1.95072608e-03  2.40801990e-03 -1.12975890e-04 -6.50172516e-04
  5.32529191e-04 -4.92424703e-04  1.71273797e-03  9.34786251e-04
  5.09981071e-05  1.86415042e-03 -3.11518113e-05  4.18678973e-04
  1.04440639e-03  1.54018130e-03  1.63986392e-03 -5.10987686e-04]",0.0861861370758558,0.8124754184321612
