,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.00405464 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1511590316706366,[ 0.00226512 -0.00049428  0.00041631  0.00042884 -0.00040767 -0.00066581],"[ 0.01193013 -0.01077826 -0.01264631  0.00082039 -0.01248137  0.00785645
  0.00159045  0.00638546  0.00130703  0.00105928  0.00279248  0.00536413
  0.00512285  0.00338586  0.00223947 -0.00530672 -0.00037351 -0.00072173
  0.00576696 -0.00292531]",-4.899242229157044,0.007452228012971267,0.793727967434873,-0.03759143126651074,"[-0.12177473 -0.09766742 -0.06281532 -0.0252943   0.01508548  0.05804519
  0.09858117  0.14073677  0.17171713  0.18366499  0.16964877  0.1050374
 -0.02770517 -0.20821473 -0.33986838 -0.30102694 -0.21461608 -0.19013244
 -0.13193714  0.18423941  0.81786205  1.31170914  1.41370933 -0.01778735
 -0.00162268]",[ 0.00145597 -0.00033615 -0.00041614 -0.00038367 -0.00044761 -0.00039818],"[ 7.48010714e-03 -9.39823424e-03 -4.13257010e-03  7.12393169e-03
 -2.50238550e-03  1.28548726e-03 -4.29497092e-04 -2.06055656e-03
 -1.01912167e-03  1.24381689e-03  2.39157606e-03  6.97396536e-05
 -7.27185620e-04  2.45642815e-03 -9.43535139e-04  4.46533814e-04
  2.24385158e-03  4.03538040e-04  2.47462535e-03 -4.55450582e-04]",0.08491184115242727,0.793727967434873
AAL,"[0.0038689 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.       ]",0.15007176495752983,"[ 2.11084265e-04 -8.16029966e-05 -3.42805335e-04  3.27132172e-04
 -4.66471473e-04 -5.13493388e-04]","[ 0.0110953   0.00018866  0.00356436  0.00311592 -0.00947516 -0.00823698
 -0.01072215  0.00478461  0.00312227  0.00761244  0.00377387  0.00014996
 -0.00105037  0.00575503  0.00552544 -0.00097051 -0.00180659 -0.00408078
  0.00249905  0.00463583]",-4.328888998873143,0.013182184779696201,0.7937241932651123,-0.037591391864360224,"[-0.12177481 -0.09766753 -0.06281528 -0.02529441  0.01508547  0.05804512
  0.09858165  0.14073689  0.17171701  0.18366478  0.16964886  0.105037
 -0.02770477 -0.20821439 -0.33986787 -0.30102705 -0.21461586 -0.19013334
 -0.13193752  0.1842388   0.81786194  1.31170918  1.41370956 -0.01778724
 -0.00162294]",[ 0.00145597 -0.00033616 -0.00041612 -0.00038366 -0.00044759 -0.00039818],"[ 7.48011696e-03 -9.39822498e-03 -4.13256137e-03  7.12392163e-03
 -2.50240494e-03  1.28549174e-03 -4.29476009e-04 -2.06056120e-03
 -1.01911330e-03  1.24381880e-03  2.39156801e-03  6.97537167e-05
 -7.27165705e-04  2.45642931e-03 -9.43561493e-04  4.46540968e-04
  2.24382154e-03  4.03538739e-04  2.47461259e-03 -4.55439215e-04]",0.08491184192684974,0.7937241932651123
AAP,"[0.00407348 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.15399720447181103,"[-5.41957827e-04  3.45523146e-04 -7.86318016e-04 -1.37885389e-03
 -7.57841979e-05 -1.53242239e-03]","[ 0.01208827 -0.0077928  -0.00827033  0.00014485 -0.01440988  0.00339159
 -0.0023913   0.01018078  0.00625826  0.00446416  0.00548015  0.00044993
  0.00188817  0.00168865  0.00210792 -0.00413205 -0.00091957 -0.00206119
  0.0041186  -0.00209694]",-4.781099048083422,0.008386776429852328,0.7937283504227366,-0.037591435264885585,"[-0.12177472 -0.0976674  -0.06281532 -0.02529428  0.01508548  0.0580452
  0.09858112  0.14073676  0.17171715  0.18366501  0.16964877  0.10503744
 -0.02770521 -0.20821476 -0.33986843 -0.30102693 -0.21461611 -0.19013235
 -0.1319371   0.18423947  0.81786206  1.31170913  1.41370931 -0.01778736
 -0.00162265]",[ 0.00145597 -0.00033615 -0.00041614 -0.00038367 -0.00044761 -0.00039818],"[ 7.48010615e-03 -9.39823518e-03 -4.13257098e-03  7.12393271e-03
 -2.50238353e-03  1.28548680e-03 -4.29499231e-04 -2.06055609e-03
 -1.01912252e-03  1.24381670e-03  2.39157688e-03  6.97382266e-05
 -7.27187641e-04  2.45642803e-03 -9.43532464e-04  4.46533088e-04
  2.24385463e-03  4.03537969e-04  2.47462664e-03 -4.55451736e-04]",0.08491184107384193,0.7937283504227366
AAPL,"[0.00354459 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.13127510418571858,"[-9.48914460e-04  7.36276699e-04 -5.13451166e-04 -2.98371555e-04
  5.48693351e-05 -9.54422800e-05]","[ 0.01200921 -0.00566598 -0.00513888 -0.00057145 -0.01632118  0.0005466
 -0.00368786  0.01376206  0.011464    0.00326587  0.00198314 -0.00622368
 -0.00459185  0.00633776  0.00640337  0.0002958  -0.00223365 -0.00654674
 -0.00226723  0.00537484]",-4.467447292041361,0.011476574833713598,0.7937176029417331,-0.03759132306170157,"[-0.12177495 -0.09766774 -0.06281521 -0.02529461  0.01508546  0.05804501
  0.09858249  0.1407371   0.1717168   0.18366441  0.169649    0.1050363
 -0.02770406 -0.20821381 -0.33986699 -0.30102724 -0.21461547 -0.19013491
 -0.13193819  0.18423774  0.81786176  1.31170924  1.41370996 -0.01778704
 -0.0016234 ]",[ 0.00145598 -0.00033619 -0.00041609 -0.00038365 -0.00044756 -0.00039818],"[ 7.48013411e-03 -9.39820883e-03 -4.13254614e-03  7.12390406e-03
 -2.50243889e-03  1.28549957e-03 -4.29439195e-04 -2.06056930e-03
 -1.01909867e-03  1.24382214e-03  2.39155396e-03  6.97782731e-05
 -7.27130930e-04  2.45643135e-03 -9.43607512e-04  4.46553460e-04
  2.24376907e-03  4.03539958e-04  2.47459031e-03 -4.55419366e-04]",0.08491184327911921,0.7937176029417331
ABBV,"[0.00390439 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.14123705513236046,"[ 3.24996757e-04  1.13422798e-03 -4.53174630e-04 -5.86198148e-04
  2.38061785e-05 -7.29600984e-04]","[ 1.10502562e-02 -1.26103476e-02 -1.60357494e-02  3.23832909e-03
 -8.79725498e-03  1.23472994e-02  6.14602462e-03  2.62649815e-03
 -1.10454585e-03 -1.97009718e-03  2.50822884e-03  6.40149153e-03
  5.33511979e-03  1.53461855e-03  6.62460560e-04 -5.22961043e-03
  9.59021992e-06 -1.94834857e-03 -1.01493660e-04 -3.75000895e-03]",-5.0683890711837325,0.006292548828548911,0.7937249144004308,-0.03759139939297822,"[-0.12177479 -0.09766751 -0.06281528 -0.02529439  0.01508547  0.05804514
  0.09858156  0.14073687  0.17171704  0.18366482  0.16964884  0.10503707
 -0.02770484 -0.20821446 -0.33986797 -0.30102703 -0.2146159  -0.19013317
 -0.13193745  0.18423892  0.81786196  1.31170917  1.41370952 -0.01778726
 -0.00162289]",[ 0.00145597 -0.00033616 -0.00041612 -0.00038366 -0.0004476  -0.00039818],"[ 7.48011509e-03 -9.39822675e-03 -4.13256304e-03  7.12392355e-03
 -2.50240122e-03  1.28549089e-03 -4.29480037e-04 -2.06056031e-03
 -1.01911490e-03  1.24381844e-03  2.39156955e-03  6.97510296e-05
 -7.27169510e-04  2.45642909e-03 -9.43556457e-04  4.46539601e-04
  2.24382728e-03  4.03538605e-04  2.47461503e-03 -4.55441387e-04]",0.08491184177887988,0.7937249144004308
ABT,"[0.00362711 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1351517418732578,"[-6.51114082e-04 -3.09912700e-05 -1.04928910e-03 -6.92979935e-04
 -5.99964838e-04 -1.68449510e-03]","[ 0.01190381 -0.00754098 -0.00841365  0.00054699 -0.01381406  0.00481085
  0.00114087  0.00971396  0.00644539 -0.00149037 -0.00178539 -0.00057754
  0.00061992  0.00859415  0.00651369 -0.00390482 -0.00337208 -0.00388122
  0.00406564  0.00341993]",-4.466214812194963,0.011490728200980198,0.7937192797582775,-0.03759134056758553,"[-0.12177492 -0.09766769 -0.06281522 -0.02529456  0.01508547  0.05804504
  0.09858228  0.14073705  0.17171686  0.18366451  0.16964896  0.10503648
 -0.02770424 -0.20821396 -0.33986721 -0.30102719 -0.21461557 -0.19013451
 -0.13193802  0.18423801  0.81786181  1.31170923  1.41370986 -0.01778709
 -0.00162328]",[ 0.00145598 -0.00033618 -0.0004161  -0.00038365 -0.00044757 -0.00039818],"[ 7.48012975e-03 -9.39821294e-03 -4.13255001e-03  7.12390853e-03
 -2.50243025e-03  1.28549758e-03 -4.29448562e-04 -2.06056724e-03
 -1.01910239e-03  1.24382129e-03  2.39155754e-03  6.97720250e-05
 -7.27139778e-04  2.45643083e-03 -9.43595803e-04  4.46550282e-04
  2.24378242e-03  4.03539648e-04  2.47459598e-03 -4.55424416e-04]",0.08491184293505297,0.7937192797582775
ACN,"[0.00419003 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.15575814871658886,[ 0.00138663  0.00111723 -0.00011871  0.00018521 -0.00014221 -0.00040025],"[ 0.01173022 -0.01202011 -0.01504955  0.00054599 -0.01410757  0.01104667
  0.00452627  0.01009446  0.00617518 -0.0001897   0.00384322  0.00090225
  0.00262242  0.00122278  0.00121202 -0.00430908  0.0009266  -0.00175466
  0.0039532  -0.00666381]",-5.043573581306672,0.006450655139566878,0.7937307186678605,-0.03759145998925061,"[-0.12177467 -0.09766733 -0.06281535 -0.02529421  0.01508548  0.05804524
  0.09858082  0.14073668  0.17171722  0.18366514  0.16964871  0.10503769
 -0.02770547 -0.20821497 -0.33986874 -0.30102686 -0.21461625 -0.19013178
 -0.13193686  0.18423985  0.81786212  1.31170911  1.41370917 -0.01778743
 -0.00162249]",[ 0.00145597 -0.00033614 -0.00041615 -0.00038368 -0.00044762 -0.00039818],"[ 7.48009998e-03 -9.39824098e-03 -4.13257645e-03  7.12393902e-03
 -2.50237133e-03  1.28548399e-03 -4.29512460e-04 -2.06055318e-03
 -1.01912778e-03  1.24381550e-03  2.39158193e-03  6.97294022e-05
 -7.27200138e-04  2.45642730e-03 -9.43515927e-04  4.46528599e-04
  2.24387348e-03  4.03537531e-04  2.47463465e-03 -4.55458868e-04]",0.08491184058790135,0.7937307186678605
ADBE,"[0.00415422 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.15827667692068,"[ 2.41124450e-03  8.11199597e-04  2.44707586e-04 -3.43329419e-04
  3.53422671e-06 -8.87283683e-04]","[ 0.01200251 -0.01088745 -0.01291976  0.00019318 -0.01415142  0.00818717
  0.00158031  0.00930169  0.00464706  0.0018388   0.00417003  0.00251246
  0.00347861  0.00232596  0.00254953 -0.00428779  0.00108489 -0.00236181
  0.00442052 -0.00571742]",-4.704946097992484,0.009050402039594148,0.7937299909814286,-0.037591452392239315,"[-0.12177468 -0.09766735 -0.06281534 -0.02529423  0.01508548  0.05804522
  0.09858091  0.14073671  0.1717172   0.1836651   0.16964873  0.10503761
 -0.02770539 -0.20821491 -0.33986865 -0.30102688 -0.2146162  -0.19013196
 -0.13193693  0.18423974  0.8178621   1.31170912  1.41370921 -0.01778741
 -0.00162254]",[ 0.00145597 -0.00033614 -0.00041615 -0.00038367 -0.00044762 -0.00039818],"[ 7.48010188e-03 -9.39823920e-03 -4.13257477e-03  7.12393708e-03
 -2.50237507e-03  1.28548486e-03 -4.29508395e-04 -2.06055407e-03
 -1.01912616e-03  1.24381587e-03  2.39158038e-03  6.97321136e-05
 -7.27196298e-04  2.45642752e-03 -9.43521009e-04  4.46529978e-04
  2.24386769e-03  4.03537666e-04  2.47463219e-03 -4.55456677e-04]",0.08491184073721544,0.7937299909814286
ADI,"[0.00421735 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1579081530065455,[ 0.00110342  0.0010037  -0.00020999  0.00028328 -0.00022846 -0.00038825],"[ 0.01261377 -0.01011505 -0.01111246 -0.00200558 -0.01763004  0.00530226
 -0.00171859  0.01287151  0.00694919  0.00420656  0.00443811  0.00146431
  0.00323242  0.00384812  0.00416451 -0.00470643 -0.00051194 -0.00271057
  0.00547046 -0.0024349 ]",-5.020119228016312,0.006603739311637442,0.7937312739109244,-0.03759146578596145,"[-0.12177465 -0.09766731 -0.06281535 -0.02529419  0.01508548  0.05804525
  0.09858075  0.14073667  0.17171724  0.18366517  0.1696487   0.10503774
 -0.02770553 -0.20821502 -0.33986882 -0.30102684 -0.21461628 -0.19013165
 -0.1319368   0.18423994  0.81786214  1.3117091   1.41370914 -0.01778745
 -0.00162245]",[ 0.00145597 -0.00033614 -0.00041615 -0.00038368 -0.00044762 -0.00039818],"[ 7.48009854e-03 -9.39824234e-03 -4.13257774e-03  7.12394050e-03
 -2.50236847e-03  1.28548333e-03 -4.29515562e-04 -2.06055249e-03
 -1.01912901e-03  1.24381522e-03  2.39158311e-03  6.97273333e-05
 -7.27203067e-04  2.45642713e-03 -9.43512050e-04  4.46527547e-04
  2.24387790e-03  4.03537428e-04  2.47463653e-03 -4.55460541e-04]",0.08491184047397093,0.7937312739109244
ADM,"[0.00391335 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.14502114042238756,"[ 1.11355409e-03 -6.76742848e-04  3.15366954e-04 -3.31421495e-04
 -6.82310157e-05 -6.40630488e-04]","[ 0.01125453 -0.00981439 -0.01175926  0.00278262 -0.00966456  0.00769469
  0.00174552  0.00385803 -0.00010627  0.00197623  0.00599542  0.00643203
  0.00707598 -0.00182635 -0.00241571 -0.00896922 -0.00355297  0.00124112
  0.0039085  -0.00282221]",-4.837554304298486,0.007926415966724377,0.7937250964987043,-0.03759140129407542,"[-0.12177479 -0.09766751 -0.06281529 -0.02529438  0.01508547  0.05804514
  0.09858154  0.14073686  0.17171704  0.18366483  0.16964884  0.10503709
 -0.02770486 -0.20821447 -0.33986799 -0.30102702 -0.21461591 -0.19013312
 -0.13193743  0.18423895  0.81786197  1.31170917  1.41370951 -0.01778726
 -0.00162288]",[ 0.00145597 -0.00033616 -0.00041612 -0.00038366 -0.0004476  -0.00039818],"[ 7.48011461e-03 -9.39822720e-03 -4.13256346e-03  7.12392404e-03
 -2.50240029e-03  1.28549067e-03 -4.29481055e-04 -2.06056009e-03
 -1.01911530e-03  1.24381835e-03  2.39156994e-03  6.97503511e-05
 -7.27170471e-04  2.45642903e-03 -9.43555186e-04  4.46539256e-04
  2.24382873e-03  4.03538571e-04  2.47461564e-03 -4.55441935e-04]",0.0849118417415151,0.7937250964987043
