,priors,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,lt_0 - slope
A,"[0.0037181 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.       ]",0.13410046334353615,"[ 5.76741436e-04 -9.18801044e-05  1.73293950e-05  1.19530918e-03
 -4.73016178e-04  3.40990676e-04]","[ 1.10998052e-02 -1.12058687e-02 -1.39383173e-02  3.79196280e-03
 -7.71522483e-03  9.91998234e-03  3.05515472e-03  2.34163786e-03
  8.64971389e-05  1.19951344e-03  5.39662958e-03  3.56016869e-03
  1.98795387e-03 -1.74929389e-04 -1.51587184e-04 -2.42672845e-03
 -4.53376162e-04 -2.32806053e-03  6.96679731e-04 -8.20445878e-04]",-4.774404682432431,0.00844310892268336,0.8059039676495782,-0.0350603632770531,"[-0.11711127 -0.09463489 -0.06050906 -0.02320852  0.0181353   0.06035928
  0.10192346  0.14046757  0.17003935  0.18582478  0.16736664  0.1067458
 -0.03059802 -0.21017885 -0.33493519 -0.29836554 -0.21788944 -0.18955155
 -0.13395261  0.18167052  0.80955356  1.30198972  1.41921971 -0.02507904
 -0.00685245]","[-1.18513642e-03  1.00126002e-03 -9.79489922e-04  6.62749961e-05
 -1.02764274e-03 -1.75137866e-04]","[ 8.93694519e-03 -7.54742858e-03 -6.42856851e-03  6.49461210e-03
 -2.45788036e-03  1.52852922e-03 -6.45193167e-04 -1.39405021e-03
 -8.98487871e-06  1.00728007e-03  9.70342149e-04  3.38916827e-04
 -1.37142749e-03  2.32709749e-03 -1.10217997e-03  6.31084934e-04
  1.76005102e-04  1.05994290e-03  1.33188271e-03 -2.10728550e-04]",0.08690549282850411,0.8059039676495782
AAL,"[0.00382236 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1418386721746421,"[-1.39409218e-03 -4.34774122e-04 -5.61175835e-04  5.44858012e-04
 -4.52588474e-04  8.29152950e-05]","[ 0.01099923  0.00229073  0.00713807  0.00291848 -0.00996229 -0.01049914
 -0.01060051  0.00649938  0.00468268  0.00600048  0.00062501 -0.00131298
 -0.00099437  0.00815918  0.00653503 -0.00247959 -0.00459471 -0.0034191
  0.00705689  0.00652807]",-4.77818564838126,0.008411246089446647,0.805906107012757,-0.03506043187111435,"[-0.11711117 -0.09463496 -0.06050897 -0.02320849  0.01813519  0.06035925
  0.10192345  0.14046742  0.17003956  0.18582466  0.1673663   0.10674586
 -0.03059843 -0.21017896 -0.33493531 -0.29836571 -0.21788993 -0.18955128
 -0.13395171  0.18167048  0.80955369  1.30198944  1.41922185 -0.02507888
 -0.0068522 ]","[-1.18513491e-03  1.00124997e-03 -9.79487223e-04  6.62888617e-05
 -1.02763629e-03 -1.75126477e-04]","[ 8.93695974e-03 -7.54744003e-03 -6.42855891e-03  6.49461288e-03
 -2.45788013e-03  1.52853067e-03 -6.45199320e-04 -1.39404780e-03
 -8.98256529e-06  1.00727415e-03  9.70350164e-04  3.38912994e-04
 -1.37143095e-03  2.32709555e-03 -1.10219088e-03  6.31069934e-04
  1.75988539e-04  1.05994147e-03  1.33188308e-03 -2.10717933e-04]",0.08690547535683937,0.805906107012757
AAP,"[0.00380782 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1391743581891469,[-0.00230219  0.00075164 -0.00122203 -0.00058828 -0.00018103 -0.00056229],"[ 0.01217676 -0.00644805 -0.00636288 -0.00045912 -0.01481844  0.00230586
 -0.00238461  0.0116891   0.00705923  0.00356255  0.00403253 -0.00056906
  0.00190219  0.00276992  0.00205606 -0.00478226 -0.00279575 -0.00149971
  0.00540128 -0.00170266]",-4.796893729632356,0.008255350613621402,0.8059058085812185,-0.035060422302551415,"[-0.11711119 -0.09463495 -0.06050898 -0.0232085   0.01813521  0.06035925
  0.10192345  0.14046744  0.17003953  0.18582468  0.16736635  0.10674585
 -0.03059837 -0.21017894 -0.3349353  -0.29836569 -0.21788986 -0.18955131
 -0.13395184  0.18167049  0.80955368  1.30198948  1.41922155 -0.0250789
 -0.00685223]","[-1.18513512e-03  1.00125137e-03 -9.79487600e-04  6.62869275e-05
 -1.02763719e-03 -1.75128065e-04]","[ 8.93695771e-03 -7.54743843e-03 -6.42856025e-03  6.49461277e-03
 -2.45788016e-03  1.52853047e-03 -6.45198462e-04 -1.39404814e-03
 -8.98288800e-06  1.00727497e-03  9.70349046e-04  3.38913529e-04
 -1.37143047e-03  2.32709582e-03 -1.10218936e-03  6.31072027e-04
  1.75990849e-04  1.05994167e-03  1.33188303e-03 -2.10719414e-04]",0.08690547779405801,0.8059058085812185
AAPL,"[0.00357072 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.12843316709375371,"[-1.07232514e-03  3.14928101e-04 -4.71993824e-04 -1.81800654e-04
 -8.16878173e-06 -1.91196741e-05]","[ 0.01170065 -0.00328815 -0.00192875  0.00041827 -0.01440367 -0.0009911
 -0.00312704  0.01318232  0.01097942  0.00140899  0.00018688 -0.00731207
 -0.00482876  0.00641002  0.00531516 -0.00085116 -0.00438342 -0.00600289
 -0.00076303  0.00610082]",-4.74991423637696,0.008652437235665935,0.805900943264166,-0.03506026630666477,"[-0.11711141 -0.09463479 -0.06050919 -0.02320855  0.01813547  0.06035932
  0.10192349  0.14046779  0.17003904  0.18582494  0.16736711  0.10674572
 -0.03059745 -0.21017869 -0.33493501 -0.29836531 -0.21788876 -0.18955193
 -0.13395388  0.18167058  0.80955338  1.30199012  1.41921668 -0.02507926
 -0.00685281]","[-1.18513855e-03  1.00127424e-03 -9.79493737e-04  6.62553945e-05
 -1.02765187e-03 -1.75153967e-04]","[ 8.93692462e-03 -7.54741241e-03 -6.42858209e-03  6.49461098e-03
 -2.45788068e-03  1.52852716e-03 -6.45184470e-04 -1.39405361e-03
 -8.98814915e-06  1.00728845e-03  9.70330819e-04  3.38922245e-04
 -1.37142259e-03  2.32710023e-03 -1.10216454e-03  6.31106138e-04
  1.76028516e-04  1.05994493e-03  1.33188218e-03 -2.10743558e-04]",0.08690551752793264,0.805900943264166
ABBV,"[0.00371946 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.12863665410917585,"[-1.77591113e-04  5.06830862e-04 -2.58145965e-04 -3.88792939e-04
  6.95027257e-05 -2.94131667e-04]","[ 1.06198389e-02 -1.31917009e-02 -1.68970499e-02  5.14577145e-03
 -5.30693458e-03  1.25704068e-02  4.65485049e-03 -1.33759425e-03
 -3.18788319e-03  6.24692764e-04  5.57619774e-03  5.87632518e-03
  1.95456369e-03 -3.76194720e-04  1.10914917e-04 -3.10156857e-04
  2.12851907e-03 -3.79448882e-03 -2.46826004e-03  1.55093373e-05]",-5.243455011517446,0.005281975985915653,0.8059039955636866,-0.03506036417205872,"[-0.11711127 -0.09463489 -0.06050906 -0.02320852  0.0181353   0.06035928
  0.10192346  0.14046757  0.17003935  0.18582478  0.16736663  0.1067458
 -0.03059803 -0.21017885 -0.33493519 -0.29836554 -0.21788945 -0.18955154
 -0.1339526   0.18167052  0.80955356  1.30198972  1.41921973 -0.02507904
 -0.00685245]","[-1.18513640e-03  1.00125989e-03 -9.79489887e-04  6.62751770e-05
 -1.02764266e-03 -1.75137717e-04]","[ 8.93694538e-03 -7.54742873e-03 -6.42856839e-03  6.49461211e-03
 -2.45788035e-03  1.52852923e-03 -6.45193248e-04 -1.39405018e-03
 -8.98484852e-06  1.00727999e-03  9.70342254e-04  3.38916777e-04
 -1.37142753e-03  2.32709747e-03 -1.10218011e-03  6.31084738e-04
  1.76004885e-04  1.05994288e-03  1.33188271e-03 -2.10728411e-04]",0.0869054926005363,0.8059039955636866
ABT,"[0.00343597 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.12400944404802934,"[-1.67065537e-03  3.41445955e-04 -1.28933916e-03  1.24999243e-05
 -6.55972948e-04 -8.51557183e-04]","[ 1.17461855e-02 -6.27104120e-03 -6.74501924e-03  8.91828161e-04
 -1.29639505e-02  4.13791808e-03  1.35678758e-03  1.00327303e-02
  6.85332858e-03 -2.67636372e-03 -2.89498169e-03 -1.92941523e-03
 -3.48198039e-05  8.41911836e-03  6.10456654e-03 -3.96791152e-03
 -5.17417998e-03 -4.18844606e-03  4.52392159e-03  4.55458809e-03]",-4.514429765243844,0.010949847330424128,0.8058981782934793,-0.03506017765384952,"[-0.11711154 -0.0946347  -0.06050931 -0.02320859  0.01813561  0.06035936
  0.10192351  0.14046798  0.17003877  0.18582508  0.16736754  0.10674565
 -0.03059692 -0.21017854 -0.33493485 -0.29836509 -0.21788814 -0.18955228
 -0.13395504  0.18167062  0.80955321  1.30199048  1.41921391 -0.02507946
 -0.00685313]","[-1.18514050e-03  1.00128724e-03 -9.79497224e-04  6.62374743e-05
 -1.02766021e-03 -1.75168687e-04]","[ 8.93690581e-03 -7.54739762e-03 -6.42859450e-03  6.49460996e-03
 -2.45788097e-03  1.52852529e-03 -6.45176519e-04 -1.39405673e-03
 -8.99113908e-06  1.00729610e-03  9.70320460e-04  3.38927198e-04
 -1.37141811e-03  2.32710274e-03 -1.10215044e-03  6.31125524e-04
  1.76049922e-04  1.05994678e-03  1.33188170e-03 -2.10757279e-04]",0.08690554010878349,0.8058981782934793
ACN,"[0.00402391 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.14500991225177337,"[-4.57336946e-05  1.31121841e-03 -3.89034838e-04  5.50698789e-04
 -1.17435060e-04  2.96486423e-04]","[ 0.01154503 -0.01362148 -0.01736585  0.00140572 -0.01169666  0.01264333
  0.00420695  0.00735651  0.00370558  0.00142999  0.00602523  0.0010706
  0.00054796 -0.00010287  0.00067498 -0.00086515  0.00228171 -0.00306126
  0.00191178 -0.00391562]",-5.09210670019085,0.0061450604411241,0.8059102428207892,-0.035060564476869324,"[-0.11711099 -0.0946351  -0.06050879 -0.02320845  0.01813497  0.06035919
  0.10192342  0.14046713  0.17003997  0.18582444  0.16736566  0.10674597
 -0.03059921 -0.21017918 -0.33493556 -0.29836603 -0.21789086 -0.18955075
 -0.13394998  0.18167041  0.80955395  1.3019889   1.41922599 -0.02507858
 -0.00685171]","[-1.18513199e-03  1.00123052e-03 -9.79482007e-04  6.63156665e-05
 -1.02762381e-03 -1.75104459e-04]","[ 8.93698788e-03 -7.54746214e-03 -6.42854034e-03  6.49461441e-03
 -2.45787970e-03  1.52853348e-03 -6.45211213e-04 -1.39404314e-03
 -8.97809300e-06  1.00726269e-03  9.70365658e-04  3.38905586e-04
 -1.37143765e-03  2.32709180e-03 -1.10221197e-03  6.31040938e-04
  1.75956520e-04  1.05993869e-03  1.33188380e-03 -2.10697410e-04]",0.08690544158068951,0.8059102428207892
ADBE,"[0.00399935 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.14950245989705985,"[ 2.70529451e-04  1.23234013e-03 -3.67105755e-04  3.86588325e-04
 -1.48479350e-04  8.43910750e-06]","[ 0.01173308 -0.01139596 -0.0139971   0.00118751 -0.01192849  0.00955213
  0.00231009  0.00753896  0.00358638  0.00198313  0.00542044  0.00177462
  0.00183858  0.00073495  0.00119475 -0.00238822  0.0012013  -0.00308988
  0.00211975 -0.00433634]",-4.64860095786363,0.009574988376453012,0.80590973885518,-0.035060548318300175,"[-0.11711101 -0.09463509 -0.06050881 -0.02320845  0.018135    0.0603592
  0.10192342  0.14046717  0.17003992  0.18582447  0.16736573  0.10674596
 -0.03059912 -0.21017915 -0.33493553 -0.29836599 -0.21789074 -0.18955082
 -0.13395019  0.18167042  0.80955392  1.30198897  1.41922548 -0.02507862
 -0.00685177]","[-1.18513234e-03  1.00123289e-03 -9.79482642e-04  6.63124003e-05
 -1.02762533e-03 -1.75107142e-04]","[ 8.93698445e-03 -7.54745945e-03 -6.42854260e-03  6.49461422e-03
 -2.45787975e-03  1.52853313e-03 -6.45209764e-04 -1.39404371e-03
 -8.97863796e-06  1.00726409e-03  9.70363770e-04  3.38906489e-04
 -1.37143684e-03  2.32709226e-03 -1.10220940e-03  6.31044471e-04
  1.75960421e-04  1.05993903e-03  1.33188371e-03 -2.10699911e-04]",0.08690544569645549,0.80590973885518
ADI,"[0.00404737 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.14853698995482711,[-0.00015729  0.00125538 -0.00062132  0.00084492 -0.00039354  0.00014717],"[ 0.01223609 -0.00889454 -0.00998736 -0.00084539 -0.01537829  0.00550062
 -0.00056915  0.01216802  0.00714086  0.00313919  0.00446826 -0.00037939
  0.00202331  0.00259815  0.0027265  -0.0045663  -0.00225797 -0.00321869
  0.00387575 -0.00199984]",-4.988817629008024,0.006813716071546178,0.8059107240947644,-0.03506057990788023,"[-0.11711096 -0.09463512 -0.06050877 -0.02320844  0.01813494  0.06035918
  0.10192341  0.1404671   0.17004002  0.18582442  0.16736558  0.10674598
 -0.0305993  -0.2101792  -0.33493558 -0.29836607 -0.21789096 -0.18955069
 -0.13394978  0.1816704   0.80955398  1.30198884  1.41922647 -0.02507854
 -0.00685165]","[-1.18513165e-03  1.00122826e-03 -9.79481399e-04  6.63187858e-05
 -1.02762236e-03 -1.75101896e-04]","[ 8.93699115e-03 -7.54746472e-03 -6.42853818e-03  6.49461459e-03
 -2.45787964e-03  1.52853380e-03 -6.45212597e-04 -1.39404260e-03
 -8.97757257e-06  1.00726136e-03  9.70367461e-04  3.38904724e-04
 -1.37143843e-03  2.32709136e-03 -1.10221442e-03  6.31037563e-04
  1.75952794e-04  1.05993837e-03  1.33188388e-03 -2.10695021e-04]",0.08690543765024067,0.8059107240947644
ADM,"[0.00376856 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1358008353886578,"[2.26664505e-04 3.49599802e-04 8.11710391e-05 2.81647276e-04
 2.23055272e-05 2.67776784e-04]","[ 1.13998811e-02 -9.28880630e-03 -1.09826062e-02  2.64108155e-03
 -9.38343348e-03  7.09514159e-03  1.12476276e-03  3.81261479e-03
 -8.97083678e-05  2.21467369e-03  5.72606726e-03  6.17938246e-03
  6.58522187e-03 -7.37083618e-04 -1.74988294e-03 -7.56259584e-03
 -4.04608966e-03  1.11734316e-03  4.42954118e-03 -2.18014148e-03]",-4.870794224216229,0.007667273334872411,0.8059050030717108,-0.03506039647562821,"[-0.11711123 -0.09463493 -0.06050901 -0.02320851  0.01813525  0.06035926
  0.10192346  0.1404675   0.17003945  0.18582472  0.16736647  0.10674583
 -0.03059822 -0.2101789  -0.33493525 -0.29836562 -0.21788968 -0.18955142
 -0.13395218  0.1816705   0.80955363  1.30198959  1.41922074 -0.02507896
 -0.00685233]","[-1.18513569e-03  1.00125516e-03 -9.79488616e-04  6.62817068e-05
 -1.02763962e-03 -1.75132354e-04]","[ 8.93695223e-03 -7.54743412e-03 -6.42856386e-03  6.49461248e-03
 -2.45788025e-03  1.52852992e-03 -6.45196145e-04 -1.39404904e-03
 -8.98375904e-06  1.00727720e-03  9.70346028e-04  3.38914972e-04
 -1.37142917e-03  2.32709655e-03 -1.10218525e-03  6.31077674e-04
  1.75997085e-04  1.05994221e-03  1.33188289e-03 -2.10723412e-04]",0.0869054843724605,0.8059050030717108
ADP,"[0.00396536 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1454578327439258,"[-1.51796384e-03 -1.69334251e-04 -4.22236009e-04 -3.38711186e-04
  7.33395502e-06 -4.64264178e-05]","[ 0.01215487 -0.00927044 -0.01062081 -0.0001902  -0.01401674  0.00631076
  0.00051849  0.01001841  0.00533383  0.00136511  0.0022912   0.00048843
  0.00103711  0.00444347  0.00364012 -0.00203444  0.00030109 -0.00264879
  0.00511634 -0.00089544]",-4.890081422147401,0.007520810089555051,0.805909041355183,-0.035060525954468735,"[-0.11711104 -0.09463506 -0.06050884 -0.02320846  0.01813503  0.06035921
  0.10192343  0.14046722  0.17003985  0.18582451  0.16736584  0.10674594
 -0.03059898 -0.21017911 -0.33493549 -0.29836594 -0.21789059 -0.1895509
 -0.13395048  0.18167043  0.80955387  1.30198906  1.41922478 -0.02507867
 -0.00685185]","[-1.18513284e-03  1.00123617e-03 -9.79483522e-04  6.63078796e-05
 -1.02762744e-03 -1.75110855e-04]","[ 8.93697970e-03 -7.54745572e-03 -6.42854573e-03  6.49461397e-03
 -2.45787982e-03  1.52853266e-03 -6.45207758e-04 -1.39404450e-03
 -8.97939221e-06  1.00726602e-03  9.70361157e-04  3.38907738e-04
 -1.37143571e-03  2.32709289e-03 -1.10220584e-03  6.31049361e-04
  1.75965821e-04  1.05993950e-03  1.33188359e-03 -2.10703372e-04]",0.08690545139277027,0.805909041355183
ADSK,"[0.00410748 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.1471656536294038,"[-2.02776327e-04  8.71927064e-05 -1.40495043e-04 -1.56834383e-04
 -1.93693093e-05 -1.70905601e-04]","[ 0.01189544 -0.01069202 -0.01255202  0.00053042 -0.01269045  0.00746728
 -0.00012359  0.00765564  0.00231511  0.00466148  0.00743675  0.0049373
  0.00606012 -0.00040568  0.00047772 -0.00661022 -0.00179575 -0.00240294
  0.00233745 -0.00504423]",-5.324041490961015,0.004873019609769932,0.8059119577078194,-0.035060619461019356,"[-0.11711091 -0.09463516 -0.06050872 -0.02320843  0.01813488  0.06035916
  0.1019234   0.14046701  0.17004014  0.18582435  0.16736539  0.10674601
 -0.03059954 -0.21017927 -0.33493565 -0.29836616 -0.21789124 -0.18955054
 -0.13394926  0.18167038  0.80955405  1.30198868  1.4192277  -0.02507845
 -0.00685151]","[-1.18513078e-03  1.00122246e-03 -9.79479843e-04  6.63267810e-05
 -1.02761864e-03 -1.75095329e-04]","[ 8.93699954e-03 -7.54747132e-03 -6.42853264e-03  6.49461504e-03
 -2.45787951e-03  1.52853464e-03 -6.45216145e-04 -1.39404121e-03
 -8.97623859e-06  1.00725794e-03  9.70372083e-04  3.38902514e-04
 -1.37144043e-03  2.32709025e-03 -1.10222071e-03  6.31028914e-04
  1.75943243e-04  1.05993754e-03  1.33188410e-03 -2.10688900e-04]",0.08690542757561943,0.8059119577078194
