,mse,rmse,mae,mape
A,0.02605324862961146,0.16141018750255964,0.12056432009673632,0.10336151696014774
AAL,0.12245082549539911,0.34992974365635043,0.32110988084741804,0.2516225984170111
AAP,0.02062598363613449,0.14361749070407298,0.10293347637649133,0.135516677613349
AAPL,0.11890491547914701,0.34482592054418854,0.30370610301032325,0.23171113236422236
ABBV,0.0061802388240476715,0.07861449499963523,0.05682593441371319,0.05484766894961497
ABT,0.0073584327276469096,0.08578130756550001,0.06986143083729238,0.06940436721622399
ACN,0.004400860952016835,0.06633898515968446,0.054506177358983214,0.05263083035456637
ADBE,0.07423027939970966,0.27245234335514473,0.22274251904384657,0.17284515608308476
ADI,0.07068719159227035,0.26587062942767925,0.23939199755487553,0.19956003299624434
ADM,0.0026052835738498547,0.051041978545603564,0.04373211561263925,0.04365155210230176
ADP,0.011758854474882983,0.10843825189887092,0.09199421225952548,0.0852445382432895
ADSK,0.26528958594449464,0.5150627009835741,0.4515320392697019,0.2993545196388532
AEE,0.004190470434942728,0.06473384304166352,0.054105684180870396,0.05300592537523101
AEP,0.003041902524851753,0.05515344526728818,0.04473016266670528,0.048135532311856806
AES,0.0023593193331821636,0.0485728250483968,0.03773052715799911,0.04006521050229975
AFL,0.0028289104848438214,0.05318750308901351,0.04042596196674935,0.039207445675051605
AIG,0.026380529074554265,0.16242083940970833,0.15503734608258607,0.14027173125571984
AIZ,0.020113206769285297,0.1418210378233261,0.1203538232354798,0.10675170214613872
AJG,0.02261914543117476,0.1503966270604988,0.13055113915298683,0.11434971201333619
AKAM,0.022598639198064263,0.15032843775568303,0.1264868285919672,0.11968216407417964
ALB,0.04306447442241897,0.2075198169390552,0.16237360852754812,0.13295743740503535
ALGN,0.16656463242568506,0.4081233054184545,0.31979417641721014,0.22985050515972225
ALK,0.12051496501317828,0.34715265376081783,0.3078662355040199,0.23715323866622323
ALL,0.03365872394069668,0.18346314055062035,0.14527984124590118,0.12100875491775932
