,priors,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,"fs_1 - beta(p=365.25,n=10)"
A,"[-0.45572521 -0.0963325   0.30221973 -0.48606739  0.02296243  0.02520334
  0.15078845  0.17461646 -0.11060152 -0.05703494 -0.21381426 -0.11821381
  0.13728812 -0.27781653  0.1464089   0.36816889 -0.08022804  0.41309698
 -0.10783413 -0.24142431 -0.16174787 -0.17034629 -0.02577246  0.373293
  0.25159729  0.24791484 -0.19175868  0.3027188   0.13667193  0.11588724
 -0.16041158 -0.08252298  0.15437245 -2.22473182 -0.69177038  1.41645647
  2.25435599  0.18537011 -2.91507864 -1.83623604  1.06406711  0.83981843
  1.41625506  0.79673929 -1.99751533 -2.08190166  1.53177986  1.47476208
 -0.42190562 -0.05519814  0.11912186 -2.11533071 -0.90930335  0.        ]",0.5722966357101209,0.39272519316840215,[ 0.00016693  0.00129997 -0.0001084   0.00015049  0.00020973  0.0004107 ],-5.155208652667169,0.005769276174641334,0.8187099134638218,-0.03943973428543443,"[-0.11714479 -0.11098874 -0.06771267 -0.02768128  0.01757627  0.05991593
  0.09364936  0.13170116  0.16047634  0.17243401  0.16626811  0.07353394
 -0.04090134 -0.19792628 -0.34227292 -0.24027875 -0.21786891 -0.20346368
 -0.12163548  0.22546533  0.83994224  1.37871397  1.26151095 -0.07963324
 -0.00956984]",[ 0.0007448   0.00018966  0.00060548 -0.00043781  0.00097997  0.00053005],"[ 1.03421906e-03 -7.15143612e-03 -2.29761999e-04  1.12464903e-02
 -4.92824204e-03 -4.08200035e-03 -4.65891896e-03  2.40359406e-03
  9.96230660e-04  2.24925756e-03  3.57259748e-03 -3.34945280e-03
 -6.35743560e-03  7.71288088e-03  3.49525472e-03 -1.95545089e-03
  4.90579084e-05  3.42372749e-04 -3.81762871e-03 -2.90948379e-03]",0.08527215367029808,"[ 1.03421906e-03 -7.15143612e-03 -2.29761999e-04  1.12464903e-02
 -4.92824204e-03 -4.08200035e-03 -4.65891896e-03  2.40359406e-03
  9.96230660e-04  2.24925756e-03  3.57259748e-03 -3.34945280e-03
 -6.35743560e-03  7.71288088e-03  3.49525472e-03 -1.95545089e-03
  4.90579084e-05  3.42372749e-04 -3.81762871e-03 -2.90948379e-03]"
AAL,"[-0.18205821 -0.01177933  0.10948654  0.06254362 -0.25199063 -0.00810865
 -0.2096282  -0.06592035 -0.01990148 -0.03328531 -0.02805036  0.24379135
  0.08295403 -0.07928585  0.26520947  0.19325638 -0.03301675  0.18825556
  0.06683772  0.04357495  0.23953759  0.22105486 -0.2340404  -0.15992396
 -0.02095568  0.08649484  0.120162   -0.06903526  0.10334454 -0.387147
 -0.20934241 -0.06713461 -0.24619253  0.51158773  0.55748085  0.55412451
 -1.43474034 -1.57789984  1.19104773  1.81829187  0.35106152 -0.46384398
 -0.5332819  -0.36626795 -0.56087134 -0.64019707  2.144074    1.56227935
 -1.37560467 -0.42389002 -0.02114607 -2.85711038 -1.3525679   0.        ]",-0.1647358313274321,1.119316722146147,"[-1.01506366e-03  1.00228088e-03 -6.57458614e-04  8.50624068e-05
 -6.95789251e-05  9.80968210e-05]",-5.686948636017203,0.0033899210870495197,0.8245215641445207,-0.03867139517257261,"[-0.12153732 -0.09816118 -0.07440527 -0.02858318  0.00745684  0.05307493
  0.09668253  0.13407234  0.16572354  0.19040339  0.16538719  0.0847622
 -0.03704728 -0.20842595 -0.33091049 -0.25924313 -0.20420747 -0.16880278
 -0.07761181  0.28920451  0.79722381  1.25031377  1.21130093 -0.09138176
  0.01218276]",[-0.00029368  0.00017791 -0.0006367  -0.0004181   0.00104801 -0.0006515 ],"[ 0.0101255  -0.00332473 -0.00243472  0.00066032 -0.00940297  0.00563522
  0.00564212  0.00125449 -0.00117695 -0.00165878 -0.00026589 -0.00021078
 -0.00306841  0.00766311  0.00476277 -0.00481598 -0.00069179  0.00128427
 -0.0046873  -0.0035756 ]",0.08645794711280884,"[ 0.0101255  -0.00332473 -0.00243472  0.00066032 -0.00940297  0.00563522
  0.00564212  0.00125449 -0.00117695 -0.00165878 -0.00026589 -0.00021078
 -0.00306841  0.00766311  0.00476277 -0.00481598 -0.00069179  0.00128427
 -0.0046873  -0.0035756 ]"
AAP,"[-6.46441941e-02 -1.10968411e-02 -2.19257916e-02 -9.27729970e-02
  4.97594025e-03  5.74123207e-02  1.64160116e-01 -1.45354790e-02
  1.92924564e-01 -2.73334181e-02 -9.09380978e-02 -1.44561608e-01
 -1.56908652e-02  9.07992006e-03  3.50007219e-02  1.81612227e-01
 -1.05002001e-01  8.73776008e-02 -7.80813432e-03 -9.80850776e-02
 -2.35366475e-03 -1.81028354e-01  1.30717629e-02 -9.88125057e-04
  8.58415870e-02  9.61229643e-02 -2.60165975e-03  3.02968501e-01
  2.03125039e-01  4.15754367e-02  7.59468654e-02  1.08135678e-01
 -1.11379454e-02 -1.21849894e+00 -1.62721001e-01  1.42950576e+00
  9.09353242e-01 -1.07024536e+00 -1.57525816e+00  4.72234277e-01
  1.72264062e+00  6.62732191e-02 -1.15607533e+00 -6.97808491e-02
  4.12019884e-01 -2.09021928e-01  8.01109740e-02  5.02254847e-01
 -2.35594414e-01 -6.38558798e-01 -2.96682112e-02  4.64583401e-01
  5.62535975e-01  0.00000000e+00]",0.24226532087181407,0.724225758410807,"[-3.42616325e-05 -9.61552487e-05 -1.32191378e-04 -3.28044098e-04
 -5.51613385e-05 -4.40286568e-04]",-5.160767207757267,0.005737296298487855,0.8270149933561605,-0.038680013700686654,"[-0.12445782 -0.10182146 -0.06801469 -0.02667608  0.01831375  0.0544556
  0.1048739   0.13415724  0.16432953  0.17357537  0.15891459  0.0885896
 -0.04975797 -0.20785352 -0.33962792 -0.26849023 -0.2052774  -0.18444242
 -0.10241316  0.2263141   0.84994531  1.28407173  1.24020093 -0.09035569
  0.005585  ]",[0.00092999 0.00043938 0.00053622 0.00018718 0.00147094 0.00014519],"[ 4.24684094e-03 -5.56270806e-03 -9.19031060e-05  7.33965775e-03
 -8.20802572e-03 -8.55372818e-04  1.69762885e-03  4.60884685e-03
 -6.58589580e-04 -4.04714259e-03  1.03587546e-03  3.19201905e-03
 -1.44200038e-03  3.44512530e-03  1.24265966e-03 -1.05217675e-03
 -1.73116354e-03  5.64787423e-04  4.26048655e-03  1.35155800e-03]",0.0860741342079436,"[ 4.24684094e-03 -5.56270806e-03 -9.19031060e-05  7.33965775e-03
 -8.20802572e-03 -8.55372818e-04  1.69762885e-03  4.60884685e-03
 -6.58589580e-04 -4.04714259e-03  1.03587546e-03  3.19201905e-03
 -1.44200038e-03  3.44512530e-03  1.24265966e-03 -1.05217675e-03
 -1.73116354e-03  5.64787423e-04  4.26048655e-03  1.35155800e-03]"
AAPL,"[-0.24456323 -0.17089001  0.22621839 -0.07197766 -0.05745279  0.02526907
 -0.15306403 -0.00855213  0.07013987 -0.17106308 -0.07386235  0.07844429
  0.05609861 -0.13182125  0.43456738  0.44554573 -0.12061483  0.25557523
  0.04297383  0.06497403  0.287071    0.01443486 -0.36120223 -0.10203356
  0.11687345  0.08949746  0.10196263  0.06511113  0.1949548  -0.10288638
 -0.23956287 -0.21691175 -0.28423456  0.22654746  0.43960303  0.71647886
 -0.85796643 -1.14003643  0.17385687  0.41142371  1.08257934  1.04319746
 -0.70607884 -1.39392496 -1.23457788 -0.42912935  2.78572451  2.22448885
 -1.4982795  -1.15267178 -1.09845615 -2.63853287  0.57316359  0.        ]",0.016378365059343796,0.9374560060373437,[-0.00124922 -0.00028384 -0.00011884 -0.00012979  0.0001563   0.00040318],-5.207089379751112,0.0054775937029892165,0.8231941943408732,-0.040175450461841684,"[-0.11894071 -0.10129249 -0.06951372 -0.02754013  0.00924194  0.054708
  0.09988045  0.12863929  0.16477646  0.18203787  0.16336557  0.08166058
 -0.02630455 -0.19121462 -0.34031058 -0.25326666 -0.20601531 -0.16658875
 -0.06924266  0.25886891  0.77334813  1.26001146  1.24022286 -0.09200507
  0.01120064]","[ 4.24737107e-05  3.55318985e-04  1.17578340e-04 -5.54318508e-04
  6.83456925e-04 -6.81140845e-04]","[ 0.00914592 -0.00366147 -0.0020314   0.00234367 -0.00824664  0.00305814
  0.00180083  0.00315026  0.00244357 -0.00259961 -0.00288722 -0.0018426
 -0.00238462  0.00975288  0.00645703 -0.00517324 -0.00292466 -0.0017238
 -0.00426158  0.00176851]",0.08623242493919361,"[ 0.00914592 -0.00366147 -0.0020314   0.00234367 -0.00824664  0.00305814
  0.00180083  0.00315026  0.00244357 -0.00259961 -0.00288722 -0.0018426
 -0.00238462  0.00975288  0.00645703 -0.00517324 -0.00292466 -0.0017238
 -0.00426158  0.00176851]"
ABBV,"[ 1.13530392e-01  9.24598759e-02  1.04027737e-01 -3.82979888e-02
  7.64330915e-02  7.60792536e-03  8.52906671e-02  8.61309736e-02
  7.29208974e-02  4.18814288e-02  3.10712472e-03  4.67567411e-02
 -4.48818506e-02  7.98101472e-02 -2.19087376e-02 -8.99526313e-02
 -8.61705844e-02 -1.14652540e-01  6.24662609e-02 -3.96013686e-02
 -3.46338774e-01 -1.20962626e-01  1.24216995e-01  1.03200646e-01
 -8.54075470e-03  1.00744138e-01 -5.71483884e-02  1.72512338e-01
 -1.90632465e-02  1.12781668e-03  9.25869694e-02  7.20660753e-02
  2.67951756e-01 -9.74624253e-01 -1.52871944e-01  7.31638862e-01
  9.64192586e-01 -1.88202398e-01 -1.01892380e+00 -5.91338967e-02
  3.93614904e-01 -5.62828977e-01  3.36285328e-01  1.29687442e+00
 -1.19222026e-01 -1.72756538e+00 -4.81554573e-01  8.05810225e-01
  6.66119876e-01 -6.45520888e-01  3.38668672e-01  2.26085107e+00
 -1.19591497e+00  0.00000000e+00]",0.12514260777195324,0.8269143103037249,"[ 7.22385004e-04  7.61404334e-04  4.48979188e-06 -2.76664993e-04
  1.09515544e-04 -3.04917231e-04]",-4.614680926144112,0.009905343438923731,0.8307987469203851,-0.03771879135202612,"[-1.21938435e-01 -1.00615470e-01 -6.65216898e-02 -2.81903052e-02
  1.57362594e-02  5.82657762e-02  1.00558832e-01  1.37416589e-01
  1.67923311e-01  1.81834627e-01  1.57760980e-01  9.17988678e-02
 -5.38553895e-02 -2.26814774e-01 -3.37946306e-01 -2.86587043e-01
 -1.98314019e-01 -1.75634359e-01 -1.45434571e-01  2.32526072e-01
  8.72907637e-01  1.31377466e+00  1.22043587e+00 -9.19067868e-02
  1.55780104e-04]",[ 0.00060691 -0.00013183  0.0004166   0.00023419  0.00126555  0.00084527],"[ 0.00500936 -0.00548678 -0.0020647   0.00736655 -0.00588391  0.00062931
  0.00039449  0.00073498 -0.00222929  0.0001469   0.00463336  0.00133695
 -0.00556241  0.00197157  0.00171209  0.00174003 -0.00170927  0.00153644
  0.00900217 -0.00383872]",0.08607417985063326,"[ 0.00500936 -0.00548678 -0.0020647   0.00736655 -0.00588391  0.00062931
  0.00039449  0.00073498 -0.00222929  0.0001469   0.00463336  0.00133695
 -0.00556241  0.00197157  0.00171209  0.00174003 -0.00170927  0.00153644
  0.00900217 -0.00383872]"
ABT,"[-0.10971041 -0.0671975   0.05316395  0.08133956 -0.17327329  0.0203096
 -0.0532735  -0.03416766  0.26545765 -0.11903364 -0.08246667  0.06197972
 -0.02237725  0.08542641  0.35848994  0.32332463 -0.14230286  0.11317775
  0.05810529  0.01795113  0.26125467 -0.02267557 -0.26839295 -0.31312884
  0.07967502  0.10673903  0.20756314  0.15838642  0.28282894 -0.28362088
 -0.05324336 -0.02170151 -0.28065963 -0.18850158  0.51802535  1.52156632
 -0.81267803 -2.27960149  0.23880473  2.2886699   1.66021876 -0.4420112
 -1.76514096 -0.55434653  0.03232952 -0.65580562  2.02107258  2.36569556
 -1.61205333 -1.9029864  -0.6007418  -1.38431478  0.62954909  0.        ]",-0.004438436959640335,0.9541968140976053,[-0.00019497  0.00073008 -0.0004709   0.00019543 -0.00021152 -0.00017993],-5.057864717112466,0.0063591235539275,0.8260579574908171,-0.03920736449912829,"[-0.12279461 -0.09772112 -0.07236876 -0.02768202  0.01213798  0.0540321
  0.10684846  0.13124497  0.16409312  0.18283775  0.15951179  0.09282637
 -0.0323158  -0.19814624 -0.34043177 -0.26525897 -0.20229886 -0.17186061
 -0.07197015  0.25290546  0.79327422  1.20839422  1.23998509 -0.08858166
  0.01991122]","[ 4.20412791e-04  6.86689276e-04 -2.96265628e-04 -7.41249165e-05
  1.22495754e-03 -6.58660259e-04]","[ 0.007804   -0.00352549  0.00027704  0.00244009 -0.01130505  0.00335466
  0.00673956  0.00492112 -0.00136457 -0.00514856 -0.00068211  0.00189548
 -0.00313122  0.00761214  0.0069299  -0.00514014 -0.00480644 -0.00027356
 -0.00067694  0.00180868]",0.08648150440279823,"[ 0.007804   -0.00352549  0.00027704  0.00244009 -0.01130505  0.00335466
  0.00673956  0.00492112 -0.00136457 -0.00514856 -0.00068211  0.00189548
 -0.00313122  0.00761214  0.0069299  -0.00514014 -0.00480644 -0.00027356
 -0.00067694  0.00180868]"
ACN,"[-0.18202369 -0.03929119  0.26812917 -0.19661368  0.07397379  0.04049383
 -0.05584371  0.08301099 -0.18364441 -0.03897272 -0.02450294  0.10166894
  0.07984458 -0.24636359  0.07995206  0.14466231 -0.01863313  0.18264467
 -0.00960833 -0.01725693 -0.1860354   0.03903044 -0.07091307  0.32934659
  0.020094    0.08583632 -0.15058531  0.01503753 -0.10127233  0.04154186
 -0.15029084 -0.17835141  0.158744   -0.28259384 -0.23683543 -0.38658382
  0.6121227   0.97841378 -0.72093362 -1.90261404 -0.44425703  1.06011744
  1.54377891 -0.05494816 -1.66686511 -0.86136203  1.16256858  0.50043989
 -0.21056258  0.28583094  0.24478043 -0.76907226 -1.30747892  0.        ]",0.016378339852482684,0.9476290244192717,[-0.00149157  0.00214979 -0.001209    0.00038956 -0.00021613  0.0001713 ],-4.695832033526893,0.009133265022916667,0.8245222972504322,-0.038932856447425765,"[-0.11812908 -0.10426085 -0.06649327 -0.0272764   0.01166955  0.05771365
  0.09126584  0.13333345  0.16694567  0.18264677  0.16415557  0.07540713
 -0.04582722 -0.21282384 -0.33389561 -0.26092701 -0.20948959 -0.17479798
 -0.12724685  0.25900808  0.83083375  1.36980399  1.2146001  -0.09476233
 -0.00787205]","[-3.64790261e-05 -4.54756909e-04  4.36619550e-04 -3.44005267e-04
  6.33513572e-04  5.01437814e-04]","[ 0.00734001 -0.00560767 -0.00525979  0.00645476 -0.00272816  0.00114741
 -0.0043803  -0.00168143  0.0020156   0.00313613  0.00102782 -0.00326505
 -0.00307573  0.00625635  0.0010379  -0.00152059  0.00071522  0.00117215
  0.00053055 -0.00376137]",0.08587504479584016,"[ 0.00734001 -0.00560767 -0.00525979  0.00645476 -0.00272816  0.00114741
 -0.0043803  -0.00168143  0.0020156   0.00313613  0.00102782 -0.00326505
 -0.00307573  0.00625635  0.0010379  -0.00152059  0.00071522  0.00117215
  0.00053055 -0.00376137]"
ADBE,"[-0.19280369 -0.0815161   0.2875661  -0.21007675  0.05557035 -0.00555355
 -0.04267944  0.13827831 -0.09038961 -0.08930611 -0.07277434  0.0639343
  0.04637203 -0.13713285  0.21509838  0.20771881 -0.07735321  0.15492507
 -0.00438698 -0.02647033 -0.13573144 -0.03962658 -0.12106843  0.18116495
  0.11871591  0.12506939 -0.06674268  0.04643518 -0.0213517   0.02318317
 -0.14388763 -0.20082818  0.11239426 -0.51820282 -0.19399086  0.19546318
  0.67253171  0.41030974 -0.7625412  -1.28566997 -0.08464242  0.67119918
  1.37469249  0.34470273 -1.85723739 -1.67424458  1.60364676  1.56814628
 -0.40884021 -0.51962314 -0.22599323 -0.84574748 -0.63183526  0.        ]",0.03467113040039488,0.9297101034062465,"[-1.59932762e-03  6.41441945e-04 -3.75226682e-04 -2.43514856e-05
  2.26585141e-04  6.43082133e-04]",-4.875665887054833,0.007630011800803187,0.8242933708659277,-0.03933275083396959,"[-1.17692532e-01 -1.04569676e-01 -6.69272299e-02 -2.85108669e-02
  1.21417658e-02  5.94646811e-02  9.44149409e-02  1.31674796e-01
  1.65145436e-01  1.80863832e-01  1.62398011e-01  8.08989749e-02
 -3.85990400e-02 -2.08322487e-01 -3.39225176e-01 -2.62714047e-01
 -2.08428450e-01 -1.76229795e-01 -1.20467680e-01  2.46823740e-01
  8.21632571e-01  1.33182826e+00  1.23913381e+00 -9.07303353e-02
 -1.31850259e-03]","[ 6.21524770e-05 -2.17966160e-04  4.03774431e-04 -3.52948515e-04
  6.10065097e-04  3.83975197e-04]","[ 6.61003157e-03 -5.50877118e-03 -3.59471196e-03  6.60767327e-03
 -4.23824644e-03  1.06800746e-03 -2.76371174e-03 -5.89228435e-04
  1.03361655e-03  2.73635219e-03  2.04989140e-03 -3.64536603e-03
 -5.42663319e-03  7.31558133e-03  3.99422375e-03 -1.91361067e-03
 -1.25877159e-03 -1.67205474e-05  1.54038900e-04 -2.05146758e-03]",0.08579635571358843,"[ 6.61003157e-03 -5.50877118e-03 -3.59471196e-03  6.60767327e-03
 -4.23824644e-03  1.06800746e-03 -2.76371174e-03 -5.89228435e-04
  1.03361655e-03  2.73635219e-03  2.04989140e-03 -3.64536603e-03
 -5.42663319e-03  7.31558133e-03  3.99422375e-03 -1.91361067e-03
 -1.25877159e-03 -1.67205474e-05  1.54038900e-04 -2.05146758e-03]"
ADI,"[-0.2729297  -0.05681937  0.11651003 -0.12970407 -0.14055798  0.02939079
  0.03741705  0.03812222  0.09081108 -0.12622537 -0.15826081  0.03683157
  0.04048    -0.08468037  0.24621559  0.35187687 -0.14994486  0.20496013
 -0.01851798 -0.08358593  0.05910173 -0.01696091 -0.19954415 -0.01285024
  0.1398382   0.18420413  0.06251601  0.13478083  0.11706614 -0.24586885
 -0.05355508 -0.12649188 -0.0342616  -0.91858932 -0.06922199  1.1820499
  0.38681445 -1.14109583 -0.72027039  0.60460309  0.82346742 -0.14917117
  0.15632636  0.07354766 -1.28108331 -1.01682313  2.38027138  1.67705775
 -1.84363937 -1.07739948  0.46294972 -1.49589143 -0.0457778   0.        ]",0.12961926986528807,0.8315434353664585,[-0.00046648  0.0013279  -0.00032222  0.00022793  0.00014216  0.00049319],-5.022455181414128,0.006588331287573598,0.8225917979302129,-0.03908773969361123,"[-0.12129621 -0.10264804 -0.07161854 -0.02750417  0.01456137  0.05595231
  0.1007356   0.13029552  0.16145866  0.18088555  0.16235647  0.08394507
 -0.03739849 -0.19736789 -0.34335368 -0.25759903 -0.20989567 -0.18485208
 -0.09608242  0.25222439  0.80567322  1.28245151  1.24524942 -0.08317955
  0.00928374]","[ 2.99164600e-04  2.07719646e-04 -2.71574391e-04 -9.09931636e-05
  8.98051783e-04 -1.23897700e-05]","[ 0.00540143 -0.00522709 -0.00076962  0.00588369 -0.00835064  0.00116845
  0.0021692   0.00225564 -0.00095862 -0.00033954  0.00126664 -0.00169996
 -0.00380247  0.00898671  0.00474842 -0.00617555 -0.00253593  0.00194542
 -0.00134037 -0.00021982]",0.08610207240819914,"[ 0.00540143 -0.00522709 -0.00076962  0.00588369 -0.00835064  0.00116845
  0.0021692   0.00225564 -0.00095862 -0.00033954  0.00126664 -0.00169996
 -0.00380247  0.00898671  0.00474842 -0.00617555 -0.00253593  0.00194542
 -0.00134037 -0.00021982]"
ADM,"[-1.95914460e-01 -5.65306386e-02  1.74763238e-01 -3.38405277e-01
  2.02383558e-01  1.20788380e-01  3.15359796e-01  1.30470424e-01
  1.20778759e-01 -1.21138199e-01 -1.65248809e-01 -1.99770706e-01
 -2.53086987e-03 -1.53494751e-01  2.83695293e-02  3.35985258e-01
 -1.90622070e-01  1.44439022e-01 -7.99837620e-02 -1.75898374e-01
 -3.46939514e-01 -3.28307029e-01  1.07036543e-02  3.98153620e-01
  1.79469046e-01  1.98731829e-01 -1.67601311e-01  4.13339259e-01
  4.92440643e-02  1.95347911e-01  1.22125157e-01 -9.47270569e-02
  3.38624103e-01 -2.37241833e+00 -7.07374322e-01  1.18386116e+00
  2.65229479e+00  5.69961833e-01 -3.35816447e+00 -2.28596837e+00
  1.23330631e+00  1.16287973e+00  8.81971197e-01  2.24884242e-01
 -1.39135525e+00 -8.93858742e-01  8.00808267e-01  6.03245835e-01
 -6.64403340e-01 -9.44581581e-01  7.49029001e-01  1.66861747e+00
  6.47992106e-01  0.00000000e+00]",0.6741015272598362,0.28769323037590305,[0.00107351 0.00029484 0.00052551 0.0001364  0.00024752 0.00035018],-5.000001772524592,0.0067379350559192966,0.824227309950006,-0.03909490326862887,"[-0.1201146  -0.10757404 -0.06324538 -0.02497512  0.02239447  0.05878162
  0.10231172  0.13010918  0.16251504  0.1698661   0.15886693  0.07947982
 -0.04849648 -0.19817464 -0.350148   -0.2640057  -0.21181101 -0.19441347
 -0.14148803  0.20265477  0.85017266  1.38115561  1.25247328 -0.08401822
 -0.00691393]","[ 1.17386631e-03 -2.72583886e-05  8.86065066e-04  2.59083893e-04
  8.94005731e-04  1.10569681e-03]","[ 0.00042973 -0.00718878 -0.00092925  0.01235474 -0.00394452 -0.00508744
 -0.00584898  0.00276268  0.00158211  0.00073226  0.00216528 -0.00160664
 -0.00291538  0.0061018   0.00100656 -0.00255313 -0.00282267  0.00193231
  0.0070035   0.00140548]",0.08567629275401592,"[ 0.00042973 -0.00718878 -0.00092925  0.01235474 -0.00394452 -0.00508744
 -0.00584898  0.00276268  0.00158211  0.00073226  0.00216528 -0.00160664
 -0.00291538  0.0061018   0.00100656 -0.00255313 -0.00282267  0.00193231
  0.0070035   0.00140548]"
