,priors,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,"fs_1 - beta(p=365.25,n=10)"
A,"[ 0.17690158  0.08285044  0.11395439 -0.0342543   0.14364483  0.00359892
  0.0134025   0.01853966  0.05288844 -0.04547521 -0.1223803  -0.19471174
  0.19098484  0.16233589 -0.00294925 -0.02834003 -0.10366779  0.1076217
  0.09048118 -0.13538885 -0.12997736  0.02946851 -0.14389248 -0.03825364
 -0.00597755 -0.06769819  0.11839203 -0.10996835  0.0577047  -0.10540354
 -0.11897766  0.11981159  0.07525084 -0.12634844  0.27271458  0.36330361
 -0.1476549  -0.17969989 -0.2905704   0.35241353  0.03752884 -0.23764666
 -0.61901842 -0.78682111  0.45881569  0.13413342  0.61435722  0.58731532
  0.20648818  0.02590427 -0.86698701 -1.17133712  1.42598262  0.        ]",0.023912533589830646,0.9506613065556659,[ 0.00077554 -0.00162017  0.00023683  0.00048537 -0.00048954 -0.0004137 ],-5.243523116059089,0.005281616271611389,0.8136310818181832,-0.03849183780321399,"[-0.14124699 -0.1201614  -0.08239097 -0.0429261   0.00183755  0.04526414
  0.08996344  0.1304854   0.16320451  0.18806084  0.20824782  0.17682959
  0.0679117  -0.09671025 -0.29533334 -0.35542987 -0.27911309 -0.24373447
 -0.23599819 -0.12155464  0.41962343  1.15264811  1.80346387  1.41359076
  0.01047185]",[-0.00069733 -0.00053845 -0.00111716 -0.00157308  0.00055758  0.00051613],"[ 0.00941085 -0.00307406 -0.00062439  0.00423477 -0.00269501  0.00201647
  0.00047888 -0.00108704 -0.00077784 -0.00258708 -0.00068838  0.00216269
 -0.00258473  0.00344604  0.00166803  0.00152655  0.00014662 -0.00083678
 -0.00142831  0.00319042]",0.08511579166278364,"[ 0.00941085 -0.00307406 -0.00062439  0.00423477 -0.00269501  0.00201647
  0.00047888 -0.00108704 -0.00077784 -0.00258708 -0.00068838  0.00216269
 -0.00258473  0.00344604  0.00166803  0.00152655  0.00014662 -0.00083678
 -0.00142831  0.00319042]"
AAL,"[ 0.23893766  0.02385859 -0.03026261 -0.02354633 -0.08639383 -0.08229442
 -0.06973497 -0.0905438  -0.0122322  -0.10049456 -0.15381334 -0.27970838
  0.1438728   0.08298096  0.08543002  0.02263833 -0.20835675  0.07503762
 -0.11568197 -0.13225567 -0.16671976  0.05211369  0.0419093   0.0090926
 -0.0242623  -0.07871444  0.11162198  0.07108708  0.03745459 -0.15113818
  0.01647442 -0.14489038  0.01919647  0.07348963  1.33399958  1.70698061
 -0.66007104 -0.73458305 -1.23085272 -0.00614813  0.39434476 -0.38000252
 -0.70159268 -0.46172221  0.85146761  0.37375204 -0.26925175 -0.87310322
  0.72260525  0.62443742  0.79864219  0.28099997  1.70663417  0.        ]",-0.4249820247174074,1.3984049485311434,"[-3.14695991e-04 -8.40335232e-04  4.08354864e-04 -2.54626403e-04
 -1.88506168e-05 -3.06324385e-05]",-5.453303920704997,0.004282133463925417,0.8149798531115509,-0.03905137254239227,"[-1.44503740e-01 -1.19853695e-01 -8.80980644e-02 -4.57948449e-02
 -9.67887174e-04  4.17826235e-02  8.78610170e-02  1.28458247e-01
  1.61980325e-01  1.84053419e-01  2.06331677e-01  1.72424800e-01
  7.31081231e-02 -9.27389647e-02 -3.04124332e-01 -3.57176199e-01
 -2.99232611e-01 -2.42741411e-01 -2.40910540e-01 -1.20361782e-01
  4.48048664e-01  1.16303807e+00  1.79507830e+00  1.40990065e+00
  1.02985922e-02]",[-0.00027818 -0.00056545 -0.00120271 -0.00116626 -0.00023525  0.00040071],"[ 9.97336487e-03  5.79777291e-05  3.31315865e-03  2.88886561e-03
 -4.34689698e-03 -8.57371476e-04 -4.35726748e-04  1.18370982e-04
 -1.04311254e-03 -2.78996211e-03  2.12335430e-04  3.23403819e-03
 -2.11115652e-03  8.73753856e-04 -2.45033674e-03  2.75437395e-03
  2.40251974e-03  4.07103573e-03  3.06051948e-03  4.39741202e-03]",0.08470787887111152,"[ 9.97336487e-03  5.79777291e-05  3.31315865e-03  2.88886561e-03
 -4.34689698e-03 -8.57371476e-04 -4.35726748e-04  1.18370982e-04
 -1.04311254e-03 -2.78996211e-03  2.12335430e-04  3.23403819e-03
 -2.11115652e-03  8.73753856e-04 -2.45033674e-03  2.75437395e-03
  2.40251974e-03  4.07103573e-03  3.06051948e-03  4.39741202e-03]"
AAP,"[ 0.03728527  0.0195652   0.15651396  0.05629383  0.05813273 -0.23214203
  0.08200645  0.03077917 -0.08914147 -0.05357074 -0.32019755 -0.21127411
  0.07922078  0.0681203  -0.14333025 -0.11886713 -0.26446098 -0.00345852
  0.12727337 -0.07053485 -0.01178795  0.23168742 -0.03541181 -0.26526945
  0.32228771 -0.1642365   0.06248982 -0.12407065 -0.13467752 -0.29141375
  0.05022379  0.36921761 -0.03498068 -0.64979113  0.50178027  1.2682473
  0.90506184  1.07736619 -1.62364075 -1.40805047 -1.15696682 -0.45136282
  0.86313827 -0.2763296  -0.39398721 -0.86645799  1.31281885  1.6503504
  0.72751923 -0.43831998 -0.62629967  1.26308206  1.93969889  0.        ]",-0.053925364945293625,1.0283632006293995,"[ 2.22870421e-04 -1.12530898e-03  4.16227344e-04 -3.59658589e-04
  1.43639321e-04 -9.89766139e-05]",-5.416142370469739,0.004444257922734829,0.8105955825128834,-0.03902536075197709,"[-0.1401978  -0.11835764 -0.08481904 -0.04928792  0.00411755  0.04522005
  0.08472986  0.13060423  0.15433915  0.1883623   0.20277879  0.17207667
  0.06024152 -0.10326075 -0.30736909 -0.36412988 -0.27386148 -0.23818813
 -0.22019323 -0.09102312  0.43369862  1.10199363  1.8837488   1.399272
  0.00571933]",[-0.00076088 -0.0011065  -0.00162689 -0.00111834  0.00120395  0.00014511],"[ 0.00772665 -0.00240628  0.00211845  0.00722864  0.00078213 -0.00174061
 -0.00447526 -0.00463937 -0.00138373  0.00155312  0.00019174 -0.00045146
 -0.00509908  0.00533642  0.0050668   0.00325797 -0.00158819  0.00011229
  0.00531906  0.00442692]",0.08498114745663671,"[ 0.00772665 -0.00240628  0.00211845  0.00722864  0.00078213 -0.00174061
 -0.00447526 -0.00463937 -0.00138373  0.00155312  0.00019174 -0.00045146
 -0.00509908  0.00533642  0.0050668   0.00325797 -0.00158819  0.00011229
  0.00531906  0.00442692]"
AAPL,"[-6.98490959e-03  9.49015912e-02  3.89650010e-02  6.12746463e-02
  1.09622842e-01 -1.26517320e-01  6.39346915e-02  9.37988094e-03
 -9.28843818e-04 -3.60691628e-02 -2.14947422e-01 -1.27261256e-01
  7.10870480e-02  8.77188758e-02 -1.20209865e-01 -8.86022028e-02
 -1.23639050e-01 -4.19419005e-03  1.07893676e-01  4.94656122e-02
  1.80765505e-02  1.97761220e-01 -1.45478817e-02 -1.29661698e-01
  2.42449158e-01 -1.47699782e-01  1.90449146e-02 -1.59526091e-01
 -1.23560330e-01 -2.06178692e-01  9.95983176e-02  2.33521531e-01
 -8.13042542e-02 -5.98069374e-01  1.12787721e-01  4.43967190e-01
  1.01086005e+00  1.30792016e+00 -6.95885010e-01 -7.43641802e-01
 -1.44162192e+00 -8.48402739e-01  3.71596210e-01 -4.00740147e-01
  7.76768473e-02 -3.50558609e-01  1.20184580e+00  1.41254139e+00
  3.06772218e-01 -4.43304747e-01 -3.69861556e-01  1.46845530e+00
  1.12509410e+00  0.00000000e+00]",0.023912538723007665,0.9529760437403958,[-0.00036567 -0.00201335  0.00081022 -0.00057298  0.00026258  0.00014347],-5.236477054418235,0.005318962282060727,0.8096330726215661,-0.038322113199352185,"[-0.14303608 -0.11831136 -0.08338098 -0.04640879  0.00360149  0.04481474
  0.08776487  0.13106396  0.15851008  0.19177274  0.20269824  0.17280296
  0.06140841 -0.10116114 -0.29695898 -0.36448979 -0.27586255 -0.22386801
 -0.2170117  -0.09492092  0.43924064  1.13255884  1.86158616  1.4015509
  0.00281243]","[-8.74211552e-04 -1.07648480e-03 -1.34785191e-03 -9.96424980e-04
  8.32336260e-04  4.77038214e-05]","[ 7.89084122e-03 -3.60057821e-03 -2.83797641e-04  7.47666137e-03
  1.50563743e-03  1.08196226e-03 -2.60128208e-03 -5.52094592e-03
 -2.60936864e-03  9.01362525e-05  2.55768210e-05  9.85860449e-04
 -3.54039309e-03  5.01560341e-03  4.31873225e-03  1.95755722e-03
 -1.78550951e-03  7.43023872e-04  6.13967844e-03  2.17468961e-03]",0.08504879965654107,"[ 7.89084122e-03 -3.60057821e-03 -2.83797641e-04  7.47666137e-03
  1.50563743e-03  1.08196226e-03 -2.60128208e-03 -5.52094592e-03
 -2.60936864e-03  9.01362525e-05  2.55768210e-05  9.85860449e-04
 -3.54039309e-03  5.01560341e-03  4.31873225e-03  1.95755722e-03
 -1.78550951e-03  7.43023872e-04  6.13967844e-03  2.17468961e-03]"
ABBV,"[ 1.80931090e-01  1.84632188e-01  5.11901115e-04 -3.88911474e-02
  2.95416340e-01 -6.54571039e-02  3.47884532e-02 -1.30146918e-01
  5.06718401e-02 -1.73870434e-01 -1.32611289e-01 -2.07990860e-01
  1.65897206e-01  2.09953474e-01  3.70198381e-02 -2.46387687e-02
 -2.14114445e-02  8.89917752e-02  1.15348487e-01  1.07580156e-01
 -4.68741090e-02  9.68758179e-02 -5.12552343e-02 -8.62222695e-03
  1.44234813e-02 -9.13030733e-02  1.47713651e-01 -2.38354377e-01
  1.42212696e-01 -1.54475925e-01  2.14819862e-02 -4.77813644e-02
 -1.12928461e-01 -3.56188826e-01 -3.63920199e-02 -4.55880682e-02
  5.57401565e-01  9.25122083e-01  2.32966845e-01  6.51568266e-01
 -1.17202319e+00 -1.17800036e+00 -6.52520854e-01 -4.68239898e-01
  8.21570106e-01 -1.45101563e-01  1.51390267e-01 -8.11298287e-02
  1.07597342e+00  3.74844966e-01  2.07001006e-01  2.97298035e-01
  2.57468940e+00  0.00000000e+00]",0.11924183989971948,0.8594710820797725,"[ 2.62723895e-04 -1.04265505e-04 -5.04846836e-05 -1.33809970e-04
  2.44498092e-05 -1.96093565e-04]",-5.708260221568731,0.003318440877498708,0.8137186902811914,-0.037562393368022896,"[-0.14401733 -0.12025852 -0.07830711 -0.04469469  0.00270686  0.04114022
  0.09011082  0.12587861  0.16326047  0.18794593  0.20728712  0.179027
  0.07123104 -0.09578154 -0.28951372 -0.35784811 -0.27515049 -0.21757314
 -0.22545267 -0.11152845  0.43480132  1.15837412  1.80582726  1.41158205
  0.01303002]","[-1.16441985e-03 -3.25245352e-04 -1.20162892e-03 -1.22136472e-03
  6.90316965e-05 -2.25166354e-05]","[ 8.66241560e-03 -4.04188336e-03 -1.78901228e-03  6.21325520e-03
  5.03477057e-04  3.80634701e-03  1.37368218e-03 -4.67490364e-03
 -3.61154680e-03 -2.91582798e-03  1.73521475e-04  3.21966187e-03
 -3.11632474e-03  2.14109195e-03  5.98114941e-05  3.97287448e-03
  6.53146864e-04  1.97906029e-03  3.02121186e-03  6.78353698e-03]",0.08526548957979993,"[ 8.66241560e-03 -4.04188336e-03 -1.78901228e-03  6.21325520e-03
  5.03477057e-04  3.80634701e-03  1.37368218e-03 -4.67490364e-03
 -3.61154680e-03 -2.91582798e-03  1.73521475e-04  3.21966187e-03
 -3.11632474e-03  2.14109195e-03  5.98114941e-05  3.97287448e-03
  6.53146864e-04  1.97906029e-03  3.02121186e-03  6.78353698e-03]"
ABT,"[ 0.04979956  0.06640691  0.15051329  0.02241293  0.21996859 -0.14459446
  0.05437779 -0.00564894 -0.0252669  -0.17418632 -0.24262418 -0.17984781
  0.05481182  0.11863751 -0.04255707 -0.06073368 -0.10079565  0.05119043
  0.13635658  0.06720544 -0.02224     0.17893682 -0.05709774 -0.1343783
  0.13782362 -0.07046607  0.07898467 -0.21646618  0.04167606 -0.17672944
  0.04636247  0.21006093 -0.07947445 -0.47026916 -0.11664478  0.26555977
  0.77136835  1.14511269 -0.51178908 -0.53719588 -1.24346491 -0.80680903
  0.67797341  0.3183948   0.11395517 -0.53247393  0.24974428  0.74264396
  0.81281099 -0.36561135 -0.45225271  0.8528911   2.55276798  0.        ]",0.023912534668262892,0.94864937520385,"[ 9.54949438e-04 -4.77884978e-04  4.29964349e-04  2.29907521e-04
 -1.13197597e-04 -5.59974727e-05]",-5.3991306031319235,0.00452050935136428,0.8108676648492251,-0.03860106498202249,"[-0.14039835 -0.119085   -0.08058541 -0.04671357  0.00337534  0.04437413
  0.08705059  0.12611257  0.15799298  0.18964917  0.20158111  0.17483282
  0.06698748 -0.09947553 -0.29513289 -0.36021998 -0.27359313 -0.22218082
 -0.22293097 -0.09804471  0.43164149  1.12970958  1.83862781  1.41352027
  0.00807975]","[-1.06907419e-03 -6.36096832e-04 -1.28659320e-03 -1.12905385e-03
  7.70360645e-04  4.18920183e-05]","[ 0.00829017 -0.00425708 -0.00083598  0.00675647  0.00107908  0.00164869
 -0.00200222 -0.00494417 -0.00245876  0.00098935  0.00197686  0.00109653
 -0.00421123  0.00239661  0.00234453  0.00330712 -0.00146681  0.00022977
  0.00432859  0.00617053]",0.08521095083804762,"[ 0.00829017 -0.00425708 -0.00083598  0.00675647  0.00107908  0.00164869
 -0.00200222 -0.00494417 -0.00245876  0.00098935  0.00197686  0.00109653
 -0.00421123  0.00239661  0.00234453  0.00330712 -0.00146681  0.00022977
  0.00432859  0.00617053]"
ACN,"[-6.58152633e-02 -1.98187168e-02  9.48146555e-02 -4.94349991e-04
  9.75943715e-02  6.48081685e-02  2.82806121e-02  7.88210177e-02
  4.12694337e-02 -3.20684168e-02  7.68789951e-02  9.91688281e-02
 -2.39748894e-02 -5.03066275e-03 -2.91416904e-02  2.34631654e-03
  7.65303581e-02  2.03341427e-02  8.26096295e-02  1.55860679e-02
  1.50459377e-02 -2.98408835e-02 -6.82628582e-02  4.08797145e-02
  2.18716756e-02  9.81844544e-02 -2.99021282e-02 -6.36479682e-02
  2.11948720e-02  1.11190804e-01 -6.16796501e-02  1.34306900e-01
  4.56758149e-02  1.59006109e-02 -6.96856401e-01 -9.66080406e-01
 -9.44724179e-02 -4.94887373e-03  7.27848251e-01  2.56270334e-01
  2.53116319e-02  1.16894692e-01  3.23462566e-01  3.22719510e-01
 -1.46970618e-01 -1.03838306e-01 -4.59132963e-02  7.13761180e-01
 -1.15600910e-01 -7.95009225e-02 -1.18305212e+00 -5.50198981e-01
 -4.16522882e-01  0.00000000e+00]",0.18728713866573643,0.786806702666798,"[ 5.08466990e-04 -3.46872719e-04  3.31149539e-04  2.91133643e-04
  3.23993547e-06  2.37673467e-04]",-5.885266369038494,0.0027801055926355614,0.808353999348525,-0.03935213655482931,"[-1.41594610e-01 -1.19760064e-01 -8.37512995e-02 -4.12222773e-02
  2.42321745e-03  4.65973720e-02  8.91278782e-02  1.31017422e-01
  1.70287168e-01  2.00854769e-01  1.98096818e-01  1.67748320e-01
  6.67582756e-02 -9.64082175e-02 -2.81992391e-01 -3.61358614e-01
 -2.81738480e-01 -2.24304468e-01 -2.19625736e-01 -1.26404856e-01
  4.33789112e-01  1.16742804e+00  1.81032197e+00  1.43733403e+00
  5.11707607e-04]",[-0.00057025 -0.00069259 -0.00042033 -0.00136871  0.00058712  0.00046166],"[ 0.00983348 -0.00598243 -0.00445464  0.00417381 -0.00210874  0.00522337
  0.00013476 -0.00126323  0.00020811  0.00027174  0.0022686   0.00038802
 -0.00337695  0.00165892  0.00161181  0.00055534 -0.00027375 -0.00195338
  0.00029943 -0.00292133]",0.0851985924348795,"[ 0.00983348 -0.00598243 -0.00445464  0.00417381 -0.00210874  0.00522337
  0.00013476 -0.00126323  0.00020811  0.00027174  0.0022686   0.00038802
 -0.00337695  0.00165892  0.00161181  0.00055534 -0.00027375 -0.00195338
  0.00029943 -0.00292133]"
ADBE,"[-4.49784338e-02  5.86589140e-02  2.81393014e-01  6.07119894e-02
  2.95810249e-02 -1.40334410e-01 -5.84025079e-02  1.18466218e-01
  7.14953698e-02  9.82798257e-04 -2.35936824e-01 -2.21836726e-01
  7.39791750e-02  2.54530465e-03 -4.59550130e-02  6.78289229e-03
 -1.23298379e-01  9.54466079e-02  3.34906997e-02 -5.28119640e-02
 -1.42693258e-02  1.55490489e-01 -4.44449763e-02 -1.19764009e-01
  1.02643038e-01 -1.20416026e-01  2.80695654e-02 -1.69042808e-01
 -2.67111834e-02 -8.87590526e-02  4.20223954e-02  2.22884740e-01
  1.30162524e-01 -2.34809375e-01  2.20920390e-01  6.74994982e-01
  5.97693856e-01  8.07620459e-01 -1.12012548e+00 -1.13227181e+00
 -1.00687385e+00 -6.68898819e-01  9.90199424e-01  3.88593213e-01
  3.96877532e-01  7.16316137e-02  2.42651665e-01  8.24356467e-01
 -8.45208927e-02 -4.44353431e-01 -1.00857398e+00 -6.37922481e-01
  9.34718450e-01  0.00000000e+00]",-0.022273680286437666,0.9983881995283271,"[ 8.10902828e-04 -1.06673714e-03  7.85949822e-04 -4.74499743e-05
  1.05501301e-04  1.12180022e-04]",-5.274760872538735,0.005119180698606183,0.8088070279299316,-0.0386412382259607,"[-1.37366500e-01 -1.18362244e-01 -8.58451258e-02 -4.65817771e-02
 -2.54563969e-04  4.76645506e-02  8.95785096e-02  1.32388012e-01
  1.57754045e-01  1.87152194e-01  2.02327486e-01  1.68804432e-01
  6.56474269e-02 -9.53807473e-02 -2.96120983e-01 -3.55002488e-01
 -2.85031250e-01 -2.32991453e-01 -2.19625827e-01 -1.01431780e-01
  4.34556096e-01  1.13554797e+00  1.83288180e+00  1.40225800e+00
  2.93192791e-03]",[-0.00085818 -0.00082195 -0.00108034 -0.0011382   0.00080429  0.00067318],"[ 9.04890627e-03 -3.17252382e-03  3.56566914e-04  6.30185924e-03
  8.08045324e-05 -2.63588682e-04 -3.65318247e-03 -4.25996236e-03
 -1.97800593e-03  2.02658813e-03  2.07284626e-03  1.95508784e-03
 -2.47046195e-03  2.21911747e-03  2.43539801e-03  6.29970851e-04
 -1.44071038e-03 -1.19842927e-03 -5.19192810e-06  1.28046560e-03]",0.08471678214197248,"[ 9.04890627e-03 -3.17252382e-03  3.56566914e-04  6.30185924e-03
  8.08045324e-05 -2.63588682e-04 -3.65318247e-03 -4.25996236e-03
 -1.97800593e-03  2.02658813e-03  2.07284626e-03  1.95508784e-03
 -2.47046195e-03  2.21911747e-03  2.43539801e-03  6.29970851e-04
 -1.44071038e-03 -1.19842927e-03 -5.19192810e-06  1.28046560e-03]"
ADI,"[-6.68974932e-02 -3.76536840e-02  3.07272823e-02  4.24135427e-03
  1.52925056e-01  7.34557309e-02  1.08566594e-01  7.64324676e-02
 -3.70494976e-02 -9.61649693e-03 -1.42825756e-03  1.32962215e-01
 -5.82349235e-02  5.21416596e-02 -9.06640128e-02 -8.13207947e-02
  5.96845966e-02 -2.59153876e-02  1.50346440e-01  2.40139611e-02
  1.30306987e-02 -4.72171017e-04 -1.29379104e-01 -5.46392857e-02
  3.52830469e-02  5.40511632e-02 -2.24812981e-02 -6.18923716e-02
 -2.20880404e-02  4.09363433e-04 -8.25767515e-02  2.40234188e-01
 -5.19307543e-02 -2.36879615e-01 -8.42403609e-01 -9.56209725e-01
  2.77560910e-01  2.90494923e-01  6.18535022e-01  3.99056054e-02
  4.47955098e-02  4.57443540e-01  3.54939287e-01  1.65706358e-02
 -7.37277592e-01 -3.17907489e-01  6.19580785e-01  1.10110585e+00
 -4.15855292e-01 -7.86195481e-01 -8.51355340e-01  6.16129863e-02
  1.00642455e-01  0.00000000e+00]",0.24519112895061337,0.72897578646356,"[ 4.04814127e-05 -7.72681182e-04 -2.09586357e-06 -1.14582936e-04
 -6.18295100e-05 -2.45620377e-04]",-5.7368667708140135,0.0032248566774780493,0.8083304698070374,-0.03951487908400361,"[-1.43058207e-01 -1.19662740e-01 -8.22071393e-02 -4.10095778e-02
  4.97013287e-03  4.66650594e-02  8.67343975e-02  1.31968458e-01
  1.66809790e-01  2.02741482e-01  1.96557208e-01  1.70981282e-01
  6.33894587e-02 -1.01961379e-01 -2.83278061e-01 -3.65837341e-01
 -2.74071065e-01 -2.25530606e-01 -2.21170345e-01 -1.21845086e-01
  4.23440171e-01  1.14550577e+00  1.81111570e+00  1.43151993e+00
  1.10877772e-03]",[-0.00055695 -0.00080519 -0.00071956 -0.00144351  0.00088226  0.00016123],"[ 0.0090456  -0.00645135 -0.00443007  0.0052278  -0.00128881  0.00494956
 -0.00050117 -0.00123144  0.00112312  0.00033253  0.00135545 -0.00135207
 -0.003895    0.00359637  0.00274987 -0.00013471 -0.00243672 -0.00077059
  0.00201011 -0.00131528]",0.08536757394121093,"[ 0.0090456  -0.00645135 -0.00443007  0.0052278  -0.00128881  0.00494956
 -0.00050117 -0.00123144  0.00112312  0.00033253  0.00135545 -0.00135207
 -0.003895    0.00359637  0.00274987 -0.00013471 -0.00243672 -0.00077059
  0.00201011 -0.00131528]"
ADM,"[ 0.04534993  0.1102121   0.17050532 -0.0211033   0.16666968 -0.12114308
 -0.01333753 -0.04287026  0.0496624  -0.0742266  -0.04341569 -0.13159668
  0.09583408  0.04244122  0.03335226  0.02813242  0.0115248   0.06455629
  0.09169471  0.06988757  0.05101688  0.05014547 -0.00697972 -0.0535683
  0.04516279 -0.04954128  0.08424978 -0.20607622  0.11569314 -0.02281885
  0.01020497  0.01456677  0.03484255 -0.18165361 -0.20543324 -0.18167388
  0.54356854  0.87630312  0.1023343   0.12831913 -1.08665394 -0.78702109
  0.17145395  0.18052854  0.356237   -0.48428063 -0.24740725  0.03121823
  0.92230467  0.48638205 -0.50381437 -0.82744912  1.14007206  0.        ]",0.2040549680164471,0.7674132104842553,"[ 1.11219239e-04 -9.96368662e-05  3.80181853e-06  2.81783266e-05
  1.64265662e-05  5.78985466e-06]",-6.602896160868318,0.001356433892579275,0.8107709222956555,-0.03819904572194544,"[-1.39994415e-01 -1.20046830e-01 -8.20134939e-02 -4.61016098e-02
  1.20919724e-03  4.31479914e-02  8.93669986e-02  1.29607101e-01
  1.66441950e-01  1.91029417e-01  2.03652404e-01  1.70036264e-01
  7.07005004e-02 -9.32727721e-02 -2.86423250e-01 -3.58142623e-01
 -2.78915639e-01 -2.19283177e-01 -2.11390879e-01 -1.17075798e-01
  4.42702677e-01  1.14760236e+00  1.81791576e+00  1.41558118e+00
  7.70446742e-03]",[-0.00102806 -0.00042858 -0.00083289 -0.00122662  0.00023351  0.00040851],"[ 0.00921594 -0.00446406 -0.00217267  0.00612362  0.00035807  0.00344381
 -0.00013354 -0.00449649 -0.00246294 -0.00039599  0.00178681  0.00183424
 -0.0041624   0.00096236  0.0001943   0.00353026  0.00105673 -0.00012807
 -0.0004267   0.00198899]",0.08497473978992999,"[ 0.00921594 -0.00446406 -0.00217267  0.00612362  0.00035807  0.00344381
 -0.00013354 -0.00449649 -0.00246294 -0.00039599  0.00178681  0.00183424
 -0.0041624   0.00096236  0.0001943   0.00353026  0.00105673 -0.00012807
 -0.0004267   0.00198899]"
